PAM,PID,Type,SkinTone,Generation,FaceShape,Description
gen_5_M_N_02,2717,generic,LightMedium,5,Normal,Gen 5 Light-Medium Normal Face
gen_5_T_G_01,2718,generic,Light,5,Generic,Gen 5 Light Generic
gen_6_BHM_BM_004,2719,generic,MixedTone,6,MuscularBroad,Gen 6 Mixed Tone Muscular
gen_6_BHM_B_01,2720,generic,MixedTone,6,Round,Gen 6 Mixed Tone Round Face
gen_6_BHM_G_002,2721,generic,MixedTone,6,Generic,Gen 6 Mixed Tone Generic
gen_6_BMH_N_003,2735,generic,MixedTone,6,Normal,Gen 6 Mixed Tone Normal Face
gen_6_BM_MG_008,2743,generic,MixedTone,6,Generic,Gen 6 Mixed Tone Generic
gen_6_BM_N_009,2745,generic,MixedTone,6,Normal,Gen 6 Mixed Tone Normal Face
gen_6_BTM_BM_001,2748,generic,MixedTone,6,MuscularBroad,Gen 6 Mixed Tone Muscular
gen_6_B_G_03,2749,generic,VeryDark,6,Generic,Gen 6 Very Dark Generic
gen_6_B_G_04,2750,generic,VeryDark,6,Generic,Gen 6 Very Dark Generic
gen_6_B_G_05,2751,generic,VeryDark,6,Generic,Gen 6 Very Dark Generic
gen_6_B_MS_01,2753,generic,VeryDark,6,MuscularSquare,Gen 6 Very Dark Muscular Square Face
gen_6_B_N_0010,2755,generic,VeryDark,6,Normal,Gen 6 Very Dark Normal Face
gen_6_B_N_003,2758,generic,VeryDark,6,Normal,Gen 6 Very Dark Normal Face
gen_6_B_N_007,2761,generic,VeryDark,6,Normal,Gen 6 Very Dark Normal Face
gen_6_B_N_008,2762,generic,VeryDark,6,Normal,Gen 6 Very Dark Normal Face
gen_6_B_N_009,2763,generic,VeryDark,6,Normal,Gen 6 Very Dark Normal Face
gen_6_B_N_01,2767,generic,VeryDark,6,Normal,Gen 6 Very Dark Normal Face
gen_6_B_N_03,2768,generic,VeryDark,6,Normal,Gen 6 Very Dark Normal Face
gen_6_B_S_02,2769,generic,VeryDark,6,Square,Gen 6 Very Dark Square Face
gen_6_H_BM_02,2770,generic,Medium,6,MuscularBroad,Gen 6 Medium Muscular Face
gen_6_H_B_002,2771,generic,Medium,6,Round,Gen 6 Medium Round Face
gen_6_H_G_01,2789,generic,Medium,6,Generic,Gen 6 Medium Generic
gen_6_H_G_012,2790,generic,Medium,6,Generic,Gen 6 Medium Generic
gen_6_H_MS_01,2793,generic,Medium,6,MuscularSquare,Gen 6 Medium Muscular Square Face
gen_6_H_N_001,2794,generic,Medium,6,Normal,Gen 6 Medium Normal Face
gen_6_H_N_006,2795,generic,Medium,6,Normal,Gen 6 Medium Normal Face
gen_6_H_N_01,2799,generic,Medium,6,Normal,Gen 6 Medium Normal Face
gen_6_H_N_20,2800,generic,Medium,6,Normal,Gen 6 Medium Normal Face
gen_6_M_MB_011,2801,generic,LightMedium,6,MuscularBroad,Gen 6 Light-Medium Muscular Face
gen_6_M_N_01,2802,generic,LightMedium,6,Normal,Gen 6 Light-Medium Normal Face
gen_6_M_N_02,2803,generic,LightMedium,6,Normal,Gen 6 Light-Medium Normal Face
gen_6_N_MG_009,2806,generic,VeryLight,6,Generic,Gen 6 Very Light Generic
gen_6_T_MG_006,2810,generic,Light,6,Generic,Gen 6 Light Generic
gen_6_T_N_009,2811,generic,Light,6,Normal,Gen 6 Light Normal Face
gen_7_BHM_MG_007,2812,generic,MixedTone,7,Generic,Gen 7 Mixed Tone Generic
gen_7_BHM_MG_022,2813,generic,MixedTone,7,Generic,Gen 7 Mixed Tone Generic
gen_7_BHM_N_002,2814,generic,MixedTone,7,Normal,Gen 7 Mixed Tone Normal Face
gen_7_BHM_S_010,2815,generic,MixedTone,7,Square,Gen 7 Mixed Tone Square Face
gen_7_BMH_GS_011,2816,generic,MixedTone,7,GenericSquare,Gen 7 Mixed Tone Square
gen_7_BMH_MB_019,2819,generic,MixedTone,7,MuscularBroad,Gen 7 Mixed Tone Muscular
gen_7_BMH_MG_001,2820,generic,MixedTone,7,Generic,Gen 7 Mixed Tone Generic
gen_7_BMH_MG_003,2824,generic,MixedTone,7,Generic,Gen 7 Mixed Tone Generic
gen_7_BMH_S_008,2827,generic,MixedTone,7,Square,Gen 7 Mixed Tone Square Face
gen_7_BMTH_N_003,2829,generic,MixedTone,7,Normal,Gen 7 Mixed Tone Normal Face
gen_7_BMT_BM_012,2832,generic,MixedTone,7,MuscularBroad,Gen 7 Mixed Tone Muscular
gen_7_BTM_N_007,2833,generic,MixedTone,7,Normal,Gen 7 Mixed Tone Normal Face
gen_7_B_B_001,2836,generic,VeryDark,7,Round,Gen 7 Very Dark Round Face
gen_7_B_B_002,2838,generic,VeryDark,7,Round,Gen 7 Very Dark Round Face
gen_7_B_G_0010,2839,generic,VeryDark,7,Generic,Gen 7 Very Dark Generic
gen_7_B_G_004,2840,generic,VeryDark,7,Generic,Gen 7 Very Dark Generic
gen_7_B_G_005,2841,generic,VeryDark,7,Generic,Gen 7 Very Dark Generic
gen_7_B_G_008,2843,generic,VeryDark,7,Generic,Gen 7 Very Dark Generic
gen_7_B_G_009,2851,generic,VeryDark,7,Generic,Gen 7 Very Dark Generic
gen_7_B_N_0011,2852,generic,VeryDark,7,Normal,Gen 7 Very Dark Normal Face
gen_7_B_N_0012,2853,generic,VeryDark,7,Normal,Gen 7 Very Dark Normal Face
gen_7_B_N_0013,2855,generic,VeryDark,7,Normal,Gen 7 Very Dark Normal Face
gen_7_B_N_009,2858,generic,VeryDark,7,Normal,Gen 7 Very Dark Normal Face
gen_7_B_N_011,2862,generic,VeryDark,7,Normal,Gen 7 Very Dark Normal Face
gen_7_B_N_012,2863,generic,VeryDark,7,Normal,Gen 7 Very Dark Normal Face
gen_7_B_N_013,2865,generic,VeryDark,7,Normal,Gen 7 Very Dark Normal Face
gen_7_B_N_016,2866,generic,VeryDark,7,Normal,Gen 7 Very Dark Normal Face
gen_7_B_N_019,2867,generic,VeryDark,7,Normal,Gen 7 Very Dark Normal Face
gen_7_B_N_07,2868,generic,VeryDark,7,Normal,Gen 7 Very Dark Normal Face
gen_7_H_BD_03,2869,generic,Medium,7,Diamond,Gen 7 Medium Diamond Face
gen_7_H_BMS_013,2870,generic,Medium,7,MuscularSquare,Gen 7 Medium Muscular Square Face
gen_7_H_G_004,2871,generic,Medium,7,Generic,Gen 7 Medium Generic
gen_7_H_G_009,2872,generic,Medium,7,Generic,Gen 7 Medium Generic
gen_7_H_G_02,2873,generic,Medium,7,Generic,Gen 7 Medium Generic
gen_7_H_N_01,2874,generic,Medium,7,Normal,Gen 7 Medium Normal Face
gen_7_M_BD_01,2875,generic,LightMedium,7,Diamond,Gen 7 Light-Medium Diamond Face
gen_7_M_BD_02,2877,generic,LightMedium,7,Diamond,Gen 7 Light-Medium Diamond Face
gen_7_M_BM_014,2878,generic,LightMedium,7,MuscularBroad,Gen 7 Light-Medium Muscular
gen_7_M_GS_015,2880,generic,LightMedium,7,GenericSquare,Gen 7 Light-Medium Square
gen_7_M_MB_009,2882,generic,LightMedium,7,MuscularBroad,Gen 7 Light-Medium Muscular
gen_7_M_MG_025,2884,generic,LightMedium,7,Generic,Gen 7 Light-Medium Generic
gen_7_M_N_001,2888,generic,LightMedium,7,Normal,Gen 7 Light-Medium Normal Face
gen_7_M_N_005,2892,generic,LightMedium,7,Normal,Gen 7 Light-Medium Normal Face
gen_7_M_N_006,2893,generic,LightMedium,7,Normal,Gen 7 Light-Medium Normal Face
gen_7_M_N_024,2895,generic,LightMedium,7,Normal,Gen 7 Light-Medium Normal Face
gen_7_T_G_004,2897,generic,Light,7,Generic,Gen 7 Light Generic
gen_7_T_G_007,2898,generic,Light,7,Generic,Gen 7 Light Generic
gen_7_T_N_001,2901,generic,Light,7,Normal,Gen 7 Light Normal Face
gen_7_T_N_009,2902,generic,Light,7,Normal,Gen 7 Light Normal Face
gen_7_T_S_004,2904,generic,Light,7,Square,Gen 7 Light Square Face
