Pick,Round,First Name,Last Name,Position,College,Height,Weight,Jersey,Draft Grade,Home State,Original Draft Year,Original Pick,Career Start,Career End,Pro Bowls,All-Pro,Seasons Started,Weighted AV,Hall of Fame
22.0,1.0,Jason,Witten,TE,Tennessee,78.0,263.0,82.0,99,"Washington, D",2003,69,2003.0,2020.0,11.0,2.0,16.0,80.0,False
23.0,1.0,Kevin,Williams,DT,Oklahoma St.,68.0,164.0,93.0,99,"Los Angeles, California",2003,9,2003.0,2015.0,6.0,5.0,12.0,102.0,False
24.0,1.0,LaDainian,Tomlinson,HB,TCU,70.0,215.0,21.0,99,"Rosebud, Texas",2001,5,2001.0,2011.0,5.0,3.0,10.0,129.0,True
25.0,1.0,John,Abraham,LE,South Carolina,76.0,263.0,55.0,98,"Timmonsville, South",2000,13,2000.0,2014.0,5.0,2.0,11.0,91.0,False
26.0,1.0,Terrell,Suggs,MLB,Arizona St.,75.0,265.0,55.0,98,"Minneapolis, Minnesota",2003,10,2003.0,2019.0,7.0,1.0,15.0,110.0,False
27.0,1.0,Shane,Lechler,P,Texas A&M,74.0,240.0,9.0,98,"East Bernard, Texas",2000,142,2000.0,2017.0,7.0,6.0,0.0,44.0,False
28.0,1.0,Haloti,Ngata,DT,Oregon,76.0,340.0,92.0,97,"Inglewood, California",2006,12,2006.0,2018.0,5.0,2.0,12.0,100.0,False
29.0,1.0,Philip,Rivers,QB,North Carolina St.,77.0,228.0,17.0,97,"Decatur, Alabama",2004,4,2004.0,2020.0,8.0,0.0,15.0,149.0,False
30.0,1.0,Logan,Mankins,LG,Fresno St.,76.0,308.0,70.0,97,"Catheys Valley, California",2005,32,2005.0,2015.0,7.0,1.0,11.0,102.0,False
31.0,1.0,Duane,Brown,LT,Virginia Tech,76.0,329.0,76.0,96,"Richmond, Virginia",2008,26,2008.0,2023.0,5.0,1.0,15.0,91.0,False
32.0,1.0,Eric,Weddle,CB,Utah,71.0,195.0,32.0,96,"Fontana, California",2007,37,2007.0,2021.0,6.0,2.0,12.0,88.0,False
33.0,2.0,Ben,Roethlisberger,QB,Miami (OH),77.0,240.0,7.0,96,"Lima, Ohio",2004,11,2004.0,2021.0,6.0,0.0,17.0,131.0,False
34.0,2.0,Reggie,Wayne,WR,Miami (FL),72.0,203.0,87.0,96,"New Orleans, Louisiana",2001,30,2001.0,2014.0,6.0,1.0,13.0,116.0,False
35.0,2.0,Clay,Matthews,MLB,USC,74.0,245.0,52.0,96,"Palo Alto, California",2009,26,2009.0,2019.0,6.0,1.0,10.0,77.0,False
36.0,2.0,Jahri,Evans,LT,Bloomsburg,76.0,318.0,73.0,95,"Philadelphia, Pennsylvania",2006,108,2006.0,2017.0,6.0,4.0,12.0,114.0,False
37.0,2.0,Marshawn,Lynch,HB,California,71.0,215.0,24.0,95,"Oakland, California",2007,12,2007.0,2019.0,5.0,1.0,8.0,74.0,False
38.0,2.0,Ryan,Clady,LT,Boise St.,78.0,315.0,78.0,95,"Long Beach, California",2008,12,2008.0,2016.0,4.0,2.0,7.0,65.0,False
39.0,2.0,Julian,Peterson,MLB,Michigan St.,75.0,240.0,98.0,95,"Hillcrest Heights, Maryland",2000,16,2000.0,2010.0,5.0,1.0,9.0,69.0,False
40.0,2.0,Marshal,Yanda,LT,Iowa,75.0,305.0,73.0,95,"Cedar Rapids, Iowa",2007,86,2007.0,2019.0,8.0,2.0,10.0,92.0,False
41.0,2.0,Justin,Smith,LE,Missouri,76.0,285.0,90.0,95,"Jefferson City, Missouri",2001,4,2001.0,2014.0,5.0,1.0,14.0,101.0,False
42.0,2.0,LeSean,McCoy,HB,Pittsburgh,71.0,210.0,25.0,95,"Harrisburg, Pennsylvania",2009,53,2009.0,2020.0,6.0,2.0,10.0,83.0,False
43.0,2.0,Aqib,Talib,CB,Kansas,73.0,209.0,21.0,95,"Cleveland, Ohio",2008,20,2008.0,2019.0,5.0,1.0,9.0,68.0,False
44.0,2.0,Vince,Wilfork,DT,Miami (FL),74.0,325.0,75.0,95,"Boynton Beach, Florida",2004,21,2004.0,2016.0,5.0,1.0,11.0,90.0,False
45.0,2.0,Alex,Mack,C,California,76.0,311.0,55.0,95,"Los Angeles, California",2009,21,2009.0,2021.0,7.0,0.0,12.0,86.0,False
46.0,2.0,Matt,Ryan,QB,Boston Col.,77.0,220.0,2.0,95,"Exton, Pennsylvania",2008,3,2008.0,2022.0,4.0,1.0,15.0,146.0,False
47.0,2.0,Calais,Campbell,LE,Miami (FL),80.0,315.0,93.0,95,"Denver, Colorado",2008,50,2008.0,2025.0,6.0,1.0,16.0,112.0,False
48.0,2.0,Chad,Johnson,WR,Oregon St.,73.0,192.0,85.0,95,"Miami, Florida",2001,36,2001.0,2011.0,6.0,2.0,9.0,85.0,False
49.0,2.0,Nnamdi,Asomugha,CB,California,74.0,210.0,21.0,94,"Lafayette, Louisiana",2003,31,2003.0,2013.0,3.0,2.0,8.0,64.0,False
50.0,2.0,Roddy,White,WR,Ala-Birmingham,73.0,211.0,84.0,94,"Charleston, South",2005,27,2005.0,2015.0,4.0,1.0,10.0,88.0,False
51.0,2.0,Thomas,Davis,MLB,Georgia,73.0,235.0,58.0,94,"Shellman, Georgia",2005,14,2005.0,2020.0,3.0,1.0,12.0,80.0,False
52.0,2.0,Derrick,Johnson,MLB,Texas,75.0,245.0,56.0,94,"Waco, Texas",2005,15,2005.0,2018.0,4.0,1.0,11.0,80.0,False
53.0,2.0,Joe,Staley,LT,Central Michigan,77.0,295.0,74.0,94,"Rockford, Michigan",2007,28,2007.0,2019.0,6.0,0.0,12.0,81.0,False
54.0,2.0,Andrew,Whitworth,LT,LSU,79.0,330.0,77.0,94,"Monroe, Louisiana",2006,55,2006.0,2021.0,4.0,2.0,16.0,100.0,False
55.0,2.0,Mario,Williams,LE,North Carolina St.,78.0,300.0,90.0,94,"Richlands, North",2006,1,2006.0,2016.0,4.0,1.0,9.0,79.0,False
56.0,2.0,Ryan,Kalil,C,USC,74.0,300.0,67.0,94,"Tucson, Arizona",2007,59,2007.0,2019.0,5.0,2.0,9.0,72.0,False
57.0,2.0,Michael,Vick,QB,Virginia Tech,72.0,210.0,7.0,93,"Newport News, Virginia",2001,1,2001.0,2015.0,4.0,0.0,7.0,92.0,False
58.0,2.0,Casey,Hampton,DT,Texas,73.0,325.0,98.0,93,"Galveston, Texas",2001,19,2001.0,2012.0,5.0,0.0,11.0,73.0,False
59.0,2.0,Tamba,Hali,LE,Penn St.,75.0,275.0,91.0,93,"Gbarnga, Liberia",2006,20,2006.0,2017.0,5.0,0.0,10.0,75.0,False
60.0,2.0,Antonio,Cromartie,CB,Florida St.,74.0,210.0,31.0,93,"Tallahassee, Florida",2006,19,2006.0,2016.0,4.0,1.0,8.0,66.0,False
61.0,2.0,Steve Smith,Sr.,WR,Utah,,,,93,,2001,74,2001.0,2016.0,5.0,2.0,14.0,102.0,False
62.0,2.0,Eli,Manning,QB,Mississippi,77.0,218.0,10.0,93,"New Orleans, Louisiana",2004,1,2004.0,2019.0,4.0,0.0,14.0,121.0,False
63.0,2.0,Jordan,Gross,LT,Utah,76.0,305.0,69.0,93,"Nampa, Idaho",2003,8,2003.0,2013.0,3.0,1.0,11.0,69.0,False
64.0,2.0,Chris,Samuels,LT,Alabama,77.0,314.0,60.0,93,"Mobile, Alabama",2000,3,2000.0,2009.0,6.0,0.0,9.0,63.0,False
65.0,3.0,Roy,Williams,CB,Oklahoma,72.0,222.0,11.0,93,"Redwood City, California",2002,8,2002.0,2010.0,5.0,1.0,7.0,59.0,False
66.0,3.0,Chris,Johnson,HB,East Carolina,73.0,200.0,37.0,92,"Gladewater, Texas",2008,24,2008.0,2017.0,3.0,1.0,7.0,70.0,False
67.0,3.0,Kris,Jenkins,DT,Maryland,77.0,360.0,77.0,92,"Ypsilanti, Michigan",2001,44,2001.0,2010.0,4.0,2.0,6.0,68.0,False
68.0,3.0,Alex,Smith,QB,Utah,76.0,215.0,11.0,92,"Bremerton, Washington",2005,1,2005.0,2020.0,3.0,0.0,14.0,98.0,False
69.0,3.0,Lance,Briggs,MLB,Arizona,73.0,244.0,55.0,92,"Los Angeles, California",2003,68,2003.0,2014.0,7.0,1.0,12.0,98.0,False
70.0,3.0,Carson,Palmer,QB,USC,77.0,235.0,9.0,92,"Fresno, California",2003,1,2003.0,2017.0,3.0,0.0,12.0,107.0,False
71.0,3.0,Shaun,Alexander,HB,Alabama,71.0,228.0,37.0,92,"Florence, Kentucky",2000,19,2000.0,2008.0,3.0,1.0,7.0,68.0,False
72.0,3.0,DeAngelo,Hall,CB,Virginia Tech,70.0,200.0,23.0,91,"Chesapeake, Virginia",2004,8,2004.0,2017.0,3.0,0.0,10.0,61.0,False
73.0,3.0,Keith,Bulluck,MLB,Syracuse,75.0,235.0,53.0,91,"Suffern, New",2000,30,2000.0,2010.0,1.0,1.0,9.0,74.0,False
74.0,3.0,Jake,Long,LT,Michigan,79.0,322.0,77.0,91,"Lapeer, Michigan",2008,1,2008.0,2016.0,4.0,1.0,6.0,54.0,False
75.0,3.0,Albert,Haynesworth,DT,Tennessee,78.0,350.0,92.0,91,"Hartsville, South",2002,15,2002.0,2011.0,2.0,2.0,7.0,55.0,False
76.0,3.0,Leonard,Davis,LT,Texas,78.0,355.0,75.0,91,"Wortham, Texas",2001,2,2001.0,2012.0,3.0,0.0,10.0,66.0,False
77.0,3.0,Matthew,Stafford,QB,Georgia,75.0,214.0,9.0,91,"Tampa, Florida",2009,1,2009.0,2025.0,2.0,0.0,15.0,126.0,False
78.0,3.0,Johnathan,Joseph,CB,South Carolina,71.0,186.0,24.0,91,"Rock Hill, South",2006,24,2006.0,2020.0,2.0,0.0,15.0,67.0,False
79.0,3.0,Steven,Jackson,HB,Oregon St.,74.0,240.0,39.0,91,"Las Vegas, Nevada",2004,24,2004.0,2015.0,3.0,0.0,10.0,75.0,False
80.0,3.0,Malcolm,Jenkins,CB,Ohio St.,72.0,204.0,27.0,91,"East Orange, New",2009,14,2009.0,2021.0,3.0,0.0,12.0,68.0,False
81.0,3.0,Terence,Newman,CB,Kansas St.,70.0,197.0,41.0,91,"Salina, Kansas",2003,5,2003.0,2017.0,2.0,0.0,15.0,70.0,False
82.0,3.0,Shaun,Ellis,LE,Tennessee,77.0,290.0,92.0,90,"Anderson, South",2000,12,2000.0,2011.0,2.0,0.0,11.0,70.0,False
83.0,3.0,Joe,Flacco,QB,Delaware,78.0,245.0,5.0,90,"Voorhees Township, New",2008,18,2008.0,2025.0,0.0,0.0,12.0,96.0,False
84.0,3.0,Greg,Olsen,TE,Miami (FL),77.0,255.0,88.0,90,"Paterson, New",2007,31,2007.0,2020.0,3.0,0.0,11.0,60.0,False
85.0,3.0,Jon,Beason,MLB,Miami (FL),72.0,232.0,52.0,90,"Miramar, Florida",2007,25,2007.0,2015.0,3.0,1.0,5.0,55.0,False
86.0,3.0,Jamaal,Charles,HB,Texas,71.0,199.0,25.0,90,"Port Arthur, Texas",2008,73,2008.0,2018.0,4.0,2.0,4.0,66.0,False
87.0,3.0,Marcus,Stroud,DT,Georgia,78.0,310.0,99.0,90,"Thomasville, Georgia",2001,13,2001.0,2010.0,3.0,0.0,9.0,67.0,False
88.0,3.0,Andre,Gurode,LG,Colorado,76.0,320.0,65.0,90,"Houston, Texas",2002,37,2002.0,2013.0,5.0,0.0,8.0,65.0,False
89.0,3.0,Chris,Snee,LG,Boston Col.,75.0,305.0,76.0,90,"Edison, New",2004,34,2004.0,2013.0,4.0,1.0,9.0,75.0,False
90.0,3.0,Adrian,Wilson,CB,North Carolina St.,75.0,230.0,24.0,90,"High Point, North",2001,64,2001.0,2012.0,5.0,1.0,11.0,68.0,False
91.0,3.0,Jeremy,Shockey,TE,Miami (FL),77.0,251.0,80.0,90,"Ada, Oklahoma",2002,14,2002.0,2011.0,4.0,1.0,10.0,48.0,False
92.0,3.0,Jamal,Lewis,HB,Tennessee,71.0,245.0,31.0,90,"Atlanta, Georgia",2000,5,2000.0,2009.0,1.0,1.0,9.0,69.0,False
93.0,3.0,Brian,Orakpo,MLB,Texas,76.0,257.0,98.0,90,"Houston, Texas",2009,13,2009.0,2018.0,4.0,0.0,8.0,58.0,False
94.0,3.0,Matt,Light,LT,Purdue,77.0,305.0,72.0,90,"Greenville, Ohio",2001,48,2001.0,2011.0,3.0,1.0,10.0,89.0,False
95.0,3.0,Elvis,Dumervil,LE,Louisville,71.0,250.0,92.0,89,"Miami, Florida",2006,126,2006.0,2017.0,5.0,2.0,6.0,63.0,False
96.0,3.0,Chad,Greenway,MLB,Iowa,75.0,237.0,52.0,89,"Mount Vernon, South",2006,17,2006.0,2016.0,2.0,0.0,10.0,66.0,False
97.0,4.0,D'Brickashaw,Ferguson,LT,Virginia,78.0,310.0,60.0,89,"New York City, New",2006,4,2006.0,2015.0,3.0,0.0,10.0,58.0,False
98.0,4.0,Max,Unger,C,Oregon,77.0,305.0,60.0,89,"Kona, Hawaii",2009,49,2009.0,2018.0,3.0,1.0,9.0,69.0,False
99.0,4.0,Jonathan,Vilma,MLB,Miami (FL),73.0,230.0,51.0,89,"New York City, U",2004,12,2004.0,2013.0,3.0,0.0,8.0,56.0,False
100.0,4.0,Santana,Moss,WR,Miami (FL),70.0,193.0,89.0,89,"Miami, Florida",2001,16,2001.0,2014.0,1.0,0.0,9.0,72.0,False
101.0,4.0,Adam,Jones,CB,West Virginia,70.0,185.0,24.0,89,"Atlanta, Georgia",2005,6,2005.0,2018.0,1.0,1.0,6.0,50.0,False
102.0,4.0,Maurice,Jones-Drew,HB,UCLA,67.0,210.0,32.0,89,"Oakland, California",2006,60,2006.0,2014.0,3.0,1.0,4.0,74.0,False
103.0,4.0,Charles,Tillman,CB,Louisiana,74.0,210.0,33.0,89,"Chicago, Illinois",2003,35,2003.0,2015.0,2.0,1.0,11.0,66.0,False
104.0,4.0,Lawrence,Timmons,MLB,Florida St.,73.0,242.0,94.0,89,"Florence, South",2007,15,2007.0,2017.0,1.0,0.0,9.0,72.0,False
105.0,4.0,Frank,Gore,HB,Miami (FL),69.0,212.0,21.0,89,"Miami, Florida",2005,65,2005.0,2020.0,5.0,0.0,14.0,94.0,False
106.0,4.0,Jay,Cutler,QB,Vanderbilt,75.0,231.0,6.0,89,"Santa Claus, Indiana",2006,11,2006.0,2017.0,1.0,0.0,10.0,86.0,False
107.0,4.0,Reggie,Nelson,CB,Florida,75.0,321.0,20.0,89,"Alexandria, Louisiana",2007,21,2007.0,2018.0,2.0,0.0,11.0,63.0,False
108.0,4.0,Brandon,Marshall,WR,Central Florida,77.0,232.0,15.0,89,"Pittsburgh, Pennsylvania",2006,119,2006.0,2018.0,6.0,1.0,10.0,83.0,False
109.0,4.0,DeSean,Jackson,WR,California,70.0,175.0,10.0,89,"Los Angeles, California",2008,49,2008.0,2022.0,3.0,0.0,11.0,75.0,False
110.0,4.0,John,Henderson,DT,Tennessee,79.0,335.0,98.0,89,"Nashville, Tennessee",2002,9,2002.0,2011.0,2.0,0.0,8.0,64.0,False
111.0,4.0,Antrel,Rolle,CB,Miami (FL),72.0,206.0,26.0,89,"Homestead, Florida",2005,8,2005.0,2015.0,3.0,0.0,9.0,57.0,False
112.0,4.0,Larry,Johnson,HB,Penn St.,73.0,235.0,27.0,89,"State College, Pennsylvania",2003,27,2003.0,2011.0,2.0,1.0,4.0,51.0,False
113.0,4.0,Jammal,Brown,LT,Oklahoma,78.0,317.0,70.0,88,"Waxahachie, Texas",2005,13,2005.0,2011.0,2.0,1.0,6.0,49.0,False
114.0,4.0,Rashean,Mathis,CB,Bethune-Cookman,73.0,195.0,27.0,88,"Nashville, Georgia",2003,39,2003.0,2015.0,1.0,1.0,11.0,64.0,False
115.0,4.0,Dallas,Clark,TE,Iowa,75.0,252.0,44.0,88,"Sioux Falls, South",2003,24,2003.0,2013.0,1.0,1.0,9.0,51.0,False
116.0,4.0,Lito,Sheppard,CB,Florida,70.0,194.0,26.0,88,"Jacksonville, Florida",2002,26,2002.0,2011.0,2.0,1.0,7.0,48.0,False
117.0,4.0,Willis,McGahee,HB,Miami (FL),72.0,235.0,23.0,88,"Miami, Florida",2003,23,2003.0,2013.0,2.0,0.0,7.0,56.0,False
118.0,4.0,Shawne,Merriman,MLB,Maryland,76.0,261.0,56.0,88,"Washington, D",2005,12,2005.0,2012.0,3.0,1.0,4.0,40.0,False
119.0,4.0,Thomas,Jones,HB,Virginia,70.0,212.0,20.0,88,"Big Stone Gap, Virginia",2000,7,2000.0,2011.0,1.0,0.0,9.0,62.0,False
120.0,4.0,Plaxico,Burress,WR,Michigan St.,77.0,232.0,80.0,88,"Norfolk, Virginia",2000,8,2000.0,2012.0,0.0,0.0,10.0,70.0,False
121.0,4.0,Bryant,McKinnie,LT,Miami (FL),80.0,352.0,74.0,88,"Woodbury, New",2002,7,2002.0,2013.0,1.0,0.0,11.0,64.0,False
122.0,4.0,Osi,Umenyiora,LE,Troy,75.0,255.0,72.0,88,"London, England",2003,56,2003.0,2014.0,2.0,1.0,6.0,63.0,False
123.0,4.0,Andre,Carter,LE,California,76.0,260.0,96.0,88,"Denver, Colorado",2001,7,2001.0,2013.0,1.0,0.0,10.0,59.0,False
124.0,4.0,Anquan,Boldin,WR,Florida St.,73.0,220.0,81.0,88,"Pahokee, Florida",2003,54,2003.0,2016.0,3.0,0.0,14.0,86.0,False
125.0,4.0,Vincent,Jackson,WR,Northern Colorado,77.0,230.0,83.0,88,"Colorado Springs, Colorado",2005,61,2005.0,2016.0,3.0,0.0,8.0,77.0,False
126.0,4.0,Nate,Clements,CB,Ohio St.,72.0,205.0,22.0,88,"Shaker Heights, Ohio",2001,21,2001.0,2012.0,1.0,0.0,11.0,61.0,False
127.0,4.0,Robert,Mathis,LE,Alabama A&M,74.0,245.0,98.0,88,"Atlanta, Georgia",2003,138,2003.0,2016.0,5.0,1.0,9.0,67.0,False
128.0,4.0,DeAngelo,Williams,HB,Memphis,69.0,207.0,34.0,88,"Little Rock, Arkansas",2006,27,2006.0,2016.0,1.0,0.0,6.0,61.0,False
129.0,5.0,Jerod,Mayo,MLB,Tennessee,73.0,250.0,51.0,88,"Hampton, Virginia",2008,10,2008.0,2015.0,2.0,1.0,7.0,51.0,False
130.0,5.0,Dominique,Rodgers-Cromartie,CB,Tennessee St.,74.0,205.0,45.0,88,"Bradenton, Florida",2008,16,2008.0,2019.0,2.0,0.0,7.0,53.0,False
131.0,5.0,Vernon,Davis,TE,Maryland,75.0,248.0,85.0,88,"Washington, D",2006,6,2006.0,2019.0,2.0,0.0,11.0,51.0,False
132.0,5.0,Tommie,Harris,DT,Oklahoma,75.0,295.0,91.0,88,"Nuremberg, Germany",2004,14,2004.0,2011.0,3.0,0.0,6.0,56.0,False
133.0,5.0,Deuce,McAllister,HB,Mississippi,73.0,232.0,26.0,87,"Lena, Mississippi",2001,23,2001.0,2008.0,2.0,0.0,4.0,55.0,False
134.0,5.0,Nick,Barnett,MLB,Oregon St.,74.0,228.0,56.0,87,"Fontana, California",2003,29,2003.0,2013.0,0.0,0.0,9.0,60.0,False
135.0,5.0,Asante,Samuel,CB,Central Florida,71.0,185.0,22.0,87,"Accra, Ghana",2003,120,2003.0,2013.0,4.0,1.0,9.0,74.0,False
136.0,5.0,Shaun,Rogers,DT,Texas,76.0,350.0,92.0,87,"Houston, Texas",2001,61,2001.0,2013.0,3.0,0.0,8.0,57.0,False
137.0,5.0,Jeff,Backus,LT,Michigan,77.0,305.0,76.0,87,"Midland, Michigan",2001,18,2001.0,2012.0,0.0,0.0,12.0,61.0,False
138.0,5.0,Ryan,Pickett,DT,Ohio St.,74.0,340.0,79.0,87,"Zephyrhills, Florida",2001,29,2001.0,2014.0,0.0,0.0,13.0,58.0,False
139.0,5.0,Sebastian,Janikowski,K,Florida St.,73.0,260.0,11.0,87,,2000,17,2000.0,2018.0,1.0,0.0,0.0,41.0,False
140.0,5.0,Chad,Clifton,LT,Tennessee,77.0,320.0,76.0,87,"Martin, Tennessee",2000,44,2000.0,2011.0,2.0,0.0,10.0,72.0,False
141.0,5.0,A.J.,Hawk,MLB,Ohio St.,,,50.0,87,,2006,5,2006.0,2016.0,1.0,0.0,10.0,55.0,False
142.0,5.0,Ben,Grubbs,LG,Auburn,75.0,310.0,66.0,87,"Columbus, Georgia",2007,29,2007.0,2015.0,2.0,0.0,9.0,56.0,False
143.0,5.0,Jason,Babin,MLB,Western Michigan,75.0,267.0,93.0,87,"Kalamazoo, Michigan",2004,27,2004.0,2015.0,2.0,0.0,5.0,46.0,False
144.0,5.0,Donte,Whitner,CB,Ohio St.,70.0,208.0,20.0,87,"Cleveland, Ohio",2006,8,2006.0,2016.0,2.0,0.0,10.0,47.0,False
145.0,5.0,Kyle Vanden,Bosch,LE,Nebraska,,,93.0,87,,2001,34,2001.0,2012.0,3.0,0.0,9.0,58.0,False
146.0,5.0,Kyle,Williams,DT,LSU,73.0,303.0,95.0,87,"Ruston, Louisiana",2006,134,2006.0,2018.0,6.0,0.0,11.0,79.0,False
147.0,5.0,Michael,Griffin,CB,Texas,72.0,215.0,33.0,87,"Austin, Texas",2007,19,2007.0,2016.0,2.0,0.0,9.0,55.0,False
148.0,5.0,Reggie,Bush,HB,USC,72.0,205.0,25.0,87,"Spring Valley, California",2006,2,2006.0,2016.0,0.0,0.0,8.0,61.0,False
149.0,5.0,Richie,Incognito,LG,Oregon,76.0,322.0,68.0,87,"Englewood, New",2005,81,2005.0,2020.0,4.0,0.0,10.0,62.0,False
150.0,5.0,Michael,Roos,LT,Eastern Washington,79.0,313.0,71.0,87,"Taebla, Estonia",2005,41,2005.0,2014.0,1.0,1.0,9.0,63.0,False
151.0,5.0,Calvin,Pace,LE,Wake Forest,76.0,265.0,97.0,87,"Detroit, Michigan",2003,18,2003.0,2015.0,0.0,0.0,10.0,61.0,False
152.0,5.0,Ted Ginn,Jr.,WR,Ohio St.,,,,86,,2007,9,2007.0,2020.0,0.0,0.0,7.0,52.0,False
153.0,5.0,Todd,Heap,TE,Arizona St.,77.0,252.0,86.0,86,"Mesa, Arizona",2001,31,2001.0,2012.0,2.0,0.0,8.0,43.0,False
154.0,5.0,Marcedes,Lewis,TE,UCLA,78.0,267.0,89.0,86,"Los Alamitos, California",2006,28,2006.0,2024.0,1.0,0.0,15.0,35.0,False
155.0,5.0,Heath,Miller,TE,Virginia,77.0,256.0,83.0,86,"Richlands, Virginia",2005,30,2005.0,2015.0,2.0,0.0,11.0,45.0,False
156.0,5.0,Matthew,Slater,WR,UCLA,72.0,205.0,18.0,86,"Long Beach, California",2008,153,2008.0,2023.0,10.0,2.0,0.0,0.0,False
157.0,5.0,Greg,Jennings,WR,Western Michigan,71.0,197.0,85.0,86,"Kalamazoo, Michigan",2006,52,2006.0,2015.0,2.0,0.0,8.0,66.0,False
158.0,5.0,Jonathan,Stewart,HB,Oregon,70.0,245.0,28.0,86,"Fort Lewis, Washington",2008,13,2008.0,2018.0,1.0,0.0,5.0,48.0,False
159.0,5.0,Shawn,Andrews,LG,Arkansas,76.0,335.0,73.0,86,"Camden, Arkansas",2004,16,2004.0,2010.0,2.0,1.0,3.0,35.0,False
160.0,5.0,Marcus,Trufant,CB,Washington St.,71.0,197.0,23.0,86,"Tacoma, Washington",2003,11,2003.0,2012.0,1.0,0.0,8.0,49.0,False
161.0,6.0,Clinton,Portis,HB,Miami (FL),71.0,219.0,26.0,86,"Laurel, Mississippi",2002,51,2002.0,2010.0,2.0,0.0,7.0,72.0,False
162.0,6.0,Brian,Westbrook,HB,Villanova,70.0,203.0,36.0,86,"Fort Washington, Maryland",2002,91,2002.0,2010.0,2.0,1.0,7.0,69.0,False
163.0,6.0,Matt,Schaub,QB,Virginia,78.0,245.0,8.0,86,"Pittsburgh, Pennsylvania",2004,90,2004.0,2020.0,2.0,0.0,7.0,68.0,False
164.0,6.0,Vontae,Davis,CB,Illinois,71.0,207.0,21.0,86,"Washington, D",2009,25,2009.0,2018.0,2.0,0.0,8.0,45.0,False
