Pick,Round,First Name,Last Name,Position,College,Height,Weight,Jersey,Draft Grade,Home State,Recruiting Stars,Recruiting Rating,National Ranking,Class Year,Freshman Year
19.0,1.0,Lance,Jackson,EDGE,Texas,77.0,260.0,,80,TX,5.0,0.9875,21.0,1,2025.0
20.0,1.0,Talyn,Taylor,WR,Georgia,73.0,173.0,,80,IL,5.0,0.9877,20.0,1,2025.0
21.0,1.0,Amare,Adams,DL,Clemson,76.0,315.0,,80,SC,5.0,0.9874,22.0,1,2025.0
22.0,1.0,Quincy,Porter,WR,Ohio State,75.0,200.0,,80,NJ,5.0,0.9873,23.0,1,2025.0
23.0,1.0,Deuce,Knight,QB,Auburn,76.0,206.0,,80,MS,5.0,0.9862,28.0,1,2025.0
24.0,1.0,Will,Black,OT,Notre Dame,79.0,295.0,,80,CT,5.0,0.9867,26.0,1,2025.0
25.0,1.0,Elyiss,Williams,TE,Georgia,79.0,235.0,,80,GA,5.0,0.9854,29.0,1,2025.0
26.0,1.0,Caleb,Cunningham,WR,Ole Miss,73.0,190.0,,80,MS,5.0,0.984,32.0,1,2025.0
27.0,1.0,Trey,McNutt,S,Oregon,72.0,180.0,,79,OH,5.0,0.9843,31.0,1,2025.0
28.0,1.0,Vernell,Brown III,WR,Florida,71.0,170.0,,79,FL,5.0,0.9852,30.0,1,2025.0
29.0,1.0,Michael,Carroll,IOL,Alabama,78.0,315.0,,78,FL,5.0,0.9909,17.0,1,2025.0
30.0,1.0,Zayden,Walker,LB,Georgia,73.0,225.0,,78,GA,5.0,0.9871,24.0,1,2025.0
31.0,1.0,Lamont,Rogers,OT,Texas A&M,78.0,325.0,,78,TX,4.0,0.9815,38.0,1,2025.0
32.0,1.0,Kade,Phillips,CB,Texas,72.0,185.0,,78,TX,5.0,0.9864,27.0,1,2025.0
33.0,2.0,Ty,Haywood,OT,Michigan,77.0,285.0,,77,TX,4.0,0.9807,39.0,1,2025.0
34.0,2.0,Harlem,Berry,RB,LSU,71.0,175.0,,77,LA,5.0,0.9919,15.0,1,2025.0
35.0,2.0,Isaiah,Campbell,DL,Tennessee,76.0,280.0,,76,NC,4.0,0.9832,33.0,1,2025.0
36.0,2.0,Bryce,Baker,QB,North Carolina,74.0,195.0,,76,NC,4.0,0.9549,86.0,1,2025.0
37.0,2.0,Jahkeem,Stewart,DL,USC,78.0,270.0,,76,LA,4.0,0.9829,34.0,1,2025.0
38.0,2.0,Jared,Smith,EDGE,Auburn,78.0,235.0,,75,AL,4.0,0.9779,47.0,1,2025.0
39.0,2.0,Tramell,Jones Jr.,QB,Florida,72.0,196.0,,75,FL,4.0,0.9146,245.0,1,2025.0
40.0,2.0,Malik,Washington,QB,Maryland,76.0,215.0,,75,MD,4.0,0.9503,99.0,1,2025.0
41.0,2.0,Akili,Smith Jr.,QB,Oregon,77.0,200.0,,74,CA,4.0,0.9264,190.0,1,2025.0
42.0,2.0,Ryan,Montgomery,QB,Georgia,75.0,215.0,,74,OH,4.0,0.9408,132.0,1,2025.0
43.0,2.0,Kevin,Sperry,QB,Florida State,73.0,200.0,,74,TX,4.0,0.8939,420.0,1,2025.0
44.0,2.0,Bear,Bachmeier,QB,Stanford,73.0,225.0,,74,CA,4.0,0.8933,424.0,1,2025.0
45.0,2.0,Blake,Hebert,QB,Notre Dame,75.0,215.0,,74,CT,4.0,0.8968,385.0,1,2025.0
46.0,2.0,Carter,Smith,QB,Wisconsin,74.0,185.0,,74,FL,4.0,0.9073,286.0,1,2025.0
47.0,2.0,George,MacIntyre,QB,Tennessee,77.0,190.0,,74,TN,4.0,0.9355,151.0,1,2025.0
48.0,2.0,Herbert,Scroggins III,EDGE,Miami,74.0,235.0,,74,GA,4.0,0.9166,238.0,1,2025.0
49.0,2.0,Bryce,Davis,EDGE,Duke,75.0,260.0,,74,NC,4.0,0.9636,73.0,1,2025.0
50.0,2.0,Daniel,Jennings,EDGE,Penn State,74.0,220.0,,74,WV,4.0,0.8956,396.0,1,2025.0
51.0,2.0,Adonyss,Currie,CB,Texas A&M,73.0,170.0,,74,CA,4.0,0.9601,78.0,1,2025.0
52.0,2.0,Justin,Hill,EDGE,Alabama,75.0,220.0,,74,OH,4.0,0.9691,60.0,1,2025.0
53.0,2.0,Nathaniel,Marshall,EDGE,Michigan,76.0,265.0,,74,IL,4.0,0.9791,43.0,1,2025.0
54.0,2.0,Dallas,Wilson,WR,Florida,75.0,195.0,,74,FL,4.0,0.9827,35.0,1,2025.0
55.0,2.0,Iose,Epenesa,DL,Iowa,76.0,270.0,,74,IL,4.0,0.9822,36.0,1,2025.0
56.0,2.0,Julian,Lewis,QB,Colorado,72.0,185.0,,74,GA,4.0,0.9762,50.0,1,2025.0
57.0,2.0,Lloyd,Jones III,QB,Texas Tech,74.0,210.0,,74,TX,4.0,0.8911,462.0,1,2025.0
58.0,2.0,Kilian,Registe,OT,TCU,77.0,300.0,,74,TX,4.0,0.8915,460.0,1,2025.0
59.0,2.0,Tyler,Williams,WR,Georgia,73.0,205.0,,73,FL,4.0,0.8917,454.0,1,2025.0
60.0,2.0,Malik,Autry,DL,Auburn,77.0,330.0,,73,AL,4.0,0.9775,48.0,1,2025.0
61.0,2.0,Quentin,Gibson,WR,Colorado,69.0,156.0,,73,TX,4.0,0.9053,299.0,1,2025.0
62.0,2.0,Brady,Hart,QB,Texas A&M,76.0,180.0,,73,FL,4.0,0.9254,195.0,1,2025.0
63.0,2.0,Jackson,Lloyd,OT,Alabama,79.0,290.0,,73,CA,4.0,0.9784,45.0,1,2025.0
64.0,2.0,AJ,Hill,QB,Memphis,76.0,220.0,,73,GA,4.0,0.9272,187.0,1,2025.0
65.0,3.0,Cooper,Perry,WR,Oregon,73.0,185.0,,73,AZ,4.0,0.9329,159.0,1,2025.0
66.0,3.0,Zac,Stascausky,OT,Oregon,78.0,275.0,,73,OR,4.0,0.931,167.0,1,2025.0
67.0,3.0,Karle,Lacey Jr.,QB,Texas,72.0,175.0,,73,AL,4.0,0.9336,156.0,1,2025.0
68.0,3.0,Tyler,Miller,OT,LSU,77.0,315.0,,73,MS,4.0,0.9262,191.0,1,2025.0
69.0,3.0,Joshua,Moore,WR,Miami,76.0,205.0,,73,FL,4.0,0.9435,125.0,1,2025.0
70.0,3.0,Carde,Smith,OT,Colorado,77.0,293.0,,73,AL,4.0,0.9402,134.0,1,2025.0
71.0,3.0,Carter,Lowe,OT,Ohio State,77.0,325.0,,73,OH,4.0,0.9633,74.0,1,2025.0
72.0,3.0,Jaron-Keawe,Sagapolutele,QB,Oregon,74.0,217.0,,73,HI,4.0,0.9662,67.0,1,2025.0
73.0,3.0,Dorian,Brew,CB,Oregon,72.0,200.0,,73,TX,4.0,0.9674,64.0,1,2025.0
74.0,3.0,Josh,Petty,OT,Georgia Tech,77.0,265.0,,73,GA,4.0,0.9638,72.0,1,2025.0
75.0,3.0,Ben,Hanks III,CB,Florida,73.0,170.0,,73,FL,4.0,0.9695,59.0,1,2025.0
76.0,3.0,J'Vari,Flowers,CB,Florida,70.0,165.0,,73,FL,4.0,0.9568,82.0,1,2025.0
77.0,3.0,Courtland,Guillory,CB,Oklahoma,72.0,175.0,,73,TX,4.0,0.8958,390.0,1,2025.0
78.0,3.0,Tristian,Gentry,WR,Texas Tech,71.0,165.0,,73,TX,4.0,0.8983,365.0,1,2025.0
79.0,3.0,Cedric,Works,EDGE,Kentucky,76.0,220.0,,73,KY,4.0,0.9,347.0,1,2025.0
80.0,3.0,DJ,Sanders,DL,Texas A&M,76.0,290.0,,73,TX,4.0,0.9504,98.0,1,2025.0
81.0,3.0,Landon,Roldan,WR,Georgia,72.0,180.0,,73,GA,4.0,0.9049,305.0,1,2025.0
82.0,3.0,Jahmir,Joseph,CB,Penn State,72.0,185.0,,73,NJ,4.0,0.914,248.0,1,2025.0
83.0,3.0,Damola,Ajidahun,OT,South Carolina,78.0,280.0,,73,GA,4.0,0.9125,256.0,1,2025.0
84.0,3.0,Adrian,Wilson,WR,Colorado,72.0,170.0,,73,TX,4.0,0.9048,307.0,1,2025.0
85.0,3.0,Blake,Woodby,CB,Auburn,70.0,175.0,,73,MD,4.0,0.9452,116.0,1,2025.0
86.0,3.0,Ryan,Fodje,OT,Oklahoma,77.0,300.0,,73,TX,4.0,0.9458,114.0,1,2025.0
87.0,3.0,Matt,Zollers,QB,Missouri,75.0,205.0,,73,PA,4.0,0.9527,93.0,1,2025.0
88.0,3.0,Malik,Clark,WR,South Carolina,74.0,183.0,,73,SC,4.0,0.948,106.0,1,2025.0
89.0,3.0,Manny,Choice,WR,Oklahoma,76.0,195.0,,73,TX,4.0,0.9027,318.0,1,2025.0
90.0,3.0,Darryll,Desir,EDGE,Florida State,76.0,240.0,,73,FL,4.0,0.8959,389.0,1,2025.0
91.0,3.0,Zion,Grady,EDGE,Ohio State,76.0,235.0,,73,AL,4.0,0.958,81.0,1,2025.0
92.0,3.0,Mariyon,Dye,DL,Tennessee,77.0,270.0,,73,IN,4.0,0.9605,77.0,1,2025.0
93.0,3.0,Javion,Hilson,EDGE,Missouri,75.0,235.0,,73,FL,4.0,0.9784,46.0,1,2025.0
94.0,3.0,TJ,Dice Jr.,OT,Florida,76.0,295.0,,73,GA,4.0,0.9169,235.0,1,2025.0
95.0,3.0,Linkon,Cure,TE,Kansas State,77.0,223.0,,73,KS,4.0,0.9816,37.0,1,2025.0
96.0,3.0,Jackson,Kollock,QB,Minnesota,75.0,215.0,,73,CA,4.0,0.8917,454.0,1,2025.0
97.0,4.0,Elijah,Burress,WR,Notre Dame,73.0,170.0,,72,NJ,4.0,0.8929,431.0,1,2025.0
98.0,4.0,Daylyn,Upshaw,WR,Miami,71.0,180.0,,72,AL,4.0,0.8903,473.0,1,2025.0
99.0,4.0,Ty,Hawkins,QB,SMU,72.0,195.0,,72,FL,4.0,0.9091,277.0,1,2025.0
100.0,4.0,Kamauryn,Morgan,EDGE,Baylor,76.0,230.0,,72,TX,4.0,0.9048,306.0,1,2025.0
101.0,4.0,Jamar,Beal-Goines,CB,Texas A&M,72.0,170.0,,72,AZ,4.0,0.9475,107.0,1,2025.0
102.0,4.0,Kamario,Taylor,QB,Mississippi State,75.0,205.0,,72,MS,4.0,0.9444,119.0,1,2025.0
103.0,4.0,Andrew,Marsh,WR,Michigan,73.0,175.0,,72,TX,4.0,0.9448,117.0,1,2025.0
104.0,4.0,Isaiah,Mozee,WR,Nebraska,73.0,185.0,,72,MO,4.0,0.9026,319.0,1,2025.0
105.0,4.0,Zaydrius,Rainey-Sale,LB,Washington,74.0,220.0,,72,WA,4.0,0.95,100.0,1,2025.0
106.0,4.0,Daryus,Dixson,CB,Penn State,72.0,180.0,,72,CA,4.0,0.9466,112.0,1,2025.0
107.0,4.0,Daylan,McCutcheon,WR,Texas,71.0,175.0,,72,TX,4.0,0.9488,103.0,1,2025.0
108.0,4.0,Je'rel,Bolder,WR,NC State,72.0,192.0,,72,NC,4.0,0.9091,278.0,1,2025.0
109.0,4.0,CJ,Bass III,CB,Missouri,73.0,190.0,,72,IL,4.0,0.9008,334.0,1,2025.0
110.0,4.0,Yvan,Kemajou,DL,Penn State,75.0,230.0,,72,MD,4.0,0.9031,315.0,1,2025.0
111.0,4.0,Maxwell,Roy,DL,Ohio State,75.0,285.0,,72,PA,4.0,0.8994,356.0,1,2025.0
112.0,4.0,Dramodd,Odoms,OT,SMU,78.0,300.0,,72,TX,4.0,0.9591,80.0,1,2025.0
113.0,4.0,Elijah,Barnes,LB,Texas,73.0,220.0,,72,TX,4.0,0.9661,68.0,1,2025.0
114.0,4.0,Mason,Alexander,CB,Pittsburgh,72.0,180.0,,72,IN,4.0,0.8935,422.0,1,2025.0
115.0,4.0,Alex,Graham,CB,USC,73.0,186.0,,72,MI,4.0,0.8942,417.0,1,2025.0
116.0,4.0,Julius,Holly,EDGE,Michigan,75.0,230.0,,72,GA,4.0,0.895,403.0,1,2025.0
117.0,4.0,Michael,Thomas III,WR,Rutgers,71.0,200.0,,72,NJ,4.0,0.8973,378.0,1,2025.0
118.0,4.0,Demetris,Dean II,OT,Houston,76.0,280.0,,72,TX,4.0,0.8953,401.0,1,2025.0
119.0,4.0,Daylon,Singleton,WR,SMU,70.0,165.0,,72,TX,4.0,0.9003,346.0,1,2025.0
120.0,4.0,Onis,Konanbanny,CB,Florida,73.0,180.0,,72,SC,4.0,0.8991,359.0,1,2025.0
121.0,4.0,Marcus,Harris,WR,Washington,72.0,185.0,,72,CA,4.0,0.8996,353.0,1,2025.0
122.0,4.0,Zae,Thomas,CB,Florida State,74.0,190.0,,72,FL,4.0,0.9005,341.0,1,2025.0
123.0,4.0,Corey,Simms,WR,USC,75.0,205.0,,72,MO,4.0,0.9012,331.0,1,2025.0
124.0,4.0,Kainoa,Winston,S,Michigan,70.0,185.0,,72,DC,4.0,0.9508,96.0,1,2025.0
125.0,4.0,Epi,Sitanilei,EDGE,Ohio State,77.0,220.0,,72,CA,4.0,0.9131,253.0,1,2025.0
126.0,4.0,Malcolm,Simpson,DL,Nebraska,75.0,255.0,,72,TX,4.0,0.9105,271.0,1,2025.0
127.0,4.0,Madden,Iamaleava,QB,Arkansas,74.0,200.0,,72,CA,4.0,0.9105,272.0,1,2025.0
128.0,4.0,Tobi,Haastrup,EDGE,Oregon,74.0,232.0,,72,TX,4.0,0.9114,264.0,1,2025.0
129.0,5.0,Radarious,Jackson,WR,Tennessee,74.0,195.0,,72,TN,4.0,0.9111,268.0,1,2025.0
130.0,5.0,Naeshaun,Montgomery,WR,Florida,73.0,165.0,,72,FL,4.0,0.9304,170.0,1,2025.0
131.0,5.0,Alex,Payne,OT,USC,77.0,265.0,,72,GA,4.0,0.9284,182.0,1,2025.0
132.0,5.0,Mark,Zackery IV,CB,Notre Dame,70.0,164.0,,72,IN,4.0,0.9285,181.0,1,2025.0
133.0,5.0,JonAnthony,Hall,WR,Stanford,73.0,170.0,,72,IN,4.0,0.9254,196.0,1,2025.0
134.0,5.0,Terry,Shelton,WR,TCU,76.0,200.0,,72,TX,4.0,0.9187,224.0,1,2025.0
135.0,5.0,Tyshun,Willis,EDGE,Mississippi State,73.0,230.0,,72,MS,4.0,0.917,234.0,1,2025.0
136.0,5.0,Daeden,Hopkins,EDGE,Missouri,78.0,210.0,,72,MO,4.0,0.917,233.0,1,2025.0
137.0,5.0,Jayden,Woods,EDGE,Florida,75.0,240.0,,72,KS,4.0,0.9379,142.0,1,2025.0
138.0,5.0,Trystan,Haynes,CB,Oklahoma,74.0,175.0,,72,OK,4.0,0.938,141.0,1,2025.0
139.0,5.0,Jack,Lange,OT,Missouri,79.0,295.0,,72,MO,4.0,0.94,135.0,1,2025.0
140.0,5.0,Zahir,Mathis,EDGE,Maryland,78.0,225.0,,72,PA,4.0,0.9441,123.0,1,2025.0
141.0,5.0,Jayden,Sanders,CB,Michigan,74.0,172.0,,72,TX,4.0,0.9176,229.0,1,2025.0
142.0,5.0,Nick,Brooks,OT,Texas,79.0,345.0,,72,GA,4.0,0.9161,239.0,1,2025.0
143.0,5.0,Jordon,Gidron,WR,South Carolina,74.0,185.0,,72,SC,4.0,0.9184,225.0,1,2025.0
144.0,5.0,Aaron,Dunn,OT,USC,79.0,290.0,,72,UT,4.0,0.9315,166.0,1,2025.0
145.0,5.0,Jayvan,Boggs,WR,Florida State,72.0,200.0,,72,FL,4.0,0.9288,179.0,1,2025.0
146.0,5.0,Broderick,Shull,OT,Auburn,77.0,275.0,,72,OK,4.0,0.9227,206.0,1,2025.0
147.0,5.0,Adam,Schobel,QB,TCU,76.0,190.0,,72,TX,4.0,0.921,212.0,1,2025.0
148.0,5.0,Kelshaun,Johnson,WR,Texas A&M,71.0,160.0,,72,TX,4.0,0.9257,194.0,1,2025.0
149.0,5.0,Jaime,Ffrench,WR,Texas,73.0,185.0,,72,FL,4.0,0.979,44.0,1,2025.0
150.0,5.0,Cortez,Harris,EDGE,Penn State,74.0,200.0,,72,MD,4.0,0.8925,447.0,1,2025.0
151.0,5.0,Matty,Augustine,OT,Notre Dame,79.0,290.0,,72,CT,4.0,0.8921,449.0,1,2025.0
152.0,5.0,Malachi,Goodman,OT,Penn State,77.0,320.0,,72,NJ,4.0,0.9702,56.0,1,2025.0
153.0,5.0,TaRon,Francis,WR,LSU,74.0,200.0,,72,LA,4.0,0.9329,160.0,1,2025.0
154.0,5.0,John,Mills,OT,Washington,78.0,320.0,,72,CA,4.0,0.8908,467.0,1,2025.0
155.0,5.0,Tyson,Terry,DL,Nebraska,74.0,279.0,,72,NE,4.0,0.8917,454.0,1,2025.0
156.0,5.0,Brandon,Finney,CB,Oregon,74.0,185.0,,72,MD,4.0,0.9799,40.0,1,2025.0
157.0,5.0,Hayden,Lowe,EDGE,Miami,76.0,250.0,,71,CA,4.0,0.9633,75.0,1,2025.0
158.0,5.0,Eric,Winters,S,Auburn,74.0,200.0,,71,AL,4.0,0.9566,83.0,1,2025.0
159.0,5.0,Ivan,Taylor,S,Alabama,72.0,174.0,,71,FL,4.0,0.9681,62.0,1,2025.0
160.0,5.0,Graceson,Littleton,CB,Texas,72.0,180.0,,71,FL,4.0,0.9672,65.0,1,2025.0
161.0,6.0,Gideon,Davidson,RB,Clemson,72.0,193.0,,71,VA,4.0,0.9657,69.0,1,2025.0
162.0,6.0,Tony,Williams,S,UCF,73.0,190.0,,71,FL,4.0,0.895,403.0,1,2025.0
163.0,6.0,Keon,Young,S,Ole Miss,72.0,171.0,,71,FL,4.0,0.8951,402.0,1,2025.0
164.0,6.0,Owen,Aliciene,OT,Penn State,79.0,275.0,,71,CT,4.0,0.8956,394.0,1,2025.0
165.0,6.0,Chase,Loftin,TE,Florida State,78.0,215.0,,71,NE,4.0,0.895,403.0,1,2025.0
166.0,6.0,Jarquez,Carter,DL,Ohio State,74.0,284.0,,71,FL,4.0,0.9253,198.0,1,2025.0
167.0,6.0,Nasir,Wyatt,LB,Oregon,74.0,220.0,,71,CA,4.0,0.9261,192.0,1,2025.0
168.0,6.0,Christian,Jones,LB,Nebraska,74.0,215.0,,71,NE,4.0,0.9332,157.0,1,2025.0
169.0,6.0,Donovan,Murph,WR,South Carolina,73.0,188.0,,71,SC,4.0,0.9316,165.0,1,2025.0
170.0,6.0,Tavion,Wallace,LB,Arkansas,73.0,215.0,,71,GA,4.0,0.9285,180.0,1,2025.0
171.0,6.0,Jacob,Washington,WR,Michigan,75.0,180.0,,71,LA,4.0,0.9251,200.0,1,2025.0
172.0,6.0,Jaiden,Braker,LB,LSU,75.0,212.0,,71,GA,4.0,0.9398,136.0,1,2025.0
173.0,6.0,Marco,Jones,EDGE,Texas A&M,77.0,245.0,,71,CA,4.0,0.9379,143.0,1,2025.0
174.0,6.0,Aidan,Anding,CB,LSU,71.0,165.0,,71,LA,4.0,0.9216,210.0,1,2025.0
175.0,6.0,Jahmari,DeLoatch,S,Virginia Tech,70.0,160.0,,71,VA,4.0,0.8903,473.0,1,2025.0
176.0,6.0,Jaquavious,Dodd,EDGE,South Carolina,77.0,225.0,,71,SC,4.0,0.9209,213.0,1,2025.0
177.0,6.0,Donovan,Darden,EDGE,South Carolina,76.0,225.0,,71,NC,4.0,0.9207,214.0,1,2025.0
178.0,6.0,James,Flanigan,TE,Notre Dame,76.0,235.0,,71,WI,4.0,0.9434,127.0,1,2025.0
179.0,6.0,TJ,Lateef,QB,Nebraska,73.0,185.0,,71,CA,4.0,0.9158,240.0,1,2025.0
180.0,6.0,Burke,Gautcher,LB,Iowa,75.0,200.0,,71,IL,4.0,0.9134,252.0,1,2025.0
181.0,6.0,Jontae,Gilbert,S,Georgia,73.0,185.0,,71,GA,4.0,0.9175,230.0,1,2025.0
182.0,6.0,Luke,Nickel,QB,Miami,74.0,205.0,,71,GA,4.0,0.9171,232.0,1,2025.0
183.0,6.0,Cameron,Dyer,ATH,Arizona State,76.0,202.0,,71,NM,4.0,0.9135,251.0,1,2025.0
184.0,6.0,Demetres,Samuel Jr.,S,Syracuse,72.0,185.0,,71,FL,4.0,0.9149,244.0,1,2025.0
185.0,6.0,Kellen,Wiley Jr.,LB,Miami,76.0,225.0,,71,FL,4.0,0.9142,247.0,1,2025.0
186.0,6.0,Damien,Shanklin,EDGE,LSU,76.0,230.0,,71,IN,4.0,0.9233,204.0,1,2025.0
187.0,6.0,LA,Jesse Harrold,EDGE,Florida State,77.0,215.0,,71,FL,4.0,0.9202,217.0,1,2025.0
188.0,6.0,Marshall,Pritchett,TE,Alabama,77.0,211.0,,71,GA,4.0,0.9075,285.0,1,2025.0
189.0,6.0,Luke,Metz,LB,Alabama,75.0,220.0,,71,GA,4.0,0.9072,287.0,1,2025.0
190.0,6.0,Chaz,Coleman,EDGE,Penn State,77.0,225.0,,71,OH,4.0,0.9065,292.0,1,2025.0
191.0,6.0,Jayden,Loftin,EDGE,Tennessee,76.0,250.0,,71,NJ,4.0,0.9071,288.0,1,2025.0
192.0,6.0,Carson,Cooney,LB,Iowa,75.0,215.0,,71,IL,4.0,0.9065,293.0,1,2025.0
193.0,7.0,Chris,Ewald Jr.,CB,Miami,72.0,165.0,,71,FL,4.0,0.9153,242.0,1,2025.0
194.0,7.0,Nicolas,Clayton,EDGE,Wisconsin,76.0,215.0,,71,FL,4.0,0.9182,226.0,1,2025.0
195.0,7.0,Ladarian,Clardy,S,Ole Miss,70.0,175.0,,71,FL,4.0,0.9076,282.0,1,2025.0
196.0,7.0,Winston,Watkins Jr.,WR,Ole Miss,70.0,172.0,,71,FL,4.0,0.9113,266.0,1,2025.0
197.0,7.0,Cortez,Thomas,S,Ole Miss,72.0,180.0,,71,MS,4.0,0.9115,261.0,1,2025.0
198.0,7.0,Joseph,Mbatchou,DL,Florida,76.0,275.0,,71,GA,4.0,0.9129,254.0,1,2025.0
199.0,7.0,Isaiah,Mizell,WR,Arizona,72.0,160.0,,71,FL,4.0,0.9106,270.0,1,2025.0
200.0,7.0,Jaylen,Williams,DL,Wisconsin,78.0,265.0,,71,IL,4.0,0.9115,263.0,1,2025.0
201.0,7.0,Brock,Schott,TE,Miami,75.0,215.0,,71,IN,4.0,0.9113,265.0,1,2025.0
202.0,7.0,Trynae,Washington,ATH,Oklahoma,75.0,195.0,,71,OK,4.0,0.9003,344.0,1,2025.0
203.0,7.0,Anthony,Kruah,LB,Georgia,74.0,210.0,,71,GA,4.0,0.9006,339.0,1,2025.0
204.0,7.0,CJ,Wiley,WR,Georgia,76.0,195.0,,71,GA,4.0,0.953,91.0,1,2025.0
205.0,7.0,Donovan,Olugbode,WR,Missouri,73.0,200.0,,71,FL,4.0,0.9517,95.0,1,2025.0
206.0,7.0,Alex,Manske,QB,Iowa State,75.0,205.0,,71,IA,4.0,0.9049,304.0,1,2025.0
207.0,7.0,Chad,Woodfork,EDGE,TCU,76.0,220.0,,71,TX,4.0,0.9499,101.0,1,2025.0
208.0,7.0,Shaun,Terry II,WR,Missouri,70.0,170.0,,71,OH,4.0,0.9051,301.0,1,2025.0
209.0,7.0,Smith,Orogbo,EDGE,Texas,76.0,220.0,,71,TX,4.0,0.9485,104.0,1,2025.0
210.0,7.0,Luka,Gilbert,TE,Miami,79.0,233.0,,71,OH,4.0,0.8997,352.0,1,2025.0
211.0,7.0,Benny,Patterson,DL,Michigan,76.0,245.0,,71,IN,4.0,0.8989,361.0,1,2025.0
212.0,7.0,Devin,Williams,CB,Auburn,70.0,165.0,,71,GA,4.0,0.8982,368.0,1,2025.0
213.0,7.0,De'Zie,Jones,WR,Ohio State,72.0,180.0,,71,NJ,4.0,0.8981,369.0,1,2025.0
214.0,7.0,Mal,Waldrep,OT,Alabama,77.0,320.0,,71,AL,4.0,0.8985,364.0,1,2025.0
215.0,7.0,Noah,King,CB,Kansas State,75.0,195.0,,71,OH,4.0,0.8985,363.0,1,2025.0
216.0,7.0,Derrick,Simmons,DL,Michigan State,75.0,270.0,,71,MI,4.0,0.8974,376.0,1,2025.0
217.0,7.0,Kyle,Johnson,CB,Mississippi State,71.0,165.0,,71,LA,4.0,0.8977,371.0,1,2025.0
218.0,7.0,CJ,Jimcoily,LB,LSU,75.0,205.0,,71,TN,4.0,0.8967,387.0,1,2025.0
219.0,7.0,Bradley,Martino,ATH,Minnesota,75.0,165.0,,71,FL,4.0,0.8971,383.0,1,2025.0
220.0,7.0,Chase,Linton,EDGE,Georgia,76.0,215.0,,71,GA,4.0,0.9445,118.0,1,2025.0
221.0,7.0,Matt,Henderson,TE,Penn State,77.0,210.0,,71,VA,4.0,0.9024,321.0,1,2025.0
222.0,7.0,Sam,Turner,WR,Auburn,73.0,195.0,,71,GA,4.0,0.8925,438.0,1,2025.0
223.0,7.0,Bryson,Jones,WR,Texas Tech,73.0,175.0,,71,TX,4.0,0.8925,438.0,1,2025.0
224.0,7.0,Shedrick,Sarratt Jr.,OT,South Carolina,76.0,300.0,,71,SC,4.0,0.8925,437.0,1,2025.0
225.0,7.0,LaVar,Arrington II,LB,Penn State,75.0,215.0,,71,CA,4.0,0.9028,316.0,1,2025.0
226.0,7.0,Dawayne,Galloway Jr.,CB,West Virginia,73.0,175.0,,71,OH,4.0,0.9006,338.0,1,2025.0
227.0,7.0,Dante,McClellan,LB,Missouri,72.0,210.0,,71,OH,4.0,0.8998,350.0,1,2025.0
228.0,7.0,AJ,Ia,TE,Arizona State,77.0,240.0,,71,CA,4.0,0.9008,333.0,1,2025.0
229.0,7.0,Zach,Weeks,LB,LSU,74.0,215.0,,71,GA,4.0,0.9007,337.0,1,2025.0
