Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,First_Name,Last_Name,Team_Norm,Stat_Type,Roster_Index,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Y/G,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Rushing_Y/G,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Avg,Scrimmage_TD
32.0,Noah Kim,Eastern Michigan,MAC,9.0,183.0,293.0,62.5,2051.0,14.0,4.8,6.0,2.0,7.0,7.03,11.2,227.9,132.9,,noah,kim,eastern michigan,Passing,6193,,,,,,,,,,,,,,
33.0,Noah Fifita,Arizona,Big 12,8.0,166.0,254.0,65.4,2042.0,21.0,8.3,4.0,1.6,8.0,8.98,12.3,255.3,157.0,,noah,fifita,arizona,Passing,477,,,,,,,,,,,,,,
34.0,Tucker Gleason,Toledo,MAC,9.0,165.0,248.0,66.5,2030.0,15.0,6.0,5.0,2.0,8.2,8.49,12.3,225.6,151.2,,tucker,gleason,toledo,Passing,14082,,,,,,,,,,,,,,
35.0,Trinidad Chambliss,Ole Miss,SEC,9.0,140.0,231.0,60.6,2023.0,10.0,4.3,2.0,0.9,8.8,9.23,14.5,224.8,146.7,,trinidad,chambliss,mississippi,Passing,1594,,,,,,,,,,,,,,
36.0,Brad Jackson,Texas State,Sun Belt,8.0,149.0,220.0,67.7,2016.0,10.0,4.5,5.0,2.3,9.2,9.05,13.5,252.0,155.2,,brad,jackson,texas state,Passing,13893,,,,,,,,,,,,,,
37.0,Anthony Colandrea,Nevada-Las Vegas,MWC,8.0,163.0,236.0,69.1,2000.0,15.0,6.4,4.0,1.7,8.5,8.98,12.3,250.0,157.8,,anthony,colandrea,nevada las vegas,Passing,10429,,,,,,,,,,,,,,
38.0,Dylan Raiola,Nebraska,Big Ten,9.0,181.0,250.0,72.4,2000.0,18.0,7.2,6.0,2.4,8.0,8.36,11.0,222.2,158.6,,dylan,raiola,nebraska,Passing,1018,,,,,,,,,,,,,,
39.0,Maddux Madsen,Boise State,MWC,9.0,152.0,255.0,59.6,1994.0,15.0,5.9,7.0,2.7,7.8,7.76,13.1,221.6,139.2,,maddux,madsen,boise state,Passing,4588,,,,,,,,,,,,,,
40.0,Avery Johnson,Kansas State,Big 12,9.0,167.0,273.0,61.2,1991.0,16.0,5.9,4.0,1.5,7.3,7.81,11.9,221.2,138.8,,avery,johnson,kansas state,Passing,531,,,,,,,,,,,,,,
41.0,Jalon Daniels,Kansas,Big 12,9.0,160.0,240.0,66.7,1991.0,20.0,8.3,3.0,1.3,8.3,9.4,12.4,221.2,161.4,,jalon,daniels,kansas,Passing,88,,,,,,,,,,,,,,
42.0,Parker Navarro,Ohio,MAC,9.0,156.0,238.0,65.5,1987.0,12.0,5.0,8.0,3.4,8.3,7.84,12.7,220.8,145.6,,parker,navarro,ohio,Passing,11294,,,,,,,,,,,,,,
43.0,Marcel Reed,Texas A&M,SEC,8.0,137.0,223.0,61.4,1972.0,17.0,7.6,6.0,2.7,8.8,9.16,14.4,246.5,155.5,,marcel,reed,texas a&m,Passing,13702,,,,,,,,,,,,,,
44.0,Byrum Brown,South Florida,American,8.0,154.0,245.0,62.9,1964.0,17.0,6.9,6.0,2.4,8.0,8.3,12.8,245.5,148.2,,byrum,brown,south florida,Passing,45,,,,,,,,,,,,,,
45.0,Braylon Braxton,Southern Mississippi,Sun Belt,8.0,159.0,237.0,67.1,1959.0,18.0,7.6,4.0,1.7,8.3,9.03,12.3,244.9,158.2,,braylon,braxton,southern mississippi,Passing,13178,,,,,,,,,,,,,,
46.0,Malik Washington,Maryland,Big Ten,8.0,176.0,299.0,58.9,1958.0,12.0,4.0,5.0,1.7,6.5,6.6,11.1,244.8,123.8,,malik,washington,maryland,Passing,1456,,,,,,,,,,,,,,
47.0,John Mateer,Oklahoma,SEC,8.0,169.0,265.0,63.8,1949.0,8.0,3.0,7.0,2.6,7.4,6.77,11.5,243.6,130.2,,john,mateer,oklahoma,Passing,559,,,,,,,,,,,,,,
48.0,Carson Beck,Miami (FL),ACC,8.0,174.0,240.0,72.5,1947.0,14.0,5.8,9.0,3.8,8.1,7.59,11.2,243.4,152.4,,carson,beck,miami (fl),Passing,1579,,,,,,,,,,,,,,
49.0,Jack Layne,New Mexico,MWC,9.0,162.0,237.0,68.4,1940.0,12.0,5.1,9.0,3.8,8.2,7.49,12.0,215.6,146.2,,jack,layne,new mexico,Passing,10518,,,,,,,,,,,,,,
50.0,Miller Moss,Louisville,ACC,8.0,177.0,271.0,65.3,1929.0,11.0,4.1,6.0,2.2,7.1,6.93,10.9,241.1,134.1,,miller,moss,louisville,Passing,251,,,,,,,,,,,,,,
51.0,Cade Klubnik,Clemson,ACC,7.0,160.0,238.0,67.2,1915.0,13.0,5.5,5.0,2.1,8.0,8.19,12.0,273.6,148.6,,cade,klubnik,clemson,Passing,199,,,,,,,,,,,,,,
52.0,Nicholas Vattiato,Middle Tennessee State,CUSA,8.0,192.0,319.0,60.2,1908.0,13.0,4.1,6.0,1.9,6.0,5.95,9.9,238.5,120.1,,nicholas,vattiato,middle tennessee state,Passing,9696,,,,,,,,,,,,,,
53.0,Conner Weigman,Houston,Big 12,9.0,148.0,228.0,64.9,1890.0,16.0,7.0,4.0,1.8,8.3,8.9,12.8,210.0,154.2,,conner,weigman,houston,Passing,671,,,,,,,,,,,,,,
54.0,Haynes King,Georgia Tech,ACC,8.0,158.0,219.0,72.1,1888.0,9.0,4.1,2.0,0.9,8.6,9.03,11.9,236.0,156.3,,haynes,king,georgia tech,Passing,196,,,,,,,,,,,,,,
55.0,Thomas Castellanos,Florida State,ACC,8.0,112.0,182.0,61.5,1878.0,10.0,5.5,5.0,2.7,10.3,10.18,16.8,234.8,160.9,,thomas,castellanos,florida state,Passing,1593,,,,,,,,,,,,,,
56.0,Ben Finley,Akron,MAC,9.0,145.0,277.0,52.3,1875.0,15.0,5.4,7.0,2.5,6.8,6.71,12.9,208.3,122.0,,ben,finley,akron,Passing,3483,,,,,,,,,,,,,,
57.0,Brendon Lewis,Memphis,American,9.0,159.0,230.0,69.1,1869.0,10.0,4.3,4.0,1.7,8.1,8.21,11.8,207.7,148.3,,brendon,lewis,memphis,Passing,9254,,,,,,,,,,,,,,
58.0,Maverick McIvor,Western Kentucky,CUSA,7.0,171.0,254.0,67.3,1863.0,12.0,4.7,5.0,2.0,7.3,7.39,10.9,266.1,140.6,,maverick,mcivor,western kentucky,Passing,16001,,,,,,,,,,,,,,
59.0,Logan Fife,New Mexico State,CUSA,8.0,153.0,282.0,54.3,1833.0,9.0,3.2,9.0,3.2,6.5,5.7,12.0,229.1,113.0,,logan,fife,new mexico state,Passing,10618,,,,,,,,,,,,,,
60.0,Ryan Browne,Purdue,Big Ten,9.0,163.0,266.0,61.3,1822.0,9.0,3.4,7.0,2.6,6.8,6.34,11.2,202.4,124.7,,ryan,browne,purdue,Passing,12169,,,,,,,,,,,,,,
61.0,Ben Gulbranson,Stanford,ACC,9.0,148.0,260.0,56.9,1813.0,9.0,3.5,10.0,3.8,7.0,5.93,12.3,201.4,119.2,,ben,gulbranson,stanford,Passing,13270,,,,,,,,,,,,,,
62.0,Bryson Barnes,Utah State,MWC,8.0,134.0,209.0,64.1,1808.0,14.0,6.7,3.0,1.4,8.7,9.34,13.5,226.0,156.0,,bryson,barnes,utah state,Passing,14966,,,,,,,,,,,,,,
63.0,Garrett Nussmeier,LSU,SEC,8.0,176.0,267.0,65.9,1806.0,12.0,4.5,5.0,1.9,6.8,6.82,10.3,225.8,133.8,,garrett,nussmeier,louisiana state,Passing,256,,,,,,,,,,,,,,
64.0,Jalen Kitna,UAB,American,7.0,163.0,238.0,68.5,1785.0,10.0,4.2,5.0,2.1,7.5,7.39,11.0,255.0,141.2,,jalen,kitna,alabama-birmingham,Passing,14500,,,,,,,,,,,,,,
65.0,Gunner Stockton,Georgia,SEC,8.0,161.0,229.0,70.3,1776.0,12.0,5.2,2.0,0.9,7.8,8.41,11.0,222.0,151.0,,gunner,stockton,georgia,Passing,645,,,,,,,,,,,,,,
66.0,Dante Moore,Oregon,Big Ten,8.0,145.0,203.0,71.4,1772.0,19.0,9.4,4.0,2.0,8.7,9.71,12.2,221.5,171.7,,dante,moore,oregon,Passing,861,,,,,,,,,,,,,,
67.0,Behren Morton,Texas Tech,Big 12,7.0,125.0,184.0,67.9,1750.0,15.0,8.2,4.0,2.2,9.5,10.16,14.0,250.0,170.4,,behren,morton,texas tech,Passing,249,,,,,,,,,,,,,,
68.0,Maalik Murphy,Oregon State,Ind,9.0,156.0,266.0,58.6,1749.0,9.0,3.4,8.0,3.0,6.6,5.9,11.2,194.3,119.0,,maalik,murphy,oregon state,Passing,582,,,,,,,,,,,,,,
69.0,Drake Lindsey,Minnesota,Big Ten,9.0,171.0,275.0,62.2,1743.0,10.0,3.6,6.0,2.2,6.3,6.08,10.2,193.7,123.1,,drake,lindsey,minnesota,Passing,9799,,,,,,,,,,,,,,
70.0,Ta'Quan Roberson,Buffalo,MAC,8.0,150.0,248.0,60.5,1739.0,12.0,4.8,8.0,3.2,7.0,6.53,11.6,217.4,128.9,,ta'quan,roberson,buffalo,Passing,4908,,,,,,,,,,,,,,
71.0,Kaden Anderson,Wyoming,MWC,9.0,158.0,269.0,58.7,1727.0,11.0,4.1,9.0,3.3,6.4,5.73,10.9,191.9,119.5,,kaden,anderson,wyoming,Passing,16290,,,,,,,,,,,,,,
72.0,Bear Bachmeier,BYU,Big 12,8.0,126.0,201.0,62.7,1693.0,11.0,5.5,3.0,1.5,8.4,8.85,13.4,211.6,148.5,,bear,bachmeier,brigham young,Passing,5011,,,,,,,,,,,,,,
73.0,Evan Simon,Temple,American,9.0,143.0,229.0,62.4,1690.0,21.0,9.2,1.0,0.4,7.4,9.02,11.8,187.8,153.8,,evan,simon,temple,Passing,13480,,,,,,,,,,,,,,
74.0,Beau Pribula,Missouri,SEC,8.0,158.0,227.0,69.6,1685.0,11.0,4.8,7.0,3.1,7.4,7.0,10.7,210.6,141.8,,beau,pribula,missouri,Passing,281,,,,,,,,,,,,,,
75.0,Owen McCown,UTSA,American,8.0,168.0,249.0,67.5,1680.0,17.0,6.8,4.0,1.6,6.7,7.39,10.0,210.0,143.5,,owen,mccown,utsa,Passing,563,,,,,,,,,,,,,,
76.0,DJ Lagway,Florida,SEC,8.0,160.0,246.0,65.0,1679.0,10.0,4.1,9.0,3.7,6.8,5.99,10.5,209.9,128.5,,dj,lagway,florida,Passing,987,,,,,,,,,,,,,,
77.0,JC French,Georgia Southern,Sun Belt,8.0,144.0,234.0,61.5,1677.0,14.0,6.0,6.0,2.6,7.2,7.21,11.6,209.6,136.4,,jc,french,georgia southern,Passing,6848,,,,,,,,,,,,,,
78.0,Bryce Underwood,Michigan,Big Ten,9.0,134.0,220.0,60.9,1671.0,7.0,3.2,3.0,1.4,7.6,7.62,12.5,185.7,132.5,,bryce,underwood,michigan,Passing,1344,,,,,,,,,,,,,,
79.0,Bishop Davenport,South Alabama,Sun Belt,9.0,150.0,227.0,66.1,1664.0,12.0,5.3,5.0,2.2,7.3,7.4,11.1,184.9,140.7,,bishop,davenport,south alabama,Passing,12877,,,,,,,,,,,,,,
80.0,Jacob Clark,Missouri State,CUSA,7.0,132.0,206.0,64.1,1641.0,13.0,6.3,8.0,3.9,8.0,7.48,12.4,234.4,144.1,,jacob,clark,missouri state,Passing,,,,,,,,,,,,,,,
81.0,Sam Leavitt,Arizona State,Big 12,7.0,145.0,239.0,60.7,1628.0,10.0,4.2,3.0,1.3,6.8,7.08,11.2,232.6,129.2,,sam,leavitt,arizona state,Passing,852,,,,,,,,,,,,,,
82.0,Jake Retzlaff,Tulane,American,8.0,130.0,218.0,59.6,1622.0,7.0,3.2,3.0,1.4,7.4,7.46,12.5,202.8,130.0,,jake,retzlaff,tulane,Passing,611,,,,,,,,,,,,,,
83.0,Kyron Drones,Virginia Tech,ACC,9.0,152.0,260.0,58.5,1592.0,15.0,5.8,6.0,2.3,6.1,6.24,10.5,176.9,124.3,,kyron,drones,virginia tech,Passing,108,,,,,,,,,,,,,,
84.0,Devon Dampier,Utah,Big 12,8.0,154.0,232.0,66.4,1588.0,15.0,6.5,5.0,2.2,6.8,7.17,10.3,198.5,140.9,,devon,dampier,utah,Passing,14859,,,,,,,,,,,,,,
85.0,Mason Heintschel,Pitt,ACC,6.0,118.0,184.0,64.1,1547.0,12.0,6.5,5.0,2.7,8.4,8.49,13.1,257.8,150.8,,mason,heintschel,pittsburgh,Passing,12067,,,,,,,,,,,,,,
86.0,LaNorris Sellers,South Carolina,SEC,9.0,124.0,201.0,61.7,1536.0,7.0,3.5,5.0,2.5,7.6,7.22,12.4,170.7,132.4,,lanorris,sellers,south carolina,Passing,888,,,,,,,,,,,,,,
87.0,Alonza Barnett III,James Madison,Sun Belt,8.0,123.0,199.0,61.8,1516.0,13.0,6.5,3.0,1.5,7.6,8.25,12.3,189.5,144.3,,alonza,barnett,james madison,Passing,7837,,,,,,,,,,,,,,
88.0,E.J. Warner,Fresno State,MWC,7.0,139.0,202.0,68.8,1486.0,10.0,5.0,9.0,4.5,7.4,6.34,10.7,212.3,138.0,,e.j.,warner,fresno state,Passing,6663,,,,,,,,,,,,,,
89.0,Nico Iamaleava,UCLA,Big Ten,8.0,148.0,234.0,63.2,1468.0,10.0,4.3,7.0,3.0,6.3,5.78,9.9,183.5,124.1,,nico,iamaleava,ucla,Passing,839,,,,,,,,,,,,,,
90.0,DeQuan Finn,Miami (OH),MAC,8.0,106.0,181.0,58.6,1451.0,9.0,5.0,6.0,3.3,8.0,7.52,13.7,181.4,135.7,,dequan,finn,miami (oh),Passing,122,,,,,,,,,,,,,,
91.0,Dylan Lonergan,Boston College,ACC,7.0,137.0,205.0,66.8,1423.0,9.0,4.4,4.0,2.0,6.9,6.94,10.4,203.3,135.7,,dylan,lonergan,boston,Passing,4702,,,,,,,,,,,,,,
92.0,Jayden Denegal,San Diego State,MWC,8.0,105.0,166.0,63.3,1415.0,8.0,4.8,5.0,3.0,8.5,8.13,13.5,176.9,144.7,,jayden,denegal,san diego state,Passing,12579,,,,,,,,,,,,,,
93.0,Ethan Vasko,Liberty,CUSA,7.0,108.0,179.0,60.3,1406.0,8.0,4.5,5.0,2.8,7.9,7.49,13.0,200.9,135.5,,ethan,vasko,liberty,Passing,8413,,,,,,,,,,,,,,
94.0,Keyone Jenkins,Florida International,CUSA,8.0,142.0,225.0,63.1,1402.0,6.0,2.7,4.0,1.8,6.2,5.96,9.9,175.3,120.7,,keyone,jenkins,florida international,Passing,6483,,,,,,,,,,,,,,
95.0,Tucker Kilcrease,Troy,Sun Belt,8.0,115.0,192.0,59.9,1400.0,9.0,4.7,4.0,2.1,7.3,7.29,12.2,175.0,132.4,,tucker,kilcrease,troy,Passing,14194,,,,,,,,,,,,,,
96.0,Aidan Chiles,Michigan State,Big Ten,9.0,128.0,203.0,63.1,1392.0,10.0,4.9,3.0,1.5,6.9,7.18,10.9,154.7,134.0,,aidan,chiles,michigan state,Passing,451,,,,,,,,,,,,,,
97.0,Cutter Boley,Kentucky,SEC,7.0,123.0,187.0,65.8,1376.0,10.0,5.3,7.0,3.7,7.4,6.74,11.2,196.6,137.7,,cutter,boley,kentucky,Passing,1357,,,,,,,,,,,,,,
98.0,Preston Stone,Northwestern,Big Ten,8.0,126.0,216.0,58.3,1372.0,10.0,4.6,9.0,4.2,6.4,5.4,10.9,171.5,118.6,,preston,stone,northwestern,Passing,340,,,,,,,,,,,,,,
99.0,Baylor Hayes,Tulsa,American,6.0,119.0,198.0,60.1,1334.0,9.0,4.5,3.0,1.5,6.7,6.96,11.2,222.3,128.7,,baylor,hayes,tulsa,Passing,14407,,,,,,,,,,,,,,
100.0,Tayven Jackson,UCF,Big 12,7.0,121.0,191.0,63.4,1334.0,5.0,2.6,4.0,2.1,7.0,6.57,11.0,190.6,126.5,,tayven,jackson,central florida,Passing,14610,,,,,,,,,,,,,,
101.0,Dru DeShields,Kent State,MAC,8.0,94.0,165.0,57.0,1321.0,11.0,6.7,2.0,1.2,8.0,8.79,14.1,165.1,143.8,,dru,deshields,kent state,Passing,8221,,,,,,,,,,,,,,
102.0,Steve Angeli,Syracuse,ACC,4.0,98.0,156.0,62.8,1317.0,10.0,6.4,2.0,1.3,8.4,9.15,13.4,329.3,152.3,,steve,angeli,syracuse,Passing,1698,,,,,,,,,,,,,,
103.0,Broc Lowry,Western Michigan,MAC,9.0,125.0,193.0,64.8,1314.0,7.0,3.6,1.0,0.5,6.8,7.3,10.5,146.0,132.9,,broc,lowry,western michigan,Passing,16096,,,,,,,,,,,,,,
104.0,Robby Ashford,Wake Forest,ACC,7.0,107.0,183.0,58.5,1298.0,3.0,1.6,5.0,2.7,7.1,6.19,12.1,185.4,118.0,,robby,ashford,wake forest,Passing,15584,,,,,,,,,,,,,,
105.0,Carlos Del Rio-Wilson,Marshall,Sun Belt,7.0,111.0,157.0,70.7,1286.0,13.0,8.3,3.0,1.9,8.2,8.99,11.6,183.7,163.0,,carlos,del rio-wilson,marshall,Passing,462,,,,,,,,,,,,,,
106.0,Jackson Arnold,Auburn,SEC,9.0,133.0,210.0,63.3,1278.0,6.0,2.9,2.0,1.0,6.1,6.23,9.6,142.0,122.0,,jackson,arnold,auburn,Passing,417,,,,,,,,,,,,,,
107.0,Zevi Eckhaus,Washington State,Ind,7.0,114.0,179.0,63.7,1246.0,9.0,5.0,8.0,4.5,7.0,5.96,10.9,178.0,129.8,,zevi,eckhaus,washington state,Passing,15775,,,,,,,,,,,,,,
108.0,Kaidon Salter,Colorado,Big 12,8.0,113.0,179.0,63.1,1242.0,10.0,5.6,6.0,3.4,6.9,6.55,11.0,155.3,133.1,,kaidon,salter,colorado,Passing,313,,,,,,,,,,,,,,
109.0,Liam Szarka,Air Force,MWC,8.0,68.0,107.0,63.6,1219.0,8.0,7.5,5.0,4.7,11.4,10.79,17.9,152.4,174.6,,liam,szarka,air force,Passing,3368,,,,,,,,,,,,,,
110.0,Blake Baker,Louisiana Tech,CUSA,7.0,98.0,148.0,66.2,1210.0,5.0,3.4,3.0,2.0,8.2,7.94,12.3,172.9,142.0,,blake,baker,louisiana tech,Passing,8626,,,,,,,,,,,,,,
111.0,Malachi Nelson,UTEP,CUSA,6.0,104.0,190.0,54.7,1163.0,8.0,4.2,9.0,4.7,6.1,4.83,11.2,193.8,110.6,,malachi,nelson,utep,Passing,862,,,,,,,,,,,,,,
112.0,Kiael Kelly,Ball State,MAC,9.0,113.0,197.0,57.4,1155.0,8.0,4.1,5.0,2.5,5.9,5.53,10.2,128.3,114.9,,kiael,kelly,ball state,Passing,4406,,,,,,,,,,,,,,
113.0,Blake Horvath,Navy,American,8.0,68.0,107.0,63.6,1143.0,7.0,6.5,5.0,4.7,10.7,9.89,16.8,142.9,165.5,,blake,horvath,navy,Passing,10105,,,,,,,,,,,,,,
114.0,Cameran Brown,Georgia State,Sun Belt,8.0,105.0,161.0,65.2,1123.0,12.0,7.5,1.0,0.6,7.0,8.19,10.7,140.4,147.2,,cameran,brown,georgia state,Passing,6951,,,,,,,,,,,,,,
115.0,Hunter Watson,Sam Houston,CUSA,7.0,104.0,182.0,57.1,1108.0,5.0,2.7,4.0,2.2,6.1,5.65,10.7,158.3,113.0,,hunter,watson,sam houston,Passing,12496,,,,,,,,,,,,,,
116.0,Drew Allar,Penn State,Big Ten,6.0,103.0,159.0,64.8,1100.0,8.0,5.0,3.0,1.9,6.9,7.08,10.7,183.3,135.7,,drew,allar,penn state,Passing,3,,,,,,,,,,,,,,
117.0,AJ Swann,Appalachian State,Sun Belt,5.0,88.0,143.0,61.5,1083.0,8.0,5.6,6.0,4.2,7.6,6.8,12.3,216.6,135.2,,aj,swann,appalachian state,Passing,1680,,,,,,,,,,,,,,
118.0,Aiden Armenta,Louisiana-Monroe,Sun Belt,8.0,100.0,177.0,56.5,1070.0,9.0,5.1,7.0,4.0,6.0,5.28,10.7,133.8,116.1,,aiden,armenta,louisiana monroe,Passing,8733,,,,,,,,,,,,,,
