Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PCTH,PSPC,PCIT,PSRR,PMRR,PDRR,PREL,PRBK,PPBK,PIBL,PRBP,PRBF,PPBP,PPBF
75,250.0,28.0,43.0,0.0,3.0,90.0,72.0,75.0,69.0,73.0,90.0,84.0,0.0,0.0,0,0,0,0.0,59.0,60.0,0.0,0,0,0,0
77,250.0,34.0,43.0,0.0,5.0,86.0,69.0,72.0,67.0,72.0,91.0,83.0,0.0,0.0,0,0,0,0.0,59.0,61.0,0.0,0,0,0,0
77,254.0,27.0,19.0,0.0,0.0,84.0,65.0,68.0,64.0,74.0,81.0,79.0,0.0,0.0,0,0,0,0.0,64.0,66.0,0.0,0,0,0,0
78,252.0,28.0,0.0,0.0,0.0,84.0,66.0,68.0,67.0,74.0,80.0,79.0,0.0,0.0,0,0,0,0.0,60.0,62.0,0.0,0,0,0,0
76,257.0,28.0,0.0,0.0,0.0,83.0,69.0,77.0,64.0,79.0,82.0,69.0,0.0,0.0,0,0,0,0.0,60.0,60.0,0.0,0,0,0,0
77,259.0,29.0,35.0,0.0,1.0,81.0,67.0,69.0,66.0,72.0,83.0,74.0,0.0,0.0,0,0,0,0.0,60.0,59.0,0.0,0,0,0,0
78,274.0,28.0,26.0,0.0,0.0,81.0,64.0,69.0,60.0,79.0,75.0,68.0,0.0,0.0,0,0,0,0.0,68.0,68.0,0.0,0,0,0,0
75,250.0,29.0,38.0,0.0,0.0,78.0,63.0,68.0,62.0,73.0,82.0,69.0,0.0,0.0,0,0,0,0.0,60.0,60.0,0.0,0,0,0,0
75,250.0,29.0,28.0,0.0,0.0,78.0,63.0,68.0,62.0,73.0,82.0,69.0,0.0,0.0,0,0,0,0.0,60.0,60.0,0.0,0,0,0,0
76,250.0,32.0,33.0,0.0,0.0,78.0,62.0,69.0,63.0,72.0,87.0,67.0,0.0,0.0,0,0,0,0.0,61.0,65.0,0.0,0,0,0,0
78,265.0,22.0,20.0,0.0,3.0,78.0,65.0,80.0,65.0,73.0,65.0,67.0,0.0,0.0,0,0,0,0.0,64.0,59.0,0.0,0,0,0,0
76,261.0,27.0,10.0,0.0,0.0,78.0,60.0,62.0,61.0,75.0,80.0,66.0,0.0,0.0,0,0,0,0.0,67.0,69.0,0.0,0,0,0,0
75,245.0,31.0,43.0,2.0,5.0,77.0,62.0,58.0,59.0,73.0,90.0,73.0,0.0,0.0,0,0,0,0.0,59.0,62.0,0.0,0,0,0,0
79,272.0,26.0,7.0,0.0,0.0,76.0,64.0,65.0,61.0,74.0,66.0,68.0,0.0,0.0,0,0,0,0.0,67.0,64.0,0.0,0,0,0,0
78,260.0,28.0,18.0,0.0,1.0,76.0,61.0,67.0,62.0,74.0,76.0,71.0,0.0,0.0,0,0,0,0.0,61.0,63.0,0.0,0,0,0,0
74,258.0,30.0,18.0,0.0,1.0,75.0,59.0,62.0,61.0,73.0,76.0,65.0,0.0,0.0,0,0,0,0.0,65.0,66.0,0.0,0,0,0,0
77,265.0,23.0,12.0,0.0,0.0,75.0,68.0,76.0,65.0,74.0,68.0,64.0,0.0,0.0,0,0,0,0.0,60.0,57.0,0.0,0,0,0,0
76,246.0,24.0,20.0,0.0,1.0,75.0,68.0,72.0,66.0,69.0,77.0,69.0,0.0,0.0,0,0,0,0.0,58.0,57.0,0.0,0,0,0,0
78,250.0,28.0,25.0,0.0,0.0,74.0,67.0,72.0,65.0,73.0,66.0,63.0,0.0,0.0,0,0,0,0.0,61.0,62.0,0.0,0,0,0,0
74,245.0,28.0,23.0,0.0,0.0,74.0,63.0,66.0,62.0,72.0,76.0,69.0,0.0,0.0,0,0,0,0.0,59.0,58.0,0.0,0,0,0,0
76,245.0,28.0,17.0,0.0,0.0,72.0,59.0,62.0,60.0,71.0,69.0,69.0,0.0,0.0,0,0,0,0.0,63.0,62.0,0.0,0,0,0,0
77,275.0,23.0,15.0,0.0,0.0,72.0,63.0,65.0,57.0,78.0,58.0,63.0,0.0,0.0,0,0,0,0.0,64.0,62.0,0.0,0,0,0,0
76,251.0,28.0,6.0,0.0,0.0,71.0,58.0,61.0,61.0,73.0,69.0,67.0,0.0,0.0,0,0,0,0.0,63.0,66.0,0.0,0,0,0,0
76,251.0,28.0,9.0,0.0,0.0,71.0,58.0,61.0,61.0,73.0,69.0,67.0,0.0,0.0,0,0,0,0.0,63.0,66.0,0.0,0,0,0,0
76,250.0,23.0,6.0,0.0,0.0,71.0,65.0,69.0,62.0,67.0,68.0,70.0,0.0,0.0,0,0,0,0.0,55.0,57.0,0.0,0,0,0,0
76,266.0,24.0,10.0,0.0,0.0,71.0,64.0,64.0,61.0,73.0,62.0,63.0,0.0,0.0,0,0,0,0.0,63.0,66.0,0.0,0,0,0,0
77,269.0,25.0,9.0,0.0,0.0,71.0,60.0,65.0,61.0,72.0,67.0,64.0,0.0,0.0,0,0,0,0.0,63.0,63.0,0.0,0,0,0,0
76,272.0,25.0,0.0,0.0,0.0,71.0,64.0,65.0,61.0,72.0,72.0,69.0,0.0,0.0,0,0,0,0.0,64.0,63.0,0.0,0,0,0,0
73,242.0,28.0,17.0,0.0,1.0,71.0,64.0,63.0,62.0,73.0,69.0,65.0,0.0,0.0,0,0,0,0.0,58.0,61.0,0.0,0,0,0,0
75,255.0,23.0,27.0,0.0,0.0,70.0,70.0,70.0,66.0,73.0,67.0,68.0,0.0,0.0,0,0,0,0.0,50.0,52.0,0.0,0,0,0,0
75,260.0,28.0,0.0,0.0,1.0,70.0,62.0,66.0,61.0,73.0,66.0,65.0,0.0,0.0,0,0,0,0.0,62.0,63.0,0.0,0,0,0,0
77,270.0,27.0,1.0,0.0,0.0,69.0,57.0,62.0,60.0,74.0,64.0,59.0,0.0,0.0,0,0,0,0.0,66.0,68.0,0.0,0,0,0,0
75,255.0,24.0,0.0,0.0,0.0,69.0,69.0,70.0,59.0,70.0,62.0,60.0,0.0,0.0,0,0,0,0.0,60.0,60.0,0.0,0,0,0,0
76,251.0,21.0,43.0,0.0,2.0,69.0,71.0,77.0,74.0,61.0,61.0,83.0,0.0,0.0,0,0,0,0.0,42.0,47.0,0.0,0,0,0,0
77,285.0,33.0,17.0,0.0,0.0,68.0,56.0,60.0,53.0,76.0,68.0,59.0,0.0,0.0,0,0,0,0.0,67.0,71.0,0.0,0,0,0,0
76,250.0,22.0,1.0,0.0,0.0,68.0,66.0,65.0,64.0,60.0,57.0,55.0,0.0,0.0,0,0,0,0.0,62.0,60.0,0.0,0,0,0,0
76,250.0,22.0,12.0,0.0,0.0,68.0,66.0,65.0,64.0,60.0,57.0,55.0,0.0,0.0,0,0,0,0.0,62.0,60.0,0.0,0,0,0,0
78,252.0,34.0,22.0,0.0,0.0,67.0,63.0,61.0,66.0,71.0,79.0,63.0,0.0,0.0,0,0,0,0.0,54.0,55.0,0.0,0,0,0,0
77,262.0,0.0,2.0,0.0,0.0,67.0,57.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
73,265.0,28.0,17.0,0.0,0.0,67.0,60.0,62.0,60.0,71.0,67.0,61.0,0.0,0.0,0,0,0,0.0,63.0,64.0,0.0,0,0,0,0
75,265.0,29.0,7.0,0.0,0.0,65.0,58.0,62.0,59.0,72.0,66.0,62.0,0.0,0.0,0,0,0,0.0,58.0,61.0,0.0,0,0,0,0
76,259.0,26.0,7.0,0.0,0.0,64.0,66.0,64.0,62.0,69.0,65.0,58.0,0.0,0.0,0,0,0,0.0,57.0,53.0,0.0,0,0,0,0
74,264.0,23.0,41.0,0.0,4.0,64.0,64.0,70.0,66.0,64.0,56.0,70.0,0.0,0.0,0,0,0,0.0,54.0,52.0,0.0,0,0,0,0
73,245.0,27.0,13.0,0.0,0.0,64.0,57.0,60.0,56.0,71.0,68.0,62.0,0.0,0.0,0,0,0,0.0,60.0,62.0,0.0,0,0,0,0
76,271.0,28.0,6.0,0.0,0.0,64.0,60.0,64.0,57.0,65.0,61.0,62.0,0.0,0.0,0,0,0,0.0,60.0,66.0,0.0,0,0,0,0
76,265.0,27.0,15.0,0.0,0.0,64.0,59.0,62.0,57.0,74.0,64.0,64.0,0.0,0.0,0,0,0,0.0,56.0,57.0,0.0,0,0,0,0
76,249.0,24.0,2.0,0.0,0.0,63.0,64.0,70.0,63.0,64.0,58.0,61.0,0.0,0.0,0,0,0,0.0,56.0,55.0,0.0,0,0,0,0
77,255.0,30.0,0.0,0.0,0.0,63.0,60.0,62.0,57.0,68.0,63.0,63.0,0.0,0.0,0,0,0,0.0,58.0,60.0,0.0,0,0,0,0
78,272.0,28.0,7.0,0.0,0.0,63.0,57.0,58.0,57.0,71.0,65.0,56.0,0.0,0.0,0,0,0,0.0,63.0,64.0,0.0,0,0,0,0
75,250.0,24.0,0.0,0.0,0.0,61.0,62.0,60.0,56.0,68.0,51.0,68.0,0.0,0.0,0,0,0,0.0,51.0,49.0,0.0,0,0,0,0
75,250.0,23.0,12.0,0.0,0.0,61.0,65.0,70.0,61.0,68.0,56.0,59.0,0.0,0.0,0,0,0,0.0,55.0,55.0,0.0,0,0,0,0
75,233.0,23.0,0.0,0.0,0.0,60.0,60.0,62.0,60.0,71.0,59.0,59.0,0.0,0.0,0,0,0,0.0,56.0,55.0,0.0,0,0,0,0
68,188.0,31.0,0.0,0.0,0.0,60.0,85.0,78.0,79.0,48.0,66.0,43.0,0.0,0.0,0,0,0,0.0,10.0,10.0,0.0,0,0,0,0
75,240.0,29.0,0.0,0.0,0.0,60.0,62.0,61.0,56.0,63.0,54.0,64.0,0.0,0.0,0,0,0,0.0,56.0,57.0,0.0,0,0,0,0
74,240.0,35.0,15.0,0.0,0.0,59.0,57.0,58.0,58.0,66.0,67.0,59.0,0.0,0.0,0,0,0,0.0,56.0,57.0,0.0,0,0,0,0
76,275.0,30.0,4.0,0.0,0.0,59.0,56.0,61.0,60.0,67.0,53.0,57.0,0.0,0.0,0,0,0,0.0,63.0,59.0,0.0,0,0,0,0
77,237.0,25.0,14.0,0.0,0.0,58.0,73.0,77.0,71.0,51.0,65.0,70.0,0.0,0.0,0,0,0,0.0,40.0,43.0,0.0,0,0,0,0
75,250.0,29.0,0.0,0.0,0.0,58.0,55.0,56.0,57.0,71.0,62.0,55.0,0.0,0.0,0,0,0,0.0,58.0,63.0,0.0,0,0,0,0
77,266.0,25.0,5.0,0.0,0.0,57.0,55.0,60.0,56.0,68.0,53.0,59.0,0.0,0.0,0,0,0,0.0,56.0,59.0,0.0,0,0,0,0
77,261.0,26.0,0.0,0.0,0.0,57.0,57.0,58.0,55.0,66.0,55.0,55.0,0.0,0.0,0,0,0,0.0,61.0,60.0,0.0,0,0,0,0
76,262.0,26.0,1.0,0.0,0.0,56.0,55.0,58.0,55.0,70.0,55.0,49.0,0.0,0.0,0,0,0,0.0,63.0,67.0,0.0,0,0,0,0
75,265.0,25.0,2.0,0.0,0.0,55.0,53.0,57.0,52.0,71.0,61.0,58.0,0.0,0.0,0,0,0,0.0,54.0,58.0,0.0,0,0,0,0
76,255.0,24.0,0.0,0.0,0.0,55.0,57.0,58.0,48.0,65.0,58.0,49.0,0.0,0.0,0,0,0,0.0,62.0,61.0,0.0,0,0,0,0
78,260.0,26.0,0.0,0.0,0.0,55.0,53.0,57.0,50.0,68.0,54.0,64.0,0.0,0.0,0,0,0,0.0,55.0,53.0,0.0,0,0,0,0
75,260.0,28.0,36.0,0.0,0.0,55.0,57.0,57.0,59.0,62.0,49.0,61.0,0.0,0.0,0,0,0,0.0,55.0,54.0,0.0,0,0,0,0
75,260.0,28.0,2.0,0.0,0.0,55.0,57.0,57.0,59.0,62.0,49.0,61.0,0.0,0.0,0,0,0,0.0,55.0,54.0,0.0,0,0,0,0
76,240.0,24.0,0.0,0.0,0.0,54.0,55.0,57.0,56.0,67.0,57.0,55.0,0.0,0.0,0,0,0,0.0,58.0,56.0,0.0,0,0,0,0
76,249.0,24.0,0.0,0.0,0.0,54.0,62.0,64.0,63.0,49.0,62.0,66.0,0.0,0.0,0,0,0,0.0,47.0,45.0,0.0,0,0,0,0
75,250.0,24.0,5.0,0.0,0.0,54.0,61.0,58.0,58.0,68.0,48.0,54.0,0.0,0.0,0,0,0,0.0,54.0,53.0,0.0,0,0,0,0
76,255.0,23.0,0.0,0.0,0.0,53.0,63.0,65.0,60.0,54.0,48.0,63.0,0.0,0.0,0,0,0,0.0,49.0,51.0,0.0,0,0,0,0
77,245.0,24.0,0.0,0.0,0.0,53.0,64.0,67.0,61.0,63.0,56.0,53.0,0.0,0.0,0,0,0,0.0,51.0,51.0,0.0,0,0,0,0
75,251.0,28.0,4.0,0.0,0.0,53.0,58.0,58.0,63.0,65.0,61.0,59.0,0.0,0.0,0,0,0,0.0,47.0,49.0,0.0,0,0,0,0
76,246.0,24.0,11.0,0.0,0.0,52.0,63.0,61.0,67.0,64.0,51.0,60.0,0.0,0.0,0,0,0,0.0,43.0,43.0,0.0,0,0,0,0
76,265.0,22.0,0.0,0.0,0.0,52.0,59.0,58.0,59.0,65.0,49.0,61.0,0.0,0.0,0,0,0,0.0,49.0,52.0,0.0,0,0,0,0
76,265.0,22.0,5.0,0.0,0.0,52.0,59.0,58.0,59.0,65.0,49.0,61.0,0.0,0.0,0,0,0,0.0,49.0,52.0,0.0,0,0,0,0
72,250.0,33.0,16.0,0.0,0.0,52.0,53.0,60.0,52.0,62.0,55.0,61.0,0.0,0.0,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0
74,249.0,33.0,0.0,0.0,0.0,52.0,56.0,57.0,56.0,65.0,62.0,47.0,0.0,0.0,0,0,0,0.0,58.0,60.0,0.0,0,0,0,0
76,278.0,28.0,0.0,0.0,0.0,52.0,51.0,54.0,45.0,69.0,54.0,50.0,0.0,0.0,0,0,0,0.0,57.0,69.0,0.0,0,0,0,0
75,256.0,28.0,1.0,0.0,0.0,52.0,56.0,58.0,53.0,64.0,54.0,47.0,0.0,0.0,0,0,0,0.0,62.0,59.0,0.0,0,0,0,0
74,255.0,25.0,0.0,0.0,0.0,52.0,56.0,60.0,48.0,64.0,46.0,58.0,0.0,0.0,0,0,0,0.0,57.0,55.0,0.0,0,0,0,0
76,260.0,25.0,0.0,0.0,0.0,52.0,56.0,56.0,51.0,69.0,56.0,55.0,0.0,0.0,0,0,0,0.0,54.0,54.0,0.0,0,0,0,0
75,250.0,22.0,0.0,0.0,0.0,51.0,65.0,63.0,61.0,66.0,47.0,60.0,0.0,0.0,0,0,0,0.0,43.0,44.0,0.0,0,0,0,0
77,280.0,24.0,0.0,0.0,0.0,51.0,50.0,55.0,56.0,71.0,49.0,47.0,0.0,0.0,0,0,0,0.0,61.0,61.0,0.0,0,0,0,0
76,255.0,23.0,3.0,0.0,0.0,51.0,63.0,64.0,62.0,55.0,50.0,64.0,0.0,0.0,0,0,0,0.0,44.0,45.0,0.0,0,0,0,0
74,230.0,22.0,19.0,0.0,0.0,50.0,62.0,64.0,63.0,47.0,48.0,66.0,0.0,0.0,0,0,0,0.0,47.0,45.0,0.0,0,0,0,0
74,230.0,22.0,3.0,0.0,0.0,50.0,62.0,64.0,63.0,47.0,48.0,66.0,0.0,0.0,0,0,0,0.0,47.0,45.0,0.0,0,0,0,0
76,256.0,24.0,11.0,0.0,0.0,50.0,59.0,56.0,53.0,64.0,49.0,54.0,0.0,0.0,0,0,0,0.0,54.0,50.0,0.0,0,0,0,0
74,248.0,25.0,4.0,0.0,0.0,50.0,58.0,56.0,51.0,64.0,54.0,50.0,0.0,0.0,0,0,0,0.0,57.0,56.0,0.0,0,0,0,0
75,251.0,27.0,0.0,0.0,0.0,50.0,52.0,58.0,56.0,66.0,57.0,49.0,0.0,0.0,0,0,0,0.0,58.0,56.0,0.0,0,0,0,0
77,265.0,24.0,7.0,0.0,0.0,49.0,57.0,58.0,52.0,66.0,48.0,52.0,0.0,0.0,0,0,0,0.0,53.0,53.0,0.0,0,0,0,0
75,250.0,30.0,0.0,0.0,0.0,48.0,56.0,56.0,51.0,64.0,56.0,46.0,0.0,0.0,0,0,0,0.0,56.0,56.0,0.0,0,0,0,0
76,263.0,32.0,2.0,0.0,0.0,47.0,53.0,57.0,55.0,66.0,55.0,46.0,0.0,0.0,0,0,0,0.0,56.0,57.0,0.0,0,0,0,0
76,249.0,27.0,11.0,0.0,0.0,47.0,52.0,56.0,52.0,63.0,48.0,50.0,0.0,0.0,0,0,0,0.0,56.0,59.0,0.0,0,0,0,0
76,252.0,25.0,16.0,0.0,0.0,46.0,59.0,55.0,58.0,65.0,50.0,60.0,0.0,0.0,0,0,0,0.0,44.0,39.0,0.0,0,0,0,0
76,240.0,27.0,1.0,0.0,0.0,45.0,50.0,54.0,52.0,63.0,52.0,48.0,0.0,0.0,0,0,0,0.0,54.0,57.0,0.0,0,0,0,0
76,250.0,24.0,2.0,0.0,0.0,44.0,66.0,68.0,61.0,72.0,52.0,38.0,0.0,0.0,0,0,0,0.0,47.0,49.0,0.0,0,0,0,0
75,258.0,24.0,0.0,0.0,0.0,42.0,55.0,58.0,57.0,61.0,43.0,53.0,0.0,0.0,0,0,0,0.0,49.0,49.0,0.0,0,0,0,0
0,0.0,0.0,26.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,41.0,0.0,4.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,12.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,43.0,0.0,2.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,29.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,5.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,19.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,18.0,0.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,43.0,0.0,5.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,11.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,7.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,8.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,4.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,11.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,25.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,38.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,28.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,1.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,4.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,82.0,4.0,8.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,27.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,14.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,43.0,2.0,5.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,10.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,5.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,13.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
0,0.0,0.0,10.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
