Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PTAK,PBSH,PPUR,PPRC,PMCV,PZCV,PHTP,PPRS
73,245.0,27.0,32.0,0.0,0.0,65.0,70.0,60.0,70.0,68.0,66.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,27.0,34.0,0.0,0.0,65.0,70.0,60.0,70.0,68.0,66.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,248.0,25.0,2.0,0.0,0.0,64.0,70.0,63.0,65.0,74.0,62.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,252.0,31.0,36.0,0.0,0.0,63.0,64.0,68.0,63.0,69.0,64.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,247.0,35.0,0.0,0.0,0.0,63.0,65.0,64.0,70.0,66.0,62.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,23.0,0.0,0.0,0.0,63.0,76.0,70.0,66.0,70.0,59.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,229.0,23.0,0.0,0.0,0.0,62.0,73.0,65.0,66.0,73.0,58.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,26.0,6.0,0.0,0.0,60.0,68.0,64.0,68.0,69.0,59.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,248.0,29.0,17.0,0.0,0.0,60.0,64.0,63.0,68.0,70.0,64.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,235.0,26.0,8.0,0.0,0.0,60.0,69.0,65.0,73.0,69.0,55.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,240.0,24.0,0.0,0.0,0.0,60.0,69.0,67.0,70.0,70.0,51.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,245.0,24.0,0.0,0.0,0.0,60.0,71.0,63.0,69.0,70.0,56.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,241.0,24.0,1.0,0.0,0.0,60.0,70.0,66.0,69.0,71.0,53.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,240.0,23.0,0.0,0.0,0.0,59.0,68.0,70.0,71.0,65.0,54.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,250.0,28.0,0.0,0.0,0.0,59.0,68.0,61.0,66.0,75.0,51.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,246.0,28.0,4.0,0.0,0.0,59.0,69.0,61.0,64.0,71.0,60.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,244.0,30.0,29.0,0.0,0.0,56.0,68.0,62.0,60.0,72.0,55.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,252.0,26.0,0.0,0.0,0.0,55.0,65.0,58.0,63.0,72.0,54.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,234.0,28.0,3.0,0.0,0.0,54.0,69.0,61.0,62.0,70.0,50.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,240.0,35.0,43.0,0.0,0.0,51.0,64.0,64.0,56.0,62.0,52.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,235.0,26.0,0.0,0.0,0.0,51.0,63.0,55.0,61.0,72.0,52.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,25.0,0.0,0.0,0.0,99.0,73.0,85.0,84.0,84.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,25.0,160.0,7.0,12.0,99.0,73.0,85.0,84.0,84.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,235.0,27.0,142.0,5.0,11.0,98.0,86.0,87.0,82.0,73.0,94.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,235.0,27.0,115.0,5.0,7.0,97.0,78.0,84.0,81.0,80.0,95.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,255.0,25.0,59.0,0.0,4.0,96.0,84.0,86.0,84.0,77.0,91.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,250.0,31.0,133.0,6.0,12.0,95.0,77.0,80.0,79.0,78.0,99.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,245.0,25.0,44.0,0.0,1.0,94.0,79.0,82.0,82.0,80.0,89.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,240.0,29.0,81.0,1.0,5.0,92.0,81.0,75.0,76.0,79.0,93.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,250.0,28.0,52.0,0.0,0.0,91.0,76.0,76.0,78.0,80.0,89.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,250.0,28.0,53.0,0.0,0.0,91.0,76.0,76.0,78.0,80.0,89.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,244.0,22.0,119.0,4.0,8.0,90.0,85.0,86.0,85.0,79.0,80.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,261.0,23.0,71.0,1.0,4.0,90.0,78.0,80.0,79.0,78.0,88.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,258.0,30.0,90.0,1.0,3.0,90.0,78.0,78.0,80.0,74.0,93.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,270.0,32.0,80.0,1.0,2.0,90.0,68.0,73.0,70.0,83.0,91.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,236.0,30.0,60.0,0.0,0.0,89.0,74.0,79.0,73.0,77.0,90.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,235.0,27.0,68.0,0.0,0.0,89.0,80.0,79.0,78.0,81.0,86.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,235.0,27.0,83.0,0.0,1.0,88.0,80.0,74.0,80.0,69.0,84.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,236.0,35.0,97.0,2.0,5.0,88.0,73.0,75.0,70.0,80.0,94.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,245.0,34.0,83.0,0.0,2.0,87.0,79.0,75.0,73.0,74.0,92.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,230.0,35.0,0.0,0.0,0.0,87.0,68.0,68.0,74.0,80.0,91.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,242.0,28.0,41.0,0.0,2.0,87.0,75.0,70.0,71.0,80.0,87.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,255.0,22.0,34.0,0.0,0.0,87.0,80.0,73.0,81.0,73.0,85.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,252.0,31.0,57.0,0.0,0.0,87.0,71.0,72.0,70.0,76.0,89.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,230.0,23.0,83.0,1.0,2.0,86.0,81.0,73.0,77.0,77.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,238.0,24.0,40.0,0.0,0.0,86.0,78.0,75.0,75.0,74.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,240.0,25.0,60.0,0.0,0.0,86.0,79.0,78.0,80.0,71.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,240.0,30.0,85.0,2.0,3.0,86.0,77.0,79.0,73.0,74.0,89.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,240.0,30.0,7.0,2.0,3.0,86.0,77.0,79.0,73.0,74.0,89.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,255.0,28.0,75.0,1.0,3.0,86.0,81.0,81.0,72.0,72.0,89.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,247.0,27.0,8.0,0.0,0.0,85.0,80.0,75.0,74.0,72.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,247.0,27.0,62.0,1.0,1.0,85.0,80.0,75.0,74.0,72.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,241.0,25.0,0.0,0.0,0.0,85.0,77.0,77.0,74.0,80.0,79.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,242.0,28.0,28.0,0.0,0.0,84.0,75.0,66.0,73.0,79.0,88.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,266.0,26.0,44.0,1.0,1.0,84.0,73.0,73.0,74.0,69.0,84.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,250.0,27.0,56.0,0.0,0.0,84.0,74.0,75.0,76.0,77.0,83.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,236.0,26.0,52.0,1.0,0.0,83.0,79.0,73.0,82.0,72.0,78.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,228.0,27.0,65.0,0.0,3.0,83.0,82.0,74.0,78.0,71.0,82.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,250.0,28.0,0.0,0.0,0.0,83.0,75.0,76.0,71.0,80.0,81.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,240.0,26.0,0.0,0.0,0.0,82.0,72.0,71.0,70.0,78.0,77.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,229.0,24.0,0.0,0.0,0.0,82.0,79.0,76.0,80.0,72.0,74.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,229.0,24.0,73.0,0.0,0.0,82.0,79.0,76.0,80.0,72.0,74.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,250.0,27.0,45.0,0.0,0.0,82.0,72.0,74.0,74.0,77.0,90.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,240.0,23.0,90.0,1.0,4.0,82.0,79.0,80.0,73.0,69.0,83.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,242.0,25.0,29.0,0.0,0.0,81.0,75.0,79.0,72.0,79.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,243.0,33.0,66.0,0.0,0.0,81.0,73.0,69.0,72.0,79.0,82.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,244.0,27.0,53.0,0.0,2.0,81.0,81.0,72.0,73.0,71.0,81.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,230.0,31.0,51.0,0.0,1.0,81.0,74.0,68.0,70.0,72.0,88.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,235.0,23.0,26.0,0.0,0.0,80.0,74.0,70.0,70.0,79.0,70.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,250.0,32.0,67.0,0.0,3.0,80.0,70.0,66.0,70.0,73.0,89.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,240.0,25.0,42.0,0.0,0.0,79.0,75.0,69.0,71.0,77.0,77.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,245.0,30.0,32.0,0.0,0.0,79.0,73.0,73.0,69.0,74.0,84.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,235.0,22.0,1.0,0.0,0.0,79.0,80.0,83.0,77.0,69.0,70.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,235.0,22.0,30.0,0.0,1.0,79.0,80.0,83.0,77.0,69.0,70.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,250.0,22.0,46.0,0.0,3.0,79.0,85.0,83.0,81.0,76.0,64.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,233.0,22.0,69.0,1.0,5.0,78.0,76.0,79.0,75.0,67.0,72.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,245.0,30.0,44.0,0.0,0.0,78.0,74.0,74.0,72.0,65.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,245.0,30.0,0.0,0.0,0.0,78.0,74.0,74.0,72.0,65.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,250.0,26.0,54.0,0.0,0.0,78.0,78.0,73.0,70.0,69.0,77.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,27.0,70.0,0.0,1.0,78.0,78.0,70.0,74.0,67.0,74.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,254.0,33.0,0.0,0.0,0.0,77.0,68.0,69.0,71.0,72.0,86.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,230.0,24.0,34.0,0.0,0.0,77.0,73.0,70.0,70.0,73.0,75.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,243.0,30.0,64.0,0.0,0.0,77.0,73.0,68.0,70.0,69.0,85.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,240.0,29.0,42.0,0.0,0.0,76.0,71.0,70.0,74.0,68.0,79.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,255.0,31.0,34.0,0.0,0.0,76.0,70.0,65.0,67.0,79.0,79.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,251.0,34.0,46.0,0.0,0.0,76.0,70.0,65.0,69.0,79.0,75.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,238.0,24.0,36.0,0.0,0.0,75.0,78.0,70.0,73.0,74.0,71.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,238.0,25.0,28.0,0.0,0.0,75.0,74.0,74.0,75.0,67.0,73.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,227.0,25.0,25.0,0.0,0.0,75.0,77.0,69.0,70.0,70.0,76.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,244.0,30.0,29.0,0.0,0.0,75.0,73.0,63.0,67.0,79.0,78.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,223.0,32.0,73.0,0.0,2.0,75.0,78.0,67.0,68.0,70.0,82.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,257.0,24.0,37.0,0.0,0.0,75.0,74.0,67.0,73.0,73.0,76.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,231.0,24.0,37.0,0.0,0.0,74.0,77.0,71.0,76.0,74.0,70.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,242.0,24.0,81.0,0.0,5.0,74.0,77.0,65.0,79.0,70.0,68.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,245.0,26.0,0.0,0.0,0.0,74.0,72.0,71.0,71.0,65.0,83.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,240.0,23.0,67.0,1.0,5.0,73.0,77.0,69.0,69.0,75.0,69.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,245.0,30.0,37.0,0.0,0.0,73.0,72.0,69.0,70.0,69.0,77.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,250.0,25.0,24.0,0.0,0.0,73.0,75.0,75.0,75.0,80.0,64.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,230.0,28.0,43.0,0.0,0.0,73.0,77.0,74.0,72.0,65.0,68.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,248.0,23.0,18.0,0.0,0.0,73.0,76.0,69.0,71.0,68.0,70.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,248.0,30.0,32.0,0.0,0.0,73.0,68.0,67.0,74.0,70.0,81.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,248.0,30.0,11.0,0.0,0.0,73.0,68.0,67.0,74.0,70.0,81.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,254.0,28.0,40.0,0.0,0.0,73.0,73.0,71.0,72.0,65.0,74.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,232.0,23.0,74.0,1.0,1.0,73.0,81.0,76.0,74.0,69.0,68.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,243.0,23.0,28.0,0.0,0.0,72.0,71.0,70.0,72.0,69.0,76.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,245.0,29.0,54.0,0.0,1.0,72.0,70.0,70.0,70.0,67.0,79.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,31.0,0.0,0.0,0.0,72.0,69.0,67.0,68.0,75.0,76.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,245.0,30.0,0.0,0.0,0.0,72.0,71.0,64.0,75.0,66.0,76.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,245.0,30.0,53.0,0.0,0.0,72.0,71.0,64.0,75.0,66.0,76.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,245.0,30.0,0.0,0.0,0.0,72.0,71.0,64.0,75.0,66.0,76.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,240.0,31.0,0.0,0.0,0.0,72.0,70.0,69.0,70.0,67.0,79.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,239.0,25.0,0.0,0.0,0.0,71.0,70.0,66.0,68.0,77.0,70.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,230.0,28.0,0.0,0.0,1.0,71.0,70.0,72.0,72.0,65.0,71.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,235.0,30.0,39.0,0.0,0.0,71.0,74.0,71.0,70.0,66.0,76.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,254.0,29.0,41.0,0.0,1.0,71.0,74.0,63.0,71.0,68.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,224.0,25.0,37.0,0.0,0.0,71.0,72.0,70.0,69.0,64.0,76.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,224.0,30.0,44.0,0.0,2.0,70.0,70.0,63.0,68.0,69.0,78.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,240.0,30.0,26.0,0.0,0.0,70.0,71.0,68.0,71.0,71.0,70.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,247.0,23.0,17.0,0.0,0.0,70.0,71.0,71.0,69.0,74.0,64.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,226.0,22.0,55.0,0.0,0.0,70.0,76.0,72.0,74.0,68.0,67.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,252.0,23.0,18.0,0.0,0.0,70.0,72.0,72.0,69.0,78.0,65.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,248.0,30.0,33.0,0.0,0.0,70.0,69.0,61.0,69.0,71.0,75.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,230.0,30.0,55.0,0.0,0.0,70.0,77.0,72.0,63.0,69.0,70.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,235.0,27.0,9.0,0.0,0.0,70.0,74.0,62.0,66.0,77.0,70.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,240.0,35.0,91.0,1.0,5.0,69.0,70.0,59.0,66.0,64.0,84.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,252.0,23.0,32.0,0.0,0.0,69.0,78.0,69.0,72.0,69.0,63.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,255.0,28.0,0.0,0.0,0.0,69.0,73.0,65.0,64.0,79.0,70.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,260.0,25.0,59.0,0.0,0.0,68.0,71.0,68.0,70.0,69.0,67.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,260.0,25.0,30.0,0.0,0.0,68.0,71.0,68.0,70.0,69.0,67.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,233.0,24.0,6.0,0.0,0.0,68.0,75.0,67.0,71.0,67.0,57.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,255.0,22.0,8.0,0.0,0.0,68.0,78.0,76.0,77.0,78.0,63.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,247.0,23.0,3.0,0.0,0.0,67.0,70.0,65.0,66.0,76.0,59.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,230.0,22.0,18.0,0.0,0.0,66.0,76.0,72.0,68.0,60.0,65.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,228.0,25.0,30.0,0.0,0.0,66.0,73.0,68.0,71.0,71.0,65.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,248.0,32.0,64.0,0.0,0.0,66.0,70.0,63.0,66.0,64.0,78.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,240.0,23.0,23.0,0.0,0.0,66.0,73.0,66.0,73.0,66.0,62.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,270.0,22.0,38.0,0.0,0.0,65.0,63.0,62.0,72.0,76.0,60.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,244.0,25.0,0.0,0.0,0.0,65.0,70.0,63.0,76.0,66.0,68.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,240.0,23.0,28.0,0.0,0.0,65.0,70.0,65.0,75.0,67.0,61.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,213.0,23.0,3.0,0.0,0.0,65.0,85.0,82.0,75.0,65.0,56.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,213.0,23.0,0.0,0.0,0.0,65.0,85.0,82.0,75.0,65.0,56.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,248.0,30.0,37.0,0.0,0.0,65.0,69.0,66.0,71.0,66.0,62.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,223.0,22.0,39.0,0.0,1.0,65.0,72.0,70.0,71.0,65.0,60.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,220.0,24.0,0.0,0.0,0.0,65.0,74.0,71.0,71.0,67.0,67.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,217.0,22.0,19.0,0.0,0.0,65.0,78.0,68.0,76.0,69.0,61.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,235.0,28.0,13.0,0.0,0.0,65.0,63.0,61.0,66.0,74.0,70.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,222.0,26.0,15.0,0.0,1.0,65.0,71.0,68.0,73.0,65.0,64.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,27.0,0.0,0.0,0.0,65.0,70.0,60.0,70.0,68.0,66.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,27.0,0.0,0.0,0.0,65.0,70.0,60.0,70.0,68.0,66.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,27.0,27.0,0.0,0.0,65.0,70.0,60.0,70.0,68.0,66.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,27.0,32.0,0.0,0.0,65.0,70.0,60.0,70.0,68.0,66.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,245.0,27.0,34.0,0.0,0.0,65.0,70.0,60.0,70.0,68.0,66.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,250.0,25.0,66.0,1.0,1.0,65.0,69.0,68.0,70.0,65.0,67.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,233.0,23.0,8.0,0.0,0.0,65.0,79.0,77.0,66.0,69.0,58.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,233.0,23.0,0.0,0.0,0.0,65.0,79.0,77.0,66.0,69.0,58.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,233.0,23.0,1.0,0.0,0.0,65.0,79.0,77.0,66.0,69.0,58.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,233.0,23.0,16.0,0.0,0.0,65.0,79.0,77.0,66.0,69.0,58.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,225.0,23.0,30.0,0.0,0.0,65.0,78.0,73.0,70.0,63.0,60.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,238.0,26.0,3.0,0.0,0.0,64.0,66.0,62.0,77.0,67.0,68.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,238.0,26.0,16.0,0.0,0.0,64.0,66.0,62.0,77.0,67.0,68.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,238.0,26.0,9.0,0.0,0.0,64.0,66.0,62.0,77.0,67.0,68.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
