Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PCTH,PCAR,PBTK,PTRK,PCOD,PBCV,PSTF,PSPM,PJUM,PJMP
72,237.0,29.0,16.0,0.0,0.0,54.0,75.0,77.0,76.0,56.0,61.0,55.0,59.0,59.0,0.0,0,0.0,0.0,0.0,0.0,68.0
67,180.0,27.0,6.0,0.0,0.0,49.0,77.0,73.0,77.0,60.0,63.0,55.0,53.0,47.0,0.0,0,0.0,0.0,0.0,0.0,67.0
70,240.0,28.0,3.0,0.0,0.0,48.0,64.0,52.0,54.0,63.0,48.0,56.0,52.0,58.0,0.0,0,0.0,0.0,0.0,0.0,47.0
72,252.0,27.0,0.0,0.0,0.0,44.0,76.0,77.0,77.0,59.0,54.0,56.0,59.0,60.0,0.0,0,0.0,0.0,0.0,0.0,68.0
72,222.0,31.0,8.0,0.0,1.0,42.0,57.0,55.0,53.0,65.0,48.0,46.0,52.0,56.0,0.0,0,0.0,0.0,0.0,0.0,41.0
72,230.0,27.0,0.0,0.0,0.0,40.0,63.0,54.0,58.0,55.0,58.0,53.0,54.0,52.0,0.0,0,0.0,0.0,0.0,0.0,52.0
72,228.0,25.0,0.0,0.0,0.0,39.0,58.0,55.0,55.0,64.0,47.0,44.0,53.0,53.0,0.0,0,0.0,0.0,0.0,0.0,49.0
73,220.0,24.0,0.0,0.0,0.0,37.0,57.0,50.0,61.0,52.0,55.0,53.0,54.0,48.0,0.0,0,0.0,0.0,0.0,0.0,47.0
70,211.0,27.0,132.0,3.0,7.0,99.0,93.0,96.0,99.0,62.0,99.0,85.0,96.0,88.0,0.0,0,0.0,0.0,0.0,0.0,85.0
73,251.0,26.0,49.0,3.0,6.0,95.0,79.0,82.0,73.0,76.0,95.0,68.0,61.0,95.0,0.0,0,0.0,0.0,0.0,0.0,66.0
72,216.0,22.0,113.0,1.0,4.0,95.0,90.0,95.0,95.0,68.0,90.0,81.0,83.0,94.0,0.0,0,0.0,0.0,0.0,0.0,83.0
72,230.0,0.0,9.0,0.0,0.0,94.0,68.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
73,227.0,24.0,0.0,0.0,0.0,93.0,93.0,96.0,92.0,67.0,90.0,65.0,93.0,95.0,0.0,0,0.0,0.0,0.0,0.0,85.0
73,227.0,24.0,88.0,0.0,1.0,93.0,93.0,96.0,92.0,67.0,90.0,65.0,93.0,95.0,0.0,0,0.0,0.0,0.0,0.0,85.0
72,235.0,31.0,13.0,0.0,2.0,93.0,60.0,59.0,51.0,78.0,87.0,59.0,82.0,70.0,0.0,0,0.0,0.0,0.0,0.0,36.0
75,240.0,26.0,76.0,1.0,4.0,93.0,87.0,91.0,87.0,73.0,94.0,73.0,88.0,97.0,0.0,0,0.0,0.0,0.0,0.0,81.0
73,225.0,24.0,74.0,0.0,4.0,92.0,89.0,93.0,91.0,67.0,90.0,62.0,94.0,94.0,0.0,0,0.0,0.0,0.0,0.0,82.0
72,225.0,32.0,53.0,1.0,3.0,92.0,77.0,76.0,72.0,68.0,90.0,76.0,81.0,66.0,0.0,0,0.0,0.0,0.0,0.0,70.0
71,210.0,27.0,102.0,1.0,5.0,91.0,86.0,91.0,87.0,66.0,92.0,80.0,94.0,89.0,0.0,0,0.0,0.0,0.0,0.0,81.0
74,230.0,28.0,29.0,0.0,1.0,90.0,75.0,70.0,73.0,66.0,81.0,76.0,80.0,69.0,0.0,0,0.0,0.0,0.0,0.0,58.0
73,250.0,29.0,23.0,1.0,1.0,90.0,63.0,61.0,57.0,70.0,82.0,61.0,79.0,73.0,0.0,0,0.0,0.0,0.0,0.0,55.0
71,240.0,29.0,14.0,2.0,4.0,88.0,62.0,60.0,52.0,72.0,85.0,49.0,79.0,70.0,0.0,0,0.0,0.0,0.0,0.0,51.0
71,232.0,31.0,22.0,0.0,0.0,88.0,66.0,64.0,58.0,73.0,84.0,64.0,77.0,70.0,0.0,0,0.0,0.0,0.0,0.0,58.0
72,234.0,26.0,56.0,0.0,3.0,88.0,85.0,93.0,83.0,71.0,89.0,61.0,92.0,96.0,0.0,0,0.0,0.0,0.0,0.0,83.0
73,235.0,28.0,0.0,0.0,1.0,87.0,76.0,81.0,70.0,73.0,78.0,66.0,80.0,88.0,0.0,0,0.0,0.0,0.0,0.0,70.0
73,240.0,26.0,13.0,0.0,0.0,87.0,74.0,74.0,66.0,74.0,72.0,66.0,79.0,76.0,0.0,0,0.0,0.0,0.0,0.0,63.0
71,211.0,27.0,73.0,3.0,3.0,86.0,87.0,92.0,87.0,70.0,96.0,62.0,94.0,87.0,0.0,0,0.0,0.0,0.0,0.0,81.0
72,215.0,21.0,69.0,1.0,1.0,86.0,88.0,93.0,86.0,70.0,84.0,65.0,80.0,95.0,0.0,0,0.0,0.0,0.0,0.0,81.0
68,180.0,25.0,96.0,0.0,3.0,85.0,92.0,91.0,96.0,57.0,86.0,74.0,94.0,66.0,0.0,0,0.0,0.0,0.0,0.0,74.0
75,272.0,23.0,14.0,0.0,0.0,85.0,64.0,65.0,59.0,80.0,65.0,62.0,55.0,64.0,0.0,0,0.0,0.0,0.0,0.0,59.0
69,209.0,31.0,129.0,4.0,8.0,84.0,81.0,89.0,85.0,69.0,98.0,66.0,88.0,85.0,0.0,0,0.0,0.0,0.0,0.0,83.0
71,235.0,27.0,49.0,1.0,1.0,84.0,83.0,92.0,85.0,67.0,87.0,65.0,87.0,89.0,0.0,0,0.0,0.0,0.0,0.0,82.0
70,236.0,23.0,0.0,0.0,0.0,84.0,86.0,94.0,87.0,70.0,88.0,63.0,74.0,94.0,0.0,0,0.0,0.0,0.0,0.0,80.0
70,236.0,23.0,77.0,1.0,1.0,84.0,86.0,94.0,87.0,70.0,88.0,63.0,74.0,94.0,0.0,0,0.0,0.0,0.0,0.0,80.0
73,217.0,31.0,100.0,0.0,5.0,84.0,84.0,83.0,86.0,64.0,90.0,75.0,85.0,87.0,0.0,0,0.0,0.0,0.0,0.0,72.0
72,230.0,26.0,0.0,0.0,0.0,83.0,86.0,89.0,84.0,70.0,77.0,62.0,85.0,91.0,0.0,0,0.0,0.0,0.0,0.0,69.0
72,230.0,26.0,37.0,0.0,0.0,83.0,86.0,89.0,84.0,70.0,77.0,62.0,85.0,91.0,0.0,0,0.0,0.0,0.0,0.0,69.0
72,246.0,28.0,13.0,0.0,0.0,83.0,66.0,63.0,63.0,75.0,76.0,60.0,76.0,72.0,0.0,0,0.0,0.0,0.0,0.0,58.0
69,187.0,28.0,71.0,0.0,1.0,83.0,85.0,87.0,89.0,61.0,83.0,70.0,87.0,81.0,0.0,0,0.0,0.0,0.0,0.0,77.0
75,255.0,23.0,9.0,0.0,0.0,82.0,70.0,72.0,67.0,74.0,66.0,64.0,72.0,81.0,0.0,0,0.0,0.0,0.0,0.0,68.0
73,242.0,28.0,22.0,0.0,0.0,82.0,69.0,70.0,60.0,73.0,80.0,62.0,79.0,75.0,0.0,0,0.0,0.0,0.0,0.0,59.0
71,251.0,28.0,81.0,2.0,6.0,82.0,78.0,88.0,77.0,72.0,92.0,56.0,94.0,97.0,0.0,0,0.0,0.0,0.0,0.0,77.0
72,235.0,26.0,13.0,0.0,1.0,81.0,70.0,64.0,63.0,73.0,70.0,67.0,78.0,70.0,0.0,0,0.0,0.0,0.0,0.0,58.0
70,222.0,22.0,129.0,3.0,5.0,81.0,89.0,92.0,88.0,65.0,64.0,65.0,82.0,83.0,0.0,0,0.0,0.0,0.0,0.0,73.0
71,220.0,25.0,52.0,0.0,0.0,81.0,83.0,86.0,84.0,64.0,85.0,65.0,89.0,87.0,0.0,0,0.0,0.0,0.0,0.0,79.0
72,213.0,23.0,83.0,0.0,4.0,81.0,91.0,92.0,88.0,63.0,82.0,77.0,69.0,79.0,0.0,0,0.0,0.0,0.0,0.0,73.0
71,225.0,29.0,33.0,0.0,0.0,79.0,81.0,85.0,84.0,66.0,86.0,59.0,85.0,86.0,0.0,0,0.0,0.0,0.0,0.0,67.0
72,245.0,27.0,14.0,0.0,0.0,79.0,73.0,78.0,76.0,68.0,77.0,64.0,78.0,80.0,0.0,0,0.0,0.0,0.0,0.0,70.0
72,244.0,27.0,1.0,0.0,0.0,79.0,67.0,63.0,62.0,73.0,64.0,61.0,68.0,72.0,0.0,0,0.0,0.0,0.0,0.0,57.0
72,244.0,27.0,0.0,0.0,0.0,79.0,67.0,63.0,62.0,73.0,64.0,61.0,68.0,72.0,0.0,0,0.0,0.0,0.0,0.0,57.0
72,244.0,27.0,11.0,0.0,0.0,79.0,67.0,63.0,62.0,73.0,64.0,61.0,68.0,72.0,0.0,0,0.0,0.0,0.0,0.0,57.0
72,244.0,27.0,2.0,0.0,0.0,79.0,67.0,63.0,62.0,73.0,64.0,61.0,68.0,72.0,0.0,0,0.0,0.0,0.0,0.0,57.0
72,244.0,27.0,20.0,0.0,0.0,79.0,67.0,63.0,62.0,73.0,64.0,61.0,68.0,72.0,0.0,0,0.0,0.0,0.0,0.0,57.0
74,240.0,28.0,4.0,0.0,0.0,79.0,64.0,62.0,55.0,74.0,68.0,60.0,71.0,66.0,0.0,0,0.0,0.0,0.0,0.0,56.0
72,254.0,27.0,6.0,0.0,0.0,78.0,65.0,62.0,59.0,75.0,68.0,59.0,71.0,72.0,0.0,0,0.0,0.0,0.0,0.0,56.0
73,226.0,28.0,0.0,0.0,0.0,78.0,79.0,87.0,80.0,65.0,84.0,60.0,89.0,85.0,0.0,0,0.0,0.0,0.0,0.0,73.0
73,226.0,28.0,46.0,0.0,0.0,78.0,79.0,87.0,80.0,65.0,84.0,60.0,89.0,85.0,0.0,0,0.0,0.0,0.0,0.0,73.0
73,250.0,25.0,11.0,0.0,0.0,78.0,67.0,64.0,60.0,72.0,66.0,58.0,75.0,68.0,0.0,0,0.0,0.0,0.0,0.0,58.0
72,218.0,23.0,68.0,1.0,3.0,78.0,85.0,92.0,88.0,59.0,69.0,70.0,73.0,80.0,0.0,0,0.0,0.0,0.0,0.0,77.0
73,240.0,25.0,0.0,0.0,0.0,77.0,64.0,62.0,55.0,72.0,80.0,65.0,74.0,69.0,0.0,0,0.0,0.0,0.0,0.0,56.0
73,228.0,30.0,54.0,0.0,1.0,77.0,78.0,81.0,84.0,65.0,82.0,68.0,90.0,83.0,0.0,0,0.0,0.0,0.0,0.0,76.0
73,220.0,22.0,55.0,0.0,2.0,77.0,87.0,89.0,89.0,63.0,63.0,74.0,74.0,74.0,0.0,0,0.0,0.0,0.0,0.0,76.0
70,215.0,25.0,9.0,0.0,0.0,76.0,82.0,82.0,87.0,59.0,76.0,67.0,84.0,74.0,0.0,0,0.0,0.0,0.0,0.0,65.0
72,220.0,23.0,27.0,0.0,0.0,76.0,84.0,86.0,84.0,67.0,71.0,71.0,69.0,79.0,0.0,0,0.0,0.0,0.0,0.0,76.0
70,200.0,25.0,103.0,1.0,3.0,76.0,89.0,90.0,90.0,60.0,83.0,77.0,63.0,67.0,0.0,0,0.0,0.0,0.0,0.0,72.0
72,235.0,28.0,39.0,0.0,0.0,76.0,78.0,82.0,80.0,68.0,79.0,60.0,74.0,92.0,0.0,0,0.0,0.0,0.0,0.0,76.0
72,232.0,28.0,0.0,0.0,0.0,75.0,64.0,61.0,55.0,72.0,71.0,61.0,73.0,66.0,0.0,0,0.0,0.0,0.0,0.0,54.0
72,214.0,25.0,50.0,0.0,0.0,75.0,87.0,86.0,87.0,61.0,75.0,72.0,65.0,75.0,0.0,0,0.0,0.0,0.0,0.0,79.0
69,205.0,26.0,0.0,0.0,0.0,75.0,84.0,85.0,84.0,58.0,78.0,57.0,91.0,74.0,0.0,0,0.0,0.0,0.0,0.0,76.0
70,255.0,22.0,23.0,0.0,0.0,75.0,76.0,85.0,74.0,71.0,75.0,49.0,98.0,90.0,0.0,0,0.0,0.0,0.0,0.0,76.0
72,235.0,28.0,0.0,0.0,1.0,75.0,63.0,60.0,53.0,74.0,77.0,56.0,68.0,66.0,0.0,0,0.0,0.0,0.0,0.0,53.0
71,218.0,25.0,16.0,0.0,0.0,74.0,84.0,82.0,82.0,65.0,69.0,57.0,81.0,85.0,0.0,0,0.0,0.0,0.0,0.0,78.0
71,226.0,33.0,0.0,0.0,1.0,74.0,77.0,83.0,83.0,61.0,79.0,65.0,70.0,74.0,0.0,0,0.0,0.0,0.0,0.0,73.0
72,215.0,26.0,26.0,0.0,0.0,74.0,85.0,84.0,85.0,58.0,75.0,64.0,83.0,76.0,0.0,0,0.0,0.0,0.0,0.0,76.0
72,229.0,25.0,14.0,0.0,0.0,74.0,64.0,65.0,60.0,74.0,65.0,61.0,69.0,69.0,0.0,0,0.0,0.0,0.0,0.0,59.0
71,211.0,29.0,26.0,0.0,0.0,73.0,78.0,82.0,81.0,59.0,77.0,57.0,95.0,75.0,0.0,0,0.0,0.0,0.0,0.0,72.0
72,235.0,25.0,0.0,0.0,0.0,73.0,65.0,62.0,53.0,68.0,65.0,61.0,64.0,68.0,0.0,0,0.0,0.0,0.0,0.0,52.0
72,235.0,25.0,5.0,0.0,0.0,73.0,65.0,62.0,53.0,68.0,65.0,61.0,64.0,68.0,0.0,0,0.0,0.0,0.0,0.0,52.0
71,245.0,28.0,0.0,0.0,0.0,72.0,67.0,63.0,60.0,73.0,61.0,60.0,69.0,71.0,0.0,0,0.0,0.0,0.0,0.0,57.0
71,218.0,22.0,30.0,0.0,0.0,72.0,83.0,85.0,84.0,63.0,58.0,63.0,75.0,75.0,0.0,0,0.0,0.0,0.0,0.0,77.0
68,197.0,24.0,56.0,0.0,0.0,72.0,84.0,83.0,86.0,58.0,66.0,72.0,78.0,69.0,0.0,0,0.0,0.0,0.0,0.0,72.0
70,208.0,23.0,34.0,0.0,1.0,72.0,92.0,90.0,81.0,61.0,56.0,54.0,79.0,78.0,0.0,0,0.0,0.0,0.0,0.0,73.0
70,208.0,23.0,0.0,0.0,0.0,72.0,92.0,90.0,81.0,61.0,56.0,54.0,79.0,78.0,0.0,0,0.0,0.0,0.0,0.0,73.0
70,208.0,23.0,1.0,0.0,0.0,72.0,92.0,90.0,81.0,61.0,56.0,54.0,79.0,78.0,0.0,0,0.0,0.0,0.0,0.0,73.0
70,208.0,23.0,0.0,0.0,0.0,72.0,92.0,90.0,81.0,61.0,56.0,54.0,79.0,78.0,0.0,0,0.0,0.0,0.0,0.0,73.0
74,225.0,23.0,4.0,0.0,0.0,71.0,79.0,86.0,81.0,63.0,62.0,64.0,87.0,76.0,0.0,0,0.0,0.0,0.0,0.0,77.0
70,212.0,22.0,62.0,0.0,1.0,71.0,85.0,86.0,86.0,60.0,59.0,64.0,64.0,77.0,0.0,0,0.0,0.0,0.0,0.0,79.0
73,230.0,26.0,7.0,0.0,0.0,71.0,78.0,85.0,85.0,61.0,67.0,63.0,70.0,78.0,0.0,0,0.0,0.0,0.0,0.0,76.0
72,241.0,22.0,8.0,0.0,0.0,71.0,73.0,76.0,69.0,64.0,55.0,65.0,72.0,62.0,0.0,0,0.0,0.0,0.0,0.0,59.0
71,217.0,27.0,0.0,0.0,0.0,71.0,65.0,61.0,57.0,70.0,61.0,61.0,70.0,70.0,0.0,0,0.0,0.0,0.0,0.0,56.0
71,220.0,21.0,41.0,0.0,1.0,70.0,83.0,86.0,81.0,64.0,53.0,56.0,79.0,76.0,0.0,0,0.0,0.0,0.0,0.0,74.0
70,247.0,24.0,3.0,0.0,0.0,70.0,63.0,63.0,55.0,73.0,53.0,59.0,71.0,74.0,0.0,0,0.0,0.0,0.0,0.0,57.0
73,235.0,24.0,0.0,0.0,0.0,70.0,61.0,62.0,50.0,67.0,68.0,63.0,78.0,66.0,0.0,0,0.0,0.0,0.0,0.0,49.0
73,231.0,31.0,0.0,0.0,0.0,70.0,59.0,64.0,51.0,65.0,67.0,63.0,78.0,71.0,0.0,0,0.0,0.0,0.0,0.0,49.0
73,231.0,31.0,18.0,0.0,0.0,70.0,59.0,64.0,51.0,65.0,67.0,63.0,78.0,71.0,0.0,0,0.0,0.0,0.0,0.0,49.0
70,208.0,32.0,60.0,0.0,1.0,70.0,71.0,82.0,84.0,62.0,81.0,64.0,71.0,77.0,0.0,0,0.0,0.0,0.0,0.0,72.0
72,238.0,25.0,9.0,0.0,0.0,70.0,76.0,84.0,81.0,66.0,64.0,57.0,75.0,83.0,0.0,0,0.0,0.0,0.0,0.0,73.0
74,225.0,24.0,0.0,0.0,0.0,70.0,77.0,75.0,65.0,70.0,68.0,60.0,75.0,82.0,0.0,0,0.0,0.0,0.0,0.0,68.0
71,224.0,27.0,15.0,0.0,0.0,70.0,83.0,84.0,81.0,63.0,69.0,64.0,70.0,72.0,0.0,0,0.0,0.0,0.0,0.0,73.0
73,235.0,22.0,36.0,0.0,0.0,69.0,81.0,85.0,80.0,66.0,61.0,64.0,71.0,72.0,0.0,0,0.0,0.0,0.0,0.0,64.0
73,252.0,25.0,0.0,0.0,0.0,69.0,65.0,63.0,60.0,75.0,60.0,53.0,67.0,65.0,0.0,0,0.0,0.0,0.0,0.0,58.0
73,252.0,25.0,21.0,0.0,0.0,69.0,65.0,63.0,60.0,75.0,60.0,53.0,67.0,65.0,0.0,0,0.0,0.0,0.0,0.0,58.0
70,221.0,32.0,39.0,1.0,1.0,69.0,88.0,87.0,86.0,57.0,74.0,66.0,70.0,58.0,0.0,0,0.0,0.0,0.0,0.0,68.0
70,221.0,32.0,2.0,0.0,0.0,69.0,88.0,87.0,86.0,57.0,74.0,66.0,70.0,58.0,0.0,0,0.0,0.0,0.0,0.0,68.0
75,249.0,27.0,0.0,0.0,0.0,69.0,68.0,66.0,59.0,73.0,65.0,50.0,68.0,70.0,0.0,0,0.0,0.0,0.0,0.0,57.0
71,219.0,30.0,71.0,0.0,2.0,68.0,78.0,71.0,74.0,62.0,85.0,65.0,75.0,80.0,0.0,0,0.0,0.0,0.0,0.0,43.0
72,235.0,23.0,21.0,0.0,0.0,68.0,76.0,76.0,77.0,68.0,65.0,62.0,78.0,75.0,0.0,0,0.0,0.0,0.0,0.0,62.0
75,260.0,25.0,0.0,0.0,0.0,68.0,63.0,62.0,54.0,72.0,61.0,59.0,70.0,68.0,0.0,0,0.0,0.0,0.0,0.0,57.0
72,230.0,25.0,9.0,0.0,0.0,67.0,85.0,82.0,84.0,59.0,67.0,57.0,69.0,68.0,0.0,0,0.0,0.0,0.0,0.0,72.0
71,207.0,25.0,0.0,0.0,0.0,67.0,81.0,85.0,83.0,59.0,57.0,63.0,73.0,70.0,0.0,0,0.0,0.0,0.0,0.0,80.0
71,207.0,25.0,0.0,0.0,0.0,67.0,81.0,85.0,83.0,59.0,57.0,63.0,73.0,70.0,0.0,0,0.0,0.0,0.0,0.0,80.0
71,207.0,25.0,9.0,0.0,0.0,67.0,81.0,85.0,83.0,59.0,57.0,63.0,73.0,70.0,0.0,0,0.0,0.0,0.0,0.0,80.0
70,193.0,22.0,10.0,0.0,0.0,67.0,86.0,87.0,87.0,57.0,56.0,71.0,68.0,59.0,0.0,0,0.0,0.0,0.0,0.0,74.0
74,225.0,28.0,48.0,0.0,0.0,67.0,74.0,84.0,81.0,63.0,72.0,56.0,72.0,74.0,0.0,0,0.0,0.0,0.0,0.0,74.0
71,220.0,24.0,14.0,0.0,0.0,67.0,75.0,72.0,68.0,70.0,68.0,62.0,81.0,80.0,0.0,0,0.0,0.0,0.0,0.0,68.0
73,225.0,23.0,27.0,0.0,0.0,66.0,79.0,81.0,78.0,67.0,62.0,59.0,65.0,77.0,0.0,0,0.0,0.0,0.0,0.0,72.0
72,252.0,25.0,0.0,0.0,0.0,66.0,66.0,63.0,57.0,69.0,54.0,62.0,71.0,69.0,0.0,0,0.0,0.0,0.0,0.0,57.0
71,214.0,29.0,37.0,0.0,0.0,66.0,78.0,79.0,81.0,58.0,77.0,64.0,72.0,66.0,0.0,0,0.0,0.0,0.0,0.0,71.0
70,230.0,31.0,2.0,0.0,0.0,66.0,77.0,83.0,81.0,57.0,64.0,55.0,71.0,78.0,0.0,0,0.0,0.0,0.0,0.0,74.0
70,188.0,23.0,0.0,0.0,0.0,66.0,83.0,82.0,84.0,55.0,55.0,62.0,64.0,70.0,0.0,0,0.0,0.0,0.0,0.0,74.0
68,185.0,23.0,10.0,0.0,0.0,66.0,87.0,85.0,85.0,56.0,64.0,71.0,64.0,56.0,0.0,0,0.0,0.0,0.0,0.0,72.0
71,224.0,32.0,43.0,0.0,1.0,65.0,69.0,75.0,76.0,59.0,71.0,57.0,79.0,79.0,0.0,0,0.0,0.0,0.0,0.0,71.0
71,226.0,22.0,4.0,0.0,0.0,65.0,77.0,79.0,83.0,57.0,68.0,63.0,65.0,71.0,0.0,0,0.0,0.0,0.0,0.0,74.0
73,200.0,26.0,29.0,0.0,0.0,65.0,79.0,77.0,82.0,56.0,60.0,66.0,68.0,69.0,0.0,0,0.0,0.0,0.0,0.0,69.0
74,262.0,25.0,5.0,0.0,0.0,64.0,71.0,70.0,72.0,70.0,64.0,59.0,74.0,79.0,0.0,0,0.0,0.0,0.0,0.0,68.0
71,216.0,22.0,9.0,0.0,0.0,64.0,85.0,85.0,85.0,57.0,70.0,62.0,68.0,58.0,0.0,0,0.0,0.0,0.0,0.0,74.0
73,213.0,30.0,47.0,0.0,0.0,64.0,77.0,79.0,81.0,58.0,80.0,69.0,67.0,69.0,0.0,0,0.0,0.0,0.0,0.0,70.0
70,210.0,23.0,0.0,0.0,0.0,63.0,88.0,86.0,82.0,59.0,52.0,55.0,61.0,66.0,0.0,0,0.0,0.0,0.0,0.0,77.0
70,225.0,21.0,46.0,0.0,1.0,63.0,78.0,81.0,76.0,63.0,47.0,51.0,71.0,79.0,0.0,0,0.0,0.0,0.0,0.0,73.0
70,193.0,32.0,9.0,0.0,1.0,63.0,76.0,82.0,76.0,61.0,67.0,58.0,68.0,71.0,0.0,0,0.0,0.0,0.0,0.0,72.0
69,179.0,24.0,3.0,0.0,0.0,63.0,85.0,81.0,84.0,53.0,61.0,64.0,65.0,59.0,0.0,0,0.0,0.0,0.0,0.0,80.0
70,210.0,23.0,3.0,0.0,0.0,63.0,84.0,84.0,83.0,57.0,56.0,62.0,63.0,61.0,0.0,0,0.0,0.0,0.0,0.0,76.0
71,265.0,22.0,0.0,0.0,0.0,62.0,64.0,62.0,53.0,75.0,48.0,53.0,62.0,75.0,0.0,0,0.0,0.0,0.0,0.0,47.0
72,229.0,22.0,27.0,0.0,0.0,62.0,80.0,81.0,73.0,62.0,51.0,52.0,70.0,76.0,0.0,0,0.0,0.0,0.0,0.0,68.0
75,255.0,27.0,3.0,0.0,0.0,62.0,62.0,61.0,50.0,69.0,53.0,55.0,68.0,62.0,0.0,0,0.0,0.0,0.0,0.0,54.0
70,185.0,23.0,11.0,0.0,0.0,62.0,85.0,87.0,85.0,59.0,56.0,59.0,69.0,58.0,0.0,0,0.0,0.0,0.0,0.0,81.0
69,208.0,23.0,0.0,0.0,0.0,61.0,85.0,80.0,77.0,56.0,55.0,60.0,65.0,66.0,0.0,0,0.0,0.0,0.0,0.0,68.0
72,235.0,27.0,6.0,0.0,0.0,61.0,62.0,61.0,56.0,69.0,50.0,54.0,67.0,60.0,0.0,0,0.0,0.0,0.0,0.0,54.0
73,237.0,25.0,0.0,0.0,0.0,61.0,75.0,75.0,69.0,63.0,53.0,57.0,72.0,78.0,0.0,0,0.0,0.0,0.0,0.0,70.0
71,210.0,22.0,27.0,0.0,0.0,61.0,81.0,84.0,84.0,58.0,51.0,54.0,63.0,64.0,0.0,0,0.0,0.0,0.0,0.0,75.0
70,222.0,27.0,0.0,0.0,0.0,60.0,78.0,82.0,78.0,59.0,64.0,57.0,65.0,66.0,0.0,0,0.0,0.0,0.0,0.0,71.0
70,205.0,25.0,6.0,0.0,0.0,60.0,78.0,78.0,82.0,58.0,60.0,63.0,59.0,61.0,0.0,0,0.0,0.0,0.0,0.0,70.0
71,185.0,24.0,4.0,0.0,0.0,60.0,83.0,77.0,82.0,57.0,55.0,68.0,59.0,55.0,0.0,0,0.0,0.0,0.0,0.0,71.0
71,185.0,24.0,0.0,0.0,0.0,60.0,83.0,77.0,82.0,57.0,55.0,68.0,59.0,55.0,0.0,0,0.0,0.0,0.0,0.0,71.0
68,173.0,27.0,9.0,0.0,0.0,60.0,86.0,80.0,85.0,53.0,58.0,65.0,65.0,51.0,0.0,0,0.0,0.0,0.0,0.0,68.0
70,222.0,27.0,11.0,0.0,0.0,60.0,75.0,80.0,75.0,54.0,65.0,55.0,66.0,77.0,0.0,0,0.0,0.0,0.0,0.0,71.0
73,217.0,27.0,6.0,1.0,5.0,60.0,82.0,78.0,78.0,56.0,57.0,64.0,62.0,61.0,0.0,0,0.0,0.0,0.0,0.0,74.0
