Height,Weight,Age,wAV,AP1,PB,POVR,PKPW,PKAC
74,192.0,25.0,7.0,0.0,0.0,66.0,84.0,83.0
75,205.0,24.0,0.0,0.0,0.0,65.0,90.0,76.0
74,180.0,32.0,0.0,0.0,0.0,64.0,89.0,79.0
71,200.0,24.0,0.0,0.0,0.0,63.0,84.0,83.0
70,202.0,38.0,0.0,0.0,0.0,63.0,82.0,79.0
70,177.0,30.0,27.0,0.0,0.0,59.0,84.0,79.0
69,188.0,23.0,7.0,0.0,0.0,58.0,88.0,76.0
71,190.0,30.0,0.0,0.0,0.0,58.0,77.0,81.0
76,210.0,23.0,0.0,0.0,0.0,58.0,86.0,82.0
74,210.0,24.0,0.0,0.0,0.0,57.0,84.0,78.0
71,190.0,24.0,1.0,0.0,0.0,57.0,85.0,77.0
71,185.0,29.0,18.0,0.0,0.0,56.0,79.0,79.0
69,180.0,27.0,0.0,0.0,0.0,54.0,82.0,75.0
71,194.0,33.0,33.0,1.0,0.0,54.0,79.0,79.0
73,195.0,24.0,0.0,0.0,0.0,53.0,84.0,76.0
73,193.0,28.0,0.0,0.0,0.0,53.0,78.0,79.0
74,209.0,24.0,0.0,0.0,0.0,52.0,86.0,76.0
73,230.0,25.0,0.0,0.0,0.0,51.0,84.0,74.0
75,228.0,24.0,18.0,0.0,1.0,51.0,85.0,74.0
75,228.0,26.0,0.0,0.0,0.0,49.0,86.0,72.0
75,228.0,26.0,0.0,0.0,0.0,49.0,86.0,72.0
71,203.0,23.0,0.0,0.0,0.0,48.0,84.0,79.0
69,179.0,24.0,0.0,0.0,0.0,48.0,82.0,77.0
75,223.0,23.0,43.0,0.0,0.0,48.0,84.0,72.0
75,223.0,23.0,3.0,0.0,0.0,48.0,84.0,72.0
75,223.0,23.0,0.0,0.0,0.0,48.0,84.0,72.0
70,203.0,25.0,0.0,0.0,0.0,47.0,80.0,75.0
72,195.0,24.0,29.0,1.0,1.0,43.0,84.0,68.0
73,212.0,22.0,0.0,0.0,0.0,43.0,80.0,73.0
74,220.0,34.0,0.0,0.0,0.0,42.0,71.0,79.0
72,203.0,26.0,0.0,0.0,0.0,41.0,86.0,70.0
72,214.0,29.0,0.0,0.0,0.0,35.0,94.0,60.0
0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0
0,0.0,0.0,7.0,0.0,0.0,76.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0
0,0.0,0.0,19.0,0.0,0.0,67.0,0.0,0.0
0,0.0,0.0,45.0,1.0,1.0,97.0,0.0,0.0
0,0.0,0.0,18.0,0.0,0.0,64.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,81.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0
0,0.0,0.0,25.0,2.0,3.0,91.0,0.0,0.0
0,0.0,0.0,41.0,0.0,1.0,75.0,0.0,0.0
0,0.0,0.0,20.0,0.0,0.0,91.0,0.0,0.0
0,0.0,0.0,17.0,0.0,0.0,86.0,0.0,0.0
0,0.0,0.0,18.0,0.0,0.0,67.0,0.0,0.0
0,0.0,0.0,5.0,0.0,0.0,67.0,0.0,0.0
0,0.0,0.0,29.0,1.0,1.0,34.0,0.0,0.0
0,0.0,0.0,29.0,1.0,1.0,87.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0
0,0.0,0.0,43.0,0.0,3.0,95.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0
0,0.0,0.0,48.0,0.0,2.0,84.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
0,0.0,0.0,3.0,0.0,0.0,82.0,0.0,0.0
0,0.0,0.0,51.0,1.0,4.0,82.0,0.0,0.0
0,0.0,0.0,42.0,0.0,1.0,82.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0
0,0.0,0.0,25.0,0.0,0.0,76.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,69.0,0.0,0.0
0,0.0,0.0,20.0,0.0,0.0,67.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0
0,0.0,0.0,18.0,0.0,0.0,46.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0
0,0.0,0.0,18.0,0.0,1.0,52.0,0.0,0.0
0,0.0,0.0,26.0,0.0,0.0,73.0,0.0,0.0
0,0.0,0.0,43.0,0.0,0.0,51.0,0.0,0.0
0,0.0,0.0,3.0,0.0,0.0,51.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,90.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0
0,0.0,0.0,20.0,0.0,0.0,81.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0
0,0.0,0.0,51.0,3.0,7.0,81.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0
0,0.0,0.0,28.0,0.0,0.0,70.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,88.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0
0,0.0,0.0,3.0,0.0,0.0,84.0,0.0,0.0
0,0.0,0.0,-2.0,0.0,0.0,58.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,81.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0
0,0.0,0.0,41.0,0.0,1.0,92.0,0.0,0.0
0,0.0,0.0,44.0,6.0,7.0,88.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0
0,0.0,0.0,27.0,0.0,0.0,70.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,95.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,83.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0
0,0.0,0.0,21.0,0.0,2.0,92.0,0.0,0.0
0,0.0,0.0,0.0,0.0,1.0,88.0,0.0,0.0
0,0.0,0.0,17.0,0.0,1.0,90.0,0.0,0.0
0,0.0,0.0,29.0,1.0,1.0,64.0,0.0,0.0
0,0.0,0.0,25.0,1.0,2.0,83.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0
0,0.0,0.0,7.0,0.0,0.0,70.0,0.0,0.0
0,0.0,0.0,3.0,0.0,0.0,83.0,83.0,91.0
0,0.0,0.0,51.0,1.0,4.0,83.0,83.0,91.0
0,0.0,0.0,42.0,0.0,1.0,83.0,83.0,91.0
0,0.0,0.0,0.0,0.0,1.0,81.0,87.0,88.0
0,0.0,0.0,0.0,0.0,0.0,79.0,88.0,84.0
0,0.0,0.0,0.0,0.0,0.0,76.0,88.0,84.0
0,0.0,0.0,0.0,0.0,0.0,68.0,89.0,79.0
0,0.0,0.0,0.0,0.0,0.0,65.0,84.0,83.0
0,0.0,0.0,0.0,0.0,0.0,99.0,94.0,95.0
0,0.0,0.0,25.0,2.0,3.0,98.0,93.0,92.0
0,0.0,0.0,0.0,0.0,0.0,98.0,92.0,94.0
0,0.0,0.0,0.0,0.0,0.0,95.0,92.0,93.0
0,0.0,0.0,0.0,0.0,0.0,95.0,91.0,93.0
0,0.0,0.0,17.0,0.0,1.0,95.0,95.0,90.0
0,0.0,0.0,20.0,0.0,0.0,95.0,91.0,92.0
0,0.0,0.0,44.0,6.0,7.0,94.0,95.0,88.0
0,0.0,0.0,0.0,0.0,0.0,94.0,90.0,92.0
0,0.0,0.0,45.0,1.0,1.0,93.0,89.0,93.0
0,0.0,0.0,0.0,0.0,1.0,93.0,92.0,91.0
0,0.0,0.0,0.0,0.0,0.0,93.0,92.0,91.0
0,0.0,0.0,0.0,0.0,0.0,93.0,93.0,91.0
0,0.0,0.0,29.0,1.0,1.0,92.0,90.0,91.0
0,0.0,0.0,43.0,0.0,3.0,92.0,97.0,85.0
0,0.0,0.0,0.0,0.0,1.0,91.0,88.0,93.0
0,0.0,0.0,0.0,0.0,1.0,91.0,96.0,84.0
0,0.0,0.0,41.0,0.0,1.0,90.0,98.0,85.0
0,0.0,0.0,17.0,0.0,0.0,90.0,89.0,92.0
0,0.0,0.0,0.0,0.0,0.0,89.0,91.0,90.0
0,0.0,0.0,21.0,0.0,2.0,89.0,91.0,89.0
0,0.0,0.0,0.0,0.0,0.0,89.0,86.0,92.0
0,0.0,0.0,25.0,1.0,2.0,88.0,86.0,92.0
0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,91.0
0,0.0,0.0,0.0,0.0,0.0,87.0,89.0,90.0
0,0.0,0.0,0.0,0.0,0.0,87.0,89.0,90.0
0,0.0,0.0,48.0,0.0,2.0,87.0,89.0,89.0
0,0.0,0.0,0.0,0.0,1.0,87.0,87.0,91.0
0,0.0,0.0,0.0,0.0,0.0,86.0,94.0,85.0
0,0.0,0.0,0.0,0.0,0.0,86.0,94.0,85.0
0,0.0,0.0,0.0,0.0,0.0,84.0,88.0,88.0
0,0.0,0.0,0.0,0.0,0.0,84.0,88.0,88.0
0,0.0,0.0,0.0,0.0,0.0,84.0,90.0,88.0
0,0.0,0.0,51.0,3.0,7.0,84.0,84.0,91.0
0,0.0,0.0,3.0,0.0,0.0,83.0,83.0,91.0
0,0.0,0.0,51.0,1.0,4.0,83.0,83.0,91.0
0,0.0,0.0,42.0,0.0,1.0,83.0,83.0,91.0
0,0.0,0.0,0.0,0.0,0.0,83.0,92.0,84.0
0,0.0,0.0,3.0,0.0,0.0,83.0,92.0,84.0
0,0.0,0.0,0.0,0.0,1.0,83.0,86.0,90.0
0,0.0,0.0,0.0,0.0,0.0,83.0,91.0,86.0
0,0.0,0.0,0.0,0.0,0.0,83.0,86.0,90.0
0,0.0,0.0,0.0,0.0,0.0,82.0,85.0,90.0
0,0.0,0.0,20.0,0.0,0.0,82.0,88.0,88.0
0,0.0,0.0,0.0,0.0,1.0,81.0,87.0,88.0
0,0.0,0.0,0.0,0.0,1.0,81.0,85.0,89.0
0,0.0,0.0,19.0,0.0,0.0,81.0,87.0,87.0
0,0.0,0.0,29.0,1.0,1.0,81.0,87.0,86.0
0,0.0,0.0,0.0,0.0,0.0,80.0,88.0,90.0
0,0.0,0.0,18.0,0.0,0.0,80.0,89.0,86.0
0,0.0,0.0,0.0,0.0,0.0,79.0,88.0,84.0
0,0.0,0.0,0.0,0.0,0.0,79.0,88.0,86.0
0,0.0,0.0,7.0,0.0,0.0,79.0,90.0,85.0
0,0.0,0.0,26.0,0.0,0.0,77.0,90.0,83.0
0,0.0,0.0,41.0,0.0,1.0,77.0,87.0,86.0
0,0.0,0.0,0.0,0.0,0.0,76.0,88.0,84.0
0,0.0,0.0,0.0,0.0,0.0,76.0,86.0,85.0
0,0.0,0.0,0.0,0.0,0.0,74.0,83.0,87.0
0,0.0,0.0,0.0,0.0,0.0,74.0,85.0,86.0
0,0.0,0.0,29.0,1.0,1.0,74.0,90.0,84.0
0,0.0,0.0,0.0,0.0,0.0,73.0,86.0,84.0
0,0.0,0.0,18.0,0.0,1.0,72.0,87.0,83.0
0,0.0,0.0,28.0,0.0,0.0,72.0,86.0,84.0
0,0.0,0.0,0.0,0.0,0.0,72.0,83.0,85.0
0,0.0,0.0,18.0,0.0,0.0,72.0,89.0,82.0
0,0.0,0.0,5.0,0.0,0.0,72.0,89.0,82.0
0,0.0,0.0,0.0,0.0,0.0,71.0,83.0,84.0
0,0.0,0.0,1.0,0.0,0.0,71.0,88.0,83.0
0,0.0,0.0,0.0,0.0,0.0,71.0,82.0,85.0
0,0.0,0.0,0.0,0.0,0.0,70.0,87.0,81.0
0,0.0,0.0,0.0,0.0,0.0,70.0,89.0,82.0
0,0.0,0.0,34.0,0.0,1.0,70.0,89.0,82.0
0,0.0,0.0,0.0,0.0,0.0,70.0,89.0,82.0
0,0.0,0.0,0.0,0.0,0.0,68.0,89.0,79.0
0,0.0,0.0,0.0,0.0,0.0,68.0,85.0,84.0
0,0.0,0.0,0.0,0.0,0.0,66.0,82.0,83.0
0,0.0,0.0,0.0,0.0,0.0,65.0,84.0,83.0
0,0.0,0.0,0.0,0.0,0.0,59.0,82.0,80.0
0,0.0,0.0,0.0,0.0,0.0,57.0,88.0,74.0
0,0.0,0.0,0.0,0.0,0.0,57.0,83.0,80.0
0,0.0,0.0,0.0,0.0,0.0,91.0,89.0,91.0
0,0.0,0.0,29.0,1.0,1.0,74.0,90.0,84.0
0,0.0,0.0,0.0,0.0,0.0,81.0,90.0,86.0
0,0.0,0.0,19.0,0.0,0.0,80.0,85.0,87.0
0,0.0,0.0,45.0,1.0,1.0,93.0,87.0,95.0
0,0.0,0.0,18.0,0.0,0.0,78.0,89.0,85.0
0,0.0,0.0,0.0,0.0,0.0,94.0,90.0,94.0
0,0.0,0.0,0.0,0.0,0.0,72.0,85.0,85.0
0,0.0,0.0,25.0,2.0,3.0,98.0,93.0,92.0
0,0.0,0.0,41.0,0.0,1.0,91.0,90.0,91.0
0,0.0,0.0,20.0,0.0,0.0,92.0,90.0,91.0
0,0.0,0.0,17.0,0.0,0.0,90.0,90.0,91.0
0,0.0,0.0,0.0,0.0,0.0,82.0,90.0,88.0
0,0.0,0.0,0.0,0.0,0.0,74.0,88.0,83.0
0,0.0,0.0,0.0,0.0,0.0,81.0,86.0,89.0
0,0.0,0.0,0.0,0.0,0.0,67.0,84.0,83.0
0,0.0,0.0,0.0,0.0,0.0,79.0,89.0,86.0
0,0.0,0.0,0.0,0.0,0.0,66.0,84.0,83.0
0,0.0,0.0,43.0,0.0,3.0,95.0,94.0,89.0
0,0.0,0.0,0.0,0.0,0.0,82.0,91.0,85.0
0,0.0,0.0,48.0,0.0,2.0,90.0,89.0,91.0
0,0.0,0.0,18.0,0.0,0.0,72.0,89.0,82.0
0,0.0,0.0,5.0,0.0,0.0,72.0,89.0,82.0
0,0.0,0.0,0.0,0.0,0.0,77.0,92.0,80.0
0,0.0,0.0,3.0,0.0,0.0,77.0,92.0,80.0
0,0.0,0.0,0.0,0.0,0.0,76.0,86.0,85.0
0,0.0,0.0,0.0,0.0,0.0,74.0,93.0,79.0
0,0.0,0.0,0.0,0.0,0.0,74.0,83.0,87.0
0,0.0,0.0,7.0,0.0,0.0,73.0,87.0,84.0
0,0.0,0.0,0.0,0.0,0.0,73.0,86.0,84.0
0,0.0,0.0,0.0,0.0,0.0,72.0,85.0,83.0
0,0.0,0.0,1.0,0.0,0.0,71.0,88.0,83.0
0,0.0,0.0,0.0,0.0,0.0,71.0,83.0,84.0
0,0.0,0.0,0.0,0.0,0.0,70.0,85.0,86.0
0,0.0,0.0,0.0,0.0,0.0,67.0,85.0,82.0
0,0.0,0.0,-2.0,0.0,0.0,55.0,84.0,75.0
0,0.0,0.0,0.0,0.0,0.0,90.0,89.0,91.0
0,0.0,0.0,1.0,0.0,0.0,71.0,84.0,90.0
0,0.0,0.0,0.0,0.0,0.0,86.0,87.0,91.0
0,0.0,0.0,26.0,0.0,0.0,81.0,89.0,87.0
0,0.0,0.0,0.0,0.0,1.0,99.0,94.0,97.0
0,0.0,0.0,0.0,0.0,0.0,99.0,94.0,97.0
0,0.0,0.0,20.0,0.0,0.0,86.0,89.0,89.0
0,0.0,0.0,0.0,0.0,0.0,90.0,94.0,87.0
0,0.0,0.0,0.0,0.0,0.0,66.0,87.0,80.0
0,0.0,0.0,51.0,3.0,7.0,86.0,85.0,91.0
0,0.0,0.0,0.0,0.0,0.0,72.0,85.0,84.0
0,0.0,0.0,0.0,0.0,0.0,93.0,94.0,89.0
0,0.0,0.0,0.0,0.0,1.0,76.0,84.0,87.0
0,0.0,0.0,0.0,0.0,1.0,85.0,94.0,82.0
0,0.0,0.0,0.0,0.0,0.0,79.0,88.0,87.0
0,0.0,0.0,0.0,0.0,0.0,96.0,94.0,90.0
0,0.0,0.0,0.0,0.0,0.0,89.0,88.0,92.0
0,0.0,0.0,0.0,0.0,0.0,89.0,88.0,92.0
0,0.0,0.0,21.0,0.0,2.0,89.0,91.0,89.0
0,0.0,0.0,0.0,0.0,1.0,85.0,87.0,90.0
0,0.0,0.0,0.0,0.0,1.0,83.0,83.0,93.0
0,0.0,0.0,0.0,0.0,0.0,74.0,86.0,86.0
0,0.0,0.0,7.0,0.0,0.0,72.0,89.0,82.0
0,0.0,0.0,28.0,0.0,0.0,84.0,89.0,88.0
0,0.0,0.0,0.0,0.0,0.0,76.0,87.0,85.0
0,0.0,0.0,44.0,6.0,7.0,98.0,97.0,89.0
0,0.0,0.0,41.0,0.0,1.0,92.0,98.0,87.0
0,0.0,0.0,0.0,0.0,0.0,96.0,93.0,92.0
0,0.0,0.0,0.0,0.0,0.0,77.0,86.0,87.0
0,0.0,0.0,29.0,1.0,1.0,92.0,90.0,90.0
0,0.0,0.0,0.0,0.0,0.0,83.0,88.0,90.0
0,0.0,0.0,21.0,1.0,2.0,78.0,90.0,87.0
0,0.0,0.0,23.0,0.0,0.0,77.0,93.0,81.0
0,0.0,0.0,27.0,0.0,0.0,77.0,85.0,87.0
0,0.0,0.0,0.0,0.0,0.0,72.0,86.0,84.0
0,0.0,0.0,0.0,0.0,0.0,82.0,92.0,86.0
0,0.0,0.0,34.0,0.0,1.0,82.0,92.0,86.0
0,0.0,0.0,0.0,0.0,0.0,81.0,88.0,85.0
0,0.0,0.0,0.0,0.0,1.0,89.0,88.0,92.0
0,0.0,0.0,0.0,0.0,0.0,88.0,87.0,90.0
0,0.0,0.0,17.0,0.0,1.0,88.0,94.0,87.0
0,0.0,0.0,18.0,0.0,1.0,79.0,90.0,84.0
0,0.0,0.0,25.0,1.0,2.0,96.0,91.0,92.0
0,0.0,0.0,0.0,0.0,0.0,87.0,93.0,87.0
0,0.0,0.0,0.0,0.0,0.0,85.0,95.0,84.0
0,0.0,0.0,0.0,0.0,0.0,85.0,95.0,84.0
0,0.0,0.0,29.0,1.0,1.0,84.0,88.0,87.0
0,0.0,0.0,0.0,0.0,0.0,91.0,89.0,91.0
0,0.0,0.0,29.0,1.0,1.0,83.0,94.0,86.0
0,0.0,0.0,27.0,0.0,0.0,77.0,85.0,87.0
0,0.0,0.0,0.0,0.0,0.0,70.0,83.0,85.0
0,0.0,0.0,45.0,1.0,1.0,94.0,86.0,96.0
0,0.0,0.0,18.0,0.0,0.0,78.0,89.0,85.0
0,0.0,0.0,0.0,0.0,0.0,94.0,90.0,94.0
0,0.0,0.0,0.0,0.0,0.0,77.0,86.0,87.0
0,0.0,0.0,41.0,0.0,1.0,87.0,90.0,88.0
0,0.0,0.0,0.0,0.0,0.0,75.0,86.0,85.0
0,0.0,0.0,20.0,0.0,0.0,92.0,90.0,91.0
0,0.0,0.0,28.0,0.0,0.0,85.0,88.0,90.0
0,0.0,0.0,0.0,0.0,0.0,87.0,90.0,90.0
0,0.0,0.0,0.0,0.0,0.0,84.0,90.0,89.0
0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,91.0
0,0.0,0.0,0.0,0.0,0.0,67.0,84.0,83.0
0,0.0,0.0,0.0,0.0,0.0,80.0,89.0,87.0
0,0.0,0.0,0.0,0.0,0.0,73.0,87.0,84.0
0,0.0,0.0,25.0,2.0,3.0,96.0,92.0,92.0
0,0.0,0.0,43.0,0.0,3.0,95.0,94.0,89.0
0,0.0,0.0,48.0,0.0,2.0,92.0,89.0,92.0
0,0.0,0.0,18.0,0.0,0.0,74.0,90.0,82.0
0,0.0,0.0,5.0,0.0,0.0,74.0,90.0,82.0
0,0.0,0.0,51.0,3.0,7.0,86.0,85.0,91.0
0,0.0,0.0,3.0,0.0,0.0,80.0,83.0,89.0
0,0.0,0.0,51.0,1.0,4.0,80.0,83.0,89.0
0,0.0,0.0,42.0,0.0,1.0,80.0,83.0,89.0
0,0.0,0.0,19.0,0.0,0.0,80.0,85.0,87.0
0,0.0,0.0,0.0,0.0,0.0,77.0,92.0,80.0
0,0.0,0.0,3.0,0.0,0.0,77.0,92.0,80.0
0,0.0,0.0,17.0,0.0,1.0,76.0,90.0,82.0
0,0.0,0.0,0.0,0.0,0.0,73.0,86.0,84.0
0,0.0,0.0,7.0,0.0,0.0,72.0,89.0,82.0
0,0.0,0.0,0.0,0.0,0.0,72.0,85.0,83.0
0,0.0,0.0,0.0,0.0,0.0,71.0,82.0,85.0
0,0.0,0.0,0.0,0.0,0.0,71.0,83.0,84.0
0,0.0,0.0,0.0,0.0,0.0,70.0,87.0,84.0
0,0.0,0.0,11.0,0.0,0.0,68.0,88.0,82.0
0,0.0,0.0,0.0,0.0,0.0,68.0,88.0,82.0
0,0.0,0.0,0.0,0.0,0.0,67.0,85.0,82.0
