Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PTAK,PPWM,PFNM,PBSH,PPUR,PPRC,PHTP
77,275.0,28.0,11.0,0.0,0.0,56.0,58.0,52.0,57.0,75.0,64.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
79,300.0,30.0,0.0,0.0,0.0,55.0,50.0,47.0,56.0,74.0,52.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
77,284.0,28.0,0.0,0.0,0.0,54.0,55.0,48.0,60.0,72.0,52.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
77,292.0,26.0,5.0,0.0,0.0,46.0,55.0,48.0,51.0,68.0,47.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
74,303.0,27.0,117.0,4.0,7.0,99.0,66.0,85.0,70.0,95.0,98.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
77,320.0,24.0,44.0,1.0,2.0,97.0,64.0,79.0,59.0,93.0,90.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
76,265.0,24.0,68.0,1.0,3.0,97.0,86.0,89.0,85.0,80.0,70.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
77,275.0,28.0,122.0,4.0,7.0,96.0,72.0,75.0,73.0,87.0,94.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
76,260.0,30.0,54.0,0.0,2.0,96.0,74.0,79.0,73.0,86.0,94.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
74,285.0,26.0,89.0,1.0,6.0,96.0,64.0,78.0,61.0,93.0,92.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
77,270.0,22.0,27.0,0.0,0.0,94.0,78.0,84.0,76.0,86.0,74.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
77,270.0,22.0,2.0,0.0,0.0,94.0,78.0,84.0,76.0,86.0,74.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
75,291.0,28.0,88.0,1.0,4.0,93.0,62.0,77.0,56.0,92.0,94.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
77,305.0,27.0,51.0,0.0,2.0,92.0,58.0,71.0,55.0,95.0,89.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
76,295.0,25.0,80.0,1.0,4.0,91.0,62.0,69.0,54.0,93.0,88.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
78,260.0,26.0,118.0,3.0,6.0,91.0,79.0,84.0,78.0,78.0,82.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
78,260.0,26.0,0.0,0.0,0.0,91.0,79.0,84.0,78.0,78.0,82.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
75,282.0,31.0,66.0,0.0,3.0,91.0,68.0,74.0,73.0,87.0,92.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
74,293.0,23.0,45.0,0.0,1.0,90.0,66.0,83.0,65.0,91.0,80.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
74,280.0,29.0,68.0,1.0,3.0,90.0,72.0,77.0,70.0,85.0,90.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
76,257.0,25.0,49.0,0.0,1.0,90.0,71.0,73.0,69.0,83.0,88.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
77,280.0,26.0,86.0,1.0,2.0,90.0,68.0,71.0,72.0,86.0,89.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
76,267.0,24.0,54.0,0.0,0.0,89.0,72.0,77.0,74.0,81.0,84.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
77,275.0,25.0,42.0,0.0,1.0,88.0,69.0,74.0,72.0,84.0,85.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
77,265.0,28.0,76.0,0.0,2.0,88.0,70.0,70.0,73.0,81.0,92.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
75,330.0,27.0,0.0,0.0,0.0,87.0,56.0,65.0,49.0,92.0,89.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
75,330.0,27.0,77.0,0.0,3.0,87.0,56.0,65.0,49.0,92.0,89.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
75,275.0,23.0,42.0,0.0,0.0,87.0,70.0,80.0,71.0,83.0,72.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
76,275.0,32.0,57.0,0.0,3.0,87.0,69.0,70.0,69.0,83.0,87.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
76,328.0,30.0,79.0,1.0,4.0,86.0,56.0,64.0,53.0,93.0,87.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
76,273.0,37.0,0.0,0.0,0.0,86.0,66.0,76.0,67.0,85.0,97.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
76,273.0,37.0,152.0,8.0,11.0,86.0,66.0,76.0,67.0,85.0,97.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
73,283.0,32.0,0.0,0.0,0.0,86.0,65.0,73.0,66.0,84.0,94.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
76,330.0,32.0,49.0,0.0,0.0,85.0,54.0,64.0,51.0,95.0,88.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
76,330.0,32.0,89.0,1.0,4.0,85.0,54.0,64.0,51.0,95.0,88.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
78,290.0,31.0,38.0,0.0,2.0,85.0,61.0,77.0,58.0,88.0,77.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
77,260.0,26.0,86.0,1.0,3.0,85.0,72.0,73.0,73.0,79.0,86.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
78,315.0,27.0,42.0,0.0,0.0,85.0,58.0,69.0,54.0,92.0,81.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
76,315.0,27.0,63.0,0.0,2.0,85.0,57.0,70.0,54.0,90.0,86.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
76,270.0,26.0,40.0,0.0,0.0,85.0,70.0,74.0,70.0,81.0,83.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
75,313.0,27.0,36.0,0.0,0.0,85.0,56.0,67.0,55.0,89.0,87.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
78,291.0,24.0,0.0,0.0,0.0,84.0,69.0,71.0,70.0,82.0,84.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
76,250.0,22.0,91.0,2.0,5.0,84.0,74.0,79.0,72.0,77.0,75.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
76,270.0,34.0,61.0,0.0,1.0,84.0,68.0,75.0,71.0,79.0,88.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
76,270.0,28.0,3.0,0.0,0.0,84.0,69.0,71.0,70.0,82.0,91.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
76,270.0,28.0,0.0,0.0,0.0,84.0,69.0,71.0,70.0,82.0,91.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
76,270.0,28.0,0.0,0.0,0.0,84.0,69.0,71.0,70.0,82.0,91.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
76,270.0,28.0,0.0,0.0,0.0,84.0,69.0,71.0,70.0,82.0,91.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
76,270.0,28.0,50.0,0.0,2.0,84.0,69.0,71.0,70.0,82.0,91.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
74,304.0,30.0,60.0,0.0,0.0,83.0,57.0,66.0,51.0,89.0,86.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
78,278.0,27.0,22.0,0.0,0.0,83.0,68.0,70.0,70.0,83.0,81.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
78,278.0,27.0,14.0,1.0,0.0,83.0,68.0,70.0,70.0,83.0,81.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
75,306.0,32.0,97.0,3.0,8.0,83.0,55.0,73.0,50.0,86.0,91.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
76,280.0,23.0,70.0,0.0,2.0,83.0,69.0,70.0,70.0,84.0,74.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
74,305.0,22.0,56.0,0.0,0.0,83.0,64.0,80.0,62.0,85.0,78.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
76,250.0,27.0,40.0,0.0,0.0,83.0,67.0,70.0,69.0,80.0,82.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
72,300.0,22.0,43.0,0.0,0.0,82.0,59.0,71.0,56.0,89.0,82.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
76,305.0,29.0,0.0,0.0,0.0,82.0,63.0,69.0,55.0,87.0,79.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
77,300.0,28.0,41.0,0.0,0.0,81.0,58.0,68.0,54.0,88.0,86.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
75,305.0,25.0,50.0,0.0,0.0,81.0,59.0,70.0,56.0,88.0,79.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
76,270.0,23.0,31.0,0.0,0.0,80.0,71.0,75.0,72.0,77.0,63.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
76,290.0,26.0,54.0,0.0,0.0,80.0,62.0,75.0,57.0,83.0,80.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
74,292.0,26.0,0.0,0.0,0.0,80.0,59.0,66.0,54.0,84.0,86.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
74,292.0,26.0,35.0,0.0,0.0,80.0,59.0,66.0,54.0,84.0,86.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
78,286.0,25.0,68.0,0.0,1.0,80.0,67.0,69.0,69.0,84.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
74,285.0,29.0,55.0,0.0,0.0,80.0,65.0,69.0,67.0,79.0,83.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
78,300.0,29.0,71.0,0.0,0.0,80.0,58.0,67.0,55.0,86.0,85.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
74,293.0,27.0,0.0,0.0,0.0,80.0,60.0,71.0,52.0,88.0,77.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
74,293.0,27.0,63.0,0.0,2.0,80.0,60.0,71.0,52.0,88.0,77.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
75,267.0,30.0,72.0,0.0,1.0,80.0,67.0,71.0,67.0,79.0,87.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
77,263.0,27.0,68.0,0.0,0.0,79.0,64.0,67.0,68.0,82.0,80.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
76,275.0,21.0,101.0,1.0,5.0,79.0,76.0,82.0,67.0,77.0,66.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
76,275.0,21.0,0.0,0.0,0.0,79.0,76.0,82.0,67.0,77.0,66.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
77,300.0,24.0,63.0,0.0,0.0,79.0,64.0,65.0,68.0,85.0,80.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
75,254.0,22.0,3.0,0.0,0.0,79.0,76.0,83.0,72.0,73.0,64.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
77,300.0,28.0,36.0,0.0,0.0,79.0,61.0,66.0,56.0,87.0,76.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
75,294.0,25.0,16.0,0.0,0.0,79.0,66.0,69.0,69.0,82.0,68.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
75,295.0,27.0,47.0,0.0,0.0,79.0,57.0,65.0,50.0,88.0,79.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
73,295.0,31.0,60.0,0.0,1.0,78.0,57.0,68.0,49.0,87.0,82.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
76,270.0,33.0,82.0,0.0,1.0,78.0,63.0,63.0,67.0,77.0,88.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
74,252.0,24.0,13.0,0.0,0.0,78.0,67.0,66.0,68.0,80.0,70.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
78,275.0,23.0,22.0,0.0,0.0,77.0,67.0,65.0,66.0,81.0,67.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
73,314.0,24.0,73.0,0.0,5.0,77.0,59.0,66.0,63.0,90.0,69.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
76,295.0,26.0,0.0,0.0,0.0,76.0,64.0,65.0,68.0,78.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
75,310.0,27.0,0.0,0.0,0.0,76.0,55.0,57.0,47.0,90.0,78.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
77,278.0,32.0,65.0,0.0,0.0,76.0,64.0,63.0,65.0,83.0,89.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
76,266.0,22.0,6.0,0.0,0.0,76.0,66.0,68.0,69.0,77.0,67.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
75,310.0,23.0,49.0,0.0,0.0,76.0,66.0,77.0,68.0,86.0,64.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
75,266.0,26.0,20.0,0.0,0.0,76.0,65.0,64.0,65.0,76.0,74.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
77,275.0,28.0,48.0,0.0,0.0,76.0,66.0,62.0,68.0,77.0,84.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
75,246.0,25.0,0.0,0.0,0.0,76.0,68.0,64.0,69.0,77.0,70.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
73,270.0,31.0,41.0,0.0,0.0,76.0,62.0,64.0,63.0,81.0,83.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
73,280.0,29.0,0.0,0.0,0.0,76.0,59.0,66.0,61.0,85.0,80.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
77,291.0,31.0,35.0,0.0,0.0,76.0,60.0,70.0,52.0,82.0,80.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
74,288.0,29.0,16.0,0.0,0.0,76.0,56.0,62.0,56.0,84.0,81.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
74,288.0,29.0,46.0,0.0,0.0,76.0,56.0,62.0,56.0,84.0,81.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
77,318.0,30.0,50.0,0.0,1.0,76.0,56.0,64.0,47.0,88.0,80.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
75,340.0,33.0,0.0,0.0,0.0,76.0,50.0,49.0,37.0,89.0,88.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
75,255.0,22.0,59.0,0.0,1.0,75.0,74.0,72.0,70.0,73.0,66.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
75,255.0,22.0,0.0,0.0,0.0,75.0,74.0,72.0,70.0,73.0,66.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
78,273.0,26.0,34.0,0.0,0.0,75.0,65.0,66.0,68.0,79.0,70.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
75,300.0,30.0,46.0,0.0,0.0,75.0,53.0,60.0,51.0,87.0,80.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
75,302.0,27.0,19.0,0.0,0.0,75.0,59.0,69.0,55.0,85.0,74.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
78,298.0,29.0,36.0,0.0,0.0,75.0,58.0,65.0,53.0,84.0,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
78,295.0,21.0,91.0,3.0,7.0,75.0,66.0,75.0,68.0,87.0,68.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
75,285.0,32.0,42.0,0.0,0.0,75.0,54.0,59.0,51.0,87.0,79.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
74,315.0,29.0,69.0,1.0,3.0,74.0,63.0,63.0,65.0,81.0,82.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
77,310.0,37.0,58.0,0.0,0.0,74.0,56.0,56.0,48.0,90.0,76.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
76,295.0,25.0,10.0,0.0,0.0,74.0,64.0,74.0,66.0,78.0,67.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
75,265.0,24.0,37.0,0.0,0.0,73.0,65.0,68.0,67.0,79.0,64.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
76,270.0,31.0,96.0,1.0,6.0,73.0,63.0,65.0,61.0,78.0,83.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
75,237.0,25.0,52.0,1.0,1.0,73.0,75.0,62.0,72.0,70.0,64.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
76,278.0,29.0,0.0,0.0,0.0,72.0,55.0,62.0,49.0,81.0,79.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
75,265.0,30.0,31.0,0.0,0.0,72.0,65.0,62.0,65.0,73.0,73.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
76,293.0,30.0,30.0,0.0,0.0,72.0,58.0,60.0,51.0,82.0,79.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
76,293.0,30.0,29.0,0.0,0.0,72.0,58.0,60.0,51.0,82.0,79.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
78,275.0,28.0,28.0,0.0,0.0,72.0,62.0,65.0,67.0,77.0,69.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
77,313.0,27.0,60.0,0.0,0.0,72.0,55.0,60.0,48.0,85.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
76,277.0,25.0,51.0,0.0,0.0,72.0,65.0,67.0,70.0,79.0,74.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
77,300.0,32.0,0.0,0.0,0.0,71.0,61.0,59.0,62.0,76.0,80.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
72,306.0,26.0,0.0,0.0,0.0,71.0,53.0,60.0,49.0,79.0,79.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
76,278.0,25.0,12.0,0.0,0.0,71.0,64.0,61.0,64.0,78.0,79.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
74,295.0,31.0,0.0,0.0,0.0,71.0,50.0,59.0,51.0,83.0,78.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
74,295.0,31.0,0.0,0.0,0.0,71.0,50.0,59.0,51.0,83.0,78.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
74,295.0,31.0,0.0,0.0,0.0,71.0,50.0,59.0,51.0,83.0,78.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
74,295.0,31.0,5.0,0.0,0.0,71.0,50.0,59.0,51.0,83.0,78.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
74,295.0,31.0,42.0,0.0,0.0,71.0,50.0,59.0,51.0,83.0,78.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
74,295.0,31.0,56.0,0.0,0.0,71.0,50.0,59.0,51.0,83.0,78.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
74,295.0,31.0,46.0,0.0,0.0,71.0,50.0,59.0,51.0,83.0,78.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
74,320.0,27.0,49.0,0.0,0.0,71.0,58.0,66.0,53.0,84.0,68.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
74,304.0,23.0,51.0,0.0,0.0,71.0,59.0,54.0,50.0,89.0,68.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
75,305.0,24.0,0.0,0.0,0.0,70.0,55.0,59.0,56.0,84.0,68.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
77,269.0,23.0,67.0,1.0,2.0,70.0,65.0,59.0,67.0,75.0,61.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
73,289.0,31.0,34.0,0.0,0.0,70.0,53.0,64.0,48.0,83.0,71.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
77,275.0,33.0,36.0,0.0,0.0,70.0,60.0,65.0,65.0,76.0,75.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
75,389.0,23.0,58.0,0.0,0.0,70.0,58.0,67.0,53.0,84.0,63.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
77,282.0,25.0,0.0,0.0,0.0,70.0,57.0,66.0,51.0,82.0,69.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
77,282.0,25.0,0.0,0.0,0.0,70.0,57.0,66.0,51.0,82.0,69.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
77,282.0,25.0,33.0,0.0,0.0,70.0,57.0,66.0,51.0,82.0,69.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
77,282.0,25.0,0.0,0.0,0.0,70.0,57.0,66.0,51.0,82.0,69.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
77,282.0,25.0,9.0,0.0,0.0,70.0,57.0,66.0,51.0,82.0,69.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
74,257.0,21.0,12.0,0.0,0.0,70.0,67.0,76.0,67.0,75.0,55.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
74,285.0,23.0,32.0,0.0,0.0,70.0,65.0,72.0,67.0,84.0,64.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
76,275.0,26.0,0.0,0.0,0.0,70.0,63.0,59.0,64.0,77.0,70.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
78,287.0,29.0,21.0,0.0,0.0,70.0,62.0,62.0,64.0,78.0,69.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
76,248.0,24.0,43.0,0.0,0.0,69.0,62.0,64.0,67.0,69.0,61.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
75,293.0,28.0,21.0,0.0,0.0,69.0,52.0,60.0,46.0,82.0,72.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
75,290.0,26.0,8.0,0.0,0.0,69.0,61.0,61.0,66.0,76.0,71.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
74,261.0,26.0,14.0,0.0,0.0,69.0,65.0,70.0,70.0,69.0,65.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
77,272.0,26.0,39.0,0.0,0.0,69.0,62.0,64.0,68.0,73.0,70.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
78,291.0,34.0,34.0,0.0,0.0,69.0,51.0,59.0,50.0,80.0,76.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
77,290.0,30.0,59.0,0.0,0.0,69.0,59.0,50.0,53.0,83.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
76,265.0,28.0,33.0,0.0,0.0,69.0,62.0,56.0,65.0,74.0,78.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
74,265.0,23.0,65.0,1.0,2.0,69.0,65.0,70.0,66.0,73.0,58.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
