Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PCTH,PSPC,PCIT,PSRR,PMRR,PDRR,PREL,PJMP,PCOD
74,197.0,27.0,44.0,0.0,0.0,79.0,83.0,84.0,86.0,54.0,82.0,86.0,0.0,0.0,0,0,0,0.0,82.0,0
74,215.0,29.0,0.0,0.0,0.0,79.0,79.0,82.0,83.0,57.0,80.0,87.0,0.0,0.0,0,0,0,0.0,91.0,0
70,185.0,33.0,65.0,0.0,1.0,78.0,84.0,81.0,85.0,54.0,85.0,87.0,0.0,0.0,0,0,0,0.0,77.0,0
76,218.0,29.0,48.0,0.0,0.0,78.0,85.0,87.0,84.0,58.0,79.0,78.0,0.0,0.0,0,0,0,0.0,88.0,0
70,179.0,23.0,38.0,0.0,0.0,78.0,98.0,95.0,95.0,42.0,70.0,75.0,0.0,0.0,0,0,0,0.0,80.0,0
75,213.0,22.0,17.0,0.0,0.0,77.0,88.0,89.0,88.0,58.0,66.0,76.0,0.0,0.0,0,0,0,0.0,90.0,0
75,213.0,22.0,11.0,0.0,0.0,77.0,88.0,89.0,88.0,58.0,66.0,76.0,0.0,0.0,0,0,0,0.0,90.0,0
70,192.0,27.0,54.0,0.0,0.0,77.0,81.0,79.0,83.0,49.0,85.0,90.0,0.0,0.0,0,0,0,0.0,74.0,0
74,206.0,31.0,0.0,0.0,0.0,77.0,85.0,86.0,85.0,56.0,80.0,83.0,0.0,0.0,0,0,0,0.0,73.0,0
74,206.0,31.0,59.0,0.0,0.0,77.0,85.0,86.0,85.0,56.0,80.0,83.0,0.0,0.0,0,0,0,0.0,73.0,0
72,200.0,25.0,0.0,0.0,0.0,77.0,91.0,91.0,85.0,55.0,76.0,74.0,0.0,0.0,0,0,0,0.0,85.0,0
76,224.0,30.0,78.0,3.0,4.0,77.0,77.0,75.0,81.0,55.0,90.0,91.0,0.0,0.0,0,0,0,0.0,88.0,0
70,187.0,26.0,86.0,1.0,2.0,77.0,87.0,82.0,87.0,55.0,79.0,80.0,0.0,0.0,0,0,0,0.0,79.0,0
75,203.0,31.0,0.0,0.0,1.0,76.0,83.0,83.0,83.0,55.0,83.0,85.0,0.0,0.0,0,0,0,0.0,80.0,0
71,180.0,31.0,54.0,0.0,0.0,76.0,86.0,86.0,83.0,55.0,79.0,77.0,0.0,0.0,0,0,0,0.0,85.0,0
73,175.0,34.0,66.0,0.0,1.0,76.0,84.0,88.0,84.0,53.0,78.0,80.0,0.0,0.0,0,0,0,0.0,77.0,0
70,175.0,22.0,72.0,0.0,1.0,76.0,94.0,92.0,95.0,46.0,65.0,73.0,0.0,0.0,0,0,0,0.0,84.0,0
75,205.0,29.0,39.0,0.0,0.0,76.0,85.0,86.0,83.0,56.0,78.0,77.0,0.0,0.0,0,0,0,0.0,80.0,0
72,200.0,28.0,13.0,0.0,0.0,76.0,84.0,85.0,84.0,56.0,78.0,81.0,0.0,0.0,0,0,0,0.0,79.0,0
72,200.0,28.0,6.0,0.0,0.0,76.0,84.0,85.0,84.0,56.0,78.0,81.0,0.0,0.0,0,0,0,0.0,79.0,0
72,200.0,28.0,39.0,0.0,0.0,76.0,84.0,85.0,84.0,56.0,78.0,81.0,0.0,0.0,0,0,0,0.0,79.0,0
72,200.0,28.0,47.0,0.0,0.0,76.0,84.0,85.0,84.0,56.0,78.0,81.0,0.0,0.0,0,0,0,0.0,79.0,0
72,200.0,28.0,7.0,0.0,0.0,76.0,84.0,85.0,84.0,56.0,78.0,81.0,0.0,0.0,0,0,0,0.0,79.0,0
73,195.0,22.0,30.0,0.0,0.0,76.0,87.0,89.0,87.0,55.0,70.0,78.0,0.0,0.0,0,0,0,0.0,89.0,0
70,188.0,25.0,7.0,0.0,0.0,75.0,87.0,85.0,88.0,49.0,72.0,78.0,0.0,0.0,0,0,0,0.0,82.0,0
70,188.0,25.0,33.0,0.0,0.0,75.0,87.0,85.0,88.0,49.0,72.0,78.0,0.0,0.0,0,0,0,0.0,82.0,0
70,188.0,25.0,11.0,0.0,0.0,75.0,87.0,85.0,88.0,49.0,72.0,78.0,0.0,0.0,0,0,0,0.0,82.0,0
72,194.0,29.0,62.0,0.0,0.0,75.0,84.0,82.0,85.0,54.0,80.0,84.0,0.0,0.0,0,0,0,0.0,69.0,0
71,187.0,22.0,13.0,0.0,0.0,75.0,89.0,89.0,88.0,55.0,65.0,73.0,0.0,0.0,0,0,0,0.0,88.0,0
74,198.0,26.0,9.0,0.0,0.0,75.0,85.0,85.0,87.0,54.0,72.0,79.0,0.0,0.0,0,0,0,0.0,86.0,0
76,208.0,25.0,18.0,0.0,0.0,75.0,80.0,78.0,84.0,56.0,72.0,84.0,0.0,0.0,0,0,0,0.0,86.0,0
75,217.0,27.0,17.0,0.0,0.0,75.0,85.0,86.0,84.0,58.0,72.0,82.0,0.0,0.0,0,0,0,0.0,81.0,0
70,190.0,29.0,56.0,0.0,1.0,75.0,87.0,85.0,87.0,52.0,80.0,82.0,0.0,0.0,0,0,0,0.0,66.0,0
72,190.0,32.0,56.0,0.0,0.0,75.0,81.0,84.0,84.0,58.0,85.0,80.0,0.0,0.0,0,0,0,0.0,71.0,0
72,197.0,24.0,88.0,0.0,4.0,75.0,86.0,85.0,87.0,53.0,74.0,79.0,0.0,0.0,0,0,0,0.0,80.0,0
73,201.0,25.0,22.0,0.0,0.0,75.0,84.0,85.0,85.0,54.0,73.0,80.0,0.0,0.0,0,0,0,0.0,85.0,0
72,205.0,26.0,17.0,0.0,0.0,74.0,84.0,85.0,84.0,56.0,70.0,80.0,0.0,0.0,0,0,0,0.0,81.0,0
69,192.0,23.0,19.0,0.0,0.0,74.0,87.0,89.0,87.0,51.0,73.0,74.0,0.0,0.0,0,0,0,0.0,84.0,0
72,195.0,22.0,116.0,1.0,6.0,73.0,81.0,83.0,84.0,51.0,67.0,80.0,0.0,0.0,0,0,0,0.0,86.0,0
68,180.0,25.0,30.0,0.0,0.0,72.0,95.0,90.0,86.0,52.0,69.0,68.0,0.0,0.0,0,0,0,0.0,85.0,0
72,187.0,25.0,15.0,0.0,0.0,72.0,84.0,86.0,85.0,53.0,75.0,74.0,0.0,0.0,0,0,0,0.0,79.0,0
72,179.0,26.0,24.0,0.0,0.0,72.0,87.0,88.0,86.0,53.0,70.0,75.0,0.0,0.0,0,0,0,0.0,72.0,0
74,200.0,21.0,35.0,0.0,1.0,72.0,91.0,95.0,93.0,55.0,56.0,69.0,0.0,0.0,0,0,0,0.0,82.0,0
71,180.0,23.0,22.0,0.0,0.0,71.0,85.0,83.0,84.0,50.0,69.0,76.0,0.0,0.0,0,0,0,0.0,82.0,0
68,179.0,25.0,0.0,0.0,0.0,71.0,88.0,87.0,89.0,42.0,68.0,72.0,0.0,0.0,0,0,0,0.0,78.0,0
74,190.0,36.0,98.0,0.0,7.0,71.0,72.0,80.0,83.0,52.0,84.0,82.0,0.0,0.0,0,0,0,0.0,69.0,0
72,188.0,33.0,77.0,1.0,5.0,71.0,81.0,78.0,79.0,53.0,85.0,79.0,0.0,0.0,0,0,0,0.0,71.0,0
67,175.0,25.0,22.0,1.0,2.0,71.0,93.0,86.0,87.0,41.0,67.0,74.0,0.0,0.0,0,0,0,0.0,74.0,0
70,180.0,24.0,11.0,0.0,0.0,71.0,86.0,86.0,83.0,54.0,68.0,73.0,0.0,0.0,0,0,0,0.0,91.0,0
70,180.0,24.0,5.0,0.0,0.0,71.0,86.0,86.0,83.0,54.0,68.0,73.0,0.0,0.0,0,0,0,0.0,91.0,0
74,216.0,23.0,25.0,0.0,0.0,71.0,86.0,85.0,83.0,59.0,60.0,71.0,0.0,0.0,0,0,0,0.0,93.0,0
71,180.0,23.0,44.0,0.0,0.0,70.0,87.0,87.0,86.0,53.0,66.0,75.0,0.0,0.0,0,0,0,0.0,69.0,0
72,190.0,25.0,5.0,0.0,0.0,70.0,84.0,85.0,84.0,51.0,65.0,80.0,0.0,0.0,0,0,0,0.0,74.0,0
75,200.0,22.0,6.0,0.0,0.0,70.0,84.0,84.0,84.0,57.0,64.0,71.0,0.0,0.0,0,0,0,0.0,91.0,0
75,170.0,23.0,25.0,0.0,0.0,70.0,87.0,88.0,83.0,44.0,70.0,69.0,0.0,0.0,0,0,0,0.0,87.0,0
78,225.0,23.0,70.0,0.0,0.0,70.0,84.0,86.0,84.0,58.0,57.0,72.0,0.0,0.0,0,0,0,0.0,92.0,0
73,198.0,28.0,0.0,0.0,0.0,69.0,85.0,82.0,85.0,51.0,73.0,71.0,0.0,0.0,0,0,0,0.0,79.0,0
75,216.0,33.0,53.0,0.0,0.0,69.0,82.0,81.0,81.0,53.0,80.0,71.0,0.0,0.0,0,0,0,0.0,79.0,0
73,204.0,23.0,20.0,0.0,0.0,68.0,87.0,88.0,89.0,47.0,56.0,68.0,0.0,0.0,0,0,0,0.0,84.0,0
70,185.0,30.0,18.0,0.0,1.0,68.0,88.0,92.0,93.0,50.0,71.0,59.0,0.0,0.0,0,0,0,0.0,73.0,0
73,188.0,25.0,10.0,0.0,0.0,68.0,82.0,80.0,86.0,52.0,69.0,71.0,0.0,0.0,0,0,0,0.0,86.0,0
73,188.0,28.0,29.0,0.0,0.0,68.0,84.0,75.0,84.0,51.0,65.0,75.0,0.0,0.0,0,0,0,0.0,86.0,0
72,197.0,24.0,0.0,0.0,0.0,67.0,84.0,81.0,82.0,50.0,68.0,75.0,0.0,0.0,0,0,0,0.0,66.0,0
74,210.0,22.0,5.0,0.0,0.0,67.0,80.0,82.0,81.0,57.0,65.0,74.0,0.0,0.0,0,0,0,0.0,75.0,0
73,182.0,24.0,6.0,0.0,0.0,67.0,84.0,79.0,83.0,53.0,64.0,73.0,0.0,0.0,0,0,0,0.0,77.0,0
69,184.0,25.0,20.0,0.0,0.0,67.0,88.0,85.0,85.0,50.0,68.0,72.0,0.0,0.0,0,0,0,0.0,69.0,0
73,203.0,31.0,48.0,0.0,2.0,67.0,78.0,79.0,82.0,53.0,75.0,76.0,0.0,0.0,0,0,0,0.0,75.0,0
71,185.0,24.0,6.0,0.0,0.0,67.0,91.0,88.0,85.0,52.0,59.0,64.0,0.0,0.0,0,0,0,0.0,82.0,0
73,212.0,29.0,0.0,0.0,0.0,67.0,81.0,79.0,82.0,51.0,68.0,73.0,0.0,0.0,0,0,0,0.0,84.0,0
73,212.0,29.0,0.0,0.0,0.0,67.0,81.0,79.0,82.0,51.0,68.0,73.0,0.0,0.0,0,0,0,0.0,84.0,0
73,212.0,29.0,30.0,0.0,0.0,67.0,81.0,79.0,82.0,51.0,68.0,73.0,0.0,0.0,0,0,0,0.0,84.0,0
72,186.0,25.0,27.0,0.0,0.0,67.0,83.0,83.0,82.0,50.0,69.0,68.0,0.0,0.0,0,0,0,0.0,84.0,0
73,193.0,23.0,23.0,0.0,0.0,66.0,81.0,83.0,79.0,53.0,66.0,70.0,0.0,0.0,0,0,0,0.0,79.0,0
74,204.0,23.0,85.0,2.0,6.0,66.0,87.0,88.0,87.0,54.0,55.0,66.0,0.0,0.0,0,0,0,0.0,80.0,0
72,193.0,26.0,13.0,0.0,0.0,66.0,85.0,81.0,82.0,52.0,68.0,77.0,0.0,0.0,0,0,0,0.0,69.0,0
68,185.0,24.0,1.0,0.0,0.0,66.0,82.0,79.0,84.0,46.0,66.0,72.0,0.0,0.0,0,0,0,0.0,79.0,0
72,168.0,24.0,5.0,0.0,0.0,66.0,81.0,84.0,88.0,44.0,57.0,71.0,0.0,0.0,0,0,0,0.0,80.0,0
71,209.0,23.0,58.0,0.0,1.0,66.0,88.0,90.0,85.0,57.0,53.0,60.0,0.0,0.0,0,0,0,0.0,97.0,0
71,197.0,24.0,44.0,0.0,0.0,66.0,84.0,82.0,80.0,54.0,65.0,72.0,0.0,0.0,0,0,0,0.0,77.0,0
71,215.0,24.0,48.0,0.0,1.0,65.0,81.0,81.0,82.0,54.0,62.0,69.0,0.0,0.0,0,0,0,0.0,80.0,0
73,200.0,23.0,6.0,0.0,0.0,65.0,83.0,85.0,86.0,51.0,58.0,68.0,0.0,0.0,0,0,0,0.0,73.0,0
72,195.0,27.0,69.0,0.0,0.0,65.0,90.0,85.0,77.0,53.0,70.0,66.0,0.0,0.0,0,0,0,0.0,71.0,0
71,190.0,25.0,7.0,0.0,0.0,65.0,83.0,78.0,83.0,50.0,64.0,73.0,0.0,0.0,0,0,0,0.0,80.0,0
72,187.0,24.0,29.0,0.0,0.0,65.0,83.0,79.0,84.0,47.0,69.0,67.0,0.0,0.0,0,0,0,0.0,75.0,0
72,187.0,23.0,4.0,0.0,0.0,65.0,80.0,83.0,84.0,54.0,65.0,69.0,0.0,0.0,0,0,0,0.0,70.0,0
74,220.0,21.0,18.0,0.0,0.0,65.0,86.0,87.0,86.0,55.0,55.0,64.0,0.0,0.0,0,0,0,0.0,84.0,0
73,215.0,21.0,18.0,0.0,0.0,64.0,86.0,87.0,82.0,55.0,52.0,65.0,0.0,0.0,0,0,0,0.0,84.0,0
68,197.0,23.0,6.0,0.0,0.0,64.0,80.0,77.0,79.0,53.0,64.0,69.0,0.0,0.0,0,0,0,0.0,79.0,0
73,192.0,26.0,3.0,0.0,0.0,64.0,82.0,80.0,83.0,48.0,63.0,71.0,0.0,0.0,0,0,0,0.0,83.0,0
75,199.0,24.0,1.0,0.0,0.0,64.0,81.0,83.0,82.0,50.0,52.0,69.0,0.0,0.0,0,0,0,0.0,87.0,0
74,220.0,22.0,33.0,0.0,0.0,64.0,86.0,85.0,84.0,51.0,53.0,65.0,0.0,0.0,0,0,0,0.0,86.0,0
72,186.0,27.0,0.0,0.0,0.0,64.0,83.0,78.0,77.0,53.0,69.0,69.0,0.0,0.0,0,0,0,0.0,86.0,0
68,170.0,23.0,12.0,0.0,0.0,64.0,84.0,89.0,85.0,40.0,56.0,69.0,0.0,0.0,0,0,0,0.0,73.0,0
70,175.0,22.0,41.0,0.0,0.0,63.0,88.0,89.0,84.0,48.0,56.0,60.0,0.0,0.0,0,0,0,0.0,81.0,0
69,173.0,24.0,0.0,0.0,0.0,63.0,88.0,89.0,86.0,52.0,59.0,62.0,0.0,0.0,0,0,0,0.0,81.0,0
73,205.0,24.0,27.0,0.0,0.0,63.0,87.0,84.0,81.0,50.0,65.0,65.0,0.0,0.0,0,0,0,0.0,74.0,0
73,206.0,25.0,3.0,0.0,0.0,63.0,85.0,82.0,83.0,50.0,65.0,66.0,0.0,0.0,0,0,0,0.0,77.0,0
73,206.0,25.0,8.0,0.0,0.0,63.0,85.0,82.0,83.0,50.0,65.0,66.0,0.0,0.0,0,0,0,0.0,77.0,0
74,215.0,24.0,10.0,0.0,0.0,62.0,81.0,74.0,79.0,52.0,56.0,68.0,0.0,0.0,0,0,0,0.0,90.0,0
73,192.0,23.0,0.0,0.0,0.0,62.0,80.0,74.0,80.0,51.0,69.0,71.0,0.0,0.0,0,0,0,0.0,73.0,0
77,230.0,25.0,31.0,0.0,0.0,62.0,79.0,71.0,81.0,55.0,63.0,75.0,0.0,0.0,0,0,0,0.0,65.0,0
70,188.0,32.0,64.0,2.0,3.0,62.0,85.0,79.0,84.0,49.0,70.0,64.0,0.0,0.0,0,0,0,0.0,71.0,0
67,170.0,23.0,5.0,0.0,0.0,61.0,84.0,83.0,81.0,44.0,56.0,65.0,0.0,0.0,0,0,0,0.0,79.0,0
72,190.0,22.0,7.0,0.0,0.0,61.0,82.0,84.0,83.0,49.0,53.0,65.0,0.0,0.0,0,0,0,0.0,78.0,0
70,193.0,30.0,43.0,0.0,0.0,61.0,75.0,72.0,75.0,52.0,71.0,74.0,0.0,0.0,0,0,0,0.0,76.0,0
74,200.0,32.0,7.0,0.0,0.0,61.0,81.0,84.0,79.0,50.0,57.0,69.0,0.0,0.0,0,0,0,0.0,69.0,0
70,176.0,29.0,39.0,0.0,0.0,61.0,81.0,73.0,75.0,46.0,74.0,76.0,0.0,0.0,0,0,0,0.0,65.0,0
71,189.0,22.0,0.0,0.0,0.0,60.0,85.0,88.0,86.0,52.0,46.0,58.0,0.0,0.0,0,0,0,0.0,83.0,0
71,180.0,25.0,11.0,0.0,0.0,60.0,90.0,88.0,82.0,45.0,58.0,57.0,0.0,0.0,0,0,0,0.0,88.0,0
68,187.0,23.0,0.0,0.0,0.0,60.0,83.0,84.0,84.0,46.0,54.0,64.0,0.0,0.0,0,0,0,0.0,69.0,0
73,194.0,30.0,7.0,0.0,0.0,60.0,75.0,76.0,80.0,50.0,60.0,70.0,0.0,0.0,0,0,0,0.0,70.0,0
70,191.0,32.0,42.0,0.0,0.0,60.0,70.0,70.0,73.0,49.0,77.0,72.0,0.0,0.0,0,0,0,0.0,70.0,0
71,190.0,22.0,68.0,0.0,1.0,60.0,97.0,92.0,83.0,53.0,52.0,51.0,0.0,0.0,0,0,0,0.0,78.0,0
70,190.0,26.0,0.0,0.0,0.0,60.0,82.0,78.0,82.0,49.0,58.0,65.0,0.0,0.0,0,0,0,0.0,75.0,0
72,170.0,24.0,1.0,0.0,0.0,59.0,81.0,76.0,80.0,49.0,56.0,67.0,0.0,0.0,0,0,0,0.0,71.0,0
73,190.0,29.0,26.0,0.0,0.0,59.0,79.0,70.0,70.0,52.0,65.0,70.0,0.0,0.0,0,0,0,0.0,70.0,0
71,182.0,28.0,0.0,0.0,0.0,59.0,84.0,76.0,74.0,43.0,57.0,66.0,0.0,0.0,0,0,0,0.0,81.0,0
73,209.0,22.0,33.0,0.0,0.0,59.0,81.0,82.0,83.0,52.0,50.0,61.0,0.0,0.0,0,0,0,0.0,81.0,0
72,205.0,23.0,0.0,0.0,0.0,58.0,81.0,84.0,82.0,52.0,54.0,57.0,0.0,0.0,0,0,0,0.0,80.0,0
70,170.0,29.0,0.0,0.0,0.0,58.0,92.0,87.0,82.0,51.0,60.0,50.0,0.0,0.0,0,0,0,0.0,78.0,0
76,207.0,24.0,0.0,0.0,0.0,58.0,84.0,83.0,81.0,50.0,49.0,59.0,0.0,0.0,0,0,0,0.0,87.0,0
70,201.0,23.0,1.0,0.0,0.0,58.0,76.0,83.0,77.0,50.0,58.0,66.0,0.0,0.0,0,0,0,0.0,76.0,0
72,185.0,24.0,1.0,0.0,0.0,58.0,79.0,79.0,73.0,48.0,64.0,64.0,0.0,0.0,0,0,0,0.0,74.0,0
72,190.0,25.0,0.0,0.0,0.0,57.0,75.0,78.0,74.0,49.0,58.0,68.0,0.0,0.0,0,0,0,0.0,75.0,0
