Height,Weight,Age,wAV,AP1,PB,POVR,PSPD,PACC,PAGI,PSTR,PAWR,PCTH,PMCV,PZCV,PPRS,PPRC,PJMP,PHTP
70,188.0,26.0,52.0,0.0,0.0,75.0,82.0,78.0,80.0,55.0,80.0,55.0,0.0,0.0,0.0,0.0,67.0,0.0
71,200.0,26.0,3.0,0.0,0.0,75.0,80.0,79.0,81.0,60.0,75.0,58.0,0.0,0.0,0.0,0.0,76.0,0.0
72,200.0,24.0,34.0,0.0,0.0,75.0,82.0,83.0,79.0,60.0,76.0,56.0,0.0,0.0,0.0,0.0,70.0,0.0
70,186.0,28.0,31.0,0.0,0.0,74.0,86.0,89.0,83.0,53.0,81.0,53.0,0.0,0.0,0.0,0.0,81.0,0.0
72,210.0,25.0,0.0,0.0,0.0,74.0,86.0,75.0,79.0,56.0,69.0,58.0,0.0,0.0,0.0,0.0,77.0,0.0
72,210.0,25.0,31.0,0.0,0.0,74.0,86.0,75.0,79.0,56.0,69.0,58.0,0.0,0.0,0.0,0.0,77.0,0.0
70,205.0,26.0,0.0,0.0,0.0,74.0,83.0,80.0,81.0,57.0,72.0,56.0,0.0,0.0,0.0,0.0,72.0,0.0
74,202.0,27.0,43.0,0.0,1.0,74.0,81.0,81.0,79.0,54.0,72.0,58.0,0.0,0.0,0.0,0.0,75.0,0.0
70,200.0,29.0,0.0,0.0,0.0,74.0,72.0,73.0,71.0,56.0,81.0,59.0,0.0,0.0,0.0,0.0,78.0,0.0
69,184.0,24.0,21.0,0.0,0.0,74.0,95.0,88.0,83.0,48.0,70.0,64.0,0.0,0.0,0.0,0.0,85.0,0.0
71,195.0,27.0,0.0,0.0,0.0,74.0,87.0,87.0,86.0,50.0,82.0,52.0,0.0,0.0,0.0,0.0,84.0,0.0
71,195.0,27.0,42.0,0.0,0.0,74.0,87.0,87.0,86.0,50.0,82.0,52.0,0.0,0.0,0.0,0.0,84.0,0.0
70,195.0,26.0,38.0,0.0,0.0,74.0,86.0,88.0,85.0,50.0,81.0,56.0,0.0,0.0,0.0,0.0,81.0,0.0
72,206.0,23.0,31.0,0.0,0.0,74.0,85.0,87.0,82.0,64.0,68.0,52.0,0.0,0.0,0.0,0.0,69.0,0.0
71,194.0,31.0,17.0,0.0,0.0,74.0,85.0,87.0,88.0,49.0,83.0,54.0,0.0,0.0,0.0,0.0,81.0,0.0
72,193.0,25.0,0.0,0.0,0.0,73.0,83.0,79.0,79.0,48.0,69.0,67.0,0.0,0.0,0.0,0.0,80.0,0.0
71,207.0,21.0,61.0,0.0,1.0,73.0,90.0,92.0,88.0,50.0,65.0,62.0,0.0,0.0,0.0,0.0,83.0,0.0
74,225.0,25.0,0.0,0.0,0.0,73.0,81.0,78.0,76.0,57.0,80.0,48.0,0.0,0.0,0.0,0.0,69.0,0.0
74,192.0,29.0,53.0,0.0,1.0,73.0,86.0,87.0,83.0,50.0,81.0,53.0,0.0,0.0,0.0,0.0,84.0,0.0
70,185.0,29.0,54.0,1.0,1.0,73.0,86.0,84.0,84.0,47.0,80.0,52.0,0.0,0.0,0.0,0.0,91.0,0.0
73,211.0,22.0,13.0,0.0,0.0,73.0,87.0,89.0,87.0,61.0,64.0,52.0,0.0,0.0,0.0,0.0,87.0,0.0
69,180.0,29.0,37.0,0.0,1.0,73.0,85.0,85.0,83.0,47.0,83.0,55.0,0.0,0.0,0.0,0.0,85.0,0.0
69,180.0,29.0,0.0,0.0,0.0,73.0,85.0,85.0,83.0,47.0,83.0,55.0,0.0,0.0,0.0,0.0,85.0,0.0
69,180.0,29.0,45.0,0.0,0.0,73.0,85.0,85.0,83.0,47.0,83.0,55.0,0.0,0.0,0.0,0.0,85.0,0.0
73,192.0,26.0,41.0,0.0,0.0,73.0,87.0,85.0,82.0,48.0,82.0,52.0,0.0,0.0,0.0,0.0,87.0,0.0
69,174.0,24.0,40.0,0.0,0.0,73.0,86.0,87.0,82.0,43.0,81.0,56.0,0.0,0.0,0.0,0.0,85.0,0.0
68,188.0,28.0,43.0,0.0,0.0,72.0,90.0,82.0,91.0,49.0,81.0,54.0,0.0,0.0,0.0,0.0,71.0,0.0
68,180.0,23.0,34.0,0.0,0.0,72.0,87.0,87.0,84.0,51.0,73.0,55.0,0.0,0.0,0.0,0.0,92.0,0.0
72,190.0,28.0,43.0,0.0,0.0,72.0,84.0,84.0,84.0,50.0,85.0,50.0,0.0,0.0,0.0,0.0,82.0,0.0
71,185.0,32.0,67.0,1.0,2.0,72.0,87.0,86.0,89.0,50.0,77.0,53.0,0.0,0.0,0.0,0.0,82.0,0.0
71,190.0,26.0,17.0,0.0,0.0,72.0,86.0,87.0,87.0,50.0,80.0,52.0,0.0,0.0,0.0,0.0,75.0,0.0
71,196.0,32.0,50.0,0.0,0.0,72.0,75.0,80.0,75.0,52.0,81.0,47.0,0.0,0.0,0.0,0.0,78.0,0.0
71,198.0,26.0,26.0,0.0,0.0,72.0,81.0,74.0,81.0,55.0,68.0,60.0,0.0,0.0,0.0,0.0,86.0,0.0
74,195.0,25.0,10.0,0.0,0.0,72.0,88.0,86.0,86.0,49.0,73.0,59.0,0.0,0.0,0.0,0.0,84.0,0.0
68,185.0,24.0,27.0,0.0,0.0,72.0,84.0,84.0,83.0,54.0,65.0,63.0,0.0,0.0,0.0,0.0,74.0,0.0
71,196.0,25.0,17.0,0.0,0.0,71.0,86.0,88.0,85.0,47.0,74.0,54.0,0.0,0.0,0.0,0.0,84.0,0.0
75,230.0,25.0,6.0,0.0,0.0,71.0,81.0,81.0,80.0,60.0,70.0,54.0,0.0,0.0,0.0,0.0,73.0,0.0
71,190.0,24.0,3.0,0.0,0.0,71.0,87.0,85.0,84.0,52.0,70.0,57.0,0.0,0.0,0.0,0.0,85.0,0.0
69,182.0,25.0,0.0,0.0,0.0,71.0,87.0,86.0,83.0,48.0,78.0,48.0,0.0,0.0,0.0,0.0,86.0,0.0
73,205.0,23.0,15.0,0.0,0.0,71.0,87.0,85.0,86.0,52.0,70.0,62.0,0.0,0.0,0.0,0.0,77.0,0.0
70,187.0,29.0,28.0,0.0,0.0,71.0,85.0,84.0,82.0,48.0,80.0,55.0,0.0,0.0,0.0,0.0,84.0,0.0
69,185.0,23.0,54.0,0.0,2.0,71.0,88.0,86.0,85.0,45.0,75.0,60.0,0.0,0.0,0.0,0.0,86.0,0.0
73,200.0,22.0,25.0,0.0,0.0,71.0,84.0,87.0,84.0,51.0,74.0,54.0,0.0,0.0,0.0,0.0,87.0,0.0
72,202.0,31.0,0.0,0.0,0.0,70.0,78.0,79.0,79.0,52.0,75.0,51.0,0.0,0.0,0.0,0.0,68.0,0.0
74,209.0,25.0,18.0,0.0,0.0,70.0,82.0,83.0,80.0,55.0,71.0,58.0,0.0,0.0,0.0,0.0,79.0,0.0
74,209.0,25.0,6.0,0.0,0.0,70.0,82.0,83.0,80.0,55.0,71.0,58.0,0.0,0.0,0.0,0.0,79.0,0.0
70,190.0,27.0,24.0,0.0,0.0,70.0,86.0,85.0,82.0,40.0,79.0,54.0,0.0,0.0,0.0,0.0,87.0,0.0
73,198.0,28.0,0.0,0.0,0.0,70.0,80.0,82.0,82.0,49.0,71.0,64.0,0.0,0.0,0.0,0.0,80.0,0.0
73,185.0,25.0,49.0,0.0,0.0,70.0,87.0,88.0,85.0,43.0,72.0,56.0,0.0,0.0,0.0,0.0,84.0,0.0
73,185.0,25.0,54.0,0.0,2.0,70.0,87.0,88.0,85.0,43.0,72.0,56.0,0.0,0.0,0.0,0.0,84.0,0.0
73,190.0,30.0,55.0,0.0,0.0,70.0,84.0,87.0,82.0,47.0,79.0,52.0,0.0,0.0,0.0,0.0,82.0,0.0
72,200.0,29.0,36.0,0.0,0.0,70.0,80.0,77.0,77.0,52.0,83.0,53.0,0.0,0.0,0.0,0.0,63.0,0.0
72,190.0,30.0,20.0,0.0,0.0,70.0,84.0,84.0,79.0,45.0,80.0,53.0,0.0,0.0,0.0,0.0,85.0,0.0
72,188.0,25.0,6.0,0.0,0.0,70.0,86.0,87.0,82.0,46.0,74.0,56.0,0.0,0.0,0.0,0.0,84.0,0.0
73,195.0,26.0,0.0,0.0,0.0,69.0,80.0,77.0,76.0,55.0,75.0,49.0,0.0,0.0,0.0,0.0,67.0,0.0
71,190.0,29.0,0.0,0.0,0.0,69.0,85.0,87.0,82.0,50.0,74.0,53.0,0.0,0.0,0.0,0.0,86.0,0.0
71,190.0,29.0,40.0,0.0,0.0,69.0,85.0,87.0,82.0,50.0,74.0,53.0,0.0,0.0,0.0,0.0,86.0,0.0
69,195.0,27.0,0.0,0.0,0.0,69.0,81.0,82.0,78.0,62.0,69.0,50.0,0.0,0.0,0.0,0.0,69.0,0.0
70,198.0,23.0,41.0,0.0,0.0,69.0,94.0,93.0,88.0,47.0,60.0,54.0,0.0,0.0,0.0,0.0,85.0,0.0
