2025-11-05 14:36:18 - Starting Chrome browser...
2025-11-05 14:36:20 - 
Processing 1970...
2025-11-05 14:36:20 -   Scraping: crd 1970...
2025-11-05 14:58:01 -     Found 48 players
2025-11-05 14:58:01 -   Scraping: rai 1972...
2025-11-05 14:58:18 -     Found 46 players
2025-11-05 14:58:18 -   Scraping: mia 1972...
2025-11-05 14:58:36 -     Found 49 players
2025-11-05 14:58:36 -   Scraping: min 1972...
2025-11-05 14:58:52 -     Found 47 players
2025-11-05 14:58:52 -   Scraping: nwe 1972...
2025-11-05 14:59:08 -     Found 49 players
2025-11-05 14:59:08 -   Scraping: nor 1972...
2025-11-05 14:59:17 -     Found 57 players
2025-11-05 14:59:17 -   Scraping: nyg 1972...
2025-11-05 14:59:37 -     Found 47 players
2025-11-05 14:59:37 -   Scraping: nyj 1972...
2025-11-05 14:59:47 -     Found 48 players
2025-11-05 14:59:47 -   Scraping: phi 1972...
2025-11-05 14:59:57 -     Found 60 players
2025-11-05 14:59:57 -   Scraping: pit 1972...
2025-11-05 15:00:09 -     Found 51 players
2025-11-05 15:00:09 -   Scraping: sfo 1972...
2025-11-05 15:00:25 -     Found 47 players
2025-11-05 15:00:25 -   Scraping: sea 1972...
2025-11-05 15:00:39 -     No roster table found for sea 1972
2025-11-05 15:00:39 -   Scraping: tam 1972...
2025-11-05 15:00:52 -     No roster table found for tam 1972
2025-11-05 15:00:52 -   Scraping: oti 1972...
2025-11-05 15:01:02 -     Found 56 players
2025-11-05 15:01:02 -   Scraping: was 1972...
2025-11-05 15:01:12 -     Found 50 players
2025-11-05 15:01:12 - 
Processing 1973...
2025-11-05 15:01:12 -   Scraping: crd 1973...
2025-11-05 15:01:25 -     Found 57 players
2025-11-05 15:01:25 -   Scraping: atl 1973...
2025-11-05 15:01:35 -     Found 51 players
2025-11-05 15:01:35 -   Scraping: rav 1973...
2025-11-05 15:01:49 -     No roster table found for rav 1973
2025-11-05 15:01:49 -   Scraping: bal 1973...
2025-11-05 15:02:02 -     No roster table found for bal 1973
2025-11-05 15:02:02 -   Scraping: buf 1973...
2025-11-05 15:02:11 -     Found 55 players
2025-11-05 15:02:11 -   Scraping: car 1973...
2025-11-05 15:02:24 -     No roster table found for car 1973
2025-11-05 15:02:24 -   Scraping: chi 1973...
2025-11-05 15:02:43 -     Found 53 players
2025-11-05 15:02:43 -   Scraping: cin 1973...
2025-11-05 15:02:54 -     Found 49 players
2025-11-05 15:02:54 -   Scraping: cle 1973...
2025-11-05 15:03:03 -     Found 48 players
2025-11-05 15:03:03 -   Scraping: dal 1973...
2025-11-05 15:03:13 -     Found 49 players
2025-11-05 15:03:13 -   Scraping: den 1973...
2025-11-05 15:03:32 -     Found 50 players
2025-11-05 15:03:32 -   Scraping: det 1973...
2025-11-05 15:03:43 -     Found 52 players
2025-11-05 15:03:43 -   Scraping: gnb 1973...
2025-11-05 15:03:54 -     Found 55 players
2025-11-05 15:03:54 -   Scraping: oti 1973...
2025-11-05 15:04:14 -     Found 65 players
2025-11-05 15:04:14 -   Scraping: clt 1973...
2025-11-05 15:04:33 -     Found 49 players
2025-11-05 15:04:33 -   Scraping: jax 1973...
2025-11-05 15:04:46 -     No roster table found for jax 1973
2025-11-05 15:04:46 -   Scraping: kan 1973...
2025-11-05 15:04:56 -     Found 51 players
2025-11-05 15:04:56 -   Scraping: sdg 1973...
2025-11-05 15:05:06 -     Found 51 players
2025-11-05 15:05:06 -   Scraping: ram 1973...
2025-11-05 15:05:21 -     Found 47 players
2025-11-05 15:05:21 -   Scraping: rai 1973...
2025-11-05 15:05:32 -     Found 46 players
2025-11-05 15:05:32 -   Scraping: mia 1973...
2025-11-05 15:05:43 -     Found 50 players
2025-11-05 15:05:43 -   Scraping: min 1973...
2025-11-05 15:05:55 -     Found 49 players
2025-11-05 15:05:55 -   Scraping: nwe 1973...
2025-11-05 15:06:07 -     Found 57 players
2025-11-05 15:06:07 -   Scraping: nor 1973...
2025-11-05 15:06:35 -     Found 62 players
2025-11-05 15:06:35 -   Scraping: nyg 1973...
2025-11-05 15:06:47 -     Found 55 players
2025-11-05 15:06:47 -   Scraping: nyj 1973...
2025-11-05 15:06:57 -     Found 51 players
2025-11-05 15:06:57 -   Scraping: phi 1973...
2025-11-05 15:07:06 -     Found 55 players
2025-11-05 15:07:06 -   Scraping: pit 1973...
2025-11-05 15:07:21 -     Found 50 players
2025-11-05 15:07:21 -   Scraping: sfo 1973...
2025-11-05 15:07:32 -     Found 48 players
2025-11-05 15:07:32 -   Scraping: sea 1973...
2025-11-05 15:07:46 -     No roster table found for sea 1973
2025-11-05 15:07:46 -   Scraping: tam 1973...
2025-11-05 15:07:59 -     No roster table found for tam 1973
2025-11-05 15:07:59 -   Scraping: oti 1973...
2025-11-05 15:08:20 -     Found 65 players
2025-11-05 15:08:20 -   Scraping: was 1973...
2025-11-05 15:08:31 -     Found 50 players
2025-11-05 15:08:31 - 
Processing 1974...
2025-11-05 15:08:31 -   Scraping: crd 1974...
2025-11-05 15:08:42 -     Found 56 players
2025-11-05 15:08:42 -   Scraping: atl 1974...
2025-11-05 15:08:52 -     Found 51 players
2025-11-05 15:08:52 -   Scraping: rav 1974...
2025-11-05 15:09:07 -     No roster table found for rav 1974
2025-11-05 15:09:07 -   Scraping: bal 1974...
2025-11-05 15:09:21 -     No roster table found for bal 1974
2025-11-05 15:09:21 -   Scraping: buf 1974...
2025-11-05 15:09:48 -     Found 59 players
2025-11-05 15:09:48 -   Scraping: car 1974...
2025-11-05 15:10:02 -     No roster table found for car 1974
2025-11-05 15:10:02 -   Scraping: chi 1974...
2025-11-05 15:10:14 -     Found 53 players
2025-11-05 15:10:14 -   Scraping: cin 1974...
2025-11-05 15:10:26 -     Found 50 players
2025-11-05 15:10:26 -   Scraping: cle 1974...
2025-11-05 15:10:56 -     Found 55 players
2025-11-05 15:10:56 -   Scraping: dal 1974...
2025-11-05 15:11:07 -     Found 53 players
2025-11-05 15:11:07 -   Scraping: den 1974...
2025-11-05 15:11:36 -     Found 56 players
2025-11-05 15:11:36 -   Scraping: det 1974...
2025-11-05 15:11:47 -     Found 51 players
2025-11-05 15:11:47 -   Scraping: gnb 1974...
2025-11-05 15:11:57 -     Found 57 players
2025-11-05 15:11:57 -   Scraping: oti 1974...
2025-11-05 15:12:08 -     Found 55 players
2025-11-05 15:12:08 -   Scraping: clt 1974...
2025-11-05 15:12:30 -     Found 50 players
2025-11-05 15:12:30 -   Scraping: jax 1974...
2025-11-05 15:12:44 -     No roster table found for jax 1974
2025-11-05 15:12:44 -   Scraping: kan 1974...
2025-11-05 15:12:54 -     Found 59 players
2025-11-05 15:12:54 -   Scraping: sdg 1974...
2025-11-05 15:13:05 -     Found 59 players
2025-11-05 15:13:05 -   Scraping: ram 1974...
2025-11-05 15:13:18 -     Found 52 players
2025-11-05 15:13:18 -   Scraping: rai 1974...
2025-11-05 15:13:30 -     Found 52 players
2025-11-05 15:13:30 -   Scraping: mia 1974...
2025-11-05 15:13:40 -     Found 53 players
2025-11-05 15:13:40 -   Scraping: min 1974...
2025-11-05 15:13:50 -     Found 52 players
2025-11-05 15:13:50 -   Scraping: nwe 1974...
2025-11-05 15:14:02 -     Found 63 players
2025-11-05 15:14:02 -   Scraping: nor 1974...
2025-11-05 15:14:30 -     Found 62 players
2025-11-05 15:14:30 -   Scraping: nyg 1974...
2025-11-05 15:14:41 -     Found 57 players
2025-11-05 15:14:41 -   Scraping: nyj 1974...
2025-11-05 15:14:52 -     Found 53 players
2025-11-05 15:14:52 -   Scraping: phi 1974...
2025-11-05 15:15:02 -     Found 52 players
2025-11-05 15:15:02 -   Scraping: pit 1974...
2025-11-05 15:15:17 -     Found 51 players
2025-11-05 15:15:17 -   Scraping: sfo 1974...
2025-11-05 15:15:26 -     Found 58 players
2025-11-05 15:15:26 -   Scraping: sea 1974...
2025-11-05 15:15:41 -     No roster table found for sea 1974
2025-11-05 15:15:41 -   Scraping: tam 1974...
2025-11-05 15:15:53 -     No roster table found for tam 1974
2025-11-05 15:15:53 -   Scraping: oti 1974...
2025-11-05 15:16:04 -     Found 55 players
2025-11-05 15:16:04 -   Scraping: was 1974...
2025-11-05 15:16:13 -     Found 58 players
2025-11-05 15:16:13 - 
Processing 1975...
2025-11-05 15:16:13 -   Scraping: crd 1975...
2025-11-05 15:16:23 -     Found 46 players
2025-11-05 15:16:23 -   Scraping: atl 1975...
2025-11-05 15:16:36 -     Found 50 players
2025-11-05 15:16:36 -   Scraping: rav 1975...
2025-11-05 15:16:50 -     No roster table found for rav 1975
2025-11-05 15:16:50 -   Scraping: bal 1975...
2025-11-05 15:17:03 -     No roster table found for bal 1975
2025-11-05 15:17:03 -   Scraping: buf 1975...
2025-11-05 15:17:13 -     Found 49 players
2025-11-05 15:17:13 -   Scraping: car 1975...
2025-11-05 15:17:27 -     No roster table found for car 1975
2025-11-05 15:17:27 -   Scraping: chi 1975...
2025-11-05 15:18:31 -     Found 53 players
2025-11-05 15:18:31 -   Scraping: cin 1975...
2025-11-05 15:18:52 -     Found 46 players
2025-11-05 15:18:52 -   Scraping: cle 1975...
2025-11-05 15:19:08 -     Found 50 players
2025-11-05 15:19:08 -   Scraping: dal 1975...
2025-11-05 15:19:19 -     Found 47 players
2025-11-05 15:19:19 -   Scraping: den 1975...
2025-11-05 15:19:29 -     Found 52 players
2025-11-05 15:19:29 -   Scraping: det 1975...
2025-11-05 15:19:44 -     Found 52 players
2025-11-05 15:19:44 -   Scraping: gnb 1975...
2025-11-05 15:19:55 -     Found 55 players
2025-11-05 15:19:55 -   Scraping: oti 1975...
2025-11-05 15:20:11 -     Found 51 players
2025-11-05 15:20:11 -   Scraping: clt 1975...
2025-11-05 15:20:26 -     Found 47 players
2025-11-05 15:20:26 -   Scraping: jax 1975...
2025-11-05 15:20:40 -     No roster table found for jax 1975
2025-11-05 15:20:40 -   Scraping: kan 1975...
2025-11-05 15:20:50 -     Found 59 players
2025-11-05 15:20:50 -   Scraping: sdg 1975...
2025-11-05 15:21:02 -     Found 59 players
2025-11-05 15:21:02 -   Scraping: ram 1975...
2025-11-05 15:21:13 -     Found 48 players
2025-11-05 15:21:13 -   Scraping: rai 1975...
2025-11-05 15:21:27 -     Found 49 players
2025-11-05 15:21:27 -   Scraping: mia 1975...
2025-11-05 15:21:37 -     Found 49 players
2025-11-05 15:21:37 -   Scraping: min 1975...
2025-11-05 15:21:49 -     Found 49 players
2025-11-05 15:21:49 -   Scraping: nwe 1975...
2025-11-05 15:22:15 -     Found 58 players
2025-11-05 15:22:15 -   Scraping: nor 1975...
2025-11-05 15:22:32 -     Found 58 players
2025-11-05 15:22:32 -   Scraping: nyg 1975...
2025-11-05 15:22:40 -     Found 49 players
2025-11-05 15:22:40 -   Scraping: nyj 1975...
2025-11-05 15:22:49 -     Found 51 players
2025-11-05 15:22:49 -   Scraping: phi 1975...
2025-11-05 15:23:00 -     Found 53 players
2025-11-05 15:23:00 -   Scraping: pit 1975...
2025-11-05 15:23:08 -     Found 46 players
2025-11-05 15:23:08 -   Scraping: sfo 1975...
2025-11-05 15:23:27 -     Found 49 players
2025-11-05 15:23:27 -   Scraping: sea 1975...
2025-11-05 15:23:39 -     No roster table found for sea 1975
2025-11-05 15:23:39 -   Scraping: tam 1975...
2025-11-05 15:23:52 -     No roster table found for tam 1975
2025-11-05 15:23:52 -   Scraping: oti 1975...
2025-11-05 15:24:00 -     Found 51 players
2025-11-05 15:24:00 -   Scraping: was 1975...
2025-11-05 15:24:08 -     Found 50 players
2025-11-05 15:24:08 - 
Processing 1976...
2025-11-05 15:24:08 -   Scraping: crd 1976...
2025-11-05 15:24:15 -     Found 56 players
2025-11-05 15:24:15 -   Scraping: atl 1976...
2025-11-05 15:24:23 -     Found 59 players
2025-11-05 15:24:23 -   Scraping: rav 1976...
2025-11-05 15:24:36 -     No roster table found for rav 1976
2025-11-05 15:24:36 -   Scraping: bal 1976...
2025-11-05 15:24:49 -     No roster table found for bal 1976
2025-11-05 15:24:49 -   Scraping: buf 1976...
2025-11-05 15:25:16 -     Found 61 players
2025-11-05 15:25:16 -   Scraping: car 1976...
2025-11-05 15:25:30 -     No roster table found for car 1976
2025-11-05 15:25:30 -   Scraping: chi 1976...
2025-11-05 15:25:40 -     Found 50 players
2025-11-05 15:25:40 -   Scraping: cin 1976...
2025-11-05 15:25:49 -     Found 46 players
2025-11-05 15:25:49 -   Scraping: cle 1976...
2025-11-05 15:25:57 -     Found 48 players
2025-11-05 15:25:57 -   Scraping: dal 1976...
2025-11-05 15:26:05 -     Found 46 players
2025-11-05 15:26:05 -   Scraping: den 1976...
2025-11-05 15:26:13 -     Found 52 players
2025-11-05 15:26:13 -   Scraping: det 1976...
2025-11-05 15:26:21 -     Found 56 players
2025-11-05 15:26:21 -   Scraping: gnb 1976...
2025-11-05 15:26:29 -     Found 53 players
2025-11-05 15:26:29 -   Scraping: oti 1976...
2025-11-05 15:26:38 -     Found 57 players
2025-11-05 15:26:38 -   Scraping: clt 1976...
2025-11-05 15:26:48 -     Found 47 players
2025-11-05 15:26:48 -   Scraping: jax 1976...
2025-11-05 15:27:02 -     No roster table found for jax 1976
2025-11-05 15:27:02 -   Scraping: kan 1976...
2025-11-05 15:27:13 -     Found 51 players
2025-11-05 15:27:13 -   Scraping: sdg 1976...
2025-11-05 15:27:27 -     Found 51 players
2025-11-05 15:27:27 -   Scraping: ram 1976...
2025-11-05 15:27:38 -     Found 48 players
2025-11-05 15:27:38 -   Scraping: rai 1976...
2025-11-05 15:27:49 -     Found 52 players
2025-11-05 15:27:49 -   Scraping: mia 1976...
2025-11-05 15:28:00 -     Found 55 players
2025-11-05 15:28:00 -   Scraping: min 1976...
2025-11-05 15:28:11 -     Found 50 players
2025-11-05 15:28:11 -   Scraping: nwe 1976...
2025-11-05 15:28:22 -     Found 52 players
2025-11-05 15:28:22 -   Scraping: nor 1976...
2025-11-05 15:28:31 -     Found 52 players
2025-11-05 15:28:31 -   Scraping: nyg 1976...
2025-11-05 15:28:43 -     Found 55 players
2025-11-05 15:28:43 -   Scraping: nyj 1976...
2025-11-05 15:29:11 -     Found 56 players
2025-11-05 15:29:11 -   Scraping: phi 1976...
2025-11-05 15:29:20 -     Found 52 players
2025-11-05 15:29:20 -   Scraping: pit 1976...
2025-11-05 15:29:31 -     Found 47 players
2025-11-05 15:29:31 -   Scraping: sfo 1976...
2025-11-05 15:29:42 -     Found 50 players
2025-11-05 15:29:42 -   Scraping: sea 1976...
2025-11-05 15:29:52 -     Found 56 players
2025-11-05 15:29:52 -   Scraping: tam 1976...
2025-11-05 15:30:08 -     Found 68 players
2025-11-05 15:30:08 -   Scraping: oti 1976...
2025-11-05 15:30:18 -     Found 57 players
2025-11-05 15:30:18 -   Scraping: was 1976...
2025-11-05 15:30:28 -     Found 49 players
2025-11-05 15:30:28 - 
Processing 1977...
2025-11-05 15:30:28 -   Scraping: crd 1977...
2025-11-05 15:30:37 -     Found 53 players
2025-11-05 15:30:37 -   Scraping: atl 1977...
2025-11-05 15:30:51 -     Found 51 players
2025-11-05 15:30:51 -   Scraping: rav 1977...
2025-11-05 15:31:05 -     No roster table found for rav 1977
2025-11-05 15:31:05 -   Scraping: bal 1977...
2025-11-05 15:31:18 -     No roster table found for bal 1977
2025-11-05 15:31:18 -   Scraping: buf 1977...
2025-11-05 15:31:30 -     Found 51 players
2025-11-05 15:31:30 -   Scraping: car 1977...
2025-11-05 15:31:43 -     No roster table found for car 1977
2025-11-05 15:31:43 -   Scraping: chi 1977...
2025-11-05 15:32:12 -     Found 52 players
2025-11-05 15:32:12 -   Scraping: cin 1977...
2025-11-05 15:32:22 -     Found 49 players
2025-11-05 15:32:22 -   Scraping: cle 1977...
2025-11-05 15:32:33 -     Found 51 players
2025-11-05 15:32:33 -   Scraping: dal 1977...
2025-11-05 15:32:43 -     Found 47 players
2025-11-05 15:32:43 -   Scraping: den 1977...
2025-11-05 15:32:55 -     Found 52 players
2025-11-05 15:32:55 -   Scraping: det 1977...
2025-11-05 15:33:05 -     Found 56 players
2025-11-05 15:33:05 -   Scraping: gnb 1977...
2025-11-05 15:33:33 -     Found 53 players
2025-11-05 15:33:33 -   Scraping: oti 1977...
2025-11-05 15:34:03 -     Found 55 players
2025-11-05 15:34:03 -   Scraping: clt 1977...
2025-11-05 15:34:13 -     Found 52 players
2025-11-05 15:34:13 -   Scraping: jax 1977...
2025-11-05 15:34:28 -     No roster table found for jax 1977
2025-11-05 15:34:28 -   Scraping: kan 1977...
2025-11-05 15:34:43 -     Found 52 players
2025-11-05 15:34:43 -   Scraping: sdg 1977...
2025-11-05 15:34:56 -     Found 50 players
2025-11-05 15:34:56 -   Scraping: ram 1977...
2025-11-05 15:35:07 -     Found 52 players
2025-11-05 15:35:07 -   Scraping: rai 1977...
2025-11-05 15:35:21 -     Found 53 players
2025-11-05 15:35:21 -   Scraping: mia 1977...
2025-11-05 15:35:34 -     Found 56 players
2025-11-05 15:35:34 -   Scraping: min 1977...
2025-11-05 15:35:49 -     Found 50 players
2025-11-05 15:35:49 -   Scraping: nwe 1977...
2025-11-05 15:36:03 -     Found 49 players
2025-11-05 15:36:03 -   Scraping: nor 1977...
2025-11-05 15:36:16 -     Found 55 players
2025-11-05 15:36:16 -   Scraping: nyg 1977...
2025-11-05 15:36:30 -     Found 53 players
2025-11-05 15:36:30 -   Scraping: nyj 1977...
2025-11-05 15:36:47 -     Found 53 players
2025-11-05 15:36:47 -   Scraping: phi 1977...
2025-11-05 15:36:59 -     Found 51 players
2025-11-05 15:36:59 -   Scraping: pit 1977...
2025-11-05 15:37:09 -     Found 52 players
2025-11-05 15:37:09 -   Scraping: sfo 1977...
2025-11-05 15:37:31 -     Found 53 players
2025-11-05 15:37:31 -   Scraping: sea 1977...
2025-11-05 15:37:49 -     Found 57 players
2025-11-05 15:37:49 -   Scraping: tam 1977...
2025-11-05 15:37:58 -     Found 55 players
2025-11-05 15:37:58 -   Scraping: oti 1977...
2025-11-05 15:38:17 -     Found 55 players
2025-11-05 15:38:17 -   Scraping: was 1977...
2025-11-05 15:38:25 -     Found 55 players
2025-11-05 15:38:25 - 
Processing 1978...
2025-11-05 15:38:25 -   Scraping: crd 1978...
2025-11-05 15:38:34 -     Found 62 players
2025-11-05 15:38:34 -   Scraping: atl 1978...
2025-11-05 15:38:42 -     Found 56 players
2025-11-05 15:38:42 -   Scraping: rav 1978...
2025-11-05 15:38:55 -     No roster table found for rav 1978
2025-11-05 15:38:55 -   Scraping: bal 1978...
2025-11-05 15:39:08 -     No roster table found for bal 1978
2025-11-05 15:39:08 -   Scraping: buf 1978...
2025-11-05 15:39:17 -     Found 56 players
2025-11-05 15:39:17 -   Scraping: car 1978...
2025-11-05 15:39:30 -     No roster table found for car 1978
2025-11-05 15:39:30 -   Scraping: chi 1978...
2025-11-05 15:39:57 -     Found 52 players
2025-11-05 15:39:57 -   Scraping: cin 1978...
2025-11-05 15:40:23 -     Found 52 players
2025-11-05 15:40:23 -   Scraping: cle 1978...
2025-11-05 15:40:36 -     Found 52 players
2025-11-05 15:40:36 -   Scraping: dal 1978...
2025-11-05 15:40:58 -     Found 51 players
