DraftYear,PlayerName,Height,Weight,Position,College,BirthState
2003,Troy Polamalu,5-10,207,,USC,
1974,Donnie Shell,5-11,190,,South Carolina State,
,Duke Slater,6-1,215,,Iowa,
1942,Mac Speedie,6-3,203,,Utah,
1944,Ed Sprinkle,6-1,206,,Hardin–Simmons,
1999,Champ Bailey,6-0,192,,Georgia,
1997,Tony Gonzalez,6-5,247,,California,
1995,Ty Law,5-11,200,,Michigan,
1994,Kevin Mawae,6-4,289,,LSU,
2002,Ed Reed,5-11,205,,Miami,
1960,Johnny Robinson,6-1,205,S,LSU,LA
1975,Robert Brazile,6-4,241,,Jackson State,
1996,Brian Dawkins,6-0,209,,Clemson,
1958,Jerry Kramer,6-3,245,,Idaho,
1996,Ray Lewis,6-1,240,,Miami (FL),
1998,Randy Moss,6-4,210,,Marshall,
1996,Terrell Owens,6-3,224,,Chattanooga,
2000,Brian Urlacher,6-4,258,,New Mexico,
1982,Morten Andersen,6-2,217,,Michigan State,
1995,Terrell Davis,5-11,210,,Long Beach State,
1981,Kenny Easley,6-3,206,,UCLA,
1997,Jason Taylor,6-6,255,DE,Akron,PA
2001,LaDainian Tomlinson,5-10,215,,TCU,
1994,Kurt Warner,6-2,214,,Northern Iowa,
1991,Brett Favre,6-2,222,,Southern Miss,
1985,Kevin Greene,6-3,247,,Auburn,
1996,Marvin Harrison,6-0,185,,Syracuse,
1997,Orlando Pace,6-9,320,,Ohio State,
1968,Ken Stabler,6-3,215,,Alabama,
1951,Dick Stanfel,6-3,236,,San Francisco,
1993,Jerome Bettis,5-11,252,,Notre Dame,
1988,Tim Brown,6-0,195,WR,Notre Dame,TX
1986,Charles Haley,6-5,252,,James Madison,
1990,Junior Seau,6-3,250,LB,USC,CA
1993,Will Shields,6-3,320,,Nebraska,
1962,Mick Tingelhoff,6-2,237,,Nebraska,
1995,Derrick Brooks,6-0,235,,Florida State,
1973,Ray Guy,6-3,195,,Southern Miss,
1968,Claude Humphrey,6-4,252,,Tennessee A&I,
1997,Walter Jones,6-5,315,OT,Florida State,AL
1985,Andre Reed,6-2,190,,Kutztown,
1993,Michael Strahan,6-5,255,,Texas Southern,
1991,Aeneas Williams,5-11,200,,Southern,
1994,Larry Allen,6-3,325,,Butte,
1987,Cris Carter,6-3,208,,Ohio State,
1968,Curley Culp,6-1,265,,Arizona State,
1996,Jonathan Ogden,6-9,345,,UCLA,
1963,Dave Robinson,6-3,245,LB,Penn State,NJ
1995,Warren Sapp,6-2,300,,Miami,
0,Jack Butler,6-1,200,DB,St. Bonaventure,PA
1988,Dermontti Dawson,6-2,292,,Kentucky,
1985,Chris Doleman,6-5,289,,Pittsburgh,
1990,Cortez Kennedy,6-3,293,DT,Miami (FL),AR
1995,Curtis Martin,5-11,210,,Pittsburgh,
1993,Willie Roaf,6-5,320,,Louisiana Tech,
1983,Richard Dent,6-5,265,,Tennessee State,
1994,Marshall Faulk,5-10,211,,San Diego State,
1965,Chris Hanburger,6-2,218,,North Carolina,
1952,Les Richter,6-3,238,,California,
1989,Deion Sanders,6-1,198,,Florida State,
1990,Shannon Sharpe,6-2,228,TE,Savannah State,GA
1981,Russ Grimm,6-3,275,,Pittsburgh,
1981,Rickey Jackson,6-2,243,,Pittsburgh,
1959,Dick LeBeau,6-1,185,,Ohio State,
1967,Floyd Little,5-10,196,,Syracuse,
1990,John Randle,6-1,278,DT,Texas A&M-Kingsville,TX
1985,Jerry Rice,6-2,200,,Mississippi Valley State,
1990,Emmitt Smith,5-9,216,RB,Florida,FL
1964,Bob Hayes,5-11,185,,Florida A&M,
1988,Randall McDaniel,6-3,287,,Arizona State,
1985,Bruce Smith,6-4,262,,Virginia Tech,
1989,Derrick Thomas,6-3,243,,Alabama,
1987,Rod Woodson,6-0,205,,Purdue,
1975,Fred Dean,6-3,230,,Louisiana Tech,
1983,Darrell Green,5-9,184,,Texas A&I,
1980,Art Monk,6-3,210,,Syracuse,
1966,Emmitt Thomas,6-2,192,,Bishop,
1982,Andre Tippett,6-3,231,,Iowa,
1984,Gary Zimmerman,6-6,294,,Oregon,
1957,Gene Hickerson,6-3,248,,University of Mississippi,
1988,Michael Irvin,6-2,207,,Miami (FL),
1983,Bruce Matthews,6-5,305,,USC,
1968,Charlie Sanders,6-4,225,,Minnesota,
1988,Thurman Thomas,5-10,206,,Oklahoma State,
1969,Roger Wehrli,6-0,190,,Missouri,
1989,Troy Aikman,6-4,220,,Oklahoma,
1976,Harry Carson,6-2,237,,South Carolina State,
1978,Warren Moon,6-3,221,,West Los Angeles,
1984,Reggie White,6-5,300,,Tennessee,
1967,Rayfield Wright,6-6,270,,Fort Valley State,
,Benny Friedman,5-10,183,,Michigan,
1983,Dan Marino,6-4,224,,Pittsburgh,
,Fritz Pollard,5-9,166,,Brown,
1984,Steve Young,6-2,215,,BYU,
1964,Bob Brown,6-4,280,OT,Nebraska,OH
1964,Carl Eller,6-6,247,,Minnesota,
1983,John Elway,6-3,215,,Stanford,
1989,Barry Sanders,5-8,200,,Oklahoma State,
1982,Marcus Allen,6-2,210,,USC,
1968,Elvin Bethea,6-2,260,,North Carolina A&T,
1973,Joe DeLamielleure,6-3,254,,Michigan State,
1978,James Lofton,6-3,187,,Stanford,
1974,Dave Casper,6-4,240,,Notre Dame,
1979,Dan Hampton,6-5,264,,Arkansas,
1983,Jim Kelly,6-3,217,,Miami (FL),
1974,John Stallworth,6-2,191,,Alabama A&M,
1962,Nick Buoniconti,5-11,220,,Notre Dame,
1982,Mike Munchak,6-3,263,,Penn State,
1976,Jackie Slater,6-4,277,,Jackson State,
1974,Lynn Swann,5-11,180,,USC,
1968,Ron Yary,6-5,255,,USC,
1971,Jack Youngblood,6-4,247,,Florida,
1981,Howie Long,6-5,265,,Villanova,
1981,Ronnie Lott,6-0,203,,USC,
1979,Joe Montana,6-2,200,,Notre Dame,
1964,Dave Wilcox,6-3,241,,Boise,
1983,Eric Dickerson,6-3,220,,SMU,
1966,Tom Mack,6-3,250,,Michigan,
1978,Ozzie Newsome,6-2,232,,Alabama,
1961,Billy Shaw,6-2,258,,Georgia Tech,
1981,Lawrence Taylor,6-3,237,,North Carolina,
1964,Paul Krause,6-3,200,,Iowa,
1957,Tommy McDonald,5-9,176,WR,Oklahoma,NM
1980,Anthony Munoz,6-6,278,,USC,
1981,Mike Singletary,6-0,230,,Baylor,
1980,Dwight Stephenson,6-2,255,,Alabama,
1976,Mike Haynes,6-2,195,CB,Arizona State,LA
1974,Mike Webster,6-1,255,,Wisconsin,
1948,Lou Creekmur,6-4,246,,William & Mary,
1971,Dan Dierdorf,6-3,275,,Michigan,
1969,Charlie Joiner,5-11,188,,Grambling,
1964,Mel Renfro,6-0,190,,Oregon,
1957,Henry Jordan,6-2,248,,Virginia,
1976,Steve Largent,5-11,187,,Tulsa,
1976,Lee Roy Selmon,6-3,256,,Oklahoma,
1979,Kellen Winslow,6-5,250,,Missouri,
1977,Tony Dorsett,5-11,192,,Pittsburgh,
1961,Jimmy Johnson,6-2,187,CB,UCLA,CA
1964,Leroy Kelly,6-0,202,,Morgan State,
1963,Jackie Smith,6-4,235,,Northwestern State,
1975,Randy White,6-4,257,DT,Maryland,PA
1973,Dan Fouts,6-3,204,,Oregon,
1967,Larry Little,6-1,265,,Bethune–Cookman,
1975,Walter Payton,5-10,200,,Jackson State,
1967,Lem Barney,6-0,188,,Jackson State,
1963,John Mackey,6-2,224,TE,Syracuse,NY
1971,John Riggins,6-2,230,,Kansas,
1978,Earl Campbell,5-11,232,,Texas,
1973,John Hannah,6-2,265,OG,Alabama,GA
1954,Stan Jones,6-1,250,DT,Maryland,PA
1966,Jan Stenerud,6-2,187,,Montana State,
1963,Buck Buchanan,6-7,270,,Grambling,
1967,Bob Griese,6-1,190,,Purdue,
1972,Franco Harris,6-2,230,,Penn State,
1969,Ted Hendricks,6-7,220,,Miami (FL),
1974,Jack Lambert,6-4,220,LB,Kent State,OH
1953,Bob St. Clair,6-9,263,,San Francisco,
1970,Mel Blount,6-3,205,,Southern,
1970,Terry Bradshaw,6-3,215,,Louisiana Tech,
1968,Art Shell,6-5,265,,Maryland State,
1960,Willie Wood,5-10,190,,USC,
1965,Fred Biletnikoff,6-1,190,,Florida State,
1961,Mike Ditka,6-3,228,,Pittsburgh,
1971,Jack Ham,6-1,225,,Penn State,
1967,Alan Page,6-4,245,,Notre Dame,
1968,Larry Csonka,6-3,237,,Syracuse,
1957,Len Dawson,6-0,190,,Purdue,
1969,Joe Greene,6-4,275,,North Texas State,
1953,John Henry Johnson,6-2,210,,Saint Mary's,
1970,Jim Langer,6-2,250,,South Dakota State,
1957,Don Maynard,6-0,180,,Texas Western,
1967,Gene Upshaw,6-5,255,,Texas A&I,
1957,Paul Hornung,6-2,215,,Notre Dame,
1967,Ken Houston,6-3,197,,Prairie View A&M,
1967,Willie Lanier,6-1,245,,Morgan State,
1961,Fran Tarkenton,6-0,190,,Georgia,
1949,Doak Walker,5-11,173,,SMU,
1946,Frank Gatski,6-3,233,,Marshall,
1965,Joe Namath,6-2,200,,Alabama,
1969,O.J. Simpson,6-1,212,,CCSF,
1964,Roger Staubach,6-3,197,,NMMI,
0,Willie Brown,6-1,190,CB,Grambling,LA
1951,Mike McCormack,6-4,250,OT,Kansas,IL
1964,Charley Taylor,6-3,210,,Arizona State,
1945,Arnie Weinmeister,6-4,235,,Washington,
1963,Bobby Bell,6-4,228,,Minnesota,
1957,Sonny Jurgensen,5-11,202,,Duke,
1958,Bobby Mitchell,6-0,192,,Illinois,
1964,Paul Warfield,6-0,188,,Ohio State,
1953,Doug Atkins,6-8,257,,Tennessee,
1956,Sam Huff,6-1,230,,West Virginia,
,George Musso,6-2,262,,Millikin,
1962,Merlin Olsen,6-5,270,,Utah State,
,Red Badgro,6-0,191,,USC,
1949,George Blanda,6-2,215,,Kentucky,
1956,Willie Davis,6-3,243,DE,Grambling,AR
1953,Jim Ringo,6-1,232,,Syracuse,
1961,Herb Adderley,6-0,205,,Michigan State,
1961,Deacon Jones,6-5,272,,South Carolina State,
1961,Bob Lilly,6-5,260,,TCU,
1960,Jim Otto,6-2,255,,Miami (FL),
1965,Dick Butkus,6-3,245,,Illinois,
1952,Yale Lary,5-11,185,,Texas A&M,
1960,Ron Mix,6-4,250,,USC,
1955,Johnny Unitas,6-1,194,,Louisville,
1962,Lance Alworth,6-0,184,,Arkansas,
1936,Tuffy Leemans,6-0,195,,Oregon,
1958,Ray Nitschke,6-3,235,,Illinois,
1960,Larry Wilson,6-0,190,S,Utah,UT
1952,Frank Gifford,6-1,197,,Bakersfield,
1956,Forrest Gregg,6-4,249,,SMU,
1965,Gale Sayers,6-0,198,,Kansas,
1956,Bart Starr,6-1,197,,Alabama,
1946,Bill Willis,6-2,213,,Ohio State,
1948,Len Ford,6-4,245,,Morgan State,
1958,Jim Taylor,6-0,216,FB,LSU,LA
1953,Rosey Brown,6-3,255,,Morgan State,
1946,George Connor,6-3,240,LB,Notre Dame,IL
1947,Dante Lavelli,6-0,191,,Ohio State,
1956,Lenny Moore,6-1,191,,Penn State,
1941,Tony Canadeo,5-11,190,,Gonzaga,
1951,Bill George,6-2,237,LB,Wake Forest,PA
1946,Lou Groza,6-3,240,,Ohio State,
1952,Night Train Lane,6-1,194,,Scottsbluff,
1954,Raymond Berry,6-2,187,,Shreiner,
1957,Jim Parker,6-3,273,OT,Ohio State,NC
1953,Joe Schmidt,6-0,222,LB,Pittsburgh,PA
1952,Gino Marchetti,6-4,244,,Modesto JC,
1952,Ollie Matson,6-2,220,,San Francisco,
1937,Ace Parker,6-0,178,,Duke,
1957,Jim Brown,6-2,232,,Syracuse,
,Bill Hewitt,5-11,191,DE,Michigan,MI
1938,Bruiser Kinard,6-1,216,,Ole Miss,
1951,Andy Robustelli,6-1,230,,Arnold,
1948,Y.A. Tittle,6-0,192,,LSU,
1949,Norm Van Brocklin,6-1,190,,Oregon,
1951,Jack Christiansen,6-1,205,,Colorado A&M,
1945,Tom Fears,6-2,216,,Santa Clara,
1952,Hugh McElhenny,6-1,195,,Compton,
1945,Pete Pihos,6-1,210,,Indiana,
,Turk Edwards,6-2,255,,Washington State,
1950,Leo Nomellini,6-3,259,,Minnesota,
1948,Joe Perry,6-0,200,FB,Compton JC,AR
1950,Ernie Stautner,6-1,230,,Boston College,
,Cliff Battles,6-1,195,,West Virginia Wesleyan,
1947,Art Donovan,6-2,263,,Notre Dame,
1945,Elroy Hirsch,6-2,190,,Wisconsin,
1936,Wayne Millner,6-1,189,,Notre Dame,
1946,Marion Motley,6-1,232,,South Carolina State,
1945,Charley Trippi,6-0,186,,Georgia,
1938,Alex Wojciechowicz,6-0,217,,Fordham,
1949,Chuck Bednarik,6-3,233,,Penn,
1948,Bobby Layne,6-1,201,,Texas,
,Ken Strong,6-0,206,,NYU,
1936,Joe Stydahar,6-4,233,,West Virginia,
1948,Emlen Tunnell,6-1,187,,Toledo,
1942,Bill Dudley,5-10,182,,Virginia,
,Joe Guyon,5-11,190,,Carlisle,
,Arnie Herber,5-11,203,,Wisconsin,
,Walt Kiesling,6-3,260,,St. Thomas (MN),
1940,George McAfee,6-0,178,,Duke,
1940,Bulldog Turner,6-1,237,,Hardin–Simmons,
,Guy Chamberlin,6-2,196,,Nebraska,
,Paddy Driscoll,5-11,160,,Northwestern,
1936,Danny Fortmann,6-0,210,,Colgate,
1944,Otto Graham,6-1,196,,Northwestern,
1939,Sid Luckman,6-0,197,,Columbia,
1944,Steve Van Buren,6-0,200,,LSU,
1944,Bob Waterfield,6-1,200,,UCLA,
,Jimmy Conzelman,6-0,180,QB,Washington University,MO
,Ed Healey,6-1,207,,Dartmouth,
,Clarke Hinkle,5-11,202,,Bucknell,
,Link Lyman,6-2,233,,Nebraska,
,Mike Michalske,6-0,203,OG,Penn State,OH
,George Trafton,6-2,230,,Notre Dame,
1937,Sammy Baugh,6-2,182,,TCU,
,Johnny Blood,6-1,188,,Saint John's (MN),
,Dutch Clark,6-0,185,,Colorado College,
,Red Grange,6-0,180,,Illinois,
,Mel Hein,6-2,225,,Washington State,
,Pete Henry,5-11,245,,Washington & Jefferson,
,Cal Hubbard,6-2,253,,Centenary,
,Don Hutson,6-1,183,,Alabama,
,Bronko Nagurski,6-2,226,,Minnesota,
,Ernie Nevers,6-0,204,,Stanford,
,Jim Thorpe,6-1,202,,Carlisle,
