Last Name,First Name,College/Univ,Round,Pick,Draft Class,Position,PhotoID,Player Assets ID,CommID,PresID,PLPO,Height,Weight,From,To,AP1,PB,St,wAV,League,Race,Hometown,Home State,Wiki_Image_URL,PFR_Image_URL,isHOF
Pierson,Barry,Michigan,5,127,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Laster,Art,MD-Eastern Shore,5,128,1970,T,,,,,,77.0,280.0,1970.0,1970.0,0.0,0.0,0.0,2.0,NFL,,,"Gary, Indiana",,,False
Jones,Greg,UCLA,5,129,1970,RB,,,,,,72.0,248.0,1970.0,1971.0,0.0,0.0,0.0,3.0,NFL,,,"Cincinnati, Ohio",,,False
Parrish,Lemar,Lincoln (MO),7,163,1970,DB,,,,,,71.0,185.0,1970.0,1982.0,1.0,8.0,12.0,95.0,NFL,,,"West Palm Beach, Florida",,,False
McFarland,Jim,Nebraska,7,164,1970,TE,,,,,,77.0,225.0,1970.0,1975.0,0.0,0.0,0.0,1.0,NFL,,,"North Platte, Nebraska",https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,,False
Clark,Wayne,U.S. International,8,198,1970,QB,,,,,,74.0,203.0,1970.0,1975.0,0.0,0.0,0.0,2.0,NFL,,,"Oskaloosa, Iowa",,,False
Bouley,Bob,Boston Col.,8,199,1970,T,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Johnson,Paul,Penn St.,8,200,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Holmgren,Mike,USC,8,201,1970,QB,,,,,,77.0,245.0,1970.0,,0.0,0.0,0.0,,NFL,,,"San Francisco, California",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Mike_Holmgren_2004_Portrait_crop.jpg/250px-Mike_Holmgren_2004_Portrait_crop.jpg,,False
Lomas,Mark,Northern Arizona,8,202,1970,DE,,,,,,76.0,250.0,1970.0,1974.0,0.0,0.0,5.0,27.0,NFL,,,"Los Angeles, California",,,False
Davidson,Honester,Bowling Green,8,203,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Saul,Rich,Michigan St.,8,204,1970,C,,,,,,75.0,241.0,1970.0,1981.0,0.0,6.0,7.0,67.0,NFL,,,"Butler, Pennsylvania",,,False
Dossey,Jerry,Arkansas,8,205,1970,G,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Gordon,Ira,Kansas St.,8,190,1970,G,,,,,,75.0,275.0,1970.0,1975.0,0.0,0.0,2.0,21.0,NFL,,,"Kilbourne, Louisiana",,,False
Campbell,Carter,Weber St.,8,191,1970,DE,,,,,,76.0,240.0,1970.0,1973.0,0.0,0.0,1.0,11.0,NFL,,,"Mobile, Alabama",,,False
Estes,Larry,Alcorn St.,8,192,1970,DE,,,,,,,,1970.0,1976.0,0.0,0.0,0.0,9.0,NFL,,,,,,False
Barry,Fred,Boston Univ.,8,193,1970,DB,,,,,,70.0,184.0,1970.0,1970.0,0.0,0.0,0.0,4.0,NFL,,,"Washington, Pennsylvania",,,False
Brewer,Larry,Louisiana Tech,8,194,1970,TE,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Miller,Seth,Arizona St.,8,195,1970,DB,,,,,,76.0,207.0,1970.0,,0.0,0.0,0.0,,NFL,,,"Carthage, Arkansas",,,False
McClish,Mike,Wisconsin,8,196,1970,T,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Mjos,Tim,North Dakota St.,8,197,1970,RB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Hardman,Cedrick,North Texas,1,9,1970,DE,,,,,,75.0,255.0,1970.0,1981.0,0.0,2.0,9.0,57.0,NFL,,,"Houston, Texas",https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Cedrick_Hardman_at_2003_NFL_Combine.JPG/250px-Cedrick_Hardman_at_2003_NFL_Combine.JPG,,False
Caster,Rich,Jackson St.,2,46,1970,TE,,,,,,77.0,228.0,1970.0,1982.0,0.0,3.0,8.0,55.0,NFL,,,"Mobile, Alabama",,,False
Sherk,Jerry,Oklahoma St.,2,47,1970,DT,,,,,,76.0,258.0,1970.0,1981.0,1.0,4.0,9.0,57.0,NFL,,,"Grants Pass, Oregon",https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/JerrySherk.jpg/250px-JerrySherk.jpg,https://www.pro-football-reference.com/players/S/SherJe00.htm,False
Isenbarger,John,Indiana,2,48,1970,RB,,,,,,75.0,203.0,1970.0,1973.0,0.0,0.0,0.0,5.0,NFL,,,"Muncie, Indiana",,https://www.pro-football-reference.com/players/I/IsenJo00.htm,False
Adkins,Margene,,2,49,1970,WR,,,,,,70.0,183.0,1970.0,1973.0,0.0,0.0,0.0,3.0,NFL,,,"Fort Worth, Texas",https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,https://www.pro-football-reference.com/players/A/AdkiMa00.htm,False
Koy,Ted,Texas,2,50,1970,TE,,,,,,74.0,212.0,1970.0,1974.0,0.0,0.0,0.0,1.0,NFL,,,"Bellville, Texas",https://en.wikipedia.org/wiki/Ted_Cox_(American_football),https://www.pro-football-reference.com/players/K/KoyxTe00.htm,False
Cappleman,Bill,Florida St.,2,51,1970,QB,,,,,,75.0,210.0,1970.0,1973.0,0.0,0.0,0.0,0.0,NFL,,,"Brooksville, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Bill_Cappleman.png/250px-Bill_Cappleman.png,https://www.pro-football-reference.com/players/C/CappBi00.htm,False
Werner,Clyde,Washington,2,52,1970,LB,,,,,,76.0,225.0,1970.0,1976.0,0.0,0.0,0.0,13.0,NFL,,,"Munising, Michigan",,https://www.pro-football-reference.com/players/W/WernCl20.htm,False
Files,Jim,Oklahoma,1,13,1970,LB,,,,,,76.0,240.0,1970.0,1973.0,0.0,0.0,4.0,23.0,NFL,,,"Paris, Arkansas",https://en.wikipedia.org/wiki/Jim_Riley_(American_football),https://www.pro-football-reference.com/players/F/FileJi20.htm,False
McCoy,Mike,Notre Dame,1,2,1970,DT,,,,,,71.0,183.0,1970.0,1980.0,0.0,0.0,7.0,46.0,NFL,,,"West Memphis, Arkansas",https://en.wikipedia.org/wiki/Mike_McCoy_(American_football_coach),https://www.pro-football-reference.com/players/M/McCoMi21.htm,False
Phipps,Mike,Purdue,1,3,1970,QB,,,,,,75.0,208.0,1970.0,1981.0,0.0,0.0,5.0,40.0,NFL,,,"Shelbyville, Indiana",https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Mike_Phipps.jpg/250px-Mike_Phipps.jpg,https://www.pro-football-reference.com/players/P/PhipMi00.htm,False
Olsen,Phil,Utah St.,1,4,1970,DT,,,,,,77.0,265.0,1970.0,1976.0,0.0,0.0,1.0,22.0,NFL,,,"Logan, Utah",https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Phil_Olsen_and_his_horse.jpg/250px-Phil_Olsen_and_his_horse.jpg,https://www.pro-football-reference.com/players/O/OlsePh20.htm,False
Cowlings,Al,USC,1,5,1970,DE,,,,,,77.0,255.0,1970.0,1979.0,0.0,0.0,5.0,29.0,NFL,,,"San Francisco, California",,https://www.pro-football-reference.com/players/C/CowlAl20.htm,False
Zabel,Steve,Oklahoma,1,6,1970,LB,,,,,,76.0,235.0,1970.0,1979.0,0.0,0.0,7.0,39.0,NFL,,,"Minneapolis, Minnesota",,https://www.pro-football-reference.com/players/Z/ZabeSt20.htm,False
Reid,Mike,Penn St.,1,7,1970,DT,,,,,,73.0,218.0,1970.0,1974.0,1.0,2.0,5.0,40.0,NFL,,,"Spartanburg, South",https://en.wikipedia.org/wiki/Mike_Reid_(American_football),https://www.pro-football-reference.com/players/R/ReidMi00.htm,False
Stegent,Larry,Texas A&M,1,8,1970,RB,,,,,,73.0,200.0,1970.0,1971.0,0.0,0.0,0.0,0.0,NFL,,,"Houston, Texas",https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,https://www.pro-football-reference.com/players/S/StegLa00.htm,False
Siwek,Mike,Western Michigan,11,267,1970,DT,,,,,,,,1970.0,1970.0,0.0,0.0,0.0,1.0,NFL,,,,,,False
Walik,Billy,Villanova,11,268,1970,WR,,,,,,,,1970.0,1972.0,0.0,0.0,0.0,0.0,NFL,,,,,,False
Crockett,Dan,Toledo,11,269,1970,WR,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Klahr,Gary,Arizona,11,270,1970,LB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Bryant,Cleve,Ohio,11,271,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,"Canton, Ohio",,,False
Brunson,Mike,Arizona St.,11,272,1970,RB,,,,,,73.0,190.0,1970.0,1970.0,0.0,0.0,0.0,0.0,NFL,,,"Little Rock, Arkansas",https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Brunson-Mike-1972.jpg/250px-Brunson-Mike-1972.jpg,,False
Pitcaithley,Alan,Oregon,11,273,1970,RB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Protz,Jack,Syracuse,11,275,1970,LB,,,,,,73.0,218.0,1970.0,1970.0,0.0,0.0,0.0,3.0,NFL,,,"Jersey City, New",https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,,False
Stankovich,Bob,Arkansas,10,259,1970,G,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Voigt,Stu,Wisconsin,10,260,1970,TE,,,,,,73.0,223.0,1970.0,1980.0,0.0,0.0,6.0,21.0,NFL,,,"Madison, Wisconsin",,,False
Hunt,Calvin,Baylor,11,261,1970,C,,,,,,75.0,245.0,1970.0,1973.0,0.0,0.0,1.0,7.0,NFL,,,"Oceanside, California",https://en.wikipedia.org/wiki/Calvin_Hunt_(American_football),,False
Rose,Ted,Northern Michigan,11,262,1970,TE,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,https://en.wikipedia.org/wiki/Ted_Ross_(American_football),,False
Wheless,Brownie,Rice,11,263,1970,T,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Bramlett,Dennis,Texas-El Paso,11,264,1970,T,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Williams,Terry,Grambling St.,11,265,1970,RB,,,,,,71.0,197.0,1970.0,,0.0,0.0,0.0,,NFL,,,"Homestead, Florida",https://en.wikipedia.org/wiki/Terry_Williams_(American_football),,False
Wallace,Sam,Grambling St.,11,266,1970,LB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Steen,Mac,Florida,10,250,1970,G,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,"West Point, New",,,False
Palmer,Dick,Kentucky,10,252,1970,LB,,,,,,74.0,232.0,1970.0,1974.0,0.0,0.0,0.0,11.0,NFL,,,"Lexington, Kentucky",https://en.wikipedia.org/wiki/Dick_Palmer_(American_football),,False
Maxwell,Bruce,Arkansas,10,253,1970,RB,,,,,,,,1970.0,1970.0,0.0,0.0,0.0,0.0,NFL,,,,,,False
Dickerson,Cleve,Miami (OH),10,254,1970,RB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Yanchar,William,Purdue,10,255,1970,DT,,,,,,,,1970.0,1970.0,0.0,0.0,0.0,2.0,NFL,,,,,,False
Opalsky,Vince,Miami (FL),10,256,1970,RB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Athas,Pete,Tennessee,10,257,1970,DB,,,,,,71.0,185.0,1970.0,1976.0,0.0,0.0,3.0,24.0,NFL,,,"Hackensack, New",,,False
Bosserman,Gordon,UCLA,10,258,1970,T,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Plummer,Tony,Pacific,10,242,1970,DB,,,,,,71.0,188.0,1970.0,1974.0,0.0,0.0,0.0,8.0,NFL,,,"Dallas, Texas",https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,,False
Schreiber,Larry,Tennessee Tech,10,243,1970,RB,,,,,,72.0,210.0,1970.0,1976.0,0.0,0.0,2.0,22.0,NFL,,,"Covington, Kentucky",,,False
Brumfield,Jim,Indiana St.,10,244,1970,RB,,,,,,73.0,195.0,1970.0,1971.0,0.0,0.0,0.0,0.0,NFL,,,"Osyka, Mississippi",,,False
Fortier,Matt,Fairmont St.,10,245,1970,DE,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Hatcher,Jim,Kansas,10,246,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Fullerton,Maurice,Tuskegee,10,247,1970,DT,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Melby,Russ,Weber St.,10,248,1970,DT,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Dawkins,Joe,Wisconsin,10,249,1970,RB,,,,,,72.0,223.0,1970.0,1976.0,0.0,0.0,4.0,35.0,NFL,,,"Los Angeles, California",,,False
Gravelle,Howard,UC Davis,12,302,1970,TE,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Kates,Jim,Penn St.,12,303,1970,LB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,MI,https://en.wikipedia.org/wiki/Jim_Bates_(American_football),,False
Burrell,Don,Angelo State (TX),12,304,1970,WR,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Murrell,Emanuel,Cal Poly-San Luis Obispo,12,305,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Pierson,Bill,San Diego St.,12,306,1970,C,,,,,,75.0,230.0,1970.0,,0.0,0.0,0.0,,NFL,,,CA,https://en.wikipedia.org/wiki/Bill_Peterson_(American_football),,False
Sanders,Jerry,Texas Tech,12,307,1970,K,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Arnold,Larry,Hawaii,12,308,1970,QB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Deloach,Gerry,UC Davis,12,310,1970,G,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Collins,Charles,Kansas St.,12,292,1970,WR,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,https://en.wikipedia.org/wiki/Charles_E._Collins_(American_football),,False
Jones,Robert,Middle Tennessee,UD,UD,2021,LG,933.0,JonesRobert_21644,,,plpo_JonesRobert,,,2021.0,,,,,,,,,,,,False
Truesdell,Tom,Ohio Wesleyan,12,294,1970,DT,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Tant,Bill,Dayton,12,295,1970,T,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,IL,https://en.wikipedia.org/wiki/Bill_Tate_(American_football),,False
Nels,Larry,Wyoming,12,297,1970,LB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Holton,Lonnie,Northern Michigan,12,298,1970,RB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Dawkins,Richard,Johnson C. Smith,12,299,1970,TE,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Foreman,Frank,Michigan St.,12,300,1970,WR,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Hicks,Emery,Kansas,11,284,1970,LB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
O'Neal,Bill,Grambling St.,11,285,1970,RB,,,,,,72.0,187.0,1970.0,,0.0,0.0,0.0,,NFL,,,IL,https://en.wikipedia.org/wiki/Bill_O%27Neill_(American_football),,False
Zaunbrecher,Godfrey,LSU,11,286,1970,C,,,,,,74.0,240.0,1970.0,1973.0,0.0,0.0,0.0,7.0,NFL,,,"Crowley, Louisiana",,,False
Davis,Butch,Missouri,12,287,1970,DB,,,,,,,,1970.0,1970.0,0.0,0.0,0.0,2.0,NFL,,,,,,False
Sharp,Rick,Washington,12,288,1970,T,,,,,,76.0,265.0,1970.0,1972.0,0.0,0.0,0.0,8.0,NFL,,,"London, England",https://en.wikipedia.org/wiki/Ricky_Sharpe_(American_football),,False
Kolen,Mike,Auburn,12,289,1970,LB,,,,,,74.0,220.0,1970.0,1977.0,0.0,0.0,6.0,40.0,NFL,,,"Opelika, Alabama",https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,,False
Simpson,Dave,Drake,12,290,1970,T,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Roero,Greg,New Mex. Highlands,12,291,1970,DT,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Hook,Dan,Humboldt St.,11,276,1970,LB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Alston,Mack,MD-Eastern Shore,11,277,1970,TE,,,,,,74.0,230.0,1970.0,1980.0,0.0,0.0,5.0,12.0,NFL,,,"Georgetown, South",,,False
Edwards,George,Fairmont St.,11,278,1970,RB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,NC,https://en.wikipedia.org/wiki/George_Edwards_(American_football),,False
Laird,Roger,Kentucky St.,11,279,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Thomas,Earlie,Colorado St.,11,280,1970,DB,,,,,,73.0,190.0,1970.0,1975.0,0.0,0.0,4.0,26.0,NFL,,,"Denton, Texas",,,False
Benner,Gene,Maine,11,281,1970,WR,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Bookert,David,New Mexico,11,282,1970,RB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Southerland,Ivan,Clemson,11,283,1970,T,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Pearce,Bob,S.F. Austin,13,337,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Patridge,Troy,Texas-Arlington,13,338,1970,DE,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Askson,Bert,Texas Southern,14,340,1970,DE,,,,,,,,1970.0,1977.0,0.0,0.0,0.0,11.0,NFL,,,,,,False
Brackett,Gary,Rutgers,UD,UD,2003,ROLB,,,,,,,,2003.0,,,,,,,,,,,,False
Costen,Bill,Morris Brown,14,342,1970,T,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Craw,Garvie,Michigan,14,343,1970,RB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Groth,Ray,Utah,14,345,1970,WR,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Moseley,Mark,S.F. Austin,14,346,1970,K,,,,,,,,1970.0,1986.0,1.0,2.0,0.0,44.0,NFL,,,,,,False
Patterson,Joe,Lawrence,13,329,1970,T,,,,,,70.0,185.0,1970.0,,0.0,0.0,0.0,,NFL,,,CA,https://en.wikipedia.org/wiki/Joe_Peterson_(American_football),,False
Polak,Dave,Bowling Green,13,330,1970,LB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Haverdick,Dave,Morehead St.,13,331,1970,DT,,,,,,,,1970.0,1970.0,0.0,0.0,0.0,4.0,NFL,,,,,,False
Groth,Walter,Baylor,13,332,1970,DT,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Roberts,Larry,Central Missouri St.,13,333,1970,RB,,,,,,75.0,270.0,1970.0,,0.0,0.0,0.0,,NFL,,,AL,https://en.wikipedia.org/wiki/Larry_Roberts_(American_football),,False
Jones,Melvin,Florida A&M,13,334,1970,WR,,,,,,74.0,260.0,1970.0,,0.0,0.0,0.0,,NFL,,,"Houston, Texas",https://en.wikipedia.org/wiki/Melvin_Jones_(American_football),,False
Washington,Mark,Morgan St.,13,335,1970,DB,,,,,,,,1970.0,1979.0,0.0,0.0,1.0,31.0,NFL,,,,https://en.wikipedia.org/wiki/Mark_Washington_(American_football),,False
Highsmith,Don,Michigan St.,13,336,1970,RB,,,,,,,,1970.0,1973.0,0.0,0.0,0.0,6.0,NFL,,,,,,False
Dunn,Paul,U.S. International,13,319,1970,RB,,,,,,,,1970.0,1970.0,0.0,0.0,0.0,0.0,NFL,,,PA,https://en.wikipedia.org/wiki/Paul_Dunn_(American_football_coach),,False
Thomas,Jack,Mississippi St.,13,320,1970,G,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,LA,https://en.wikipedia.org/wiki/Jay_Thomas_(American_football),,False
Vanderslice,Jim,TCU,13,321,1970,LB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
McKoy,Jim,Parsons,13,323,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Stepanek,Rich,Iowa,13,324,1970,DT,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Inskeep,Gary,WisconsinâStout,13,325,1970,T,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Lewis,Jess,Oregon St.,13,326,1970,LB,,,,,,74.0,211.0,1970.0,1970.0,0.0,0.0,0.0,2.0,NFL,,,OH,https://en.wikipedia.org/wiki/Jeff_Lewis_(American_football),,False
Bradley,Bernard,Utah St.,13,327,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Holland,James,Jackson St.,12,311,1970,DB,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Fedorchak,Rod,Pittsburgh,12,312,1970,G,,,,,,,,1970.0,,0.0,0.0,0.0,,NFL,,,,,,False
Main,Billy,Oregon St.,13,313,1970,RB,,,,,,76.0,279.0,1970.0,,0.0,0.0,0.0,,NFL,,,CA,https://en.wikipedia.org/wiki/Bill_Bain_(American_football),,False
Gunn,Jimmy,USC,13,314,1970,LB,,,,,,,,1970.0,1976.0,0.0,0.0,2.0,22.0,NFL,,,,,,False
