Last Name,First Name,College/Univ,Round,Pick,Draft Class,Position,Jersey,PhotoID,Player Assets ID,CommID,PLPO,Height,Weight,From,To,AP1,PB,St,wAV,League,Race,Home State,Wiki_Image_URL,PFR_Image_URL,isHOF
Jankowski,Ed,Wisconsin,1,9,1937,FB,,,,,,,,1937,1941,0,1,1,0,NFL,,,,,FALSE
Drake,Johnny,Purdue,1,10,1937,HB,,,,,,,,1937,1941,1,3,5,0,NFL,,,,,FALSE
Murray,Fran,Pennsylvania,2,11,1937,HB,,,,,,,,1937,1940,0,0,2,0,NFL,,,,,FALSE
Tinsley,Gaynell,LSU,2,12,1937,TE,,,,,,,,1937,1940,1,1,2,0,NFL,,,,,FALSE
Parker,Ace,Duke,2,13,1937,HB,,,,,,,,1937,1946,2,0,5,0,NFL,,,,,TRUE
White,Tarzan,Alabama,2,14,1937,LG,,,,,,,,1937,1945,0,1,1,0,NFL,,,,,FALSE
Finley,Bob,SMU,2,15,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Falaschi,Nello,Santa Clara,2,16,1937,FB,,,,,,,,1937,1941,0,2,3,0,NFL,,,,,FALSE
Hamrick,Charley,Ohio St.,2,17,1937,LT,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Stewart,Marv,LSU,2,18,1937,C,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Daniell,Averell,Pittsburgh,2,19,1937,LT,,,,,,,,1937,1937,0,0,0,0,NFL,,,,,FALSE
Alfonse,Julie,Minnesota,2,20,1937,HB,,,,,,,,1937,1938,0,0,2,0,NFL,,,,,FALSE
Ellis,Drew,TCU,3,21,1937,LT,,,,,,,,1937,1939,0,0,2,0,NFL,,,,,FALSE
Starcevich,Max,Washington,3,22,1937,LG,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Guepe,Art,Marquette,3,23,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Dennerlein,Jerry,St. Mary's (CA),3,24,1937,LT,,,,,,,,1937,1940,0,0,1,0,NFL,,,,,FALSE
Breeden,Bill,Oklahoma,3,25,1937,HB,,,,,,,,1937,1937,0,0,0,0,NFL,,,,,FALSE
Elder,Maurice,Kansas St.,3,26,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Huffman,Vern,Indiana,3,27,1937,FB,,,,,,,,1937,1938,0,0,2,0,NFL,,,,,FALSE
Plasman,Dick,Vanderbilt,3,28,1937,TE,,,,,,,,1937,1947,0,2,3,0,NFL,,,,,FALSE
Wilkinson,Charles (Bud),Minnesota,3,29,1937,LT,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
LaRue,Bobby,Pittsburgh,3,30,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Gilbert,Walt,Auburn,4,31,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Bryan,H.K. (Bucky),Tulane,4,32,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Kurlish,Bill,Pennsylvania,4,33,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Cuff,Ward,Marquette,4,34,1937,HB,,,,,,,,1937,1947,0,3,9,0,NFL,,,,,FALSE
Hewes,Elmo (Bo),Oklahoma,4,35,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Bassi,Dick,Santa Clara,4,36,1937,LG,,,,,,,,1937,1947,0,1,3,0,NFL,,,,,FALSE
Glassford,Bill,Pittsburgh,4,37,1937,LG,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Hammond,Henry,Rhodes,4,38,1937,TE,,,,,,,,1937,1937,0,0,0,0,NFL,,,,,FALSE
Svendsen,Bud,Minnesota,4,39,1937,C,,,,,,,,1937,1943,0,1,4,0,NFL,,,,,FALSE
Wiatrak,John,Washington,4,40,1937,C,,,,,,,,1937,1939,0,0,0,0,NFL,,,,,FALSE
Drobnitch,Alex,Denver,5,41,1937,LG,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Johnson,Bert,Kentucky,5,42,1937,FB,,,,,,,,1937,1942,0,0,2,0,NFL,,,,,FALSE
Harmon,Ham,Tulsa,5,43,1937,C,,,,,,,,1937,1937,0,0,1,0,NFL,,,,,FALSE
Kobrosky,Mickey,Trinity (CT),5,44,1937,QB,,,,,,,,1937,1937,0,0,0,0,NFL,,,,,FALSE
Frye,Jack,Missouri,5,45,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Bond,Chuck,Washington,5,46,1937,LT,,,,,,,,1937,1938,0,0,0,0,NFL,,,,,FALSE
Patt,Maury,Carnegie Mellon,5,47,1937,TE,,,,,,,,1937,1942,0,0,1,0,NFL,,,,,FALSE
Conkright,Bill,Oklahoma,5,48,1937,C,,,,,,,,1937,1944,0,0,3,0,NFL,,,,,FALSE
Gibson,Dewitt,Northwestern,5,49,1937,LT,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Smith,Inwood,Ohio St.,5,50,1937,LG,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Guckeyson,Bill,Maryland,6,51,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Dickens,Phil,Tennessee,6,52,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Golemgeske,John,Wisconsin,6,53,1937,LT,,,,,,,,1937,1940,0,0,2,0,NFL,,,,,FALSE
Farley,Jim,VMI,6,54,1937,LG,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Roach,Walt,TCU,6,55,1937,TE,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Cain,Jimmie,Washington,6,56,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Bell,George,Purdue,6,57,1937,LG,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Bjork,Del,Oregon,6,58,1937,LT,,,,,,,,1937,1938,0,1,0,0,NFL,,,,,FALSE
Wendt,Merle,Ohio St.,6,59,1937,TE,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Sasso,Chris Dal,Indiana,6,60,1937,LT,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Barna,Babe,West Virginia,7,61,1937,TE,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Funk,Fred,UCLA,7,62,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Dickerson,Herm,Virginia Tech,7,63,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Poole,Jim,Mississippi,7,64,1937,TE,,,,,,,,1937,1946,2,3,6,0,NFL,,,,,FALSE
Haines,By,Washington,7,65,1937,HB,,,,,,,,1937,1937,0,0,0,0,NFL,,,,,FALSE
Holland,Rotta,Kansas St.,7,66,1937,LG,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Sprague,John,SMU,7,67,1937,TE,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Friedman,J.W. (Buck),Rice,7,68,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Baldwin,Marv,TCU,7,69,1937,LT,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Schoen,Norm,Baldwin Wallace,7,70,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Hennon,Nestor,Carnegie Mellon,8,71,1937,TE,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Reynolds,John,Baylor,8,72,1937,C,,,,,,73,232,1937,1937,0,0,0,0,NFL,,,,,FALSE
Reid,Steve,Northwestern,8,73,1937,LG,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Myers,Gene,Kentucky,8,74,1937,LG,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Kordich,Marty,,8,75,1937,LG,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Eaves,Joel,Auburn,8,76,1937,TE,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Sayre,Elvin,Illinois,8,77,1937,C,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Toth,Steve,Northwestern,8,78,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Chapman,Les,Tulsa,8,79,1937,LT,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Schmarr,Herm,Catholic,8,80,1937,LE,,,,,,,,1937,1943,0,0,0,0,NFL,,,,,FALSE
Fanning,Paul,Kansas St.,9,81,1937,LT,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Nowogroski,Ed,Washington,9,82,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Hafeli,Dwight,,9,83,1937,TE,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Scheyer,Dwight,Washington St.,9,84,1937,LT,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Patanelli,Matt,Michigan,9,85,1937,TE,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Docherty,Bill,Temple,9,86,1937,LT,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Kelley,Larry,Yale,9,87,1937,TE,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Guepe,Al,Marquette,9,88,1937,HB,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Dahlgren,Gordon,Michigan St.,9,89,1937,LG,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Johnson,Ray,Denver,9,90,1937,CB,,,,,,,,1937,1940,0,0,0,0,NFL,,,,,FALSE
Antil,Ray,Minnesota,10,91,1937,TE,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Fitzsimons,Middleton,Georgia Tech,10,92,1937,LG,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Kuhn,Gil,USC,10,93,1937,LT,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Gelatka,Chuck,Mississippi St.,10,94,1937,TE,,,,,,,,1937,1940,0,1,0,0,NFL,,,,,FALSE
Nevers,Stan,Kentucky,10,95,1937,LT,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Cara,Mac,North Carolina St.,10,96,1937,TE,,,,,,,,1937,1938,0,0,0,0,NFL,,,,,FALSE
Bell,Kay,Washington St.,10,97,1937,LT,,,,,,,,1937,1942,0,0,0,0,NFL,,,,,FALSE
Wade,Ed (Red),Utah St.,10,98,1937,LT,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Gavin,Dave,Holy Cross,10,99,1937,LT,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Holt,Solon,TCU,10,100,1937,LG,,,,,,,,1937,,0,0,0,,NFL,,,,,FALSE
Wilson,George,Northwestern,UD,UD,1937,E,37,3244,,28258,,72,210,1937,,,1,,,,7,,,,FALSE
Cherundolo,Chuck,Penn State,UD,UD,1937,C/LB,,,,,,,,1937,,,,,,,,,,,FALSE
Keen,Rabbit,Arkansas,UD,UD,1937,HB/QB,,,,,,,,1937,,,,,,,,,,,FALSE
Soar,Hank,Providence,UD,UD,1937,HB/LB,,,,,,,,1937,,,,,,,,,,,FALSE
Walls,Bill,TCU,UD,UD,1937,E,,,,,,,,1937,,,,,,,,,,,FALSE
Davis,Corby,Indiana,1,1,1938,FB,,,,,,,,1938,1942,0,0,1,0,NFL,,,,,FALSE
McDonald,Jim,Ohio St.,1,2,1938,HB,,,,,,,,1938,1939,0,0,0,0,NFL,,,,,FALSE
Brumbaugh,Boyd,Duquesne,1,3,1938,HB,,,,,,,,1938,1941,0,0,1,0,NFL,,,,,FALSE
White,Whizzer,Colorado,1,4,1938,HB,,,,,,,,1938,1941,2,0,3,0,NFL,,,,,FALSE
Robbins,Jack,Arkansas,1,5,1938,HB,,,,,,,,1938,1939,0,0,0,0,NFL,,,,,FALSE
Wojciechowicz,Alex,Fordham,1,6,1938,C,,,,,,,,1938,1950,0,0,6,0,NFL,,,,,TRUE
Isbell,Cecil,Purdue,1,7,1938,HB,,,,,,,,1938,1942,1,4,3,0,NFL,,,,,FALSE
Karamatic,George,Gonzaga,1,8,1938,FB,,,,,,,,1938,1938,0,0,0,0,NFL,,,,,FALSE
Farkas,Andy,Detroit Mercy,1,9,1938,FB,,,,,,,,1938,1945,2,2,6,0,NFL,,,,,FALSE
Gray,Joe,Oregon St.,1,10,1938,HB,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Benton,Jim,Arkansas,2,11,1938,TE,,,,,,,,1938,1947,2,1,6,0,NFL,,,,,FALSE
Riffle,Dick,Albright,2,12,1938,HB,,,,,,,,1938,1942,0,1,3,0,NFL,,,,,FALSE
Kilgrow,Joe,Alabama,2,13,1938,HB,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Filchock,Frank,Indiana,2,14,1938,HB,,,,,,,,1938,1950,0,2,3,0,NFL,,,,,FALSE
Popovich,Milt,Montana,2,15,1938,HB,,,,,,,,1938,1942,0,0,1,0,NFL,,,,,FALSE
Routt,Joe,Texas A&M,3,16,1938,LG,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Bukant,Joe,Washington (MO),3,17,1938,HB,,,,,,,,1938,1943,0,0,1,0,NFL,,,,,FALSE
Kinard,Bruiser,Mississippi,3,18,1938,LT,,,,,,,,1938,1947,4,5,8,0,NFL,,,,,TRUE
Wolfe,Red,Texas,3,19,1938,FB,,,,,,,,1938,1938,0,1,0,0,NFL,,,,,FALSE
Patrick,Frank,Pittsburgh,3,20,1938,HB,,,,,,79,225,1938,1939,0,0,2,0,NFL,,"Derry, Pennsylvania",,,FALSE
Smith,Pete,Oklahoma,3,21,1938,TE,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Schreyer,Marty,Purdue,3,22,1938,LT,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Vanzo,Fred,Northwestern,3,23,1938,FB,,,,,,,,1938,1941,0,1,3,0,NFL,,,,,FALSE
Chapman,Sam,California,3,24,1938,HB,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Famiglietti,Gary,Boston Univ.,3,25,1938,FB,,,,,,,,1938,1946,0,3,2,0,NFL,,,,,FALSE
Markov,Vic,Washington,4,26,1938,LT,,,,,,,,1938,1938,0,0,0,0,NFL,,,,,FALSE
Meek,John,California,4,27,1938,HB,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Moore,Gene,Colorado,4,28,1938,C,,,,,,,,1938,1938,0,0,0,0,NFL,,,,,FALSE
Matisi,Tony,Pittsburgh,4,29,1938,LT,,,,,,,,1938,1938,0,0,0,0,NFL,,,,,FALSE
Herwig,Bob,California,4,30,1938,C,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Franco,Ed,Fordham,5,31,1938,LT,,,,,,,,1938,1944,0,0,1,0,NFL,,,,,FALSE
Shirey,Fred,Nebraska,5,32,1938,LT,,,,,,,,1938,1941,0,0,0,0,NFL,,,,,FALSE
Merlin,Ed,Vanderbilt,5,33,1938,LG,,,,,,,,1938,1939,0,0,0,0,NFL,,,,,FALSE
Midler,Lou,Minnesota,5,34,1938,LG,,,,,,,,1938,1940,0,0,0,0,NFL,,,,,FALSE
Babartsky,Al,Fordham,5,35,1938,LT,,,,,,,,1938,1945,0,0,5,0,NFL,,,,,FALSE
Bershak,Andy,North Carolina,5,36,1938,TE,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Sweeney,Chuck,Notre Dame,5,37,1938,TE,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Konemann,Marion (Dutch),Georgia Tech,5,38,1938,HB,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Price,Dave,Mississippi St.,5,39,1938,C,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Zarnas,Gust,Ohio St.,5,40,1938,LG,,,,,,,,1938,1940,0,1,0,0,NFL,,,,,FALSE
Hamilton,Ray,Arkansas,6,41,1938,TE,,,,,,77,252,1938,1947,0,0,3,0,NFL,,,,,FALSE
Ramsey,Red,Texas Tech,6,42,1938,TE,,,,,,,,1938,1945,0,0,2,0,NFL,,,,,FALSE
Schwartz,Perry,California,6,43,1938,TE,,,,,,,,1938,1946,2,4,5,0,NFL,,,,,FALSE
Platukis,George,Duquesne,6,44,1938,TE,,,,,,,,1938,1942,0,0,3,0,NFL,,,,,FALSE
Brunansky,Joe,Duke,6,45,1938,LT,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Schleckman,Karl,Utah,6,46,1938,LT,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Uram,Andy,Minnesota,6,47,1938,HB,,,,,,,,1938,1943,0,1,1,0,NFL,,,,,FALSE
Souchak,Frank,Pittsburgh,6,48,1938,TE,,,,,,,,1938,1939,0,0,0,0,NFL,,,,,FALSE
Dohrmann,Elmer,Nebraska,6,49,1938,TE,,,,,,,,1938,,0,0,0,,NFL,,,,,FALSE
Masterson,Bob,Miami (FL),6,50,1938,TE,,,,,,,,1938,1946,0,1,5,0,NFL,,,,,FALSE
Chesbro,Red,Colgate,7,51,1938,LG,,,,,,,,1938,1938,0,0,0,0,NFL,,,,,FALSE
