last_name,first_name,team,position,jersey,year,freshman_year,possible_draft_year,height_inches,weight,recruiting_year,recruiting_stars,recruiting_rating,national_ranking,home_city,home_state,home_country,season_year,player_id
Imatorbhebhe,Daniel,Illinois,TE,,4,,,76.0,240.0,,,,,Suwanee,GA,USA,2020,3682406
Gaylord,Christian,Nebraska,OL,65.0,4,,,78.0,310.0,,,,,Baldwin City,KS,USA,2020,3699698
Green,Dahu,Arkansas State,WR,4.0,4,,,76.0,197.0,,,,,Oklahoma City,OK,USA,2020,3707332
Whitney,Sam,Boise State,DE,53.0,4,,,74.0,225.0,,,,,Folsom,CA,USA,2020,3722357
Whimpey,Riley,Boise State,LB,44.0,4,,,73.0,236.0,,,,,San Clemente,CA,USA,2020,3722370
Tyler,Evan,Boise State,S,5.0,4,,,74.0,200.0,,,,,Corona,CA,USA,2020,3722376
Witham,Bryce,Minnesota,TE,85.0,4,,,76.0,265.0,,,,,Grand Rapids,MI,USA,2020,3728271
Sindelar,Elijah,Purdue,QB,2.0,4,,,76.0,225.0,,,,,Princeton,KY,USA,2020,3791146
Bowers,Ross,Northern Illinois,QB,12.0,4,,,74.0,200.0,,,,,Bothell,WA,USA,2020,3858269
Bequette,Luc,Boston College,DL,93.0,4,,,74.0,295.0,,,,,Little Rock,AR,USA,2020,3858274
Kennedy,Brandon,Tennessee,OL,55.0,4,,,75.0,300.0,,,,,Wetumpka,AL,USA,2020,3859007
Collins,Seth,Texas Tech,DB,,4,,,75.0,200.0,,,,,San Diego,CA,USA,2020,3860070
Dew-Treadway,Micah,Minnesota,DL,18.0,4,,,76.0,315.0,,,,,Bolingbrook,IL,USA,2020,3863052
Hoge,Tristen,BYU,OL,69.0,4,,,77.0,310.0,,,,,Pocatello,ID,USA,2020,3863089
Johnson,Zeandae,California,DE,44.0,4,,,76.0,290.0,,,,,Fresno,CA,USA,2020,3863561
Smith,Tyrell,Virginia Tech,OL,79.0,4,,,75.0,300.0,,,,,North Brunswick,NJ,USA,2020,3871882
Oguayo,Nnamdi,Washington State,DL,30.0,4,,,75.0,260.0,,,,,Beltsville,MD,USA,2020,3883825
Woods,Josh,UCLA,LB,2.0,4,,,74.0,234.0,,,,,Upland,CA,USA,2020,3886376
Dormady,Quinten,Central Michigan,QB,12.0,4,,,77.0,219.0,,,,,Boerne,TX,USA,2020,3886565
Dietzen,Jon,Wisconsin,OL,67.0,4,,,78.0,319.0,,,,,Black Creek,WI,USA,2020,3886608
Penniston,Kyle,Rutgers,TE,49.0,4,,,76.0,243.0,,,,,Orange,CA,USA,2020,3886611
Hughes,Justin,Kansas State,LB,32.0,4,,,73.0,229.0,,,,,Tucker,GA,USA,2020,3886632
White,Brady,Memphis,QB,3.0,4,,,75.0,210.0,,,,,Newhall,CA,USA,2020,3893630
Young-Smith,Tyrone,Utah,WR,33.0,4,,,76.0,218.0,,,,,Fresno,CA,USA,2020,3894891
Tipton,Tre,Pittsburgh,WR,6.0,4,,,73.0,185.0,,,,,Apollo,PA,USA,2020,3895797
Tucker,Carl,Alabama,TE,86.0,4,,,74.0,248.0,,,,,Concord,NC,USA,2020,3895833
Moore,Richard,SMU,LB,14.0,4,,,72.0,226.0,,,,,Cedar Hill,TX,USA,2020,3895858
Harris,Jason,UCLA,LB,95.0,4,,,76.0,248.0,,,,,Barrington,IL,USA,2020,3908603
Nosworthy,Paul,Buffalo,OL,72.0,4,,,76.0,300.0,,,,,Baldwin,NY,USA,2020,3909153
Woolford,Jovaun,Rice,OL,70.0,4,,,77.0,295.0,,,,,Des Plaines,IL,USA,2020,3909296
Carter,McLane,Rutgers,QB,17.0,4,,,75.0,225.0,,,,,Gilmer,TX,USA,2020,3910083
Thompson,Tyree,Buffalo,LB,27.0,4,,,73.0,225.0,,,,,Pacoima,CA,USA,2020,3910654
Thompson,Tyree,UCLA,LB,27.0,4,,,73.0,225.0,,,,,Pacoima,CA,USA,2020,3910654
Maddox,Brandon,Vanderbilt,DL,56.0,4,,,75.0,290.0,,,,,North Augusta,SC,USA,2020,3911536
Davis,Dominic,USC,CB,16.0,4,,,69.0,195.0,,,,,Los Angeles,CA,USA,2020,3912548
Rector,Christian,USC,DL,89.0,4,,,76.0,270.0,,,,,South Pasadena,CA,USA,2020,3912559
Daniel,Jacob,USC,G,52.0,4,,,76.0,310.0,,,,,Fresno,CA,USA,2020,3912561
Mangum,Thad,South Florida,DT,23.0,4,,,74.0,285.0,,,,,Greenville,SC,USA,2020,3913010
Clifford,Dan,Buffalo,OL,78.0,4,,,76.0,305.0,,,,,Hoboken,NJ,USA,2020,3913101
Farrier,Deondre,East Carolina,WR,1.0,4,,,73.0,191.0,,,,,Orlando,FL,USA,2020,3914182
Clark,Cameron,Charlotte,OL,72.0,2,,,76.0,290.0,,,,,Greensboro,NC,USA,2020,3914277
Horn,Kyle,Arizona State,TE,80.0,4,,,77.0,245.0,,,,,Pembroke,MA,USA,2020,3914348
Kitchen,Ephraim,Georgia Southern,CB,23.0,4,,,70.0,180.0,,,,,Batesville,MS,USA,2020,3914376
Bozeman,Jamari,Bowling Green,DB,13.0,4,,,74.0,190.0,,,,,West Palm Beach,FL,USA,2020,3914394
Sotolongo,Antonyo,Bowling Green,DB,21.0,4,,,73.0,207.0,,,,,Miami,FL,USA,2020,3914398
Lamar,Charles,Bowling Green,RB,23.0,4,,,74.0,215.0,,,,,Lake Mary,FL,USA,2020,3914401
Lautanen,Nico,Bowling Green,DL,54.0,4,,,75.0,278.0,,,,,Mentor,OH,USA,2020,3914410
Kramer,Jack,Bowling Green,OL,65.0,4,,,75.0,301.0,,,,,Plainfield,IL,USA,2020,3914411
Howard,Eli,Texas Tech,DL,53.0,4,,,76.0,280.0,,,,,San Angelo,TX,USA,2020,3914489
Fox,Miles,Wake Forest,DL,11.0,4,,,73.0,297.0,,,,,Lawrenceville,GA,USA,2020,3914537
Wilder,Derek,Old Dominion,DE,42.0,4,,,73.0,265.0,,,,,Norfolk,VA,USA,2020,3914554
Williams,Jarrid,Miami,OL,62.0,4,,,78.0,310.0,,,,,Cedar Hill,TX,USA,2020,3914628
Muhammad,EJ,Nevada,DB,4.0,4,,,71.0,195.0,,,,,Desoto,TX,USA,2020,3914827
Matautia,Solomon,Hawai'i,LB,27.0,4,,,73.0,230.0,,,,,Ewa Beach,HI,USA,2020,3914918
Williams,Manly,Hawai'i,DL,49.0,4,,,74.0,245.0,,,,,Honolulu,HI,USA,2020,3914924
Furuta,Dayton,Hawai'i,RB,7.0,4,,,71.0,250.0,,,,,Mililani,HI,USA,2020,3914927
Hensley,J.R.,Hawai'i,OL,57.0,4,,,77.0,310.0,,,,,Edmond,OK,USA,2020,3914928
Moananu,Eperone,Hawai'i,DL,66.0,4,,,74.0,290.0,,,,,Pago Pago,,American Samoa,2020,3914937
Akoteu,Samiuela,Hawai'i,DL,91.0,4,,,74.0,280.0,,,,,Inglewood,CA,USA,2020,3914940
Ancrum,Luke,Florida,DL,98.0,4,,,77.0,263.0,,,,,Sebring,FL,USA,2020,3915094
Buchanan,Nick,Florida,OL,66.0,4,,,75.0,283.0,,,,,Dunwoody,GA,USA,2020,3915096
Jackson,Rayshad,UNLV,LB,6.0,4,,,72.0,235.0,,,,,Miami ,FL,USA,2020,3915104
Tilghman,Jacob,Florida,LS,49.0,4,,,74.0,214.0,,,,,Daytona Beach,FL,USA,2020,3915119
Brown,Eli,Western Kentucky,LB,32.0,4,,,74.0,220.0,,,,,Bowing Green,KY,USA,2020,3915243
Dixon,Antwan,Kent State,WR,10.0,4,,,68.0,178.0,,,,,Fort Myers,FL,USA,2020,3915261
Richmond,Drew,USC,OT,53.0,4,,,77.0,315.0,,,,,Memphis,TN,USA,2020,3915392
Fisher,Nick,Colorado,DB,7.0,4,,,72.0,190.0,,,,,Temecula,CA,USA,2020,3915429
Eipper,Steve,Central Michigan,OL,60.0,4,,,76.0,288.0,,,,,Greenville,MI,USA,2020,3915488
Jamison,Da'Quaun,Central Michigan,DB,6.0,4,,,72.0,198.0,,,,,Leesburg,GA,USA,2020,3915492
Oliver,Michael,Central Michigan,LB,7.0,4,,,72.0,238.0,,,,,Detroit,MI,USA,2020,3915495
Ross,Romello,Central Michigan,RB,3.0,4,,,70.0,212.0,,,,,Detroit,MI,USA,2020,3915497
Smith,Derek,Central Michigan,OL,56.0,4,,,77.0,295.0,,,,,Grand Rapids,MI,USA,2020,3915500
Hilliard,Justin,Ohio State,LB,47.0,4,,,73.0,231.0,,,,,Cincinnati,OH,USA,2020,3915523
Pfeifer,Ean,Louisville,TE,14.0,4,,,76.0,255.0,,,,,Bentonville,AR,USA,2020,3915771
Holt,Ben,Purdue,LB,44.0,4,,,71.0,225.0,,,,,Bowling Green,KY,USA,2020,3915798
Dauphine,Corey,Tulane,RB,6.0,4,,,72.0,195.0,,,,,Port Arthur,TX,USA,2020,3915824
Taylor,Christian,Texas State,LB,18.0,4,,,74.0,235.0,,,,,Houston,TX,USA,2020,3915835
Forester,Stephen,UTEP,LB,47.0,4,,,74.0,230.0,,,,,Dallas,TX,USA,2020,3915874
VanHook,Jayson,UTEP,LB,9.0,4,,,75.0,210.0,,,,,Moreno Valley,CA,USA,2020,3915898
Green,TJ,Northwestern,QB,10.0,4,,,74.0,210.0,,,,,Leawood,KS,USA,2020,3915966
Sullivan,Elijah,Kansas State,LB,,4,,,72.0,215.0,,,,,Tucker,GA,USA,2020,3916127
Rials,Reid,Troy,WR,82.0,4,,,73.0,202.0,,,,,Satsuma,AL,USA,2020,3916349
Smith,Trey,Wyoming,RB,7.0,4,,,72.0,218.0,,,,,Madison,MS,USA,2020,3916389
Riley,Tyrone,NC State,OT,55.0,4,,,78.0,305.0,,,,,Savannah,GA,USA,2020,3916437
Lamour,Dev,Buffalo,S,28.0,4,,,74.0,205.0,,,,,Montreal,PQ,Canada,2020,3916574
Gonzalez,Christian,Buffalo,DT,68.0,4,,,75.0,310.0,,,,,Newark,NJ,USA,2020,3916593
Russell,Devon,Buffalo,CB,12.0,4,,,69.0,185.0,,,,,Elkton,MD,USA,2020,3916620
Holford,Clay,Eastern Michigan,DL,91.0,4,,,74.0,255.0,,,,,Carrollton,TX,USA,2020,3916642
French,Wesley,Western Michigan,C,66.0,4,,,77.0,307.0,,,,,Benton Harbor,MI,USA,2020,3916746
McBryde,Richard,SMU,LB,50.0,4,,,73.0,232.0,,,,,Troy,AL,USA,2020,3916938
Williams,Cristian,Tulsa,S,3.0,4,,,72.0,180.0,,,,,Dallas,TX,USA,2020,3917015
Jones,Jamal,Arkansas State,RB,21.0,4,,,69.0,193.0,,,,,Memphis,TN,USA,2020,3917179
Dillon,Joe,Louisiana,LB,3.0,4,,,74.0,220.0,,,,,Tylertown,MS,USA,2020,3917582
Jones,Terrence,Louisiana,LB,56.0,4,,,75.0,234.0,,,,,Pearland,TX,USA,2020,3917594
Prudhomme,Cole,Louisiana,OL,61.0,4,,,76.0,302.0,,,,,Eunice,LA,USA,2020,3917595
Marks,Ken,Louisiana,OL,67.0,4,,,76.0,308.0,,,,,Beaumont,TX,USA,2020,3917598
Adesanya,Sean,Central Michigan,DL,2.0,4,,,75.0,240.0,,,,,Rahway,NJ,USA,2020,3917625
Allen,Connor,Wisconsin,P,90.0,4,,,72.0,168.0,,,,,New Berlin,WI,USA,2020,3917656
Erdmann,Jason,Wisconsin,OL,78.0,4,,,78.0,328.0,,,,,Richfield,WI,USA,2020,3917661
Hintze,Zach,Wisconsin,PK,39.0,4,,,72.0,190.0,,,,,Fond Du Lac,WI,USA,2020,3917665
Johnson,Tyler,Wisconsin,LB,59.0,4,,,75.0,241.0,,,,,Menasha,WI,USA,2020,3917670
Moorman,David,Wisconsin,OL,68.0,4,,,77.0,307.0,,,,,Northville,MI,USA,2020,3917672
Pfaff,David,Wisconsin,DE,52.0,4,,,74.0,288.0,,,,,Mequon,WI,USA,2020,3917674
Roberge,Gunnar,Wisconsin,NT,67.0,4,,,76.0,292.0,,,,,Seymour,WI,USA,2020,3917677
Shaw,Bradrick,California,RB,9.0,4,,,73.0,225.0,,,,,Birmingham,AL,USA,2020,3917680
Shaw,Bradrick,Wisconsin,RB,9.0,4,,,73.0,225.0,,,,,Birmingham,AL,USA,2020,3917680
Young,Aaron,Florida Atlantic,WR,13.0,4,,,76.0,210.0,,,,,Murrieta,CA,USA,2020,3917789
Curry,David,Georgia Tech,LB,6.0,4,,,74.0,230.0,,,,,Buford,GA,USA,2020,3917818
Dotson,Meiko,Florida State,DB,9.0,4,,,71.0,190.0,,,,,Daytona Beach,FL,USA,2020,3917820
Sheppard,Dominic,UTSA,LB,44.0,4,,,74.0,245.0,,,,,Miami,FL,USA,2020,3917913
Burney,Richard,Virginia,DE,16.0,4,,,76.0,280.0,,,,,Chesapeake,VA,USA,2020,3917922
Feaster,Denzel,Kansas,LB,18.0,4,,,75.0,224.0,,,,,Austin,TX,USA,2020,3917959
Fuller,Tario,Purdue,RB,25.0,4,,,72.0,200.0,,,,,Sugar Hill,GA,USA,2020,3918001
McCann,Matt,Purdue,OL,79.0,4,,,78.0,305.0,,,,,Fishers,IN,USA,2020,3918005
Worship,Richie,Purdue,RB,34.0,4,,,72.0,250.0,,,,,Cleveland,OH,USA,2020,3918013
Johns,Montrice,UNLV,DL,96.0,4,,,75.0,325.0,,,,,Yuma,AZ,USA,2020,3918467
Turner,Tyree,UAB,DL,10.0,4,,,73.0,305.0,,,,,Stockbridge,GA,USA,2020,3918640
Henry,Kevin,Tulane,LB,33.0,4,,,72.0,230.0,,,,,Baton Rouge,LA,USA,2020,3919597
Gaither,Bailey,San José State,WR,84.0,4,,,73.0,182.0,,,,,Paso Robles,CA,USA,2020,3921681
Afalava,Soli,UNLV,DB,15.0,4,,,74.0,215.0,,,,,Hauula,HI,USA,2020,3921696
Austrie,Evan,UNLV,DB,17.0,4,,,72.0,210.0,,,,,Vallejo,CA,USA,2020,3921697
Flowers,Jericho,UNLV,DB,7.0,4,,,70.0,180.0,,,,,Los Angeles,CA,USA,2020,3921699
McCoy,Gabe,UNLV,LB,25.0,4,,,74.0,220.0,,,,,Pittsburg,CA,USA,2020,3921702
Polu,Justin,UNLV,OL,78.0,4,,,76.0,335.0,,,,,Henderson,NV,USA,2020,3921705
Presley,Brandon,UNLV,WR,80.0,4,,,72.0,180.0,,,,,Temecula,CA,USA,2020,3921706
Pugh,Kyle,Northern Illinois,LB,11.0,4,,,72.0,226.0,,,,,Chicago Heights,IL,USA,2020,3921952
Crawford,Daniel,Northern Illinois,TE,88.0,4,,,74.0,251.0,,,,,Macomb,MI,USA,2020,3921960
Lyon,Nafees,Charlotte,DB,8.0,4,,,70.0,184.0,,,,,Charlotte,NC,USA,2020,3921996
Harris,Tyriq,Charlotte,DE,10.0,4,,,75.0,236.0,,,,,Roanoke,VA,USA,2020,3922002
Dixon,Malik,Rutgers,DB,15.0,4,,,75.0,213.0,,,,,Port Charlotte,FL,USA,2020,3923373
Bronson,Josiah,Washington,DL,11.0,4,,,75.0,300.0,,,,,Kent,WA,USA,2020,3923400
Knight,Keilan,UAB,TE,46.0,4,,,74.0,225.0,,,,,Birmingham,AL,USA,2020,3924129
Gardner,Ferrod,Louisiana,LB,7.0,4,,,73.0,220.0,,,,,Dayton,OH,USA,2020,3924316
Derouen,Trey,Buffalo,OL,75.0,4,,,75.0,315.0,,,,,Lilburn,GA,USA,2020,3924360
McMillon,Joshua,Alabama,LB,40.0,4,,,75.0,240.0,,,,,Memphis,TN,USA,2020,3925353
Cameron,Marshaun,Colorado State,DB,26.0,4,,,69.0,190.0,,,,,Los Angeles,CA,USA,2020,3925446
Covey,Britain,Utah,WR,18.0,3,,,68.0,172.0,,,,,Provo,UT,USA,2020,3926231
Brock,Tristan,Washington State,LB,44.0,4,,,73.0,258.0,,,,,Mount Vernon,WA,USA,2020,3927792
Martin Jr.,Tavares,Oklahoma State,WR,8.0,2020,,,73.0,183.0,,,,,Lubbock,TX,USA,2020,3927809
Zinn-Turner,Eddie,Buffalo,DT,98.0,4,,,73.0,315.0,,,,,Canton,OH,USA,2020,3927992
Johnson,Noah,South Florida,QB,,4,,,72.0,198.0,,,,,Dallas,TX,USA,2020,3928455
Petrishen,John,Pittsburgh,LB,,4,,,73.0,225.0,,,,,Lower Burrell,PA,USA,2020,3929651
James,Isaac,Ball State,WR,12.0,4,,,72.0,192.0,,,,,Carmel,IN,USA,2020,3929783
Dorris,Austin,Bowling Green,TE,83.0,4,,,77.0,248.0,,,,,Shadyside,OH,USA,2020,3929797
Dotson,Malcolm,Purdue,WR,83.0,4,,,74.0,200.0,,,,,Indianapolis,IN,USA,2020,3929903
Prentice,Adam,South Carolina,FB,46.0,4,,,72.0,245.0,,,,,Fresno,CA,USA,2020,3929914
Oliver,Shaquan,Northern Illinois,RB,23.0,4,,,70.0,211.0,,,,,Montclair,NJ,USA,2020,3930045
Rosa,Austin,Virginia Tech,LB,55.0,4,,,70.0,210.0,,,,,Reading,PA,USA,2020,3930051
Taylor,Manny,Rutgers,OL,72.0,4,,,77.0,312.0,,,,,Philadelphia,PA,USA,2020,3930058
Venesky,Zach,Rutgers,OL,75.0,4,,,75.0,306.0,,,,,Peckville,PA,USA,2020,3930059
Aydon,Elu,Oregon State,DL,99.0,4,,,75.0,377.0,,,,,Leone,,American Samoa,2020,3930268
Bodden,Andre,Oregon State,WR,86.0,4,,,72.0,173.0,,,,,Carson,CA,USA,2020,3930269
Choukair,Jordan,Oregon State,PK,46.0,4,,,73.0,195.0,,,,,Poway,CA,USA,2020,3930271
Firth,Keegan,Oregon State,LS,37.0,4,,,76.0,218.0,,,,,Corvallis,OR,USA,2020,3930275
Hicks-Onu,Omar,Oregon State,DB,10.0,4,,,73.0,199.0,,,,,Carrollton,TX,USA,2020,3930278
Moore,Jalen,Oregon State,DB,33.0,4,,,72.0,213.0,,,,,Denver,CO,USA,2020,3930287
Rodriguez,Daniel,Oregon State,P,39.0,4,,,70.0,206.0,,,,,Pleasanton,CA,USA,2020,3930294
Wilson,Shawn,Oregon State,DB,2.0,4,,,69.0,194.0,,,,,Pomona,CA,USA,2020,3930301
Eldridge,Nathan,Oregon State,OL,64.0,4,,,76.0,297.0,,,,,Anthem,AZ,USA,2020,3931446
Harris,Jacob,UCF,WR,87.0,4,,,77.0,211.0,,,,,Palm Harbor,FL,USA,2020,3932144
Alexander,JD,UNLV,LB,40.0,4,,,74.0,230.0,,,,,Los Angeles,CA,USA,2020,3932170
Lucier-South,Keisean,UCLA,LB,11.0,4,,,76.0,235.0,,,,,Santa Ana,CA,USA,2020,3932226
Samuel,Colin,Houston,CB,29.0,4,,,74.0,200.0,,,,,Long Beach,CA,USA,2020,3932236
Anderson,Zayne,BYU,LB,23.0,4,,,74.0,210.0,,,,,Stansbury Park,UT,USA,2020,3932335
Crawford,Shaun,Notre Dame,CB,20.0,4,,,69.0,180.0,,,,,Lakewood,OH,USA,2020,3932426
Taylor,Elijah,Eastern Kentucky,DL,58.0,4,,,75.0,280.0,,,,,Cincinnati,OH,USA,2020,3932443
McKinley-Lewis,Danzel,Toledo,WR,4.0,4,,,71.0,190.0,,,,,Pittsburgh,PA,USA,2020,3932906
Harris,Bryce,Toledo,OL,72.0,4,,,75.0,292.0,,,,,Akron,OH,USA,2020,3932924
Bradley,Clayton,UNLV,OL,76.0,4,,,78.0,310.0,,,,,Orange,CA,USA,2020,3932934
Bradley,Clayton,USC,OL,76.0,4,,,78.0,310.0,,,,,Orange,CA,USA,2020,3932934
Dehdashtian,Nick,UNLV,DL,98.0,3,,,73.0,280.0,,,,,Rancho Santa Margarita,CA,USA,2020,3933303
Oishi,Nate,UNLV,OL,62.0,4,,,70.0,285.0,,,,,Honolulu,HI,USA,2020,3933307
Woods Jr.,Darren,UNLV,WR,10.0,4,,,72.0,215.0,,,,,Missouri City,TX,USA,2020,3933311
Hicken,Hayes,UNLV,PK,19.0,4,,,74.0,245.0,,,,,Salt Lake City ,UT,USA,2020,3933462
Simpson,Shane,Virginia,RB,31.0,4,,,71.0,200.0,,,,,Ewa Beach,HI,USA,2020,3935232
Jones,Davon,Bowling Green,RB,24.0,4,,,70.0,235.0,,,,,Worcester,MA,USA,2020,3939936
Jones,Javohn,New Mexico,RB,33.0,4,,,71.0,200.0,,,,,Albuquerque,NM,USA,2020,3939986
Bayle,Matt,USC,LB,49.0,4,,,72.0,215.0,,,,,San Marino,CA,USA,2020,3940466
Reichner,Jeromy,Oregon State,DL,91.0,4,,,73.0,273.0,,,,,Philadelphia,PA,USA,2020,3949056
Kenefick,Michael,Buffalo,OL,64.0,4,,,75.0,305.0,,,,,Buffalo,NY,USA,2020,3950616
Conner,Garrett,Florida,RB,44.0,4,,,73.0,204.0,,,,,Lakeland,FL,USA,2020,3970759
Bailey,Steven,Arizona,OL,63.0,4,,,75.0,314.0,,,,,Litchfield Park,AZ,USA,2020,4027927
Sorensen,Korbin,Oregon State,OL,63.0,4,,,77.0,296.0,,,,,Kennewick,WA,USA,2020,4028075
Vega,Mason,Hawai'i,DL,43.0,4,,,75.0,275.0,,,,,Rancho Cucamonga,CA,USA,2020,4028090
Jountti,Quincy,USC,RB,27.0,4,,,71.0,210.0,,,,,Bakersfield,CA,USA,2020,4028215
Kuljian,Tanner,San Diego State,P,13.0,4,,,70.0,175.0,,,,,,,,2020,4028224
Atariwa,Adeeb,Virginia,DL,95.0,4,,,75.0,280.0,,,,,Sterling,VA,USA,2020,4028748
Booker,Chris,Ohio State,WR,86.0,4,,,74.0,190.0,,,,,Saint Louis,MO,USA,2020,4029426
Allen,Jordan,Tennessee,TE,86.0,4,,,76.0,241.0,,,,,Fairfield,CA,USA,2020,4029573
Brown,Kameron,Coastal Carolina,WR,11.0,4,,,75.0,210.0,,,,,Lubbock,TX,USA,2020,4029728
Foster,Jaylan,South Carolina,DB,27.0,4,,,70.0,190.0,,,,,Duncan,SC,USA,2020,4029790
Kinsley,Christian,South Carolina,P,36.0,4,,,74.0,220.0,,,,,Lexington,SC,USA,2020,4029855
Naylor II,Ezra,Kansas,WR,,4,,,76.0,206.0,,,,,Atlanta,GA,USA,2020,4029857
Alexander,Benjamin,Liberty,S,17.0,4,,,73.0,190.0,,,,,Spring Mills,PA,USA,2020,4029880
Bounds,Damian,Liberty,OL,59.0,4,,,73.0,290.0,,,,,Ellenwood,GA,USA,2020,4029883
Faulks,Jimmy,Liberty,CB,8.0,4,,,73.0,190.0,,,,,Saint Petersburg,FL,USA,2020,4029891
Jones,Spencer,Oklahoma,QB,87.0,4,,,73.0,197.0,,,,,Nashville,TN,USA,2020,4029898
McConnell,Lionell,Abilene Christian,WR,1.0,2,,,71.0,195.0,,,,,Allen,TX,USA,2020,4029903
Probert,Alex,Iowa State,PK,90.0,4,,,69.0,188.0,,,,,Andover,MN,USA,2020,4029908
Sargeant,Thomas,Liberty,OL,65.0,4,,,73.0,295.0,,,,,Mechanicsville,VA,USA,2020,4029910
Gasc,Matias,Miami,P,87.0,4,,,70.0,182.0,,,,,Coral Springs,FL,USA,2020,4030040
Stanzione,Rich,Georgia Tech,DB,36.0,4,,,72.0,201.0,,,,,Washington Township,NJ,USA,2020,4030055
Milstein,Oren,Vanderbilt,PK,38.0,4,,,67.0,165.0,,,,,Boca Raton,FL,USA,2020,4030452
Roberts,Max,Boston College,DE,4.0,4,,,73.0,250.0,,,,,Chicago,IL,USA,2020,4030530
Conners,Jesse,Syracuse,TE,49.0,4,,,74.0,230.0,,,,,Pittsford,NY,USA,2020,4030546
Woetzel,Keith,Buffalo,LB,23.0,4,,,72.0,225.0,,,,,Wyckoff,NJ,USA,2020,4030591
McIntyre,Tommy,SMU,TE,86.0,4,,,80.0,258.0,,,,,Florham Park,NJ,USA,2020,4030676
Null,Nickolas,Wyoming,PK,17.0,4,,,71.0,175.0,,,,,Bradenton,FL,USA,2020,4030683
Wahee,J.T.,Ball State,S,14.0,4,,,72.0,193.0,,,,,Norfolk,VA,USA,2020,4030782
Jaghai,Nikholi,Florida International,DB,18.0,4,,,67.0,180.0,,,,,Miami Gardens,FL,USA,2020,4030909
Moore,Briley,Kansas State,TE,,4,,,76.0,250.0,,,,,Lewisville,TX,USA,2020,4030915
Croom,Micah,USC,DB,17.0,4,,,73.0,215.0,,,,,Cerritos,CA,USA,2020,4030943
