Last Name,First Name,College/Univ,Round,Pick,Draft Class,Position,PhotoID,Player Assets ID,CommID,PLPO,Height,Weight,From,To,AP1,PB,St,wAV,League,Race,Home State,Wiki_Image_URL,PFR_Image_URL,isHOF
Jontos,Ed,Syracuse,5,45,1936,LG,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Barabas,Al,Columbia,6,46,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Lutz,Larry,California,6,47,1936,LT,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Orr,Maurice,SMU,6,48,1936,LT,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Maniaci,Joe,Fordham,6,49,1936,HB,,,,,,,1936.0,1941.0,0.0,2.0,2.0,0.0,NFL,,,,,False
Christofferson,Ted,Washington St.,6,50,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Antonini,Ettore,Indiana,6,51,1936,TE,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Reynolds,Bob,Stanford,6,52,1936,LT,,,,,,,1936.0,1938.0,0.0,0.0,2.0,0.0,NFL,,,,,False
Mickal,Abe,LSU,6,53,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Durner,Gus,Duke,6,54,1936,LT,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Weller,Jack,Princeton,7,55,1936,LG,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Irwin,Don,Colgate,7,56,1936,FB,,,,,,,1936.0,1939.0,0.0,0.0,1.0,0.0,NFL,,,,,False
Peters,Marty,Notre Dame,7,57,1936,TE,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Schreiber,Herb,,7,58,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Dennis,Tack,Tulsa,7,59,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Smith,Dick,Minnesota,7,60,1936,LT,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Fromhart,Wally,Notre Dame,7,61,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Wasicek,Charlie,Colgate,7,62,1936,LT,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Peeples,Bob,Marquette,7,63,1936,LT,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Constable,Pepper,Princeton,8,64,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Millner,Wayne,Notre Dame,8,65,1936,TE,,,,,,,1936.0,1945.0,0.0,0.0,5.0,0.0,NFL,,,,,True
Karpowich,Ed,Catholic,8,66,1936,LT,,,,,,,1936.0,1940.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Hamilton,Bob (Bones),Stanford,8,67,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Sylvester,John,Rice,8,68,1936,TE,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Carter,Ross,Oregon,8,69,1936,LG,,,,,,,1936.0,1939.0,0.0,0.0,3.0,0.0,NFL,,,,,False
Cruice,Wally,Northwestern,8,70,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Rennebohm,Dale,Minnesota,8,71,1936,C,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Heekin,Dick,Ohio St.,8,72,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Pauk,Paul,Princeton,9,73,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Saunders,Marcel,Loyola Marymount,9,74,1936,LG,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Meglen,Joe,,9,75,1936,HB,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Moscrip,Monk,Stanford,9,76,1936,TE,,,,,,,1936.0,1939.0,0.0,0.0,2.0,0.0,NFL,,,,,False
Larsen,Niels,Stanford,9,77,1936,LT,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Fortmann,Danny,Colgate,9,78,1936,LG,,,,,,,1936.0,1943.0,6.0,3.0,8.0,0.0,NFL,,,,,True
Wetsel,J.C.,SMU,9,79,1936,LG,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Train,Bob (Choo-Choo),Yale,9,80,1936,TE,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Flanagan,Phil,Holy Cross,9,81,1936,LG,,,,,,,1936.0,,0.0,0.0,0.0,,NFL,,,,,False
Nolting,Ray,Cincinnati,UD,UD,1936,HB,,,,,,,,,,,,,,,,,,
Smukler,David,Temple,UD,UD,1936,FB,,,,,,,,,,,,,,,,,,
Francis,Sam,Nebraska,1,1,1937,FB,,,,,,,1937.0,1940.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Goddard,Ed,Washington St.,1,2,1937,HB,,,,,,,1937.0,1938.0,0.0,1.0,0.0,0.0,NFL,,,,,False
Buivid,Ray,Marquette,1,3,1937,HB,,,,,,,1937.0,1938.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Widseth,Ed,Minnesota,1,4,1937,LT,,,,,,,1937.0,1940.0,1.0,1.0,1.0,0.0,NFL,,,,,False
Basrak,Mike,Duquesne,1,5,1937,C,,,,,,,1937.0,1938.0,1.0,0.0,2.0,0.0,NFL,,,,,False
Baugh,Sammy,TCU,1,6,1937,QB,6306.0,baughSammy,,plpo_legends_Baugh_Sammy,,,1937.0,1952.0,4.0,6.0,13.0,0.0,NFL,,,,,True
Cardwell,Lloyd,Nebraska,1,7,1937,HB,,,,,,,1937.0,1943.0,0.0,1.0,3.0,0.0,NFL,,,,,False
McDonald,Les,Nebraska,1,8,1937,TE,,,,,,,1937.0,1940.0,0.0,0.0,2.0,0.0,NFL,,,,,False
Jankowski,Ed,Wisconsin,1,9,1937,FB,,,,,,,1937.0,1941.0,0.0,1.0,1.0,0.0,NFL,,,,,False
Drake,Johnny,Purdue,1,10,1937,HB,,,,,,,1937.0,1941.0,1.0,3.0,5.0,0.0,NFL,,,,,False
Murray,Fran,Pennsylvania,2,11,1937,HB,,,,,,,1937.0,1940.0,0.0,0.0,2.0,0.0,NFL,,,,,False
Tinsley,Gaynell,LSU,2,12,1937,TE,,,,,,,1937.0,1940.0,1.0,1.0,2.0,0.0,NFL,,,,,False
Parker,Ace,Duke,2,13,1937,HB,,,,,,,1937.0,1946.0,2.0,0.0,5.0,0.0,NFL,,,,,True
White,Tarzan,Alabama,2,14,1937,LG,,,,,,,1937.0,1945.0,0.0,1.0,1.0,0.0,NFL,,,,,False
Finley,Bob,SMU,2,15,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Falaschi,Nello,Santa Clara,2,16,1937,FB,,,,,,,1937.0,1941.0,0.0,2.0,3.0,0.0,NFL,,,,,False
Hamrick,Charley,Ohio St.,2,17,1937,LT,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Stewart,Marv,LSU,2,18,1937,C,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Daniell,Averell,Pittsburgh,2,19,1937,LT,,,,,,,1937.0,1937.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Alfonse,Julie,Minnesota,2,20,1937,HB,,,,,,,1937.0,1938.0,0.0,0.0,2.0,0.0,NFL,,,,,False
Ellis,Drew,TCU,3,21,1937,LT,,,,,,,1937.0,1939.0,0.0,0.0,2.0,0.0,NFL,,,,,False
Starcevich,Max,Washington,3,22,1937,LG,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Guepe,Art,Marquette,3,23,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Dennerlein,Jerry,St. Mary's (CA),3,24,1937,LT,,,,,,,1937.0,1940.0,0.0,0.0,1.0,0.0,NFL,,,,,False
Breeden,Bill,Oklahoma,3,25,1937,HB,,,,,,,1937.0,1937.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Elder,Maurice,Kansas St.,3,26,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Huffman,Vern,Indiana,3,27,1937,FB,,,,,,,1937.0,1938.0,0.0,0.0,2.0,0.0,NFL,,,,,False
Plasman,Dick,Vanderbilt,3,28,1937,TE,,,,,,,1937.0,1947.0,0.0,2.0,3.0,0.0,NFL,,,,,False
Wilkinson,Charles (Bud),Minnesota,3,29,1937,LT,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
LaRue,Bobby,Pittsburgh,3,30,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Gilbert,Walt,Auburn,4,31,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Bryan,H.K. (Bucky),Tulane,4,32,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Kurlish,Bill,Pennsylvania,4,33,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Cuff,Ward,Marquette,4,34,1937,HB,,,,,,,1937.0,1947.0,0.0,3.0,9.0,0.0,NFL,,,,,False
Hewes,Elmo (Bo),Oklahoma,4,35,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Bassi,Dick,Santa Clara,4,36,1937,LG,,,,,,,1937.0,1947.0,0.0,1.0,3.0,0.0,NFL,,,,,False
Glassford,Bill,Pittsburgh,4,37,1937,LG,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Hammond,Henry,Rhodes,4,38,1937,TE,,,,,,,1937.0,1937.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Svendsen,Bud,Minnesota,4,39,1937,C,,,,,,,1937.0,1943.0,0.0,1.0,4.0,0.0,NFL,,,,,False
Wiatrak,John,Washington,4,40,1937,C,,,,,,,1937.0,1939.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Drobnitch,Alex,Denver,5,41,1937,LG,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Johnson,Bert,Kentucky,5,42,1937,FB,,,,,,,1937.0,1942.0,0.0,0.0,2.0,0.0,NFL,,,,,False
Harmon,Ham,Tulsa,5,43,1937,C,,,,,,,1937.0,1937.0,0.0,0.0,1.0,0.0,NFL,,,,,False
Kobrosky,Mickey,Trinity (CT),5,44,1937,QB,,,,,,,1937.0,1937.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Frye,Jack,Missouri,5,45,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Bond,Chuck,Washington,5,46,1937,LT,,,,,,,1937.0,1938.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Patt,Maury,Carnegie Mellon,5,47,1937,TE,,,,,,,1937.0,1942.0,0.0,0.0,1.0,0.0,NFL,,,,,False
Conkright,Bill,Oklahoma,5,48,1937,C,,,,,,,1937.0,1944.0,0.0,0.0,3.0,0.0,NFL,,,,,False
Gibson,Dewitt,Northwestern,5,49,1937,LT,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Smith,Inwood,Ohio St.,5,50,1937,LG,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Guckeyson,Bill,Maryland,6,51,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Dickens,Phil,Tennessee,6,52,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Golemgeske,John,Wisconsin,6,53,1937,LT,,,,,,,1937.0,1940.0,0.0,0.0,2.0,0.0,NFL,,,,,False
Farley,Jim,VMI,6,54,1937,LG,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Roach,Walt,TCU,6,55,1937,TE,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Cain,Jimmie,Washington,6,56,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Bell,George,Purdue,6,57,1937,LG,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Bjork,Del,Oregon,6,58,1937,LT,,,,,,,1937.0,1938.0,0.0,1.0,0.0,0.0,NFL,,,,,False
Wendt,Merle,Ohio St.,6,59,1937,TE,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Sasso,Chris Dal,Indiana,6,60,1937,LT,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Barna,Babe,West Virginia,7,61,1937,TE,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Funk,Fred,UCLA,7,62,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Dickerson,Herm,Virginia Tech,7,63,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Poole,Jim,Mississippi,7,64,1937,TE,,,,,,,1937.0,1946.0,2.0,3.0,6.0,0.0,NFL,,,,,False
Haines,By,Washington,7,65,1937,HB,,,,,,,1937.0,1937.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Holland,Rotta,Kansas St.,7,66,1937,LG,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Sprague,John,SMU,7,67,1937,TE,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Friedman,J.W. (Buck),Rice,7,68,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Baldwin,Marv,TCU,7,69,1937,LT,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Schoen,Norm,Baldwin Wallace,7,70,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Hennon,Nestor,Carnegie Mellon,8,71,1937,TE,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Reynolds,John,Baylor,8,72,1937,C,,,,,6-1,232.0,1937.0,1937.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Reid,Steve,Northwestern,8,73,1937,LG,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Myers,Gene,Kentucky,8,74,1937,LG,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Kordich,Marty,,8,75,1937,LG,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Eaves,Joel,Auburn,8,76,1937,TE,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Sayre,Elvin,Illinois,8,77,1937,C,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Toth,Steve,Northwestern,8,78,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Chapman,Les,Tulsa,8,79,1937,LT,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Schmarr,Herm,Catholic,8,80,1937,LE,,,,,,,1937.0,1943.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Fanning,Paul,Kansas St.,9,81,1937,LT,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Nowogroski,Ed,Washington,9,82,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Hafeli,Dwight,,9,83,1937,TE,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Scheyer,Dwight,Washington St.,9,84,1937,LT,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Patanelli,Matt,Michigan,9,85,1937,TE,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Docherty,Bill,Temple,9,86,1937,LT,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Kelley,Larry,Yale,9,87,1937,TE,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Guepe,Al,Marquette,9,88,1937,HB,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Dahlgren,Gordon,Michigan St.,9,89,1937,LG,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Johnson,Ray,Denver,9,90,1937,CB,,,,,,,1937.0,1940.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Antil,Ray,Minnesota,10,91,1937,TE,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Fitzsimons,Middleton,Georgia Tech,10,92,1937,LG,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Kuhn,Gil,USC,10,93,1937,LT,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Gelatka,Chuck,Mississippi St.,10,94,1937,TE,,,,,,,1937.0,1940.0,0.0,1.0,0.0,0.0,NFL,,,,,False
Nevers,Stan,Kentucky,10,95,1937,LT,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Cara,Mac,North Carolina St.,10,96,1937,TE,,,,,,,1937.0,1938.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Bell,Kay,Washington St.,10,97,1937,LT,,,,,,,1937.0,1942.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Wade,Ed (Red),Utah St.,10,98,1937,LT,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Gavin,Dave,Holy Cross,10,99,1937,LT,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Holt,Solon,TCU,10,100,1937,LG,,,,,,,1937.0,,0.0,0.0,0.0,,NFL,,,,,False
Cherundolo,Chuck,Penn State,UD,UD,1937,C/LB,,,,,,,,,,,,,,,,,,
Keen,Rabbit,Arkansas,UD,UD,1937,HB/QB,,,,,,,,,,,,,,,,,,
Soar,Hank,Providence,UD,UD,1937,HB/LB,,,,,,,,,,,,,,,,,,
Walls,Bill,TCU,UD,UD,1937,E,,,,,,,,,,,,,,,,,,
Wilson,George,Northwestern,UD,UD,1937,E,,,,,6-0,210.0,,,,1.0,,,,,,,,
Davis,Corby,Indiana,1,1,1938,FB,,,,,,,1938.0,1942.0,0.0,0.0,1.0,0.0,NFL,,,,,False
McDonald,Jim,Ohio St.,1,2,1938,HB,,,,,,,1938.0,1939.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Brumbaugh,Boyd,Duquesne,1,3,1938,HB,,,,,,,1938.0,1941.0,0.0,0.0,1.0,0.0,NFL,,,,,False
White,Whizzer,Colorado,1,4,1938,HB,,,,,,,1938.0,1941.0,2.0,0.0,3.0,0.0,NFL,,,,,False
Robbins,Jack,Arkansas,1,5,1938,HB,,,,,,,1938.0,1939.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Wojciechowicz,Alex,Fordham,1,6,1938,C,,,,,,,1938.0,1950.0,0.0,0.0,6.0,0.0,NFL,,,,,True
Isbell,Cecil,Purdue,1,7,1938,HB,,,,,,,1938.0,1942.0,1.0,4.0,3.0,0.0,NFL,,,,,False
Karamatic,George,Gonzaga,1,8,1938,FB,,,,,,,1938.0,1938.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Farkas,Andy,Detroit Mercy,1,9,1938,FB,,,,,,,1938.0,1945.0,2.0,2.0,6.0,0.0,NFL,,,,,False
Gray,Joe,Oregon St.,1,10,1938,HB,,,,,,,1938.0,,0.0,0.0,0.0,,NFL,,,,,False
Benton,Jim,Arkansas,2,11,1938,TE,,,,,,,1938.0,1947.0,2.0,1.0,6.0,0.0,NFL,,,,,False
Riffle,Dick,Albright,2,12,1938,HB,,,,,,,1938.0,1942.0,0.0,1.0,3.0,0.0,NFL,,,,,False
Kilgrow,Joe,Alabama,2,13,1938,HB,,,,,,,1938.0,,0.0,0.0,0.0,,NFL,,,,,False
Filchock,Frank,Indiana,2,14,1938,HB,,,,,,,1938.0,1950.0,0.0,2.0,3.0,0.0,NFL,,,,,False
Popovich,Milt,Montana,2,15,1938,HB,,,,,,,1938.0,1942.0,0.0,0.0,1.0,0.0,NFL,,,,,False
Routt,Joe,Texas A&M,3,16,1938,LG,,,,,,,1938.0,,0.0,0.0,0.0,,NFL,,,,,False
Bukant,Joe,Washington (MO),3,17,1938,HB,,,,,,,1938.0,1943.0,0.0,0.0,1.0,0.0,NFL,,,,,False
Kinard,Bruiser,Mississippi,3,18,1938,LT,,,,,,,1938.0,1947.0,4.0,5.0,8.0,0.0,NFL,,,,,True
Wolfe,Red,Texas,3,19,1938,FB,,,,,,,1938.0,1938.0,0.0,1.0,0.0,0.0,NFL,,,,,False
Patrick,Frank,Pittsburgh,3,20,1938,HB,,,,,6-7,225.0,1938.0,1939.0,0.0,0.0,2.0,0.0,NFL,,"Derry, Pennsylvania",,,False
Smith,Pete,Oklahoma,3,21,1938,TE,,,,,,,1938.0,,0.0,0.0,0.0,,NFL,,,,,False
Schreyer,Marty,Purdue,3,22,1938,LT,,,,,,,1938.0,,0.0,0.0,0.0,,NFL,,,,,False
Vanzo,Fred,Northwestern,3,23,1938,FB,,,,,,,1938.0,1941.0,0.0,1.0,3.0,0.0,NFL,,,,,False
Chapman,Sam,California,3,24,1938,HB,,,,,,,1938.0,,0.0,0.0,0.0,,NFL,,,,,False
Famiglietti,Gary,Boston Univ.,3,25,1938,FB,,,,,,,1938.0,1946.0,0.0,3.0,2.0,0.0,NFL,,,,,False
Markov,Vic,Washington,4,26,1938,LT,,,,,,,1938.0,1938.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Meek,John,California,4,27,1938,HB,,,,,,,1938.0,,0.0,0.0,0.0,,NFL,,,,,False
Moore,Gene,Colorado,4,28,1938,C,,,,,,,1938.0,1938.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Matisi,Tony,Pittsburgh,4,29,1938,LT,,,,,,,1938.0,1938.0,0.0,0.0,0.0,0.0,NFL,,,,,False
Herwig,Bob,California,4,30,1938,C,,,,,,,1938.0,,0.0,0.0,0.0,,NFL,,,,,False
Franco,Ed,Fordham,5,31,1938,LT,,,,,,,1938.0,1944.0,0.0,0.0,1.0,0.0,NFL,,,,,False
