====================================================================================================
COLLEGES NEEDING MAPPING DECISIONS
====================================================================================================

Total colleges in Madden list: 493
Total unique colleges in source files: 1897
Colleges that match exactly: 415
Colleges needing mapping: 1482
Player instances affected: 31730

====================================================================================================
COLLEGES NEEDING MAPPING (sorted by frequency)
====================================================================================================

Source Name                                        Count      Status
Pitt                                               91         NEEDS DECISION
Cal Poly-San Luis Obispo                           88         NEEDS DECISION
Cal State-Fullerton                                82         NEEDS DECISION
Pennsylvania                                       80         NEEDS DECISION
Miami (FL)                                         78         NEEDS DECISION
Idaho St.                                          71         NEEDS DECISION
Lamar                                              70         NEEDS DECISION
Virginia Union                                     66         NEEDS DECISION
Virginia State                                     59         NEEDS DECISION
Tampa                                              59         NEEDS DECISION
J. Madison                                         57         NEEDS DECISION
Marquette                                          56         NEEDS DECISION
Ga. Southern                                       56         NEEDS DECISION
Detroit Mercy                                      53         NEEDS DECISION
San Francisco                                      50         NEEDS DECISION
Eastern Wash.                                      50         NEEDS DECISION
Howard Payne                                       49         NEEDS DECISION
Southeastern Louisiana                             48         NEEDS DECISION
Langston                                           47         NEEDS DECISION
Lincoln (MO)                                       46         NEEDS DECISION
Miami Univ.                                        46         NEEDS DECISION
Elizabeth City St.                                 45         NEEDS DECISION
Angelo State (TX)                                  43         NEEDS DECISION
Mid Tenn St.                                       41         NEEDS DECISION
Kutztown (PA)                                      40         NEEDS DECISION
Kentucky St.                                       39         NEEDS DECISION
Ala-Birmingham                                     39         NEEDS DECISION
Hardin-Simmons                                     38         NEEDS DECISION
Elon                                               37         NEEDS DECISION
Bishop                                             36         NEEDS DECISION
New Mex. Highlands                                 36         NEEDS DECISION
California,San Diego St.                           36         NEEDS DECISION
Johnson C. Smith                                   35         NEEDS DECISION
Sacramento St.                                     35         NEEDS DECISION
American Int.                                      35         NEEDS DECISION
Bradley                                            34         NEEDS DECISION
WisconsinâLaCrosse                               34         NEEDS DECISION
New Mex. St.                                       34         NEEDS DECISION
Tenn-Chat                                          33         NEEDS DECISION
San Francisco St.                                  32         NEEDS DECISION
Amherst                                            31         NEEDS DECISION
Millersville                                       31         NEEDS DECISION
Denver                                             31         NEEDS DECISION
Catawba                                            30         NEEDS DECISION
Fisk                                               30         NEEDS DECISION
California Lutheran                                29         NEEDS DECISION
George Washington                                  26         NEEDS DECISION
Clark (GA)                                         26         NEEDS DECISION
Xavier (OH)                                        26         NEEDS DECISION
Abilene Chr.                                       26         NEEDS DECISION
S. Dakota St.                                      26         NEEDS DECISION
Eastern New Mexico                                 25         NEEDS DECISION
Southern Connecticut St.                           25         NEEDS DECISION
NE State (OK)                                      24         NEEDS DECISION
WisconsinâWhitewater                             24         NEEDS DECISION
Concordia-Moorhead (MN)                            23         NEEDS DECISION
Dodge City (KS),Kansas St.                         23         NEEDS DECISION
St. Louis                                          23         NEEDS DECISION
Los Angeles St.                                    22         NEEDS DECISION
Indiana (PA)                                       22         NEEDS DECISION
Adams St.                                          21         NEEDS DECISION
Widener                                            21         NEEDS DECISION
Wabash                                             21         NEEDS DECISION
Alcorn St.,Jackson St.                             20         NEEDS DECISION
Livingstone                                        20         NEEDS DECISION
Milton                                             20         NEEDS DECISION
Arizona St.,San Diego St.                          19         NEEDS DECISION
Benedictine                                        19         NEEDS DECISION
Waynesburg                                         18         NEEDS DECISION
Arizona St.,San Jose St.                           18         NEEDS DECISION
Cameron                                            18         NEEDS DECISION
Western St. (CO)                                   18         NEEDS DECISION
St. Thomas                                         18         NEEDS DECISION
Chowan,Appalachian St.                             18         NEEDS DECISION
California-Davis                                   18         NEEDS DECISION
Arkansas P.B.                                      18         NEEDS DECISION
Jacksonv. St.                                      18         NEEDS DECISION
Texas A&M,S.F. Austin                              17         NEEDS DECISION
Chabot,UCLA                                        17         NEEDS DECISION
Colorado Mesa,Colorado                             17         NEEDS DECISION
East Central (OK)                                  17         NEEDS DECISION
UC Riverside,Long Beach St.                        17         NEEDS DECISION
West Los Angeles College,Washington                17         NEEDS DECISION
Montclair St.                                      17         NEEDS DECISION
MacMurray,Syracuse                                 17         NEEDS DECISION
Towson State                                       17         NEEDS DECISION
Washington & Lee                                   17         NEEDS DECISION
UC Santa Barbara                                   16         NEEDS DECISION
St. Lawrence                                       16         NEEDS DECISION
Salem                                              16         NEEDS DECISION
Carthage                                           16         NEEDS DECISION
Cerritos (CA),Washington                           16         NEEDS DECISION
New Haven                                          16         NEEDS DECISION
UCLA,Hawaii                                        16         NEEDS DECISION
St. Mary's (CA)                                    16         NEEDS DECISION
Gustavus Adolphus                                  16         NEEDS DECISION
UT Martin                                          16         NEEDS DECISION
Southern,Missouri                                  16         NEEDS DECISION
NE State (OK),Texas A&M                            16         NEEDS DECISION
McMurry                                            16         NEEDS DECISION
Wake                                               16         NEEDS DECISION
Trinity (TX)                                       15         NEEDS DECISION
Cal State-Chico                                    15         NEEDS DECISION
Williams                                           15         NEEDS DECISION
Kilgore College,Yankton                            15         NEEDS DECISION
Cerritos (CA),California                           15         NEEDS DECISION
Kansas St.,Fort Hays St.                           15         NEEDS DECISION
C.W. Post                                          15         NEEDS DECISION
Cheyney                                            15         NEEDS DECISION
Drake,Wisconsin                                    15         NEEDS DECISION
East Carolina,North Carolina                       15         NEEDS DECISION
N'western St.                                      15         NEEDS DECISION
N.C. AT                                            15         NEEDS DECISION
Scranton                                           15         NEEDS DECISION
Trinity Valley CC (TX)                             14         NEEDS DECISION
Allen                                              14         NEEDS DECISION
Arkansas Tech                                      14         NEEDS DECISION
U.S. International                                 14         NEEDS DECISION
Wyoming,Bishop                                     14         NEEDS DECISION
Central College (IA)                               14         NEEDS DECISION
Doane                                              14         NEEDS DECISION
UC Riverside                                       14         NEEDS DECISION
Augsburg,North Dakota St.                          14         NEEDS DECISION
Rutgers-Camden,Widener                             14         NEEDS DECISION
Knoxville                                          14         NEEDS DECISION
Shepherd                                           14         NEEDS DECISION
Chowan,East Carolina                               14         NEEDS DECISION
Millikin                                           14         NEEDS DECISION
Dodge City (KS),Northwestern                       14         NEEDS DECISION
Memphis,Arkansas St.                               14         NEEDS DECISION
Tulane,La-Monroe                                   14         NEEDS DECISION
Occidental                                         14         NEEDS DECISION
Graceland College (IA)                             14         NEEDS DECISION
Central Washington,Washington St.                  14         NEEDS DECISION
Northwest Mississippi CC,Miami (FL)                14         NEEDS DECISION
San Diego St.,Grossmont College (CA),UCLA          14         NEEDS DECISION
Utah St.,Utah                                      14         NEEDS DECISION
Linfield                                           13         NEEDS DECISION
Minnesota-Duluth                                   13         NEEDS DECISION
Cerritos (CA),USC                                  13         NEEDS DECISION
UT Martin,Florida                                  13         NEEDS DECISION
Colorado,Colorado Mesa                             13         NEEDS DECISION
Oregon St.,SMU                                     13         NEEDS DECISION
Coffeyville CC,Purdue                              13         NEEDS DECISION
Arizona St.,Florida                                13         NEEDS DECISION
Pacific (OR),Montana                               13         NEEDS DECISION
Central State (OH),South Carolina St.              13         NEEDS DECISION
Walla Walla CC (WA)                                13         NEEDS DECISION
Marshall,Georgia                                   13         NEEDS DECISION
Western Wash.                                      13         NEEDS DECISION
Case Western Reserve                               13         NEEDS DECISION
Delta College,Pacific                              12         NEEDS DECISION
Texas,Texas St.,Howard Payne                       12         NEEDS DECISION
Wisconsin–Superior                                 12         NEEDS DECISION
Hamline                                            12         NEEDS DECISION
Whittier                                           12         NEEDS DECISION
Florida Atlantic,Duke                              12         NEEDS DECISION
Colorado State-Pueblo                              12         NEEDS DECISION
Colorado,USC                                       12         NEEDS DECISION
Alabama A&M,Tennessee St.                          12         NEEDS DECISION
Iowa Central,Iowa                                  12         NEEDS DECISION
Augustana (SD),Minnesota                           12         NEEDS DECISION
NE Oklahoma A&M,Oklahoma                           12         NEEDS DECISION
Penn St.,West Virginia                             12         NEEDS DECISION
Mississippi Gulf Coast CC,Delta St.                12         NEEDS DECISION
Oklahoma,UCLA                                      12         NEEDS DECISION
LSU,La-Monroe                                      12         NEEDS DECISION
Golden West,Arizona                                12         NEEDS DECISION
Purdue,Illinois                                    12         NEEDS DECISION
Bishop,Colorado Mesa                               12         NEEDS DECISION
Virginia,Ferrum                                    12         NEEDS DECISION
Hinds CC,Alabama                                   12         NEEDS DECISION
Colorado St.,Colorado                              12         NEEDS DECISION
Copiah-Lincoln CC,Akron                            12         NEEDS DECISION
Butler (KS),Kansas                                 12         NEEDS DECISION
Hinds CC,Auburn                                    12         NEEDS DECISION
Flagler,Florida St.                                12         NEEDS DECISION
DuPage (IL),Saginaw Valley St.                     12         NEEDS DECISION
Gavilan College,San Jose St.                       12         NEEDS DECISION
T A&M K'ville                                      12         NEEDS DECISION
Loyola Marymount                                   12         NEEDS DECISION
TTech                                              12         NEEDS DECISION
Mizzou                                             12         NEEDS DECISION
TCU,Tulsa                                          11         NEEDS DECISION
Air Force,Houston,Hawaii                           11         NEEDS DECISION
Arizona St.,Pacific                                11         NEEDS DECISION
Texas Southern,Weber St.                           11         NEEDS DECISION
Newberry                                           11         NEEDS DECISION
Oklahoma,Texas-Arlington                           11         NEEDS DECISION
King Alfred's (England)                            11         NEEDS DECISION
U.S. International,San Diego St.                   11         NEEDS DECISION
WisconsinâMilwaukee                              11         NEEDS DECISION
Cerritos (CA),Cal Poly-Pomona                      11         NEEDS DECISION
Chabot,California                                  11         NEEDS DECISION
Texas,West Texas A&M                               11         NEEDS DECISION
Oregon St.,San Diego St.                           11         NEEDS DECISION
Pacific Lutheran                                   11         NEEDS DECISION
Nassau CC,Duke                                     11         NEEDS DECISION
Chowan,Virginia Tech                               11         NEEDS DECISION
Arizona St.,Hawaii                                 11         NEEDS DECISION
Cerritos (CA),Kansas                               11         NEEDS DECISION
Chabot,Sacramento St.                              11         NEEDS DECISION
Texas-El Paso,Hinds CC,Idaho                       11         NEEDS DECISION
Miami (FL),Florida St.                             11         NEEDS DECISION
Wake Technical CC                                  11         NEEDS DECISION
Hinds CC,Emporia St.                               11         NEEDS DECISION
Davidson,North Carolina                            11         NEEDS DECISION
Princeton,Columbia                                 11         NEEDS DECISION
Navy,Penn St.                                      11         NEEDS DECISION
Northwest Mississippi CC,Mississippi               11         NEEDS DECISION
Wisconsin,Western Illinois                         11         NEEDS DECISION
Muhlenberg                                         11         NEEDS DECISION
St. Bonaventure                                    11         NEEDS DECISION
UMass                                              11         NEEDS DECISION
Kent                                               11         NEEDS DECISION
JMU                                                11         NEEDS DECISION
Chattanooga,Delta St.                              10         NEEDS DECISION
New Mex. Mil. Inst.,Navy                           10         NEEDS DECISION
Angelo State (TX),Texas-El Paso                    10         NEEDS DECISION
Palomar (CA)                                       10         NEEDS DECISION
Morningside                                        10         NEEDS DECISION
Michigan Tech,Western Michigan                     10         NEEDS DECISION
Texas,Texas St.                                    10         NEEDS DECISION
Cal Poly-San Luis Obispo,San Diego St.             10         NEEDS DECISION
Wiley,Ark-Pine Bluff                               10         NEEDS DECISION
Northern Virginia CC                               10         NEEDS DECISION
Grossmont College (CA),San Diego St.               10         NEEDS DECISION
West Liberty St.                                   10         NEEDS DECISION
Texas A&M,North Texas                              10         NEEDS DECISION
Idaho St.,Kentucky                                 10         NEEDS DECISION
Montana,Nevada                                     10         NEEDS DECISION
Peru St.,WisconsinâLaCrosse                      10         NEEDS DECISION
Holy Cross,Santa Clara                             10         NEEDS DECISION
Eastern Arizona,Arizona St.,East Central (OK)      10         NEEDS DECISION
Chowan,West Virginia                               10         NEEDS DECISION
Long Beach St.,Utah                                10         NEEDS DECISION
Arizona St.,UNLV,Arizona                           10         NEEDS DECISION
Montana,Texas                                      10         NEEDS DECISION
Arkansas,Louisiana Tech                            10         NEEDS DECISION
Sacramento St.,UC Davis                            10         NEEDS DECISION
NE Oklahoma A&M,Louisville                         10         NEEDS DECISION
New York Tech,Lamar                                10         NEEDS DECISION
Cal Poly-Pomona,Utah St.                           10         NEEDS DECISION
Eastern Arizona,Northern Arizona                   10         NEEDS DECISION
Pasadena CC,Tennessee                              10         NEEDS DECISION
SMU,UCLA                                           10         NEEDS DECISION
Butler (KS),Auburn                                 10         NEEDS DECISION
Morgan St.,Towson                                  10         NEEDS DECISION
Fairmont St.                                       10         NEEDS DECISION
Oklahoma,Coffeyville CC,Central Oklahoma           10         NEEDS DECISION
Georgia,Tennessee,Carson-Newman                    10         NEEDS DECISION
Oklahoma,Stanford                                  10         NEEDS DECISION
WisconsinâStevens Point                          10         NEEDS DECISION
Long Beach CC                                      10         NEEDS DECISION
Missouri Valley                                    10         NEEDS DECISION
Michigan,Miami (FL)                                10         NEEDS DECISION
Morris Brown,Georgia Tech                          10         NEEDS DECISION
ECU                                                10         NEEDS DECISION
Washington St.,San Diego St.                       9          NEEDS DECISION
Iowa St.,Lakeland                                  9          NEEDS DECISION
City College of San Francisco,USC                  9          NEEDS DECISION
South Dakota,Nebraska-Omaha                        9          NEEDS DECISION
Tabor                                              9          NEEDS DECISION
Colorado Mesa,Colorado St.                         9          NEEDS DECISION
Missouri,Tampa                                     9          NEEDS DECISION
Merchant Marine                                    9          NEEDS DECISION
New Mex. Highlands,Cameron                         9          NEEDS DECISION
St. Bernard,Auburn                                 9          NEEDS DECISION
Oregon,San Jose St.                                9          NEEDS DECISION
Concordia-Moorhead (MN),San Jose St.               9          NEEDS DECISION
Jackson St.,Abilene Christian                      9          NEEDS DECISION
California,Nebraska                                9          NEEDS DECISION
California,San Jose St.                            9          NEEDS DECISION
Rhodes                                             9          NEEDS DECISION
Syracuse,Louisville                                9          NEEDS DECISION
Nebraska,Baylor                                    9          NEEDS DECISION
WisconsinâLaCrosse,Purdue                        9          NEEDS DECISION
Arizona St.,Northern Colorado                      9          NEEDS DECISION
Villanova,Ohio St.                                 9          NEEDS DECISION
Northern Arizona,Boise St.                         9          NEEDS DECISION
Chowan,Liberty                                     9          NEEDS DECISION
Oregon St.,Long Beach St.                          9          NEEDS DECISION
Southeastern Louisiana,Southern                    9          NEEDS DECISION
Hinds CC,Cincinnati                                9          NEEDS DECISION
Austin,Texas Tech                                  9          NEEDS DECISION
California Lutheran,Cal State-Northridge           9          NEEDS DECISION
Northwestern,Arizona St.                           9          NEEDS DECISION
Texas A&M,Abilene Christian                        9          NEEDS DECISION
Colorado Mesa                                      9          NEEDS DECISION
Diablo Valley College,Sacramento St.               9          NEEDS DECISION
Cal Poly-Pomona,Hawaii                             9          NEEDS DECISION
Maryland,Cornell                                   9          NEEDS DECISION
Washington,Illinois                                9          NEEDS DECISION
Penn St.,Michigan St.                              9          NEEDS DECISION
Western Illinois,Aurora,Chadron St.                9          NEEDS DECISION
Stanford,Oregon Tech                               9          NEEDS DECISION
Gardner-Webb,North Carolina                        9          NEEDS DECISION
Notre Dame,Ohio St.                                9          NEEDS DECISION
Butler (KS),Tennessee                              9          NEEDS DECISION
St. Joseph's (IN),Ball St.                         9          NEEDS DECISION
UCLA,Rice                                          9          NEEDS DECISION
LSU,Troy                                           9          NEEDS DECISION
LSU,Trinity (IL)                                   9          NEEDS DECISION
Henderson St.,Memphis                              9          NEEDS DECISION
Tenn. Tech                                         9          NEEDS DECISION
Austin                                             9          NEEDS DECISION
Middle Tennessee                                   9          NEEDS DECISION
Illinois,Utah                                      8          NEEDS DECISION
Defiance                                           8          NEEDS DECISION
New Mexico St.,Los Angeles St.                     8          NEEDS DECISION
Boise St.,Oregon                                   8          NEEDS DECISION
Willamette                                         8          NEEDS DECISION
Arizona,Northern Arizona                           8          NEEDS DECISION
Tufts                                              8          NEEDS DECISION
Austria Technical                                  8          NEEDS DECISION
Baylor,Mississippi St.                             8          NEEDS DECISION
Shaw                                               8          NEEDS DECISION
Hawaii,BYU                                         8          NEEDS DECISION
Colorado Col.                                      8          NEEDS DECISION
Pierce College (CA),UCLA                           8          NEEDS DECISION
New Mex. Highlands,New Mexico                      8          NEEDS DECISION
Duke,BYU                                           8          NEEDS DECISION
San Jose St.,UCLA                                  8          NEEDS DECISION
Ashland,New Mexico St.                             8          NEEDS DECISION
Coffeyville CC,Ohio St.                            8          NEEDS DECISION
UCLA,San Jose St.                                  8          NEEDS DECISION
Wooster                                            8          NEEDS DECISION
UC Riverside,USC                                   8          NEEDS DECISION
Tulsa,Arkansas                                     8          NEEDS DECISION
Butler (KS),Missouri                               8          NEEDS DECISION
Kansas St.,Eastern Illinois                        8          NEEDS DECISION
Wisconsin,North Texas                              8          NEEDS DECISION
Delta St.                                          8          NEEDS DECISION
Minnesota,Cal Poly-Pomona                          8          NEEDS DECISION
Coffeyville CC,Nebraska                            8          NEEDS DECISION
Cal Poly-Pomona,Washington                         8          NEEDS DECISION
Emporia St.,Iowa St.                               8          NEEDS DECISION
Northwest Mississippi CC,Southern                  8          NEEDS DECISION
Puget Sound                                        8          NEEDS DECISION
Pittsburgh,Northern Arizona                        8          NEEDS DECISION
Kentucky,Louisville                                8          NEEDS DECISION
Oregon St.,Texas A&M                               8          NEEDS DECISION
Western Washington,Colorado                        8          NEEDS DECISION
Oklahoma St.,North Carolina A&T                    8          NEEDS DECISION
Air Force,Stanford                                 8          NEEDS DECISION
Northwest Mississippi CC,La-Monroe                 8          NEEDS DECISION
Hawaii,Boise St.                                   8          NEEDS DECISION
BYU,Texas A&M                                      8          NEEDS DECISION
Navy,Georgia                                       8          NEEDS DECISION
Butte JC (CA),Sonoma St.                           8          NEEDS DECISION
Notre Dame,Georgia Tech                            8          NEEDS DECISION
West Los Angeles College,Santa Monica College (CA),Memphis 8          NEEDS DECISION
Hinds CC,Florida St.                               8          NEEDS DECISION
Washington,North Carolina A&T                      8          NEEDS DECISION
Ohio St.,Pittsburgh                                8          NEEDS DECISION
P. View AM                                         8          NEEDS DECISION
Carnegie Mellon                                    8          NEEDS DECISION
St. Ambrose                                        8          NEEDS DECISION
Sam Houston State                                  8          NEEDS DECISION
GTech                                              8          NEEDS DECISION
SJSt.                                              8          NEEDS DECISION
Montana St.,Oregon St.                             7          NEEDS DECISION
Hawaii,San Jose St.                                7          NEEDS DECISION
Upper Iowa                                         7          NEEDS DECISION
Santa Monica College (CA),UCLA                     7          NEEDS DECISION
Lewis & Clark                                      7          NEEDS DECISION
Michigan St.,USC                                   7          NEEDS DECISION
Yankton                                            7          NEEDS DECISION
Eastern Michigan,Wayne State (MI)                  7          NEEDS DECISION
Fayetteville St.                                   7          NEEDS DECISION
Connecticut,Massachusetts                          7          NEEDS DECISION
Iowa Central,Grambling St.                         7          NEEDS DECISION
San Diego St.,BYU,Colorado                         7          NEEDS DECISION
Washington,Texas A&M                               7          NEEDS DECISION
Hawaii,Linfield                                    7          NEEDS DECISION
San Diego St.,Cal State-Fullerton                  7          NEEDS DECISION
St. Cloud St.,California                           7          NEEDS DECISION
UCLA,BYU                                           7          NEEDS DECISION
North Carolina St.,Fordham                         7          NEEDS DECISION
Chabot,BYU                                         7          NEEDS DECISION
U.S. International,Utah St.                        7          NEEDS DECISION
Cal State-Fullerton,Arizona St.                    7          NEEDS DECISION
St. John's (NY)                                    7          NEEDS DECISION
Central Connecticut St.                            7          NEEDS DECISION
Northwest Mississippi CC,South Carolina            7          NEEDS DECISION
North Alabama,Alabama                              7          NEEDS DECISION
Nevada,Sacramento CC,San Diego St.                 7          NEEDS DECISION
Albion                                             7          NEEDS DECISION
Sacramento CC,Tulane                               7          NEEDS DECISION
Queens (Canada)                                    7          NEEDS DECISION
Tulsa,Coffeyville CC,Central Missouri St.          7          NEEDS DECISION
NE Oklahoma A&M,Florida St.                        7          NEEDS DECISION
Nebraska Wesleyan                                  7          NEEDS DECISION
Alabama,Arizona                                    7          NEEDS DECISION
Mississippi,Florida A&M                            7          NEEDS DECISION
Tennessee St.,Toledo                               7          NEEDS DECISION
Air Force,Tennessee                                7          NEEDS DECISION
Hastings                                           7          NEEDS DECISION
Missouri,Wayne State (NE)                          7          NEEDS DECISION
Long Beach St.,Georgia                             7          NEEDS DECISION
Mississippi Delta CC                               7          NEEDS DECISION
Itawamba (MS)                                      7          NEEDS DECISION
Kilgore College,Texas A&M-Kingsville               7          NEEDS DECISION
South Carolina,Savannah St.                        7          NEEDS DECISION
Boston Univ.,William & Mary                        7          NEEDS DECISION
McGill                                             7          NEEDS DECISION
Oklahoma City                                      7          NEEDS DECISION
Sul Ross St.                                       7          NEEDS DECISION
Troy State                                         7          NEEDS DECISION
NIU                                                7          NEEDS DECISION
Edward Waters                                      6          NEEDS DECISION
Indiana,Dayton                                     6          NEEDS DECISION
Schreiner College,New Mexico St.                   6          NEEDS DECISION
Waynesburg,Indiana (PA)                            6          NEEDS DECISION
Notre Dame,American Int.                           6          NEEDS DECISION
Grambling St.,Northern Arizona,Eastern Michigan    6          NEEDS DECISION
Col. of the Sequoias,San Diego St.                 6          NEEDS DECISION
Washington,Montana                                 6          NEEDS DECISION
Parsons,Tennessee Tech                             6          NEEDS DECISION
Arizona St.,Cal State-Northridge                   6          NEEDS DECISION
Arkansas,Memphis                                   6          NEEDS DECISION
Otterbein                                          6          NEEDS DECISION
Cincinnati,Jackson St.                             6          NEEDS DECISION
Hawaii,Willamette                                  6          NEEDS DECISION
Oklahoma,UNLV                                      6          NEEDS DECISION
New Mexico,Hawaii                                  6          NEEDS DECISION
Blinn College (TX),Baylor                          6          NEEDS DECISION
Ferris St.,Michigan,Jackson St.                    6          NEEDS DECISION
Youngstown St.,Millikin                            6          NEEDS DECISION
Tampa,Pittsburgh                                   6          NEEDS DECISION
Tampa,Kansas St.                                   6          NEEDS DECISION
California,Fresno St.                              6          NEEDS DECISION
San Mateo,BYU                                      6          NEEDS DECISION
Ferrum,Oklahoma                                    6          NEEDS DECISION
Snow College (UT),Iowa St.                         6          NEEDS DECISION
Fort Lewis,Colorado State-Pueblo                   6          NEEDS DECISION
MD-Eastern Shore,Wichita St.                       6          NEEDS DECISION
Prairie View A&M,North Dakota St.                  6          NEEDS DECISION
Cerritos (CA),UCLA                                 6          NEEDS DECISION
Muskingum                                          6          NEEDS DECISION
Southern Illinois,Florida                          6          NEEDS DECISION
Butler (KS),Ohio St.                               6          NEEDS DECISION
Texas,Cameron                                      6          NEEDS DECISION
Georgia,Miami (FL)                                 6          NEEDS DECISION
SMU,Tulane                                         6          NEEDS DECISION
Northwest Mississippi CC,Houston                   6          NEEDS DECISION
Yale,Notre Dame                                    6          NEEDS DECISION
Pittsburgh-Johnstown                               6          NEEDS DECISION
Georgia,Oregon Tech                                6          NEEDS DECISION
Northwest Mississippi CC,Mississippi,Troy          6          NEEDS DECISION
Chowan,Clemson                                     6          NEEDS DECISION
Iowa Central,Mississippi                           6          NEEDS DECISION
Northwest Mississippi CC,Florida St.               6          NEEDS DECISION
North Carolina,La-Monroe                           6          NEEDS DECISION
WisconsinâWhitewater,Wisconsin                   6          NEEDS DECISION
Washington St.,Wyoming                             6          NEEDS DECISION
Louisville,Indiana St.                             6          NEEDS DECISION
Texas A&M-Kingsville,Texas A&M                     6          NEEDS DECISION
West Los Angeles College,USC                       6          NEEDS DECISION
Northwest Mississippi CC,Miss. Valley St.,Mississippi,UT Martin 6          NEEDS DECISION
East Mississippi CC,La-Monroe                      6          NEEDS DECISION
Cisco (TX),Emporia St.                             6          NEEDS DECISION
Butler (KS),Houston                                6          NEEDS DECISION
Sacramento St.,Pacific,California                  6          NEEDS DECISION
Jacksonville                                       6          NEEDS DECISION
NC Central                                         6          NEEDS DECISION
Western State Colorado                             6          NEEDS DECISION
Lenoir-Rhyne University                            6          NEEDS DECISION
Gonzaga                                            6          NEEDS DECISION
Colorado Mines                                     6          NEEDS DECISION
St. Vincent                                        6          NEEDS DECISION
Evansville                                         6          NEEDS DECISION
Wagner                                             6          NEEDS DECISION
Parsons                                            6          NEEDS DECISION
Bethune–Cookman                                    6          NEEDS DECISION
Southwestern Louisiana                             6          NEEDS DECISION
Delaware Valley                                    5          NEEDS DECISION
Ottawa (KS)                                        5          NEEDS DECISION
Minnesota,New Mexico St.                           5          NEEDS DECISION
Arizona,Cameron,Missouri                           5          NEEDS DECISION
Tennessee,Tennessee Tech                           5          NEEDS DECISION
South Carolina St.,Miss. Valley St.                5          NEEDS DECISION
BYU,San Diego St.                                  5          NEEDS DECISION
Ferrum,Clarion,Duquesne,Richmond                   5          NEEDS DECISION
Utah St.,San Diego St.                             5          NEEDS DECISION
North Central                                      5          NEEDS DECISION
USC,San Diego St.                                  5          NEEDS DECISION
Bakersfield JC                                     5          NEEDS DECISION
Santa Monica College (CA),Long Beach St.           5          NEEDS DECISION
Randolph-Macon,Louisville                          5          NEEDS DECISION
Ark-Pine Bluff,La-Monroe                           5          NEEDS DECISION
Western Montana,Montana                            5          NEEDS DECISION
Virginia,South Carolina                            5          NEEDS DECISION
Macalester                                         5          NEEDS DECISION
Knox                                               5          NEEDS DECISION
Texas,Utah St.                                     5          NEEDS DECISION
Colorado Mesa,Maryland                             5          NEEDS DECISION
Mount San Antonio JC                               5          NEEDS DECISION
Mississippi Gulf Coast CC,Miss. Valley St.         5          NEEDS DECISION
Florida A&M,Bethune-Cookman                        5          NEEDS DECISION
Memphis,Miami (FL)                                 5          NEEDS DECISION
Redlands                                           5          NEEDS DECISION
