Team,Position,First Name,Last Name,Jersey,Height,Weight,College,Draft Year,Draft Pick,Overall,Pro Bowls,All-Pro,HOF,Status
Arizona Cardinals,S,Bennie,Thompson,,72.0,220.0,Grambling State,1985,UD,76,1.0,,,Active
Arizona Cardinals,S,Bill,Bates,,,,Tennessee,1983,UD,76,1.0,,,Active
Arizona Cardinals,S,Eugene,Robinson,41.0,73.0,200.0,Colgate,1985,UD,76,1.0,,,Active
Arizona Cardinals,DB,Rock,Richmond,,,,Oregon,1980,UD,75,,,,Active
Arizona Cardinals,DB,Melvin,Byrd,,,,UC Davis,1981,UD,75,,,,Active
Arizona Cardinals,DB,Steve,Trimble,,,,Maryland,1981,UD,75,,,,Active
Arizona Cardinals,K,Stephen,Gostkowski,3.0,73.0,215.0,Memphis,2006,118,91,4.0,2.0,False,Active
Arizona Cardinals,P,Andy,Lee,4.0,73.0,185.0,Pittsburgh,2004,188,94,3.0,3.0,False,Active
Atlanta Falcons,QB,Russell,Wilson,3.0,71.0,206.0,Wisconsin,2012,75,99,10.0,0.0,False,Active
Atlanta Falcons,QB,Aaron,Rodgers,12.0,74.0,223.0,California,2005,24,99,10.0,4.0,False,Active
Atlanta Falcons,QB,Drew,Brees,9.0,72.0,209.0,Purdue,2001,32,99,13.0,1.0,False,Active
Atlanta Falcons,RB,Will,Lewis,,,,Millersville,1980,UD,75,,,,Active
Atlanta Falcons,RB,Leon,Bright,,69.0,192.0,Florida State,1981,UD,75,,,,Active
Atlanta Falcons,RB,Harry,Sydney,,72.0,217.0,Kansas,1981,UD,75,,,,Active
Atlanta Falcons,RB,Jeff,Rodenberger,,,,Maryland,1982,UD,75,,,,Active
Atlanta Falcons,FB,Antionio,Andrews,,,,W. Ken,2014,UD,75,,,,Active
Atlanta Falcons,WR,A.J.,Green,18.0,,,Georgia,2011,4,96,7.0,0.0,False,Active
Atlanta Falcons,WR,Cordarrelle,Patterson,84.0,74.0,220.0,Tennessee,2013,29,96,4.0,4.0,False,Active
Atlanta Falcons,WR,Keenan,Allen,13.0,74.0,211.0,California,2013,76,95,6.0,0.0,False,Active
Atlanta Falcons,WR,Mike,Evans,13.0,75.0,269.0,Texas A&M,2014,7,94,6.0,0.0,False,Active
Atlanta Falcons,WR,Stefon,Diggs,14.0,72.0,191.0,Maryland,2015,146,94,4.0,1.0,False,Active
Atlanta Falcons,WR,Matthew,Slater,18.0,72.0,205.0,UCLA,2008,153,93,10.0,2.0,False,Active
Atlanta Falcons,TE,George,Kittle,85.0,76.0,250.0,Iowa,2017,146,95,6.0,2.0,False,Active
Atlanta Falcons,TE,Jimmy,Graham,80.0,79.0,265.0,Miami (FL),2010,95,94,5.0,1.0,False,Active
Atlanta Falcons,TE,Greg,Olsen,88.0,77.0,255.0,Miami (FL),2007,31,88,3.0,0.0,False,Active
Atlanta Falcons,OT,Steve,Wright,,,,Northern Iowa,1981,UD,75,,,,Active
Atlanta Falcons,OT,Alan,Veingrad,,77.0,277.0,East Texas State,1985,UD,75,,,,Active
Atlanta Falcons,OT,Bill,Bealles,,,,Northern Iowa,1986,UD,75,,,,Active
Atlanta Falcons,C,Travis,Frederick,72.0,76.0,320.0,Wisconsin,2013,31,90,5.0,1.0,False,FA Signed
Atlanta Falcons,C,Rodney,Hudson,61.0,74.0,315.0,Florida St.,2011,55,87,3.0,0.0,False,Active
Atlanta Falcons,DE,Ron,Spears,,,,San Diego State,1981,UD,75,,,,Active
Atlanta Falcons,DE,Mike,Durrette,,,,West Virginia,1982,UD,75,,,,Active
Atlanta Falcons,DE,Jeff,Stover,,,,Oregon,1982,UD,75,,,,Active
Atlanta Falcons,DE,Keith,Willis,,73.0,251.0,Northeastern,1982,UD,75,,,,Active
Atlanta Falcons,DT,Gerald,McCoy,93.0,76.0,300.0,Oklahoma,2010,3,96,6.0,1.0,False,Active
Atlanta Falcons,DT,Jurrell,Casey,99.0,73.0,305.0,USC,2011,77,91,5.0,0.0,False,Active
Atlanta Falcons,DT,Linval,Joseph,98.0,76.0,328.0,East Carolina,2010,46,89,2.0,0.0,False,Active
Atlanta Falcons,DT,Kenny,Clark,97.0,75.0,314.0,UCLA,2016,27,86,3.0,0.0,False,Active
Atlanta Falcons,DL,Jeremy,Beal,,75.0,276.0,Oklahoma,2011,247,65,0.0,0.0,False,Active
Atlanta Falcons,LB,Anthony,Dickerson,,74.0,220.0,SMU,1980,UD,75,,,,Active
Atlanta Falcons,LB,John,Pointer,,74.0,225.0,Vanderbilt,1980,UD,75,,,,Active
Atlanta Falcons,LB,Terry,Rennaker,,78.0,225.0,Stanford,1980,UD,75,,,,Active
Atlanta Falcons,LB,Steve,Shull,,,,William & Mary,1980,UD,75,,,,Active
Atlanta Falcons,LB,Kevin,Turner,,74.0,223.0,Pacific,1980,UD,75,,,,Active
Atlanta Falcons,LB,Mike,Whittington,,,,Notre Dame,1980,UD,75,,,,Active
Atlanta Falcons,CB,Harrison,Smith,22.0,74.0,211.0,Notre Dame,2012,29,97,6.0,1.0,False,Active
Atlanta Falcons,CB,Tyrann,Mathieu,32.0,69.0,190.0,LSU,2013,69,97,3.0,3.0,False,Active
Atlanta Falcons,CB,Darius,Slay,23.0,72.0,192.0,Mississippi St.,2013,36,96,6.0,1.0,False,Active
Atlanta Falcons,CB,Marcus,Peters,24.0,72.0,197.0,Washington,2015,18,92,3.0,2.0,False,Active
Atlanta Falcons,CB,Xavien,Howard,25.0,73.0,203.0,Baylor,2016,38,89,4.0,1.0,False,Active
Atlanta Falcons,S,Steve,Carpenter,,,,Western Illinois,1980,UD,75,,,,Active
Atlanta Falcons,S,Dextor,Clinkscale,,,,South Carolina State,1980,UD,75,,,,Active
Atlanta Falcons,S,Alvin,Hall,,70.0,193.0,Miami (OH),1980,UD,75,,,,Active
Atlanta Falcons,S,Mark,Murphy,,76.0,210.0,West Liberty,1980,UD,75,,,,Active
Atlanta Falcons,DB,Roger,Jackson,,72.0,186.0,Bethune–Cookman,1982,UD,75,,,,Active
Atlanta Falcons,DB,Mike,Kennedy,,,,Toledo,1982,UD,75,,,,Active
Atlanta Falcons,DB,D.D.,Hoggard,,,,NC State,1983,UD,75,,,,Active
Atlanta Falcons,K,Nick,Folk,6.0,73.0,222.0,Arizona,2007,178,82,1.0,0.0,False,Active
Atlanta Falcons,P,Thomas,Morstead,6.0,76.0,225.0,SMU,2009,164,80,1.0,0.0,False,Active
Baltimore Ravens,QB,Ben,Roethlisberger,7.0,77.0,240.0,Miami (OH),2004,11,97,6.0,0.0,False,Active
Baltimore Ravens,QB,Matt,Ryan,2.0,77.0,220.0,Boston Col.,2008,3,96,4.0,1.0,False,Active
Baltimore Ravens,QB,Kirk,Cousins,8.0,75.0,205.0,Michigan St.,2012,102,92,4.0,0.0,False,Active
Baltimore Ravens,RB,Calvin,Thomas,,71.0,239.0,Illinois,1982,UD,75,,,,Active
Baltimore Ravens,RB,Frank,Middleton,73.0,75.0,330.0,Florida A&M,1983,UD,75,,,,Active
Baltimore Ravens,RB,Dennis,Bligen,,71.0,215.0,St. John's (NY),1984,UD,75,,,,Active
Baltimore Ravens,RB,Don,Goodman,,,,Cincinnati,1984,UD,75,,,,Active
Baltimore Ravens,FB,Zach,Zenner,34.0,,,South Dakota St.,2015,UD,75,,,,Active
Baltimore Ravens,WR,T.Y.,Hilton,13.0,,,Florida International,2012,92,90,4.0,0.0,False,Active
Baltimore Ravens,WR,Amari,Cooper,19.0,73.0,210.0,Alabama,2015,4,90,5.0,0.0,False,Active
Baltimore Ravens,WR,Justin,Jefferson,18.0,73.0,195.0,LSU,2020,22,90,4.0,2.0,False,Active
Baltimore Ravens,WR,Dez,Bryant,88.0,74.0,220.0,Oklahoma St.,2010,24,89,3.0,1.0,False,Active
Baltimore Ravens,WR,Tyler,Lockett,16.0,70.0,182.0,Kansas St.,2015,69,87,1.0,1.0,False,Active
Baltimore Ravens,WR,Jarvis,Landry,14.0,71.0,202.0,LSU,2014,63,87,5.0,0.0,False,Active
Baltimore Ravens,TE,Zach,Ertz,86.0,77.0,250.0,Stanford,2013,35,86,3.0,0.0,False,Active
Baltimore Ravens,TE,Jared,Cook,89.0,77.0,246.0,South Carolina,2009,89,83,2.0,0.0,False,Active
Baltimore Ravens,TE,Kyle,Rudolph,82.0,78.0,258.0,Notre Dame,2011,43,80,2.0,0.0,False,Active
Baltimore Ravens,OT,Keith,Cupp,,78.0,301.0,Findlay,1986,UD,75,,,,Active
Baltimore Ravens,OT,Rory,Graves,,78.0,280.0,Ohio State,1986,UD,75,,,,Active
Baltimore Ravens,OT,Barry,Pettyjohn,,77.0,285.0,Pittsburgh,1986,UD,75,,,,Active
Baltimore Ravens,C,Corey,Linsley,63.0,75.0,301.0,Ohio St.,2014,161,86,1.0,1.0,False,Active
Baltimore Ravens,C,Ryan,Kelly,78.0,76.0,307.0,Alabama,2016,18,86,4.0,0.0,False,Active
Baltimore Ravens,DE,Bob,Hamm,,,,Nevada,1983,UD,75,,,,Active
Baltimore Ravens,DE,Scott,Virkus,,77.0,260.0,Purdue,1983,UD,75,,,,Active
Baltimore Ravens,DE,Tony,DeLuca,,,,Rhode Island,1984,UD,75,,,,Active
Baltimore Ravens,DE,Shawn,Miller,,76.0,255.0,Utah State,1984,UD,75,,,,Active
Baltimore Ravens,DT,Domata,Peko,94.0,75.0,325.0,Michigan St.,2006,123,85,0.0,0.0,False,Active
Baltimore Ravens,DT,Lawrence,Guy,93.0,76.0,315.0,Arizona St.,2011,233,84,0.0,0.0,False,Active
Baltimore Ravens,DT,Grady,Jarrett,97.0,73.0,294.0,Clemson,2015,137,84,2.0,0.0,False,Active
Baltimore Ravens,DT,Javon,Hargrave,79.0,74.0,307.0,South Carolina St.,2016,89,83,2.0,0.0,False,Active
Baltimore Ravens,LB,Kervin,Wyatt,,73.0,235.0,Maryland,1980,UD,75,,,,Active
Baltimore Ravens,LB,Paul,Davis,,74.0,221.0,North Carolina,1981,UD,75,,,,Active
Baltimore Ravens,LB,Greg,Gaines,91.0,73.0,312.0,Tennessee,1981,UD,75,,,,Active
Baltimore Ravens,LB,Mike,Humiston,,,,Weber State,1981,UD,75,,,,Active
Baltimore Ravens,LB,Mel,Kaufman,,,,Cal Poly,1981,UD,75,,,,Active
Baltimore Ravens,LB,Angelo,King,,73.0,224.0,South Carolina State,1981,UD,75,,,,Active
Baltimore Ravens,CB,Malcolm,Jenkins,27.0,72.0,204.0,Ohio St.,2009,14,89,3.0,0.0,False,Active
Baltimore Ravens,CB,Devin,McCourty,32.0,70.0,195.0,Rutgers,2010,27,88,2.0,0.0,False,Active
Baltimore Ravens,CB,Joe,Haden,23.0,71.0,195.0,Florida,2010,7,87,3.0,0.0,False,Active
Baltimore Ravens,CB,Xavier,Rhodes,29.0,73.0,210.0,Florida St.,2013,25,86,3.0,1.0,False,Active
Baltimore Ravens,CB,Jordan,Poyer,21.0,72.0,191.0,Oregon St.,2013,218,86,1.0,1.0,False,Active
Baltimore Ravens,S,Kirk,Springs,,72.0,192.0,Miami (OH),1980,UD,75,,,,Active
Baltimore Ravens,S,Michael,Downs,,75.0,205.0,Rice,1981,UD,75,,,,Active
Baltimore Ravens,S,Blane,Gaison,,72.0,185.0,Hawaii,1981,UD,75,,,,Active
Baltimore Ravens,S,Rick,Gervais,,,,Stanford,1981,UD,75,,,,Active
Baltimore Ravens,DB,David,Kilson,,73.0,200.0,Nevada,1983,UD,75,,,,Active
Baltimore Ravens,DB,Lou,Rash,,,,Mississippi Valley State,1983,UD,75,,,,Active
Baltimore Ravens,DB,Jeff,Colter,,,,Kansas,1984,UD,75,,,,Active
Baltimore Ravens,K,Greg,Zuerlein,4.0,72.0,195.0,Missouri Western St.,2012,171,81,1.0,1.0,False,Active
Baltimore Ravens,P,Dustin,Colquitt,2.0,75.0,210.0,Tennessee,2005,99,80,2.0,0.0,False,Active
Buffalo Bills,QB,Derek,Carr,4.0,75.0,215.0,Fresno St.,2014,36,91,4.0,0.0,False,Active
Buffalo Bills,QB,Andy,Dalton,14.0,74.0,220.0,TCU,2011,35,91,3.0,0.0,False,Active
Buffalo Bills,QB,Matthew,Stafford,9.0,75.0,214.0,Georgia,2009,1,91,2.0,0.0,False,Active
Buffalo Bills,RB,Todd,Spencer,,72.0,203.0,USC,1984,UD,75,,,,Active
Buffalo Bills,RB,Reggie,Branch,,,,East Carolina,1985,UD,75,,,,Active
Buffalo Bills,RB,Herman,Fontenot,,72.0,206.0,LSU,1985,UD,75,,,,Active
Buffalo Bills,RB,Nick,Kowgios,,,,Lafayette,1985,UD,75,,,,Active
Buffalo Bills,FB,C.J.,Ham,30.0,,,Augustana (SD),2016,UD,75,,,,Active
Buffalo Bills,WR,CeeDee,Lamb,88.0,74.0,200.0,Oklahoma,2020,17,87,4.0,1.0,False,Active
Buffalo Bills,WR,Emmanuel,Sanders,10.0,71.0,180.0,SMU,2010,82,86,2.0,0.0,False,Active
Buffalo Bills,WR,Odell Beckham,Jr.,3.0,,,LSU,2014,12,86,3.0,0.0,False,Active
Buffalo Bills,WR,Randall,Cobb,18.0,70.0,192.0,Kentucky,2011,64,85,1.0,0.0,False,Active
Buffalo Bills,WR,Cooper,Kupp,10.0,74.0,205.0,Eastern Washington,2017,69,85,1.0,1.0,False,Active
Buffalo Bills,WR,Brandin,Cooks,10.0,70.0,193.0,Oregon St.,2014,20,84,0.0,0.0,False,Active
Buffalo Bills,TE,Evan,Engram,88.0,75.0,240.0,Mississippi,2017,23,78,2.0,0.0,False,Active
Buffalo Bills,TE,Austin,Hooper,81.0,76.0,254.0,Stanford,2016,81,78,2.0,0.0,False,Active
Buffalo Bills,TE,T.J.,Hockenson,87.0,,,Iowa,2019,8,77,2.0,0.0,False,Active
Buffalo Bills,OT,Stuart,Rindy,,77.0,266.0,Wisconsin–Whitewater,1986,UD,75,,,,Active
Buffalo Bills,OT,Jeff,Wenzel,,,,Tulane,1986,UD,75,,,,Active
Buffalo Bills,OT,John,Wojciechowski,,76.0,262.0,Michigan State,1986,UD,75,,,,Active
Buffalo Bills,C,Frank,Ragnow,77.0,77.0,311.0,Arkansas,2018,20,84,4.0,0.0,False,Active
Buffalo Bills,C,Shaq,Mason,69.0,73.0,310.0,Georgia Tech,2015,131,80,0.0,0.0,False,Active
Buffalo Bills,DE,Arnold,Campbell,,75.0,260.0,Alcorn State,1985,UD,75,,,,Active
Buffalo Bills,DE,Alex,Carter,33.0,,,Tennessee State,1985,UD,75,,,,Active
Buffalo Bills,DE,Dan,Coleman,,,,Murray State,1985,UD,75,,,,Active
Buffalo Bills,DE,Dale,Dorning,,77.0,260.0,Oregon,1985,UD,75,,,,Active
Buffalo Bills,DT,Dontari,Poe,92.0,75.0,342.0,Memphis,2012,11,83,2.0,0.0,False,Active
Buffalo Bills,DT,Sheldon,Richardson,91.0,75.0,290.0,Missouri,2013,13,82,1.0,0.0,False,Active
Buffalo Bills,DT,Dexter,Lawrence,97.0,76.0,340.0,Clemson,2019,17,82,3.0,0.0,False,Active
Buffalo Bills,DT,Jeffery,Simmons,98.0,76.0,305.0,Mississippi St.,2019,19,82,3.0,0.0,False,Active
Buffalo Bills,LB,Jim,Looney,,,,Purdue,1981,UD,75,,,,Active
Buffalo Bills,LB,Milt,McColl,,,,Stanford,1981,UD,75,,,,Active
Buffalo Bills,LB,Sam,Mills‡1,,,,Montclair State,1981,UD,75,,,,Active
Buffalo Bills,LB,Tim,Ross,,,,Bowling Green,1981,UD,75,,,,Active
Buffalo Bills,LB,Randy,Scott,,,,Alabama,1981,UD,75,,,,Active
Buffalo Bills,LB,Darren,Comeaux,,73.0,227.0,Arizona State,1982,UD,75,,,,Active
Buffalo Bills,CB,Kyle,Fuller,23.0,71.0,190.0,Virginia Tech,2014,14,84,2.0,1.0,False,Active
Buffalo Bills,CB,Tre'Davious,White,27.0,71.0,192.0,LSU,2017,27,84,2.0,1.0,False,Active
Buffalo Bills,CB,Marshon,Lattimore,23.0,72.0,192.0,Ohio St.,2017,11,83,4.0,0.0,False,Active
Buffalo Bills,CB,Denzel,Ward,21.0,71.0,190.0,Ohio St.,2018,4,83,4.0,0.0,False,Active
Buffalo Bills,CB,Casey,Hayward,29.0,71.0,192.0,Vanderbilt,2012,62,83,2.0,0.0,False,Active
Buffalo Bills,S,David,Petway,,73.0,207.0,Northern Illinois,1981,UD,75,,,,Active
Buffalo Bills,S,Frank,Wattelet,,72.0,185.0,Kansas,1981,UD,75,,,,Active
Buffalo Bills,S,Jim Bob,Morris,,,,Kansas State,1983,UD,75,,,,Active
Buffalo Bills,S,Paul,Moyer,,73.0,201.0,Arizona State,1983,UD,75,,,,Active
Buffalo Bills,DB,Ryan,Bethea,,,,South Carolina,1988,UD,75,,,,Active
Buffalo Bills,DB,Michael,Brooks,70.0,73.0,236.0,NC State,1989,UD,75,,,,Active
Buffalo Bills,DB,Brett,Young,,,,Oregon,1989,UD,75,,,,Active
Buffalo Bills,K,Mason,Crosby,2.0,73.0,207.0,Colorado,2007,193,79,0.0,0.0,False,Active
Buffalo Bills,P,Bryan,Anger,9.0,75.0,202.0,California,2012,70,79,2.0,0.0,False,Active
Carolina Panthers,QB,Jared,Goff,16.0,76.0,217.0,California,2016,1,90,4.0,0.0,False,Active
Carolina Panthers,QB,Dak,Prescott,4.0,74.0,238.0,Mississippi St.,2016,135,90,4.0,0.0,False,Active
Carolina Panthers,QB,Matt,Schaub,8.0,78.0,245.0,Virginia,2004,90,89,2.0,0.0,False,Active
Carolina Panthers,RB,Paul,Ott Carruth,,,,Alabama,1985,UD,75,,,,Active
Carolina Panthers,RB,Roosevelt,Snipes,,,,Florida State,1985,UD,75,,,,Active
Carolina Panthers,RB,Ken,Bell,,,,Boston College,1986,UD,75,,,,Active
Carolina Panthers,RB,Charles,Crawford,,74.0,235.0,Oklahoma State,1986,UD,75,,,,Active
Carolina Panthers,FB,Reggie,Gilliam,41.0,72.0,244.0,Toledo,2020,UD,75,,,,Active
Carolina Panthers,WR,Andre,Roberts,12.0,71.0,195.0,The Citadel,2010,88,83,3.0,1.0,False,Active
Carolina Panthers,WR,Golden,Tate,15.0,71.0,191.0,Notre Dame,2010,60,83,1.0,0.0,False,Active
Carolina Panthers,WR,Robert,Woods,10.0,75.0,255.0,USC,2013,41,82,0.0,0.0,False,Active
Carolina Panthers,WR,Julian,Edelman,11.0,70.0,198.0,Kent St.,2009,232,82,0.0,0.0,False,Active
Carolina Panthers,WR,Deebo,Samuel,19.0,72.0,215.0,South Carolina,2019,36,81,1.0,1.0,False,Active
Carolina Panthers,WR,D.K.,Metcalf,14.0,76.0,229.0,Mississippi,2019,64,81,2.0,0.0,False,Active
Carolina Panthers,TE,Clark,Harris,46.0,77.0,252.0,Rutgers,2007,243,76,1.0,0.0,False,Active
Carolina Panthers,TE,Donald,Parham,89.0,80.0,237.0,Stetson,2019,UD,75,,,,Active
Carolina Panthers,TE,Thaddeus,Moss,81.0,75.0,249.0,LSU,2020,UD,75,,,,Active
Carolina Panthers,OT,Mark,Boggs,,77.0,301.0,Ball State,1987,UD,75,,,,Active
Carolina Panthers,OT,Mark,Carlson,,78.0,284.0,Southern Connecticut State,1987,UD,75,,,,Active
Carolina Panthers,OT,Anthony,Corvino,,73.0,262.0,Southern Connecticut State,1987,UD,75,,,,Active
Carolina Panthers,C,Ali,Marpet,74.0,76.0,307.0,Hobart,2015,61,78,1.0,0.0,False,Active
Carolina Panthers,C,Graham,Glasgow,60.0,78.0,315.0,Michigan,2016,95,78,0.0,0.0,False,Active
Carolina Panthers,DE,Bill,Lobenstein,,,,Wisconsin–Whitewater,1985,UD,75,,,,Active
Carolina Panthers,DE,Jon,Norris,,,,American International,1985,UD,75,,,,Active
Carolina Panthers,DE,Don,Baldwin,,,,Purdue,1986,UD,75,,,,Active
Carolina Panthers,DE,Tim,Cofield,,74.0,243.0,Elizabeth City State,1986,UD,75,,,,Active
Carolina Panthers,DT,Michael,Brockers,90.0,77.0,297.0,LSU,2012,14,81,0.0,0.0,False,Active
Carolina Panthers,DT,Johnathan,Hankins,95.0,75.0,335.0,Ohio St.,2013,49,80,0.0,0.0,False,Active
Carolina Panthers,DT,Tyson,Alualu,93.0,75.0,304.0,California,2010,10,80,0.0,0.0,False,Active
Carolina Panthers,DT,Vita,Vea,50.0,76.0,347.0,Washington,2018,12,80,2.0,0.0,False,Active
Carolina Panthers,LB,Tim,Golden,,,,Florida,1982,UD,75,,,,Active
Carolina Panthers,LB,Joey,Lumpkin,,,,Arizona State,1982,UD,75,,,,Active
Carolina Panthers,LB,Larry,Rubens,,73.0,253.0,Montana State,1982,UD,75,,,,Active
Carolina Panthers,LB,Craig,Walls,,73.0,215.0,Indiana,1982,UD,75,,,,Active
Carolina Panthers,LB,Kyle,Whittingham,,72.0,232.0,BYU,1982,UD,75,,,,Active
Carolina Panthers,LB,Dale,Carver,,74.0,225.0,Georgia,1983,UD,75,,,,Active
Carolina Panthers,CB,Josh,Norman,24.0,72.0,200.0,Coastal Carolina,2012,143,83,1.0,1.0,False,Active
Carolina Panthers,CB,Micah,Hyde,23.0,72.0,197.0,Iowa,2013,159,82,1.0,0.0,False,Active
Carolina Panthers,CB,James,Bradberry,24.0,73.0,210.0,Samford,2016,62,79,1.0,0.0,False,Active
Carolina Panthers,CB,Justin,Bethel,28.0,72.0,195.0,Presbyterian,2012,177,79,3.0,0.0,False,Active
Carolina Panthers,CB,Jaire,Alexander,23.0,70.0,196.0,Louisville,2018,18,78,2.0,0.0,False,Active
Carolina Panthers,S,Vince,Albritton,,74.0,205.0,Washington,1984,UD,75,,,,Active
Carolina Panthers,S,Allen,Lyday,,70.0,190.0,Nebraska,1984,UD,75,,,,Active
Carolina Panthers,S,Andre,Waters,,71.0,200.0,Cheyney,1984,UD,75,,,,Active
Carolina Panthers,S,Dave,Edwards,,,,Illinois,1985,UD,75,,,,Active
Carolina Panthers,DB,Eric,Bergeson,,71.0,192.0,BYU,1990,UD,75,,,,Active
Carolina Panthers,DB,Mike,Iaquaniello,,,,Michigan State,1991,UD,75,,,,Active
Carolina Panthers,DB,Shawn,Vincent,,70.0,175.0,Akron,1991,UD,75,,,,Active
Carolina Panthers,K,Ryan,Succop,6.0,74.0,218.0,South Carolina,2009,256,77,0.0,0.0,False,Active
Carolina Panthers,P,Sam,Koch,4.0,73.0,222.0,Nebraska,2006,203,79,1.0,0.0,False,Active
